文件名,编,分编,章,节,内容
最高人民法院关于人民法院办理接收在台湾地区服刑的大陆居民回大陆服刑案件的规定,,,,,第一条 人民法院办理接收在台湾地区服刑的大陆居民以下简称被判刑人回大陆服刑案件以下简称接收被判刑人案件应当遵循一个中国原则遵守国家法律的基本原则秉持人道和互惠原则不得违反社会公共利益。
最高人民法院关于人民法院办理接收在台湾地区服刑的大陆居民回大陆服刑案件的规定,,,,,第二条 接收被判刑人案件由最高人民法院指定的中级人民法院管辖。
最高人民法院关于人民法院办理接收在台湾地区服刑的大陆居民回大陆服刑案件的规定,,,,,第三条 申请机关向人民法院申请接收被判刑人回大陆服刑应当同时提交以下材料1台湾地区法院认定的被判刑人实施的犯罪行为及判决依据的具体条文内容2该行为在大陆依据刑法也构成犯罪、相应的刑法条文、罪名及该行为未进入大陆刑事诉讼程序的说明3建议转换的具体刑罚4其他需要说明的事项。证明和执行文书书面意见且法定代理人与被判刑人的意思表示一致地区接受公正审判的权利已获得保障的书面声明书面意见明包括被判刑人交付执行前的羁押期、已服刑期、剩余刑期被判刑人服刑期间的表现、退赃退赔情况被判刑人的健康状况、疾病与治疗情况申请机关提交材料齐全的人民法院应当在七日内立案。提交材料不全的应当通知申请机关在十五日内补送至迟不能超过两个月逾期未补送的不予立案并于七日内书面告知申请机关。
最高人民法院关于人民法院办理接收在台湾地区服刑的大陆居民回大陆服刑案件的规定,,,,,第四条 人民法院应当组成合议庭审理接收被判刑人案件。
最高人民法院关于人民法院办理接收在台湾地区服刑的大陆居民回大陆服刑案件的规定,,,,,第五条 人民法院应当在立案后一个月内就是否准予接收被判刑人作出裁定情况复杂、特殊的可以延长一个月。人民法院裁定准予接收的应当依据台湾地区法院判决认定的事实并参考其所定罪名根据刑法就相同或者最相似犯罪行为规定的法定刑按照下列原则对台湾地区法院确定的无期徒刑或者有期徒刑予以转换罚低于刑法规定的最低刑的以原判处刑罚作为转换后的刑罚最高刑作为转换后的刑罚前款所称的最高刑如台湾地区法院认定的事实依据刑法应当认定为一个犯罪的是指刑法对该犯罪规定的最高刑如应当认定为多个犯罪的是指刑法对数罪并罚规定的最高刑。对人民法院立案前台湾地区有关业务主管部门对被判刑人在服刑期间作出的减轻刑罚决定人民法院应当一并予以转换并就最终应当执行的刑罚作出裁定。
最高人民法院关于人民法院办理接收在台湾地区服刑的大陆居民回大陆服刑案件的规定,,,,,第六条 被判刑人被接收回大陆服刑前被实际羁押的期间应当以一日折抵转换后的刑期一日。
最高人民法院关于人民法院办理接收在台湾地区服刑的大陆居民回大陆服刑案件的规定,,,,,第七条 被判刑人被接收回大陆前已在台湾地区被假释或保外就医的或者被判刑人或其法定代理人在申请或者同意回大陆服刑的书面意见中同时申请暂予监外执行的人民法院应当根据刑法、刑事诉讼法的规定一并审查并作出是否假释或者暂予监外执行的决定。
最高人民法院关于人民法院办理接收在台湾地区服刑的大陆居民回大陆服刑案件的规定,,,,,第八条 人民法院作出裁定后应当在七日内送达申请机关。裁定一经送达立即生效。
最高人民法院关于人民法院办理接收在台湾地区服刑的大陆居民回大陆服刑案件的规定,,,,,第九条 被判刑人回大陆服刑后有关减刑、假释、暂予监外执行、赦免等事项适用刑法、刑事诉讼法及相关司法解释的规定。
最高人民法院关于人民法院办理接收在台湾地区服刑的大陆居民回大陆服刑案件的规定,,,,,第十条 被判刑人回大陆服刑后对其在台湾地区已被判处刑罚的行为人民法院不再审理。
最高人民法院关于人民法院办理接收在台湾地区服刑的大陆居民回大陆服刑案件的规定,,,,,第十一条 本规定自 2016 年 5 月 1 日起施行。
