文件名,编,分编,章,节,内容
最高人民法院关于国家赔偿案件立案工作的规定,,,,,第一条 本规定所称国家赔偿案件是指国家赔偿法第十七条、第十八条、第二十一条、第三十八条规定的下列案件依照刑事诉讼法规定的条件和程序对公民采取拘留措施但是拘留时间超过刑事诉讼法规定的时限其后决定撤销案件、不起诉或者判决宣告无罪终止追究刑事责任的判决宣告无罪终止追究刑事责任的的人以殴打、虐待等行为造成公民身体伤害或者死亡的追缴等措施的产已经执行的的强制措施、保全措施或者对判决、裁定及其他生效法律文书执行错误造成损害的。
最高人民法院关于国家赔偿案件立案工作的规定,,,,,第二条 赔偿请求人向作为赔偿义务机关的人民法院提出赔偿申请或者依照国家赔偿法第二十四条、第二十五条的规定向人民法院赔偿委员会提出赔偿申请的收到申请的人民法院根据本规定予以审查立案。
最高人民法院关于国家赔偿案件立案工作的规定,,,,,第三条 赔偿请求人当面递交赔偿申请的收到申请的人民法院应当依照国家赔偿法第十二条的规定当场出具加盖本院专用印章并注明收讫日期的书面凭证。赔偿请求人以邮寄等形式提出赔偿申请的收到申请的人民法院应当及时登记审查。申请材料不齐全的收到申请的人民法院应当在五日内一次性告知赔偿请求人需要补正的全部内容。收到申请的时间自人民法院收到补正材料之日起计算。
最高人民法院关于国家赔偿案件立案工作的规定,,,,,第四条 赔偿请求人向作为赔偿义务机关的人民法院提出赔偿申请收到申请的人民法院经审查认为其申请符合下列条件的应予立案
最高人民法院关于国家赔偿案件立案工作的规定,,,,,第五条 赔偿请求人对作为赔偿义务机关的人民法院作出的是否赔偿的决定不服依照国家赔偿法第二十四条的规定向其上一级人民法院赔偿委员会提出赔偿申请收到申请的人民法院经审查认为其申请符合下列条件的应予立案未能在法定期间行使请求权的情形除外。
最高人民法院关于国家赔偿案件立案工作的规定,,,,,第六条 作为赔偿义务机关的人民法院逾期未作出是否赔偿的决定赔偿请求人依照国家赔偿法第二十四条的规定向其上一级人民法院赔偿委员会提出赔偿申请收到申请的人民法院经审查认为其申请符合下列条件的应予立案应证据未能在法定期间行使请求权的情形除外。
最高人民法院关于国家赔偿案件立案工作的规定,,,,,第七条 赔偿请求人对行使侦查、检察职权的机关以及看守所、监狱管理机关作出的决定不服经向其上一级机关申请复议对复议机关的复议决定仍不服依照国家赔偿法第二十五条的规定向复议机关所在地的同级人民法院赔偿委员会提出赔偿申请收到申请的人民法院经审查认为其申请符合下列条件的应予立案未能在法定期间行使请求权的情形除外。
最高人民法院关于国家赔偿案件立案工作的规定,,,,,第八条 复议机关逾期未作出复议决定赔偿请求人依照国家赔偿法第二十五条的规定向复议机关所在地的同级人民法院赔偿委员会提出赔偿申请收到申请的人民法院经审查认为其申请符合下列条件的应予立案义务机关、复议机关凭证或者相应证据未能在法定期间行使请求权的情形除外。
最高人民法院关于国家赔偿案件立案工作的规定,,,,,第九条 人民法院应当在收到申请之日起七日内决定是否立案。决定立案的人民法院应当在立案之日起五日内向赔偿请求人送达受理案件通知书。属于人民法院赔偿委员会审理的国家赔偿案件还应当同时向赔偿义务机关、复议机关送达受理案件通知书、国家赔偿申请书或者《申请赔偿登记表》副本。经审查不符合立案条件的人民法院应当在七日内作出不予受理决定并应当在作出决定之日起十日内送达赔偿请求人。
最高人民法院关于国家赔偿案件立案工作的规定,,,,,第十条 赔偿请求人对复议机关或者作为赔偿义务机关的人民法院作出的决定不予受理的文书不服依照国家赔偿法第二十四条、第二十五条的规定向人民法院赔偿委员会提出赔偿申请收到申请的人民法院可以依照本规定第六条、第八条予以审查立案。经审查认为原不予受理错误的人民法院赔偿委员会可以直接审查并作出决定必要时也可以交由复议机关或者作为赔偿义务机关的人民法院作出决定。
最高人民法院关于国家赔偿案件立案工作的规定,,,,,第十一条 自本规定施行之日起《最高人民法院关于刑事赔偿和非刑事司法赔偿案件立案工作的暂行规定试行》即行废止本规定施行前本院发布的司法解释与本规定不一致的以本规定为准。
