文件名,编,分编,章,节,内容
最高人民法院关于审理专利授权确权行政案件适用法律若干问题的规定（一）,,,,,第一条 本规定所称专利授权行政案件是指专利申请人因不服国务院专利行政部门作出的专利复审请求审查决定向人民法院提起诉讼的案件。本规定所称专利确权行政案件是指专利权人或者无效宣告请求人因不服国务院专利行政部门作出的专利无效宣告请求审查决定向人民法院提起诉讼的案件。本规定所称被诉决定是指国务院专利行政部门作出的专利复审请求审查决定、专利无效宣告请求审查决定。
最高人民法院关于审理专利授权确权行政案件适用法律若干问题的规定（一）,,,,,第二条 人民法院应当以所属技术领域的技术人员在阅读权利要求书、说明书及附图后所理解的通常含义界定权利要求的用语。权利要求的用语在说明书及附图中有明确定义或者说明的按照其界定。依照前款规定不能界定的可以结合所属技术领域的技术人员通常采用的技术词典、技术手册、工具书、教科书、国家或者行业技术标准等界定。
最高人民法院关于审理专利授权确权行政案件适用法律若干问题的规定（一）,,,,,第三条 人民法院在专利确权行政案件中界定权利要求的用语时可以参考已被专利侵权民事案件生效裁判采纳的专利权人的相关陈述。
最高人民法院关于审理专利授权确权行政案件适用法律若干问题的规定（一）,,,,,第四条 权利要求书、说明书及附图中的语法、文字、数字、标点、图形、符号等有明显错误或者歧义但所属技术领域的技术人员通过阅读权利要求书、说明书及附图可以得出唯一理解的人民法院应当根据该唯一理解作出认定。
最高人民法院关于审理专利授权确权行政案件适用法律若干问题的规定（一）,,,,,第五条 当事人有证据证明专利申请人、专利权人违反诚实信用原则虚构、编造说明书及附图中的具体实施方式、技术效果以及数据、图表等有关技术内容并据此主张相关权利要求不符合专利法有关规定的人民法院应予支持。
最高人民法院关于审理专利授权确权行政案件适用法律若干问题的规定（一）,,,,,第六条 说明书未充分公开特定技术内容导致在专利申请日有下列情形之一的人民法院应当认定说明书及与该特定技术内容相关的权利要求不符合专利法第二十六条第三款的规定新型所要解决的技术问题的新型所要解决的技术问题需要付出过度劳动的。当事人仅依据前款规定的未充分公开的特定技术内容主张与该特定技术内容相关的权利要求符合专利法第二十六条第四款关于权利要求书应当以说明书为依据的规定的人民法院不予支持。
最高人民法院关于审理专利授权确权行政案件适用法律若干问题的规定（一）,,,,,第七条 所属技术领域的技术人员根据说明书及附图认为权利要求有下列情形之一的人民法院应当认定该权利要求不符合专利法第二十六条第四款关于清楚地限定要求专利保护的范围的规定
最高人民法院关于审理专利授权确权行政案件适用法律若干问题的规定（一）,,,,,第八条 所属技术领域的技术人员阅读说明书及附图后在申请日不能得到或者合理概括得出权利要求限定的技术方案的人民法院应当认定该权利要求不符合专利法第二十六条第四款关于权利要求书应当以说明书为依据的规定。
最高人民法院关于审理专利授权确权行政案件适用法律若干问题的规定（一）,,,,,第九条 以功能或者效果限定的技术特征是指对于结构、组分、步骤、条件等技术特征或者技术特征之间的相互关系等仅通过其在发明创造中所起的功能或者效果进行限定的技术特征但所属技术领域的技术人员通过阅读权利要求即可直接、明确地确定实现该功能或者效果的具体实施方式的除外。对于前款规定的以功能或者效果限定的技术特征权利要求书、说明书及附图未公开能够实现该功能或者效果的任何具体实施方式的人民法院应当认定说明书和具有该技术特征的权利要求不符合专利法第二十六条第三款的规定。
最高人民法院关于审理专利授权确权行政案件适用法律若干问题的规定（一）,,,,,第十条 药品专利申请人在申请日以后提交补充实验数据主张依赖该数据证明专利申请符合专利法第二十二条第三款、第二十六条第三款等规定的人民法院应予审查。
最高人民法院关于审理专利授权确权行政案件适用法律若干问题的规定（一）,,,,,第十一条 当事人对实验数据的真实性产生争议的提交实验数据的一方当事人应当举证证明实验数据的来源和形成过程。人民法院可以通知实验负责人到庭就实验原料、步骤、条件、环境或者参数以及完成实验的人员、机构等作出说明。
