文件名,编,分编,章,节,内容
最高人民法院关于适用《中华人民共和国民法典》婚姻家庭编的解释（二）,,,,,第一条 当事人依据民法典第一千零五十一条第一项规定请求确认重婚的婚姻无效提起诉讼时合法婚姻当事人已经离婚或者配偶已经死亡被告以此为由抗辩后一婚姻自以上情形发生时转为有效的人民法院不予支持。
最高人民法院关于适用《中华人民共和国民法典》婚姻家庭编的解释（二）,,,,,第二条 夫妻登记离婚后一方以双方意思表示虚假为由请求确认离婚无效的人民法院不予支持。
最高人民法院关于适用《中华人民共和国民法典》婚姻家庭编的解释（二）,,,,,第三条 夫妻一方的债权人有证据证明离婚协议中财产分割条款影响其债权实现请求参照适用民法典第五百三十八条或者第五百三十九条规定撤销相关条款的人民法院应当综合考虑夫妻共同财产整体分割及履行情况、子女抚养费负担、离婚过错等因素依法予以支持。
最高人民法院关于适用《中华人民共和国民法典》婚姻家庭编的解释（二）,,,,,第四条 双方均无配偶的同居关系析产纠纷案件中对同居期间所得的财产有约定的按照约定处理没有约定且协商不成的人民法院按照以下情形分别处理各自继承或者受赠的财产以及单独生产、经营、投资的收益等归各自所有益以及其他无法区分的财产以各自出资比例为基础综合考虑共同生活情况、有无共同子女、对财产的贡献大小等因素进行分割。
最高人民法院关于适用《中华人民共和国民法典》婚姻家庭编的解释（二）,,,,,第五条 婚前或者婚姻关系存续期间当事人约定将一方所有的房屋转移登记至另一方或者双方名下离婚诉讼时房屋所有权尚未转移登记双方对房屋归属或者分割有争议且协商不成的人民法院可以根据当事人诉讼请求结合给予目的综合考虑婚姻关系存续时间、共同生活及孕育共同子女情况、离婚过错、对家庭的贡献大小以及离婚时房屋市场价格等因素判决房屋归其中一方所有并确定是否由获得房屋一方对另一方予以补偿以及补偿的具体数额。婚前或者婚姻关系存续期间一方将其所有的房屋转移登记至另一方或者双方名下离婚诉讼中双方对房屋归属或者分割有争议且协商不成的如果婚姻关系存续时间较短且给予方无重大过错人民法院可以根据当事人诉讼请求判决该房屋归给予方所有并结合给予目的综合考虑共同生活及孕育共同子女情况、离婚过错、对家庭的贡献大小以及离婚时房屋市场价格等因素确定是否由获得房屋一方对另一方予以补偿以及补偿的具体数额。给予方有证据证明另一方存在欺诈、胁迫、严重侵害给予方或者其近亲属合法权益、对给予方有扶养义务而不履行等情形请求撤销前两款规定的民事法律行为的人民法院依法予以支持。
最高人民法院关于适用《中华人民共和国民法典》婚姻家庭编的解释（二）,,,,,第六条 夫妻一方未经另一方同意在网络直播平台用夫妻共同财产打赏数额明显超出其家庭一般消费水平严重损害夫妻共同财产利益的可以认定为民法典第一千零六十六条和第一千零九十二条规定的挥霍。另一方请求在婚姻关系存续期间分割夫妻共同财产或者在离婚分割夫妻共同财产时请求对打赏一方少分或者不分的人民法院应予支持。
最高人民法院关于适用《中华人民共和国民法典》婚姻家庭编的解释（二）,,,,,第七条 夫妻一方为重婚、与他人同居以及其他违反夫妻忠实义务等目的将夫妻共同财产赠与他人或者以明显不合理的价格处分夫妻共同财产另一方主张该民事法律行为违背公序良俗无效的人民法院应予支持并依照民法典第一百五十七条规定处理。夫妻一方存在前款规定情形另一方以该方存在转移、变卖夫妻共同财产行为严重损害夫妻共同财产利益为由依据民法典第一千零六十六条规定请求在婚姻关系存续期间分割夫妻共同财产或者依据民法典第一千零九十二条规定请求在离婚分割夫妻共同财产时对该方少分或者不分的人民法院应予支持。
最高人民法院关于适用《中华人民共和国民法典》婚姻家庭编的解释（二）,,,,,第八条 婚姻关系存续期间夫妻购置房屋由一方父母全额出资如果赠与合同明确约定只赠与自己子女一方的按照约定处理没有约定或者约定不明确的离婚分割夫妻共同财产时人民法院可以判决该房屋归出资人子女一方所有并综合考虑共同生活及孕育共同子女情况、离婚过错、对家庭的贡献大小以及离婚时房屋市场价格等因素确定是否由获得房屋一方对另一方予以补偿以及补偿的具体数额。婚姻关系存续期间夫妻购置房屋由一方父母部分出资或者双方父母出资如果赠与合同明确约定相应出资只赠与自己子女一方的按照约定处理没有约定或者约定不明确的离婚分割夫妻共同财产时人民法院可以根据当事人诉讼请求以出资来源及比例为基础综合考虑共同生活及孕育共同子女情况、离婚过错、对家庭的贡献大小以及离婚时房屋市场价格等因素判决房屋归其中一方所有并由获得房屋一方对另一方予以合理补偿。
最高人民法院关于适用《中华人民共和国民法典》婚姻家庭编的解释（二）,,,,,第九条 夫妻一方转让用夫妻共同财产出资但登记在自己名下的有限责任公司股权另一方以未经其同意侵害夫妻共同财产利益为由请求确认股权转让合同无效的人民法院不予支持但有证据证明转让人与受让人恶意串通损害另一方合法权益的除外。
最高人民法院关于适用《中华人民共和国民法典》婚姻家庭编的解释（二）,,,,,第十条 夫妻以共同财产投资有限责任公司并均登记为股东双方对相应股权的归属没有约定或者约定不明确离婚时一方请求按照股东名册或者公司章程记载的各自出资额确定股权分割比例的人民法院不予支持对当事人分割夫妻共同财产的请求人民法院依照民法典第一千零八十七条规定处理。
最高人民法院关于适用《中华人民共和国民法典》婚姻家庭编的解释（二）,,,,,第十一条 夫妻一方以另一方可继承的财产为夫妻共同财产、放弃继承侵害夫妻共同财产利益为由主张另一方放弃继承无效的人民法院不予支持但有证据证明放弃继承导致放弃一方不能履行法定扶养义务的除外。
最高人民法院关于适用《中华人民共和国民法典》婚姻家庭编的解释（二）,,,,,第十二条 父母一方或者其近亲属等抢夺、藏匿未成年子女另一方向人民法院申请人身安全保护令或者参照适用民法典第九百九十七条规定申请人格权侵害禁令的人民法院依法予以支持。抢夺、藏匿未成年子女一方以另一方存在赌博、吸毒、家庭暴力等严重侵害未成年子女合法权益情形主张其抢夺、藏匿行为有合理事由的人民法院应当告知其依法通过撤销监护人资格、中止探望或者变更抚养关系等途径解决。当事人对其上述主张未提供证据证明且未在合理期限内提出相关请求的人民法院依照前款规定处理。
最高人民法院关于适用《中华人民共和国民法典》婚姻家庭编的解释（二）,,,,,第十三条 夫妻分居期间一方或者其近亲属等抢夺、藏匿未成年子女致使另一方无法履行监护职责另一方请求行为人承担民事责任的人民法院可以参照适用民法典第一千零八十四条关于离婚后子女抚养的有关规定暂时确定未成年子女的抚养事宜并明确暂时直接抚养未成年子女一方有协助另一方履行监护职责的义务。
最高人民法院关于适用《中华人民共和国民法典》婚姻家庭编的解释（二）,,,,,第十四条 离婚诉讼中父母均要求直接抚养已满两周岁的未成年子女一方有下列情形之一的人民法院应当按照最有利于未成年子女的原则优先考虑由另一方直接抚养形者第二项等严重侵害未成年子女合法权益情形
