文件名,编,分编,章,节,内容
朔州市人民代表大会代表议案的提出和处理办法,,,第一章 总 则,,第一条 为了保障市人民代表大会代表以下简称代表依法提出议案权利做好代表议案工作充分发挥代表作用根据有关法律法规的规定结合本市实际制定本办法。
朔州市人民代表大会代表议案的提出和处理办法,,,第一章 总 则,,第二条 本办法所称代表议案是指市人民代表大会一个代表团或者代表十人以上联名向市人民代表大会提出的属于市人民代表大会职权范围内的议事原案。
朔州市人民代表大会代表议案的提出和处理办法,,,第一章 总 则,,第三条 代表提出议案是执行代表职务参加行使国家权力的一项重要工作。处理代表议案是有关机关或者机构的法定职责。
朔州市人民代表大会代表议案的提出和处理办法,,,第二章 代表议案的提出,,第四条 代表议案应当符合下列条件名在议案截止时间前向市人民代表大会提出当合理方案应当具体可行。制定或者修改地方性法规的议案应当附法规草案文本或者法规修正案草案文本及其说明并提供相关资料。
朔州市人民代表大会代表议案的提出和处理办法,,,第二章 代表议案的提出,,第五条 下列事项可以作为代表议案提出问题
朔州市人民代表大会代表议案的提出和处理办法,,,第二章 代表议案的提出,,第六条 下列事项不作为代表议案提出围内的事项人民政府处理的地方性事务
朔州市人民代表大会代表议案的提出和处理办法,,,第二章 代表议案的提出,,第七条 代表议案应当一事一案使用统一印制的代表议案专用纸亲笔签名同时提供电子文本。
朔州市人民代表大会代表议案的提出和处理办法,,,第二章 代表议案的提出,,第八条 代表应当通过视察、专题调研等活动深入实际调查研究提出议案。
朔州市人民代表大会代表议案的提出和处理办法,,,第二章 代表议案的提出,,第九条 代表十人以上联名提出议案应当在市人大常委会作出召开代表大会会议决定之日起至本次市人民代表大会主席团规定的代表提出议案截止时间前提出。代表联名提出议案应当有领衔代表领衔代表应当向参加联名附议的代表分别提供议案文本经附议人认真审阅同意后再签名附议有条件集体讨论的应当经过集体讨论取得一致意见后签名提出以示共同负责。
朔州市人民代表大会代表议案的提出和处理办法,,,第二章 代表议案的提出,,第十条 代表团提出议案应当经代表团全体会议充分讨论由代表团全体代表的过半数通过并由代表团团长签名。
朔州市人民代表大会代表议案的提出和处理办法,,,第二章 代表议案的提出,,第十一条 代表在市人民代表大会会议期间提出的议案应当由各代表团在议案截止时间前送交大会秘书处议案办公室。大会秘书处议案办公室应当对代表议案进行整理、分类和分析。对不符合基本要求的代表议案可以建议提议案人进行修改、完善或者建议提议案人改作代表建议、批评和意见提出。
朔州市人民代表大会代表议案的提出和处理办法,,,第三章 代表议案的审查,,第十二条 市人民代表大会会议期间大会设立议案审查委员会。议案审查委员会在主席团领导下负责对代表议案进行审查并提出代表议案审查结果的报告。议案审查委员会由主任委员、副主任委员一至二人和委员若干人组成其人选由市人大常委会主任会议从代表中提名市人大常委会会议通过后提请代表大会预备会议通过。
朔州市人民代表大会代表议案的提出和处理办法,,,第三章 代表议案的审查,,第十三条 大会秘书处议案办公室既是大会秘书处的工作机构又是议案审查委员会的办公室承办代表议案的具体事宜。
