文件名,编,分编,章,节,内容
杭州市大气污染防治规定,,,,,第一条 为了保护和改善环境防治大气污染保障公众健康推进生态文明建设促进经济社会可持续发展根据《中华人民共和国环境保护法》《中华人民共和国大气污染防治法》《浙江省大气污染防治条例》等有关法律、法规结合本市实际制定本规定。
杭州市大气污染防治规定,,,,,第二条 本规定适用于本市行政区域内的大气污染防治及其监督管理活动。
杭州市大气污染防治规定,,,,,第三条 各级人民政府对本行政区域内的大气环境质量负责。市人民政府应当根据国家和省有关规定制定具体考核办法将大气污染防治重点任务和大气环境质量改善目标完成情况作为对区、县市人民政府和市有关部门及其主要负责人考核的重1要内容。考核结果应当向社会公开。市人民政府应当严格执行大气污染防治问责制度。区、县市、乡镇人民政府及有关部门不执行大气污染防治法律、法规、规章或者未在规定期限内完成大气污染防治重点任务或者对重大大气污染突发环境事件处置不力以及有规定的其他情形的对区、县市、乡镇人民政府及有关部门的主要负责人按照有关规定进行问责。
杭州市大气污染防治规定,,,,,第四条 本市按照属地管理、分级负责、条块结合、无缝对接的原则组织实施大气污染防治网格化监督管理工作。区、县市人民政府依照乡镇、街道和社区、村的辖区划定网格利用市城市管理系统平台或者根据实际情况组建以乡镇、街道为单位的系统平台运用视频监控等手段开展大气污染防治精细化管理。乡镇人民政府和街道办事处对本辖区内大气污染防治网格化监督管理负责。各社区、村根据大气污染防治网格化监督管理的要求做好有关工作。大气污染防治网格化监督管理的具体办法由市人民政府制定。
杭州市大气污染防治规定,,,,,第五条 环境保护主管部门对大气污染防治实施统一监督管理。其他有关部门按照下列规定履行大气污染防治监督管理职责发展和改革、经济和信息化主管部门在各自职责范围内负责能源结构调整、产业结构调整和产业布局优化及相关监督管理工作总量控制推进煤炭清洁高效利用。市场监督管理、检验检疫、环境保护等部门在各自职责范围内对加工、销售、进口、使用的煤炭质量实施监督管理负责生产、进口、销售、使用燃煤燃油锅炉的监督管理车大气污染防治实施监督管理会同交通运输、建设、农业、绿化等部门对非道路移动机械的大气污染防治实施监督管理。环境保护、市场监督管理部门和检验检疫机构在各自职责范围内查处销售、进口超过大气污染物排放标准的机动车、非道路移动机械的行为舶大气污染防治的监督管理各自职责范围内对生产、销售、进口机动车船和非道路移动机械燃料、发动机油、氮氧化物还原剂、燃料和润滑油添加剂以及其他添加剂实施监督管理理。城市管理主管部门负责城区道路扬尘的监督管理。交通运输3主管部门负责港口码头贮存物料和作业扬尘的监督管理。建设主管部门负责建筑工地、市政基础设施建设工地扬尘的监督管理。城乡规划、国土资源、房屋征收部门在各自职责范围内负责建筑物拆除施工扬尘的监督管理。国土资源、环境保护主管部门在各自职责范围内负责矿产开采粉尘和矿山作业扬尘污染防治的监督管理。城市管理、水利等部门在各自职责范围内负责河道整治扬尘的监督管理综合利用的监督管理城市管理主管部门负责城市露天焚烧的监督管理饮服务业废气排放的监督管理法律、法规和本规定以及政府确定的职责分工在各自职责范围内实施。市和区、县市人民政府应当建立健全大气污染防治协调机制明确大气污染防治协调机构加强整体统筹协调督促有关部门依法履行监督管理职责。
杭州市大气污染防治规定,,,,,第六条 对超过重点大气污染物排放总量控制指标或者未完成大气环境质量改善目标的地区市环境保护主管部门应当会同市有关部门责令该地区人民政府的主要负责人说明情况并提出整改措施。市环境保护主管部门应当督促该地区人民政府采取措施落实有关要求并对整改情况进行监督检查。
杭州市大气污染防治规定,,,,,第七条 环境保护主管部门应当建立企业环境行为信息系统组织实施企业环境信用评价。环境保护主管部门和其他负有大气环境保护监督管理职责的部门应当及时在媒体上公布排污单位及其主要负责人的重大违法行为及处理情况。
杭州市大气污染防治规定,,,,,第八条 市人民政府应当积极参与国家和省大气污染物排放标准和技术规范的制定推动在本市实行更严格的大气污染物排放标准。国家、省未制定大气污染物排放标准和技术规范的市人民政府报经省人民政府同意后可以执行适用于本市的大气污染物排放标准和技术规范。
杭州市大气污染防治规定,,,,,第九条 市和县市人民政府应当划定并逐步扩大高污染燃料的禁燃区并向社会公布。在禁燃区内禁止销售、燃用高污染燃料禁止新建、扩建燃用高污染燃料的设施已建成的应当在规定期限内拆除或者改用清洁能源。禁燃区内的区、县市人民政府应当制定清洁能源改造计划并组织实施。在本市行政区域内禁止销售、使用石煤。5
杭州市大气污染防治规定,,,,,第十条 在本市行政区域内禁止销售、使用挥发性有机物含量超过本市执行的限值标准的产品。以下行业应当按照国家、省和市的规定开展挥发性有机物污染治理行业制品、化纤、合成革、制鞋、电子信息等行业挥发性有机物重点控制单位应当按照要求安装在线监测设施定期开展监测保证主要污染物达标排放。挥发性有机物重点控制单位由市环境保护主管部门确定并公布。
杭州市大气污染防治规定,,,,,第十一条 建筑装饰装修行业推广使用符合环境标志产品技术要求的建筑涂料及产品减少挥发性有机物排放。民用建筑内外墙体涂料应当使用水性涂料家庭装修倡导使用水性涂料。第十二条禁止在日照强烈时段露天实施大规模使用有机溶剂的作业。市环境保护主管部门应当会同有关部门根据挥发性有机物排放标准和行业特点制定挥发性有机物污染防治操作规程指导排污单位组织实施。
杭州市大气污染防治规定,,,,,第十三条 市人民政府可以根据城市发展规模和大气环境质量状况采取相应措施合理控制机动车保有量。
杭州市大气污染防治规定,,,,,第十四条 在本市行政区域内销售的机动车和非道路移动机械其大气污染物排放应当符合国家和省规定的排放标准环保关键部件配置应当与国家环保型式核准证书内容一致。市环境保护主管部门受上级环境保护主管部门委托可以会同经济和信息化、市场监督管理等部门通过现场抽样检查等形式实施抽检。在本市行政区域内不得销售因质量原因在耐久性期限内不能稳定达标的机动车和非道路移动机械。
杭州市大气污染防治规定,,,,,第十五条 在本市办理注册登记或者转入登记的机动车应当符合本市执行的机动车污染物排放标准环保关键部件配置应当与国家环保型式核准证书内容一致。对于未列入环保达标公告的机动车经认可的检测机构确认与本市执行的机动车污染物排放标准相当的方可在本市办理注册登记或者转入登记。
杭州市大气污染防治规定,,,,,第十六条 在本市行政区域内使用的非道路移动机械排放大气污染物不得超过规定的排放标准。非道路移动机械的所有者或者使用者应当向区、县市环境保护主管部门申报非道路移动机械的种类、数量、使用场所等情况定期参加排气检测。排放不合格的不得使用。承担非道路移动机械排气检测的检验机构应当向环境保护主7管部门联网报送检测信息。市人民政府可以根据大气环境质量状况划定并公布禁止使用高排放非道路移动机械类型、区域。第十七条机动车排放检验机构应当依法通过计量认证使用经依法检定合格的机动车排放检验设备按照有关规范开展机动车排放检验并向环境保护主管部门联网报送检验数据。机动车排放检验机构应当定期审查和完善管理体系保证其基本条件和技术能力持续符合资质认定条件和要求并确保管理体系有效运行。机动车排放检验机构不得参与经营车辆排气污染维修业务不得与车辆检测相关中介人员在检测和维修治理环节弄虚作假。
杭州市大气污染防治规定,,,,,第十八条 承担机动车排气污染控制系统维修的单位应当具备二类以上维修企业资质且应当向环境保护主管部门联网报送车辆排气污染控制系统维修信息。第十九条在本市行驶或者使用的机动车、船舶和非道路移动机械不得排放明显可见的黑烟。
杭州市大气污染防治规定,,,,,第二十条 机动车和非道路移动机械所有者或者使用者应当保持排放污染控制装置正常使用不得拆除、闲置或者擅自更改。机动车所有者或者使用者在车载排放诊断系统报警后应当及时对机动车进行维修确保车辆达到排放标准。本市客运出租汽车实施三元催化器定期更换制度确保达标排放。具体办法由市交通运输主管部门制定并组织实施。市环境保护行政主管部门可以根据大气污染防治工作的需要针对重型柴油车和非道路移动机械制定车载排放诊断系统在线接入管理办法并组织实施。机动车和非道路移动机械制造、进口、销售企业应当主动配合实施。
杭州市大气污染防治规定,,,,,第二十一条 市人民政府可以根据大气污染防治工作的需要决定在本市提前使用符合国家下一阶段机动车、船舶排放标准的车船用燃料提前实施更严格的车船用燃料质量标准。市场监督管理部门应当加强监督管理定期对车船用燃料的质量进行监督抽查并向社会公布抽查结果。在本市使用的船舶和非道路移动机械使用的燃料应当执行与机动车同等的标准。
杭州市大气污染防治规定,,,,,第二十二条 市和县市人民政府根据本行政区域大气环境质量状况和机动车排气污染程度可以采取限制、禁止机动车和非道路移动机械通行的类型、区域和时间、暂停核发渣土运输许可证等措施并向社会公告。市人民政府应当制定具体办法加强对绕城高速、风景名胜区等重点区域的机动车排气污染防治。
杭州市大气污染防治规定,,,,,第二十三条 环境保护主管部门应当会同交通运输、建设、农业、绿化等部门加强对非道路移动机械的大气污染防治的监督管理可以在非道路移动机械集中停放地、维修地、施工工地等9场地对非道路移动机械开展抽样检测。排放不合格的不得使用。
杭州市大气污染防治规定,,,,,第二十四条 从事房屋建筑、交通设施建设、市政工程建设、道路养护改善工程、建筑物拆除、水利工程建设、河道整治、园林绿化等易产生扬尘污染活动的建设单位应当将防治扬尘污染费用列入工程预算并在施工承包合同中明确施工单位防治扬尘污染的责任。施工单位应当制定具体的扬尘污染防治方案并按照施工技术规范中扬尘污染防治的要求文明施工控制扬尘污染。符合规定条件的建设工程施工单位应当按照规定安装扬尘在线监测设施。扬尘在线监测设施的安装和运行费用列入工程预算。符合规定条件的矿山、码头、场站、道路等经营者或者管理者应当按照规定安装扬尘在线监测设施并确保正常运行。扬尘在线监测具体办法由建设、国土资源、交通运输、环境保护等部门共同制定并组织实施。建设单位、施工单位及相关单位的扬尘违法行为及查处情况纳入企业信用评价系统。
杭州市大气污染防治规定,,,,,第二十五条 市和区、县市人民政府应当推进新型建筑工业化发展逐步提高装配式建筑占新建建筑的比例有效预防和减少建筑工地扬尘。
杭州市大气污染防治规定,,,,,第二十六条 城乡规划主管部门应当合理布局餐饮业。城市开发和改造应当规划和建设符合规定的一定比例的餐饮业专项配套用房鼓励设置相对集中的商业经营区域。在设计用于商业经营的建筑物时应当预留餐饮业专用烟道和废气、噪声等污染防治设施的安装位置。禁止在居民住宅楼、未配套设立专用烟道的商住综合楼以及商住综合楼内与居住层相邻的商业楼层内新建、改建、扩建产生油烟、异味、废气的餐饮服务项目。申请在上述区域从事餐饮服务的市场监督管理部门不得核发餐饮服务许可证和营业执照。排放油烟的餐饮服务业经营者应当安装油烟净化设施定期清洗、维护保持正常使用确保油烟达标排放。本市建立并逐步推行油烟处理设施由第三方服务机构建设、运行和维护的机制逐步实现对重点油烟排放企业的在线监测监控。任何单位和个人不得在当地人民政府禁止的区域内露天烧烤食品或者为露天烧烤食品提供场地。
杭州市大气污染防治规定,,,,,第二十七条 禁止露天焚烧秸秆、落叶等产生烟尘污染的物质。禁止露天焚烧沥青、油毡、橡胶、塑料、皮革、垃圾以及其他产生有毒有害烟尘和恶臭气体的物质。乡镇人民政府和街道办事处应当对辖区内的露天焚烧行为组织巡查发现后及时予以制止并按照网格化管理的要求向有关部门报告。
杭州市大气污染防治规定,,,,,第二十八条 市和县市人民政府应当根据重污染天气预11警等级及时启动应急预案并按照预警级别采取相应应急响应措施因举办重大国际活动的需要市人民政府可以决定在部分地区采取前款规定的措施。
杭州市大气污染防治规定,,,,,第二十九条 违反本规定第十条第一款规定在本市行政区域内销售挥发性有机物含量超过限值标准的产品的由市场监督管理部门责令改正没收产品和违法所得处货值金额一倍以上三倍以下的罚款。违反本规定第十条第二款和第三款规定未按照国家、省和市规定开展挥发性有机物治理挥发性有机物重点控制单位未按要求安装在线监控设施的由环境保护主管部门责令改正处二万以上二十万元以下的罚款拒不改正的责令停产整治。
杭州市大气污染防治规定,,,,,第三十条 违反本规定第十一条第二款规定使用不符合规定的涂料的由建设主管部门责令改正对单位处一万元以上十万元以下的罚款对个人处五百元以上二千元以下的罚款。
杭州市大气污染防治规定,,,,,第三十一条 违反本规定第十二条第一款规定在日照强烈时段露天开展大规模使用有机溶剂的作业行为的由环境保护主管部门责令停止作业处一万以上十万元以下的罚款。
杭州市大气污染防治规定,,,,,第三十二条 违反本规定第十六条第四款规定在禁止使用高排放非道路移动机械的区域使用高排放非道路移动机械的由建设、农业、交通运输、环境保护等部门按照各自职责责令停止违法行为对使用人处一万元以上十万元以下的罚款。
杭州市大气污染防治规定,,,,,第三十三条 机动车排放检验机构在检测过程中弄虚作假有下列行为之一的由环境保护主管部门没收违法所得并处十万元以上五十万元以下的罚款情节严重的由负责资质认定的部门取消其检验资格结果的
杭州市大气污染防治规定,,,,,第三十四条 违反本规定第十八条规定承担机动车排气污13染控制系统维修的机动车维修单位未向环境保护主管部门联网报送车辆排气污染控制系统维修信息的由环境保护主管部门责令限期改正逾期不改正的对维修单位处每辆机动车一千元罚款。
杭州市大气污染防治规定,,,,,第三十五条 违反本规定第十九条规定在本市行驶的机动车排放明显可见黑烟的由公安机关交通管理部门责令停车检查发现机动车未取得安全技术检验合格标志的应当依法扣留机动车并依法予以处罚在安全技术检验有效期限内的应当通知环境保护主管部门进行排气检测排气检测不合格的由环境保护主管部门责令机动车所有人或者使用人限期维修并重新进行检测。逾期不维修或者重新检测不合格的不得上道路行驶。环境保护主管部门应当将相关材料通报公安机关交通管理部门。在本市行驶的船舶排放明显可见黑烟的由交通运输、海事、渔业等主管部门责令维修经维修仍不符合规定排放标准的不得运营。在本市使用的非道路移动机械排放明显可见黑烟的由建设、农业、交通运输等部门按照职责责令维修经维修仍不符合规定排放标准的不得使用。
杭州市大气污染防治规定,,,,,第三十六条 违反本规定第二十条第二款规定机动车所有者或者使用者在车载排放诊断系统报警后未对机动车进行维修车辆行驶超过二百公里的由环境保护主管部门责令改正处三百元罚款。
杭州市大气污染防治规定,,,,,第三十七条 违反本规定第二十一条第三款规定使用不符合要求的船舶和非道路移动机械用燃料的由交通运输、海事、渔业、建设、农业、环境保护等部门按照职责处一万元以上十万元以下的罚款。
杭州市大气污染防治规定,,,,,第三十八条 违反本规定第二十四条第一款规定建设单位未将防治扬尘污染的费用列入工程预算即开工建设或者未在工程施工承包合同中明确施工单位扬尘污染防治责任的由建设等部门责令停止施工。违反本规定第二十四条第二款规定施工现场未采取有效扬尘污染防治措施未按规定安装扬尘在线监控设施的由建设、交通运输、城市管理、水利、绿化等部门按照职责责令改正处一万元以上十万元以下的罚款拒不改正的责令停工整治。违反本规定第二十四条第三款规定矿山、码头、场站、道路等经营者或者管理者未按规定安装扬尘在线监测设施的由环境保护等部门按照职责责令改正处一万元以上十万元以下的罚款拒不改正的责令停工整治或者停业整治。
杭州市大气污染防治规定,,,,,第三十九条 违反本规定第二十七条第一款规定露天焚烧沥青、油毡、橡胶、塑料、皮革、垃圾以及其他产生有毒有害烟尘和恶臭气体的物质的由城市管理行政执法部门责令改正对单位处一万元以上十万元以下的罚款对个人处五百元以上二千元以下的罚款。15
杭州市大气污染防治规定,,,,,第四十条 本规定自公布之日起施行。
