文件名,编,分编,章,节,内容
杭州市建筑垃圾管理条例,,,第一章 总 则,,第一条 为了加强建筑垃圾管理促进源头减量和综合利用保护和改善生态环境根据《中华人民共和国固体废物污染环境防治法》、《浙江省固体废物污染环境防治条例》和其他有关法律、法规结合本市实际制定本条例。
杭州市建筑垃圾管理条例,,,第一章 总 则,,第二条 本市行政区域内建筑垃圾的产生、收集、贮存、运输、利用、处置等活动及其监督管理适用本条例。本条例所称建筑垃圾是指建设单位、施工单位新建、改建、扩建和拆除各类建筑物、构筑物、管网等以及居民装饰装修房屋过程中产生的弃土、弃料和其他固体废物。
杭州市建筑垃圾管理条例,,,第一章 总 则,,第三条 建筑垃圾管理遵循减量化、资源化、无害化和谁产生、谁负责、谁付费的原则实行统筹协调、属地负责、分类处理、全程监管的管理体系。
杭州市建筑垃圾管理条例,,,第一章 总 则,,第四条 市和区、县市人民政府应当加强对建筑垃圾管理工作的领导将建筑垃圾管理工作纳入国民经济和社会发展规划纲要、计划协调解决管理工作中的重大问题建立建筑垃圾协同监管机制督促有关部门依法履行监督管理职责。乡镇人民政府、街道办事处应当按照规定做好本辖区内建筑垃圾日常管理工作。
杭州市建筑垃圾管理条例,,,第一章 总 则,,第五条 环境卫生主管部门负责对建筑垃圾污染环境防治工作实施统一监督管理建立建筑垃圾全过程分类管理制度加强建筑垃圾管理工作的统筹协调和指导督促依法对相关违法行为进行处理。公安机关负责建筑垃圾运输车辆道路交通安全行为的监督管理依法对运输车辆的道路交通安全违法行为进行处理。交通运输主管部门负责依法对建筑垃圾运输违反道路水路运输管理相关规定的行为进行处理。生态环境主管部门负责依法对建筑垃圾跨省贮存、利用、处置但未履行批准或者备案手续的行为进行处理。城乡建设、交通运输、林业、水利、农业农村、城市绿化等部门按照各自职责做好本行业建筑垃圾源头减量、分类利用等活动的指导和监督管理工作。发展和改革、规划和自然资源、财政、经济和信息化、市场监督管理、住房保障和房产管理、数据资源等部门按照各自职责和本条例规定做好相关工作。
杭州市建筑垃圾管理条例,,,第一章 总 则,,第六条 市人民政府按照谁受益、谁补偿的原则建立建筑垃圾跨区、县市处置补偿机制。区、县市人民政府应当根据本行政区域建筑垃圾管理目标和总量控制目标编制建筑垃圾处置年度工作方案实现区域建筑垃圾年度产生总量和处置总量的平衡。确需跨区、县市处置的市环境卫生主管部门应当加强统筹协调。有关区、县市人民政府应当按照要求落实建筑垃圾应急保障场地。
杭州市建筑垃圾管理条例,,,第一章 总 则,,第七条 单位和个人不得随意倾倒、抛撒或者堆放建筑垃圾。处置建筑垃圾的应当按照国家有关规定向环境卫生主管部门申请处置核准。因抢险、救灾等应急处置措施需要排放建筑垃圾的按照应急管理有关规定处理但是应当在险情、灾情消除后二十四小时内书面报告环境卫生主管部门。禁止将建筑垃圾交由未取得处置核准的单位或者个人处置。
杭州市建筑垃圾管理条例,,,第二章 规划和建设,,第八条 市和区、县市人民政府应当按照国家和省的有关规定制定建筑垃圾污染环境防治工作规划。
杭州市建筑垃圾管理条例,,,第二章 规划和建设,,第九条 市和县市环境卫生主管部门会同规划和自然资源、交通运输等部门编制环境卫生专项规划时应当明确建筑垃圾中转场地、利用处置场所的设施布局、规模和用地面积并与国土空间详细规划做好衔接。
杭州市建筑垃圾管理条例,,,第二章 规划和建设,,第十条 市和县市人民政府组织规划和自然资源等部门根据城乡建设需要和国家相关标准、规范编制城乡建设用地竖向规划时应当通过优化城市建设规划标高为减少建筑垃圾排放、促进建筑垃圾直接利用创造条件。
