文件名,编,分编,章,节,内容
株洲市文明行为促进条例,,,,,第一条 为了培育和践行社会主义核心价值观引导和促进文明行为提升社会文明程度建设新时代更高水平文明株洲根据有关法律、法规结合本市实际制定本条例。
株洲市文明行为促进条例,,,,,第二条 文明行为促进工作坚持党委领导、政府推动、社会协同、公众参与遵循法治与德治相结合、倡导与治理相结合、激励与惩戒相结合的原则。
株洲市文明行为促进条例,,,,,第三条 文明行为促进工作应当弘扬炎帝文化、红色文化、工业文化开展株事有礼文明实践活动培育文明新风建设幸福株洲。
株洲市文明行为促进条例,,,,,第四条 市、县市、区人民政府应当将文明行为促进工作纳入国民经济和社会发展规划明确有关部门负责文明行为促进工作的具体职责对属于公共财政支出范围的文明行为促进工作经费给予保障。市、县市、区精神文明建设工作机构负责文明行为促进具体工作的统筹、指导、协调和监督。市、县市、区人民政府有关部门应当采取宣传引导、示范引领、整治规范等措施在职责范围内做好文明行为促进工作。乡镇人民政府、街道办事处应当在职责范围内负责本辖区内的文明行为促进工作。
株洲市文明行为促进条例,,,,,第五条 工会、共青团、妇联等群团组织企业事业单位以及其他社会组织应当积极参与文明行为促进工作将文明行为规范纳入本行业、本单位的职业规范要求。学校应当将文明行为培养纳入教育教学加强社会主义核心价值观和中华优秀传统文化教育提升学生文明素养。村居民委员会应当发挥基层群众性自治组织作用将文明行为规范纳入村规民约、居民公约健全村居民议事会、红白理事会、道德评议会等机制推进移风易俗抵制不文明行为。
株洲市文明行为促进条例,,,,,第六条 公民应当遵守宪法和法律法规遵守公序良俗积极支持、参与文明行为促进工作践行下列文明规范遵纪守法为主要内容的社会公德奉献社会为主要内容的职业道德邻里互助为主要内容的家庭美德自强自律为主要内容的个人品德。
株洲市文明行为促进条例,,,,,第七条 报刊、广播、电视、网络等公共媒体应当积极传播文明理念刊播公益广告宣传文明行为典型事迹和先进人物依法曝光不文明行为。公共场所的广告设施和公共交通广告媒介应当按照规定刊播文明行为公益广告。自媒体应当依法上网、文明上网弘扬真善美传播文明理念营造全社会促进文明行为的氛围。鼓励自媒体创作、传播积极健康、崇德向善的文化产品。
株洲市文明行为促进条例,,,,,第八条 市、县市、区人民政府及其有关部门应当科学规划、合理布局逐步完善下列公共设施加强维护管理提供文明、便捷、高效的公共服务文化馆站、体育场馆等文化体育设施标志标线、道路指示牌等市政设施充电桩等设施所的母婴室、急救设施等便民设施市、县市、区人民政府及其有关部门应当建立公众参与制度组织引导公众参与公共设施的规划、建设和管理工作听取公众意见主动接受公众监督。
株洲市文明行为促进条例,,,,,第九条 国家机关应当在文明行为促进工作中发挥表率和示范作用制定文明服务规范每年定期开展文明教育培训提升文明服务水平。国家机关工作人员应当带头示范以文明形象引领社会风尚。行政执法机关及其执法人员应当文明执法坚持教育与处罚相结合的原则对轻微违法行为可以采取教育、提醒、劝导等方式执法。除涉密单位以外国家机关应当在夜间、双休日、法定节假日向社会公众有序开放停车场。鼓励有条件的国家机关在其他时段向社会公众常态化开放停车场。鼓励国家机关、企业事业单位、社会团体和其他社会组织向社会公众开放文化体育等内部设施利用本单位场所、设施设立便民服务点为环卫工人、快递人员、建筑工人等户外劳动者和其他需要帮助的人员提供便民服务。
株洲市文明行为促进条例,,,,,第十条 金融、通信、医院、供水、供电、供气等提供公共服务的窗口单位应当提高服务效率和服务质量创建文明服务品牌。宾馆、商场、餐饮、车站、体育场馆、娱乐场所等经营场所、公共场所在提供服务过程中应当结合行业文明规范主动宣传文明礼仪采取口头提示等方式引导文明行为以合理、适度的方式劝阻不文明行为。本条第一款和第二款所列窗口单位、经营场所、公共场所文明行为促进工作成效明显的有关行业主管部门应当结合工作实际给予鼓励和支持。
株洲市文明行为促进条例,,,,,第十一条 市精神文明建设工作机构应当会同有关部门建立文明行为激励机制。实施下列行为对社会贡献较大的应当给予表彰奖励见义勇为行为疗救助等公益活动基层治理等志愿服务活动实施前款行为被中央、省、市表彰表扬为道德模范、身边好人等道德典型的应当在基本医疗、公共出行、游览参观等方面给予礼遇。
株洲市文明行为促进条例,,,,,第十二条 任何单位和个人有权对不文明行为进行劝阻、制止可以向政务服务便民热线或者有关主管部门投诉、举报。因劝阻、制止不文明行为合法权益受到侵害的公安机关应当查清事实依法处理申请法律援助的法律援助机构应当提供援助。因劝阻、制止不文明行为导致其本人或者家庭生活困难的应当给予帮扶。具体帮扶办法由市人民政府制定。
株洲市文明行为促进条例,,,,,第十三条 对社会反映强烈、群众反映集中的突出不文明行为实行重点治理。市精神文明建设工作机构应当会同有关部门征求公众意见结合实际情况制定年度不文明行为重点治理清单并向社会公布。市、县市、区人民政府及其有关部门应当根据不文明行为重点治理清单开展重点监管和专项治理。
株洲市文明行为促进条例,,,,,第十四条 有关单位及其工作人员在文明行为促进工作中不履行职责或者不正确履行职责的由其所在单位、主管部门、上级机关或者监察机关依法依规处理。
株洲市文明行为促进条例,,,,,第十五条 本条例自 2025 年 1 月 1 日起施行。
