文件名,编,分编,章,节,内容
武汉市禁止生产销售使用含磷洗涤用品规定,,,,,第一条 为减少磷排放防治水污染改善水环境质量根据有关法律法规结合本市实际制定本规定。
武汉市禁止生产销售使用含磷洗涤用品规定,,,,,第二条 在本市行政区域内禁止生产、销售和使用含磷洗涤用品。
武汉市禁止生产销售使用含磷洗涤用品规定,,,,,第三条 本规定所称含磷洗涤用品是指总磷酸盐含量以五氧化二磷计超过国家标准的洗涤用品。
武汉市禁止生产销售使用含磷洗涤用品规定,,,,,第四条 市、区人民政府含开发区、风景区下同应当采取措施禁止生产、销售和使用含磷洗涤用品推广使用无磷洗涤用品。
武汉市禁止生产销售使用含磷洗涤用品规定,,,,,第五条 市、区环境保护主管部门对本辖区内禁止生产、销售和使用含磷洗涤用品实施统一监督管理并负责禁止工业企业在生产中使用含磷洗涤用品的日常监督管理。质量技术监督部门负责禁止生产含磷洗涤用品的日常监督管理。工商行政管理部门负责禁止销售含磷洗涤用品并会同有关主管部门实施禁止服务业经营者使用含磷洗涤用品开展经营性服务活动的日常监督管理。发展改革、环境保护部门负责对本市涉磷工业企业开展的清洁生产审核进行监督管理。经济和信息化、商务、旅游、卫生计生、交通运输、水务等部门按照各自职责配合做好禁止生产、销售和使用含磷洗涤用品相关工作。
武汉市禁止生产销售使用含磷洗涤用品规定,,,,,第六条 市、区人民政府相关部门应当按照各自职责对生产、销售和在生产经营中使用洗涤用品进行监督检查并将检查情况以及处理结果及时向社会公布。
武汉市禁止生产销售使用含磷洗涤用品规定,,,,,第七条 本市禁止新建、改建或者扩建生产含磷洗涤用品的建设项目。既有生产含磷洗涤用品的企业由所在地的区人民政府责令限期整改或者转产。
武汉市禁止生产销售使用含磷洗涤用品规定,,,,,第八条 在本市销售的无磷洗涤用品应当在产品包装的显著位置标注无磷标识。
武汉市禁止生产销售使用含磷洗涤用品规定,,,,,第九条 本市行政区域内的单位和个人应当使用无磷洗涤用品。
武汉市禁止生产销售使用含磷洗涤用品规定,,,,,第十条 在本市行政区域内禁止发布宣传含磷洗涤用品的广告。市、区人民政府相关部门和新闻媒体应当加强对使用无磷洗涤用品的宣传引导增强公众环保意识。
武汉市禁止生产销售使用含磷洗涤用品规定,,,,,第十一条 任何单位和个人有权对违反本规定生产、销售和使用含磷洗涤用品的行为进行举报和投诉。环境保护、质量技术监督、工商行政管理等相关部门应当及时受理并依法查处。
武汉市禁止生产销售使用含磷洗涤用品规定,,,,,第十二条 违反本规定生产、销售含磷洗涤用品的由质量技术监督部门和工商行政管理部门按照各自职责责令其停止生产、销售没收违法生产、销售的产品并处违法生产、销售产品货值金额等值以上三倍以下的罚款有违法所得的并处没收违法所得。
武汉市禁止生产销售使用含磷洗涤用品规定,,,,,第十三条 违反本规定服务业经营者使用含磷洗涤用品开展经营性服务的由工商行政管理部门或者有关主管部门予以警告责令其停止使用对个人可处一千元以上五千元以下罚款对单位可处五千元以上一万元以下罚款。
武汉市禁止生产销售使用含磷洗涤用品规定,,,,,第十四条 违反本规定工业企业在生产中使用含磷洗涤用品的由环境保护部门予以警告责令其停止使用并处五千元以上一万元以下罚款情节严重的处一万元以上三万元以下罚款。
武汉市禁止生产销售使用含磷洗涤用品规定,,,,,第十五条 环境保护部门或者其他依照本规定行使监督管理权的部门发现违反本规定行为或者接到对违反本规定行为的举报后不予查处的或者有其他未依照本规定履行职责的行为的对直接负责的主管人员和其他直接责任人员由其所在单位或者监察机关给予行政处分涉嫌犯罪的依法移送司法机关处理。
武汉市禁止生产销售使用含磷洗涤用品规定,,,,,第十六条 本规定所称开发区是指武汉东湖新技术开发区、武汉经济技术开发区风景区是指武汉市东湖生态旅游风景区。
武汉市禁止生产销售使用含磷洗涤用品规定,,,,,第十七条 本规定自 2018 年 2 月 1 日起施行。
