文件名,编,分编,章,节,内容
毕节市地方立法条例,,,第一章 总 则,,第一条 为了规范地方立法活动发挥立法的引领和推动作用提高立法质量维护法制统一全面推进依法治市根据宪法和《中华人民共和国地方各级人民代表大会和地方各级人民政府组织法》《中华人民共和国立法法》《贵州省地方立法条例》等有关法律、法规的规定结合本市实际制定本条例。
毕节市地方立法条例,,,第一章 总 则,,第二条 本条例适用于市人民代表大会及其常务委员会制定、修改、废止和解释地方性法规市人民政府制定的规章备案审查以及其他相关立法活动。
毕节市地方立法条例,,,第一章 总 则,,第三条 制定地方性法规应当遵循以下原则泽东思想、邓小平理论、三个代表重要思想、科学发展观、习近平新时代中国特色社会主义思想为指导理念行政法规和省地方性法规相抵触依照法定权限和程序维护社会主义法制的统一、尊严、权威民多形式、多途径参与立法活动尊重和保障人权保障和促进社会公平正义地规定公民、法人和其他组织的权利与义务、国家机关的权力与责任德治国相结合铸牢中华民族共同体意识推动社会主义精神文明建设善法治相统一引导、推动、规范、保障相关改革发挥法治在国家治理体系和治理能力现代化中的重要作用方特色具有实施性、补充性、探索性。
毕节市地方立法条例,,,第一章 总 则,,第四条 市人民代表大会及其常务委员会加强对立法工作的组织协调发挥在立法工作中的主导作用。市人民代表大会法制委员会以下简称法制委负责地方性法规草案的统一审议工作市人民代表大会常务委员会法制工作委员会以下简称法工委负责办理地方立法综合事务。
毕节市地方立法条例,,,第一章 总 则,,第五条 市人民代表大会及其常务委员会依法可以对城乡建设与管理、生态文明建设、历史文化保护、基层治理等方面的事项制定地方性法规。法律对设区的市制定地方性法规的事项另有规定的从其规定。
毕节市地方立法条例,,,第一章 总 则,,第六条 涉及本行政区域内特别重大事项、市人民代表大会职权范围内的事项以及市人民代表大会认为应当由其制定的地方性法规由市人民代表大会制定。在市人民代表大会闭会期间市人民代表大会常务委员会规进行部分修改但是不得同该地方性法规的基本原则相抵触。
毕节市地方立法条例,,,第一章 总 则,,第七条 市人民代表大会及其常务委员会立法工作经费应当列入本级财政预算。
毕节市地方立法条例,,,第二章 立法准备,,第八条 市人民代表大会及其常务委员会通过五年立法规划、年度立法计划等形式加强对立法工作的统筹安排。五年立法规划和年度立法计划由市人民代表大会常务委员会主任会议以下简称主任会议通过并向社会公布并报送省人民代表大会常务委员会。法工委负责编制五年立法规划和拟订年度立法计划的具体工作并按照常务委员会的要求督促五年立法规划和年度立法计划的落实。
毕节市地方立法条例,,,第二章 立法准备,,第九条 编制五年立法规划和年度立法计划应当向社会公告并书面向市人民代表大会代表、县市、区人民代表大会常务委员会和有关单位征集立法项目建议。市人民代表大会有关专门委员会、法工委应当分别对立法建议项目进行初步审查提出是否列入五年立法规划和年度立法计划的意见。
毕节市地方立法条例,,,第二章 立法准备,,第十条 立法建议项目列入五年立法规划和年度立法计划前可以邀请相关领域专家学者、市人民代表大会代表、市政协委员和有关单位负责人等参加立法建议项目的论证。
毕节市地方立法条例,,,第二章 立法准备,,第十一条 法工委应当认真研究代表议案和建议广泛征集意见科学论证评估根据经济社会发展和民主法治建设的需要提出五年立法规划草案和年度立法计划草案。
毕节市地方立法条例,,,第二章 立法准备,,第十二条 编制五年立法规划应当在本届常务委员会任期的第一年内完成编制年度计划应当在当年第一季度内完成。
毕节市地方立法条例,,,第二章 立法准备,,第十三条 五年立法规划和年度立法计划需要进行调整的由主任会议决定。
毕节市地方立法条例,,,第二章 立法准备,,第十四条 法规草案由提案人组织起草。综合性、全局性、基础性的法规草案可以由市人民代表大会有关专门委员会或者法工委组织起草。专业性较强的法规草案可以邀请相关领域的专家参与起草工作或者委托有关专家、教学科研单位和社会组织起草。市人民代表大会有关专门委员会、法工委应当提前参与有关单位组织的法规草案调研、论证、征求意见等工作。
毕节市地方立法条例,,,第二章 立法准备,,第十五条 起草单位应当制定起草方案成立起草小组确定人员、明确责任保证起草进度和质量。
毕节市地方立法条例,,,第二章 立法准备,,第十六条 起草法规草案应当通过多种途径广泛征求和听取社会各方面意见。立法事项涉及相关利益群体的应当听取相关利益群体代表的意见。对立法中涉及的主要矛盾和焦点问题应当专题调研。
毕节市地方立法条例,,,第二章 立法准备,,第十七条 法规草案的起草应当符合以下要求
毕节市地方立法条例,,,第三章 市人民代表大会立法程序,,第十八条 市人民代表大会主席团以下简称主席团可以向市人民代表大会提出法规案由市人民代表大会会议审议。常务委员会、市人民政府、市人民代表大会各专门委员会可以向市人民代表大会提出法规案由主席团决定列入会议议程。
毕节市地方立法条例,,,第三章 市人民代表大会立法程序,,第十九条 一个代表团或者十名以上代表联名可以向市人民代表大会提出法规案由主席团决定是否列入会议议程或者先交市人民代表大会有关专门委员会审议提出是否列入会议议程的建议再由主席团决定是否列入会议议程。市人民代表大会专门委员会审议时可以邀请提案人列席会议发表意见。
毕节市地方立法条例,,,第三章 市人民代表大会立法程序,,第二十条 向市人民代表大会提出的法规案在市人民代表大会闭会期间可以先向常务委员会提出经常务委员会会议审议后决定提请市人民代表大会审议由常务委员会或者提案人向大会全体会议作说明。常务委员会依照前款规定审议法规案应当通过多种形式征求市人民代表大会代表的意见并将有关情况予以反馈。可以将法规草案发送市人民政府、市中级人民法院、市人民检察院、以及其他有关机关、组织、专家和群体代表征求意见。市人民代表大会专门委员会和工作机构进行立法调研可以邀请有关市人民代表大会代表参加。
毕节市地方立法条例,,,第三章 市人民代表大会立法程序,,第二十一条 常务委员会决定提请市人民代表大会会议审议的法规案应当在会议举行的三十日前将法规草案发给代表并可以适时组织代表研读讨论征求代表的意见。
毕节市地方立法条例,,,第三章 市人民代表大会立法程序,,第二十二条 列入市人民代表大会会议议程的法规案大会全体会议听取提案人的说明后由各代表团进行审议。审议时提案人应当派人听取意见回答询问有关机关、组织应当根据代表团的要求派人介绍情况。
毕节市地方立法条例,,,第三章 市人民代表大会立法程序,,第二十三条 列入市人民代表大会会议议程的法规案由市人民代表大会有关专门委员会进行审议向主席团提出审议意见并印发会议。市人民代表大会有关专门委员会审议法规案时可以邀请提案人列席会议发表意见涉及专业性问题可以邀请有关方面的代表和专家列席会议发表意见。
毕节市地方立法条例,,,第三章 市人民代表大会立法程序,,第二十四条 列入市人民代表大会会议议程的法规案由法制委根据各代表团和市人民代表大会有关专门委员会的审议意见对法规案进行统一审议向主席团提出审议结果报告和法规草案修改稿经主席团会议审议通过后印发会议。对市人民代表大会有关专门委员会和各代表团的重要不同意见应当在审议结果报告中予以说明。
毕节市地方立法条例,,,第三章 市人民代表大会立法程序,,第二十五条 法规草案修改稿经各代表团审议由法制委根据各代表团的审议意见进行修改提出法规草案表决稿由主席团提请大会全体会议表决由全体代表的过半数通过。
毕节市地方立法条例,,,第三章 市人民代表大会立法程序,,第二十六条 法规案在审议中有重大问题需要进一步研究的经主席团提出由大会全体会议决定可以授权常务委员会根据代表的意见作进一步审议作出决定并将决定情况向下一次市人民代表大会会议报告也可以授权常务委员会根据代表的意见进一步审议提出修改方案提请下一次市人民代表大会会议审议决定。
毕节市地方立法条例,,,第三章 市人民代表大会立法程序,,第二十七条 法规案在列入市人民代表大会会议议程前提案人有权撤回。法规案在交付表决前提案人要求撤回的应当说明理由经主席团同意并向大会报告对该法规案的审议即行终止。
毕节市地方立法条例,,,第四章 市人民代表大会常务委员会立法程序,,第二十八条 主任会议可以向常务委员会提出法规案由常务委员会会议审议。
毕节市地方立法条例,,,第四章 市人民代表大会常务委员会立法程序,,第二十九条 市人民政府、市人民代表大会有关专门委员会可以向常务委员会提出法规案由主任会议决定提请常务委员会会议审议或者先交市人民代表大会有关专门委员会审议、提出报告再决定提请常务委员会会议审议。
