文件名,编,分编,章,节,内容
永州市森林火源管理若干规定,,,,,第一条 为加强森林火源管理预防森林火灾根据有关法律法规结合本市实际制定本规定。
永州市森林火源管理若干规定,,,,,第二条 本规定适用于本市行政区域内森林防火区火源管理活动。本规定所称森林防火区是指林地及距离林地边缘不少于 30米范围内的区域。本市森林防火区分为重点森林防火区、一般森林防火区。重点森林防火区是指自然保护地、国有林场、风景名胜区、重要军事设施、革命纪念地和具有重要生态价值的大面积天然林、公益林、集体经济林区一般森林防火区是指重点森林防火区以外的森林防火区。重点森林防火区和一般森林防火区的范围由县级人民政府划定向社会公布报市人民政府备案。
永州市森林火源管理若干规定,,,,,第三条 市、县级人民政府负责组织、协调和指导本行政区域内森林防火区火源管理工作。市、县级人民政府林业主管部门负责本行政区域内森林防火区火源的管控和监督工作。应急管理、公安、农业农村、生态环境、气象、工信、文旅广体、交通运输等有关部门按照职责分工负责有关的森林火源管理工作。乡镇人民政府、街道办事处负责本辖区内的森林防火区火源管控具体工作。村居民委员会协助做好本辖区内有关森林火源管控工作。自然保护地、国有林场、风景名胜区、重要军事设施、革命纪念地等管理机构以及森林、林木、林地的经营单位和个人负责其管理经营范围内火源日常管理工作。森林防火区内的公路、铁路、电力、通信线路及设备、石油天然气管道等的经营主体单位及工矿企业应当公布故障报警电话开展日常检查及时检测检修加强输配线路森林防火通道维护管理消除火灾隐患。
永州市森林火源管理若干规定,,,,,第四条 本市重点森林防火区全年为森林防火期实行全年森林防火一般森林防火区应当由县级人民政府根据实际情况规定森林防火期并向社会公布。县级人民政府可以根据气象等级和防火需要规定森林高火险期并向社会公布。
永州市森林火源管理若干规定,,,,,第五条 重点森林防火区内的村居民应当确保生活用火安全。禁止外来人员携带火种火源进入。禁止野外用火确因防治病虫鼠害、冻害、造林抚育、工程建设等特殊情况需用火的应当经县级人民政府批准。一般森林防火区在森林防火期内禁止野外用火。确因特殊情况需用火的由县级人民政府委托乡镇人民政府、街道办事处批准。经批准野外用火的用火单位或者个人应当组织监烧和检查清理火场审批单位应当进行指导和监督确保明火和火星彻底熄灭严防失火。森林防火区用火批准程序由县级人民政府制定。
永州市森林火源管理若干规定,,,,,第六条 县级人民政府应当推动乡镇、村社区建立联防工作机制鼓励村居民委员会将绿色祭祀、文明祭祀、安全祭祀等纳入村规民约推行鲜花祭祀、带水祭祀落实群防群治和网格化管理措施加强森林防火区火源管理。县级人民政府应当制定森林防火区违规用火举报奖励办法。
永州市森林火源管理若干规定,,,,,第七条 县级人民政府应当组织林业、应急管理、农业农村、交通运输、生态环境、气象、消防等部门在确保安全的情况下采取计划烧除方式清除林缘易燃物消除火灾隐患。
永州市森林火源管理若干规定,,,,,第八条 在春节、元宵、清明、中元等传统民俗拜祭节日期间县级人民政府可以决定在自然保护地、国有林场、风景名胜区、重要军事设施、革命纪念地等地设立临时森林火源检查劝导站对进入森林防火区的人员和车辆进行火源检查对携带的火种、易燃易爆物品及其他可能引起森林火灾的物品实行集中保管。任何单位和个人应当积极配合不得拒绝、阻碍检查劝导。
永州市森林火源管理若干规定,,,,,第九条 县级人民政府及其有关行政主管部门、乡镇人民政府和街道办事处对森林防火区火源管理不落实主体责任执法不严的由相应主管机关责令改正造成严重后果的对主管领导和直接责任人员依法给予处分。用火审批单位公路、铁路、电力、通信线路及设备、石油天然气管道等的经营主体单位和工矿企业及其工作人员玩忽职守造成森林火灾的依法追究责任。
永州市森林火源管理若干规定,,,,,第十条 任何单位和个人违反本规定森林防火期内未经批准擅自在森林防火区内野外用火未引起森林火灾的由乡镇人民政府和街道办事处责令停止违法行为给予警告对个人并处二百元以上二千元以下罚款对单位并处一万元以上三万元以下罚款引起森林火灾的对个人处二千元以上三千元以下罚款对单位处三万元以上五万元以下罚款造成损失的依法承担赔偿责任构成犯罪的依法追究刑事责任。
永州市森林火源管理若干规定,,,,,第十一条 本规定自 2024 年 1 月 1 日起实施。
