文件名,编,分编,章,节,内容
永州市饮用水水源地保护规定,,,,,第一条 为了加强饮用水水源地保护保障饮用水安全维护人民群众身体健康根据《中华人民共和国水污染防治法》《湖南省饮用水水源保护条例》和其他有关法律、法规的规定结合本市实际制定本规定。
永州市饮用水水源地保护规定,,,,,第二条 本市行政区域内饮用水水源地保护及管理适用本规定。本规定所称饮用水水源地是指提供城乡居民生活及公共服务用水的取水水域和密切相关的陆域。
永州市饮用水水源地保护规定,,,,,第三条 市、县区人民政府应当将饮用水水源地保护纳入国民经济与社会发展规划及有关专项规划统筹安排饮用水水源地保护资金建立健全饮用水水源地保护联动协调机制和监测制度合理布局饮用水水源地。市人民政府生态环境主管部门对饮用水水源地污染防治实施统一监督管理拟定饮用水水源保护区划分方案依照职能职责做好饮用水水源地保护的相关工作。市、县区人民政府水行政主管部门负责本行政区域内饮用水水源工程建设以及水资源调度配置有关工作对饮用水水资源实施统一监督管理。市、县区人民政府其他有关部门依照各自职责做好饮用水水源地保护工作。乡镇人民政府、街道办事处负责辖区内饮用水水源地保护的日常巡查工作发现问题应当及时采取措施并向有关主管部门报告协助上级人民政府有关部门做好饮用水水源地环境污染防治工作依法开展饮用水水源地保护执法处理本辖区影响饮用水水源地保护的突发事件。村居民委员会应当协助做好饮用水水源地保护的有关工作。
永州市饮用水水源地保护规定,,,,,第四条 市、县区人民政府应当根据本行政区域经济社会发展实际以及自然生态环境状况和水质、水量等水资源条件统筹规划饮用水水源地优先保障城乡居民饮用水的需要。饮用水水源地保护应当以涵养水源、保护水质为目标与生态保护和山体水体保护相结合。
永州市饮用水水源地保护规定,,,,,第五条 市、县区人民政府应当依照有关法律法规和国家技术规范提出饮用水水源一级保护区、二级保护区和准保护区划定方案。
永州市饮用水水源地保护规定,,,,,第六条 湘江干流及其主要支流饮用水水源地和其他县级以上城市饮用水水源地在饮用水水源一级保护区、二级保护区和准保护区外应当根据饮用水水源保护的需要划定一定范围的饮用水水源涵养区。饮用水水源涵养区的划定和调整由市人民政府生态环境主管部门会同相关行政主管部门提出方案报市人民政府批准后公布执行。饮用水水源涵养区的具体管理办法由市人民政府另行制定。
永州市饮用水水源地保护规定,,,,,第七条 乡镇人民政府、街道办事处根据实际需要在市、县区人民政府有关主管部门的指导下划定山塘、渠道、井
永州市饮用水水源地保护规定,,,,,第八条 各级人民政府应当在饮用水水源一级保护区、二级保护区、准保护区、涵养区乡镇、村饮用水水源保护范围以下统称保护区域按规定设立明确的地理界标和明显的警示标志以及必要的隔离防护设施。任何单位和个人不得损毁、涂改或者擅自移动保护区域的地理界标、警示标志、隔离防护设施。
永州市饮用水水源地保护规定,,,,,第九条 在保护区域内除执行法律法规有关规定外禁止下列行为林、护岸林等与水源保护相关植被的活动。
永州市饮用水水源地保护规定,,,,,第十条 各级人民政府应当加强饮用水水源地周边环境综合整治完善污水、垃圾和病死畜禽的集中收集处理设施防止污染水源。
永州市饮用水水源地保护规定,,,,,第十一条 违反本规定第八条第二款规定损毁、涂改或者擅自移动保护区域的地理界标、警示标志、隔离防护设施的责令改正情节严重的处一千元以上五千元以下的罚款。
永州市饮用水水源地保护规定,,,,,第十二条 违反本规定第九条第四项规定在饮用水水源涵养区和乡镇、村饮用水水源保护范围内投肥养鱼的责令改正对单位处二万元以上五万元以下的罚款对个人处一千元以上五千元以下的罚款。违反本规定第九条第五项规定在饮用水水源涵养区内直接排放、倾倒未经无害化处理的畜禽养殖粪污的责令停止违法行为限期采取治理措施消除污染处二千元以上一万元以下的罚款。
永州市饮用水水源地保护规定,,,,,第十三条 各级人民政府和有关主管部门及其工作人员违反本规定在饮用水水源地保护工作中玩忽职守、滥用职权、徇私舞弊的依法给予处分构成犯罪的依法追究刑事责任。
永州市饮用水水源地保护规定,,,,,第十四条 违反本规定的其他行为有关法律法规已有处罚规定的从其规定构成犯罪的依法追究刑事责任。
永州市饮用水水源地保护规定,,,,,第十五条 本规定自 2021 年 3 月 22 日起施行。
