文件名,编,分编,章,节,内容
汕头市市政设施管理条例,,,第一章 总则,,第一条 为加强城市市政设施管理保障市政设施完好充分发挥市政设施的功能促进城市经济和社会发展根据有关法律、法规的规定结合本市实际制定本条例。
汕头市市政设施管理条例,,,第一章 总则,,第二条 本条例适用于金平区、龙湖区、濠江区所辖行政区域澄海区、潮阳区、潮南区的城区南澳县的县城中心镇人民政府所在地等城市化管理地区的市政设施管理。公路、电力、邮政、电信、广播电视、道路交通安全、消防等社会公共设施的管理依照有关法律、法规的规定执行。
汕头市市政设施管理条例,,,第一章 总则,,第三条 市政设施管理实行统一规划、配套建设、协调发展统一领导与分级管理相结合的原则。
汕头市市政设施管理条例,,,第一章 总则,,第四条 市市政设施管理行政主管部门负责本市的市政设施管理工作组织实施本条例。区县市政设施管理行政主管部门负责本辖区承担的市政设施管理工作。中心镇人民政府负责本辖区的市政设施管理工作。规划、国土、建设、公安、人防、水利、环保、交通、信息、电力、公路、海事等部门按照各自的职责权限协同市政设施管理行政主管部门实施本条例。
汕头市市政设施管理条例,,,第一章 总则,,第五条 任何单位和个人都有依法使用市政设施的权利和保护市政设施的义务对违反本条例的行为有权制止或者举报。
汕头市市政设施管理条例,,,第二章 综合管理,,第六条 市、区县人民政府应当根据社会经济发展状况和城市总体规划组织编制市政设施发展规划并负责实施。市政设施管理行政主管部门应当制定市政设施年度养护、维修、应急处置计划报同级人民政府批准后实施。市政设施的养护、维修、应急处置经费应当纳入各级财政年度预算。
汕头市市政设施管理条例,,,第二章 综合管理,,第七条 依附于市政设施的城市公交、供水、燃气、供电、通信、消防、广告等各种设施的建设计划应当以近期建设规划为依据与市政设施各专业规划和年度建设计划相协调并与城市道路建设同步实施。
汕头市市政设施管理条例,,,第二章 综合管理,,第八条 市政设施管理行政主管部门办理行政许可事项时应当公开行政许可的事项、依据、条件、数量、需要提交的全部材料目录、申请书示范文本和受理、审查、决定的程序并在法定期限内作出许可或者不许可的书面决定不许可的应当书面向申请人说明理由。
汕头市市政设施管理条例,,,第二章 综合管理,,第九条 市政设施管理行政主管部门、城市管理行政执法部门或者其他行政管理部门的工作人员实施执法检查或者行政处罚时应当有两人以上同时进行并向当事人出示执法证件。
汕头市市政设施管理条例,,,第二章 综合管理,,第十条 市政设施的管理、养护、维修责任人按照下列规定确定由市政设施管理行政主管部门负责已经出让经营权的在经营期内由经营单位负责用管理人负责单位负责。按照前款规定不能确定责任人的由市政设施管理行政主管部门会同有关单位研究后报同级人民政府确定。
汕头市市政设施管理条例,,,第二章 综合管理,,第十一条 市政设施的管理、养护、维修责任人应当加强对市政设施的管理、养护和维修定期组织对市政设施进行检测和普查并建立健全完整的档案管理制度。市政设施管理行政主管部门应当加强对市政设施的监督检查发现问题应当及时养护、维修或者通知有关责任人养护、维修。因养护、维修确需对城市道路、桥涵、河道进行交通管制的市政设施管理行政主管部门应当会同公安机关交通管理部门或者海事管理机构等部门联合向社会发布封路、封桥、封航信息。
汕头市市政设施管理条例,,,第二章 综合管理,,第十二条 从事市政设施养护、维修工作的作业服务单位应当具备相应资质严格执行有关技术规范和标准确保养护、维修工程的质量。地下市政设施的建设单位或者使用单位应当建立健全安全责任制度采取可行措施防止危害人身安全和健康的情况发生。市政设施管理行政主管部门应当对养护、维修工程的质量进行监督检查保障市政设施安全、完好。
汕头市市政设施管理条例,,,第二章 综合管理,,第十三条 市政设施以及设置在市政设施上的检查井、沟井盖等各类附属设施应当符合有关技术规范和标准出现破损、移位或者丢失时有关产权人或者使用管理人应当及时修复、正位或者补缺。
汕头市市政设施管理条例,,,第二章 综合管理,,第十四条 市政设施工程竣工建设单位收到市政设施工程竣工报告后应当组织设计、施工、工程监理等有关单位进行竣工验收。市政设施工程经竣工验收合格备案后方可交付使用验收不合格或者未经竣工验收合格备案的不得交付使用。市政设施实行工程质量保修制度保修期为一年自交付使用之日起计算保修期内出现工程质量问题的由有关责任单位保修。法律、法规对市政设施建设工程质量保修期限另有规定的按照法律、法规的规定执行。
汕头市市政设施管理条例,,,第二章 综合管理,,第十五条 未经市政设施管理行政主管部门同意和城市规划行政管理部门批准任何单位和个人不得利用市政设施设置各类管线、杆线或者广告架、灯箱等设施。
汕头市市政设施管理条例,,,第二章 综合管理,,第十六条 毗邻市政设施的建设工程建设施工单位在施工时应当采取必要的保护措施保证市政设施不受损坏。因意外事故造成市政设施损坏的当事人应当立即向市政设施管理行政主管部门报告及时采取必要的保护措施。
汕头市市政设施管理条例,,,第三章 城市道路管理,,第十七条 在城市道路设施管理范围内禁止下列行为以上的燃气管道、10 千伏以上的架空高压电力线和其他易燃易爆管线上驾驶摩托车
汕头市市政设施管理条例,,,第三章 城市道路管理,,第十八条 履带车、铁轮车或者超重、超高、超长、超宽车辆需要在城市道路行驶的应当遵守限重、限高、限长、限宽和限速规定事先征得市政设施管理行政主管部门和公安机关交通管理部门的同意采取必要的安全防范措施按照公安机关交通管理部门指定的时间、路线和速度行驶。
汕头市市政设施管理条例,,,第三章 城市道路管理,,第十九条 桥梁安全防护应当遵守下列规定特点、结构安全条件和河道的通航条件等情况会同海事管理机构确定桥梁的安全控制范围并向社会公布地下管道顶进、爆破等作业的在向海事管理机构提出施工许可前应当经市政设施管理行政主管部门同意并与桥梁产权人签订保护协议采取保护措施后方可施工桥涵管养部门进行技术安全论证提出意见并经市政设施管理行政主管部门批准后方可进行施工。在桥涵扩建、改建、维修时应当无条件及时拆除、迁移。需跨越桥涵进行施工作业的须经市政设施管理行政主管部门同意。
汕头市市政设施管理条例,,,第三章 城市道路管理,,第二十条 任何单位和个人不得擅自占用或者挖掘城市道路。因特殊情况需要占用或者挖掘城市道路的应当向市政设施管理行政主管部门提出申请经批准后方可占用因工程建设等需要挖掘城市道路的应当持城市规划行政管理部门批准签发的《建设工程规划许可证》和有关设计文件向市政设施管理行政主管部门申请办理有关批准手续占用或者挖掘城市道路影响交通安全的市政设施管理行政主管部门在批准前应当征得公安机关交通管理部门同意。
汕头市市政设施管理条例,,,第三章 城市道路管理,,第二十一条 新建、扩建、改建的城市道路交付使用后五年内、大修的城市道路竣工后三年内不得挖掘因特殊情况需要挖掘的应当经规划行政管理部门和市政设施管理行政主管部门同意报同级人民政府批准影响交通安全的市政设施管理行政主管部门审核时应当征得公安机关交通管理部门同意。因紧急抢险、抢修确需挖掘城市道路的可以先行破路同时向市政设施管理行政主管部门和公安机关交通管理部门报告并在挖掘城市道路之日起二十四小时内补办城市道路挖掘批准手续。逾期不办理批准手续的按违法挖掘城市道路处理。
汕头市市政设施管理条例,,,第三章 城市道路管理,,第二十二条 经批准临时占用、挖掘城市道路的单位和个人应当遵守下列规定更不准出租、转让需要移动位置、扩大面积、延长时间的应当提前十五日办理变更批准手续批准文号设置明显的警示标志和安全防护设施先报请公安机关交通管理部门批准并提前五日向社会公告但紧急情况除外进行横穿道路施工的应当在夜间进行白天应当恢复交通条件不具备时应当分车道施工保障道路单向畅通挖掘或修复路面应当按规定的技术要求进行施工设施时应当立即采取保护措施不得移位、损坏回填夯实恢复道路原状设施清除道路上的障碍物消除安全隐患并通知市政设施管理行政主管部门和公安机关交通管理部门检查验收个人应当按规定腾退工等先进技术。
汕头市市政设施管理条例,,,第三章 城市道路管理,,第二十三条 经批准占用或者挖掘城市道路的应当依法向市政设施管理行政主管部门缴纳城市道路占用费或者城市道路挖掘修复费。城市道路占用费按照物价行政主管部门核定的标准收取城市道路挖掘修复费按照省有关规定的标准收取。经批准临时占用城市道路属下列情况之一的可免收城市道路占用费信、消防等新建工程项目性的社会公益事业设施建设和维修作业
汕头市市政设施管理条例,,,第四章 城市排水设施管理,,第二十四条 城市排水设施应当保持完好、畅通机电设备运转安全正常。市政设施管理行政主管部门应当定期组织对本辖区内的城市沟渠进行清淤疏浚保证城市排水设施的畅通和安全。城市排水设施堵塞或者损坏的其产权单位或者养护单位在发现或者接到报告后应当及时疏通或者抢修。排水设施跨越厂区、院落的有关单位应当按照市政设施管理行政主管部门的规定负责养护和疏通。
汕头市市政设施管理条例,,,第四章 城市排水设施管理,,第二十五条 在城市排水设施管理范围内禁止下列行为爆物质、废气或者废弃物内筑物堆放物料
汕头市市政设施管理条例,,,第四章 城市排水设施管理,,第二十六条 因工程建设需要拆除、迁移、改动城市排水设施的应当经市政设施管理行政主管部门批准并组织实施所需费用由申请人承担。
汕头市市政设施管理条例,,,第四章 城市排水设施管理,,第二十七条 排水设施发生故障进行抢修或者维护作业时沿线有关排水户应当服从市政设施管理行政主管部门的统一调度采取限制排放量、调整排放时间等措施确保故障及时清除。
汕头市市政设施管理条例,,,第五章 城市道路照明设施管理,,第二十八条 新建、改建的城市道路照明设施必须符合有关的设计安装规程规定并积极采用新光源、新技术、新设备及科学的节能方式。
汕头市市政设施管理条例,,,第五章 城市道路照明设施管理,,第二十九条 在城市道路照明设施管理范围内禁止下列行为搭建建筑物和构筑物妨碍照明设施正常维护和安全运行
汕头市市政设施管理条例,,,第五章 城市道路照明设施管理,,第三十条 因工程建设需要拆除、迁移、改动城市道路照明设施的应当经市政设施管理行政主管部门批准并组织实施所需费用由申请人承担。
汕头市市政设施管理条例,,,第五章 城市道路照明设施管理,,第三十一条 市政设施管理行政主管部门应当建立健全检查、考核制度及时督促有关单位更换和修复破损的照明设施使亮灯率不低于百分之九十五。
汕头市市政设施管理条例,,,第六章 法律责任,,第三十二条 本市实施城市管理相对集中行政处罚权的区域由城市管理行政执法部门依法实施行政处罚和行政强制措施其他区域由市政设施管理行政主管部门或者有关行政管理部门依法实施行政处罚和行政强制措施。法律、法规对违反本条例行为的法律责任另有规定的按照法律、法规的规定执行。
汕头市市政设施管理条例,,,第六章 法律责任,,第三十三条 违反本条例第十三条规定设置在市政设施上的检查井、沟井盖等各类附属设施出现破损、移位或者丢失有关产权人或者使用管理人未及时修复、正位或者补缺的责令限期改正逾期未改正的代为修复、正位或者补缺所需费用由违法行为人承担并可处五百元以上三千元以下罚款。
汕头市市政设施管理条例,,,第六章 法律责任,,第三十四条 违反本条例第十五条规定擅自利用市政设施建设各类管线、杆线或者设置广告架、灯箱等设施的责令限期改正逾期未改正的强制停止建设或者强制拆除所需费用由违法行为人承担并可处五百元以上五千元以下罚款。
