文件名,编,分编,章,节,内容
汕头经济特区潮汕传统民居保护条例,,,,,第一条 为了加强潮汕传统民居保护传承和弘扬潮汕优秀历史文化打造聚侨惠民的和美侨乡根据有关法律、行政法规的基本原则结合汕头经济特区以下简称特区实际制定本条例。
汕头经济特区潮汕传统民居保护条例,,,,,第二条 本条例适用于特区范围内潮汕传统民居的保护及其相关活动。本条例所称潮汕传统民居是指具有潮汕地域文化特色和历史、科学、艺术、社会价值或者纪念、教育意义的民用建筑物、构筑物。潮汕传统民居被依法确定为不可移动文物和历史建筑的其保护依照文物、历史建筑保护有关法律、法规的规定执行。
汕头经济特区潮汕传统民居保护条例,,,,,第三条 潮汕传统民居保护遵循科学保护、合理利用、政府主导、社会参与的原则。潮汕传统民居与其相互依存的自然景观和环境应当进行整体保护保持和延续其传统格局和历史风貌。对潮汕传统民居的室内外特色部位、材料、结构、装饰等能集中体现其特色和价值的构成要素以下简称价值要素原则上实行原位置保护。
汕头经济特区潮汕传统民居保护条例,,,,,第四条 市、区县人民政府应当加强对潮汕传统民居保护工作的组织领导和统筹协调将潮汕传统民居保护工作纳入本级国民经济和社会发展规划将所需经费纳入本级财政预算。镇人民政府街道办事处按照职责做好本辖区内潮汕传统民居的保护工作。村居民委员会应当发挥自治作用组织辖区村居民和单位参与、协助和配合有关部门做好潮汕传统民居的保护工作可以将潮汕传统民居保护工作纳入村规民约组织村居民开展潮汕传统民居保护的宣传教育活动。
汕头经济特区潮汕传统民居保护条例,,,,,第五条 市住房城乡建设主管部门会同市文化行政管理部门负责组织实施本条例区县住房城乡建设主管部门会同同级文化行政管理部门负责本行政区域内潮汕传统民居的保护工作。自然资源、城市管理、农业农村、侨务、财政、交通运输、民政、公安、市场监督管理、消防救援等行政管理部门按照各自职责做好潮汕传统民居保护相关工作。
汕头经济特区潮汕传统民居保护条例,,,,,第六条 市住房城乡建设主管部门设立潮汕传统民居保护专家委员会为潮汕传统民居保护有关活动提供论证、咨询意见。潮汕传统民居保护专家委员会由规划、建筑、设计、文化、历史、土地、社会、经济和法律等领域的专家组成。
汕头经济特区潮汕传统民居保护条例,,,,,第七条 市、区县人民政府应当采取措施鼓励、引导自然人、法人和非法人组织以提供志愿服务、技术服务、捐赠、投资、资助等方式参与潮汕传统民居的保护和利用。对在潮汕传统民居保护工作中做出显著成绩的市、区县人民政府可以给予表彰和奖励。
汕头经济特区潮汕传统民居保护条例,,,,,第八条 潮汕传统民居实行名录保护制度。民用建筑物、构筑物符合下列条件之一的按照本条例规定可以确定为潮汕传统民居并纳入保护名录筑历史文化特点、艺术特色或者具有科学研究价值特定时代特征或者地域特色育意义。保护名录应当载明潮汕传统民居的名称、编号、区位、建成时间和历史价值等内容。
汕头经济特区潮汕传统民居保护条例,,,,,第九条 市住房城乡建设主管部门会同市文化行政管理部门组织制定潮汕传统民居保护利用的工作指引经潮汕传统民居保护专家委员会论证并报市人民政府批准后向社会公布指导区县人民政府、镇人民政府街道办事处、有关部门和保护责任人有序开展潮汕传统民居的普查、申报及认定、保护规划编制、日常保护、活化利用等相关工作。
汕头经济特区潮汕传统民居保护条例,,,,,第十条 区县住房城乡建设主管部门应当组织开展潮汕传统民居普查工作。民居所有权人、使用人以及其他单位或者个人可以向区县住房城乡建设主管部门申报、推荐具有保护价值的民用建筑物、构筑物。区县住房城乡建设主管部门会同同级文化行政管理部门根据潮汕传统民居普查数据和申报、推荐情况进行评估筛选形成拟推荐名单并征求同级自然资源、城市管理、农业农村、侨务等部门和民居所在地镇人民政府街道办事处以及民居所有权人、使用人或者管理人的意见。市住房城乡建设主管部门应当根据各区县推荐名单编制潮汕传统民居保护名录组织潮汕传统民居保护专家委员会进行论证和向社会公示由市人民政府批准后向社会公布。保护名录不得擅自调整。因不可抗力导致潮汕传统民居灭失或者损毁、确已失去保护意义或者情况发生重大变化需要调整的应当按照原编制程序进行。
汕头经济特区潮汕传统民居保护条例,,,,,第十一条 潮汕传统民居集中成片或者空间格局、景观形态、建筑样式等较完整体现地域文化特点具有一定规模的潮汕传统民居风貌建筑区应当对其地形地貌、传统格局、历史风貌以及街巷肌理进行整体保护。市住房城乡建设主管部门应当会同市文化行政管理部门确定潮汕传统民居风貌建筑区的保护范围组织有关部门、专家进行论证报市人民政府批准后向社会公布。区县人民政府及其相关行政管理部门根据保护规划因地制宜推动对与潮汕传统民居风貌不相协调的建筑物、构筑物和相连街巷逐步进行改造和提升使之与潮汕传统民居风貌相协调。历史文化名城、街区、名镇、名村和传统村落保护范围内的潮汕传统民居风貌建筑其保护依照相关法律、法规规定执行。
汕头经济特区潮汕传统民居保护条例,,,,,第十二条 市住房城乡建设主管部门应当建立潮汕传统民居保护管理信息档案库详细造册登记并采用信息化手段进行管理与文化、自然资源、城市管理、农业农村、侨务、消防救援等部门实现信息共享加强对房屋使用安全的监督管理。市、区县住房城乡建设主管部门应当在房屋安全普查工作中对潮汕传统民居予以标注并动态更新相关信息。
