文件名,编,分编,章,节,内容
江苏省保护和促进香港澳门投资条例,,,,,第一条 为了保护和鼓励香港特别行政区、澳门特别行政区投资者在本省投资促进交流合作根据国家有关法律、法规的规定结合本省实际制定本条例。
江苏省保护和促进香港澳门投资条例,,,,,第二条 香港特别行政区、澳门特别行政区的企业、其他组织或者个人以下简称港澳投资者到本省投资的适用本条例。
江苏省保护和促进香港澳门投资条例,,,,,第三条 依法保护港澳投资者在本省的投资、收益和其他合法权益。港澳投资者应当遵守法律、法规不得损害国家利益和社会公共利益。
江苏省保护和促进香港澳门投资条例,,,,,第四条 保护和促进港澳投资应当坚持市场化、法治化、国际化原则发挥市场在资源配置中的决定性作用营造稳定、公平、透明、可预期的投资发展环境。
江苏省保护和促进香港澳门投资条例,,,,,第五条 地方各级人民政府应当依法履行职责提供有效服务保障港澳投资者合法权益。县级以上地方人民政府港澳事务办事机构负责港澳投资合法权益保护的组织、指导、管理、协调工作。县级以上地方人民政府商务主管部门、投资主管部门以及其他有关部门应当按照各自职责共同做好港澳投资和投资保障的服务、管理工作。
江苏省保护和促进香港澳门投资条例,,,,,第六条 港澳投资者应当依照法律、法规规定的形式和范围进行投资符合国家和本省的产业政策、投资导向要求。
江苏省保护和促进香港澳门投资条例,,,,,第七条 港澳投资者在本省投资设立企业或者注册登记个体工商户依照法定条件和程序办理相关手续。
江苏省保护和促进香港澳门投资条例,,,,,第八条 港澳投资企业、个体工商户平等享受国家和本省各项支持企业、个体工商户发展的政策和服务。对当地经济社会发展有突出贡献的港澳投资者个人及港澳职工按照国家和本省有关规定给予表彰、奖励。
江苏省保护和促进香港澳门投资条例,,,,,第九条 鼓励港澳投资者在本省投资参与一带一路建设参与长江经济带发展、长江三角洲区域一体化发展等重大战略和规划的实施。
江苏省保护和促进香港澳门投资条例,,,,,第十条 鼓励港澳投资者参与本省建设具有全球影响力的产业科技创新中心、具有国际竞争力的先进制造业基地、具有世界聚合力的双向开放枢纽。
江苏省保护和促进香港澳门投资条例,,,,,第十一条 鼓励港澳投资者在本省参与先进制造业集群和优势产业链建设参与本省现代服务业发展示范载体、试点典型和领军工程建设。
江苏省保护和促进香港澳门投资条例,,,,,第十二条 鼓励香港特别行政区、澳门特别行政区的银行、保险等金融机构依法在本省投资设立金融机构和参股本省金融机构并可与本地其他金融机构开展合作依法创新金融产品和服务。
江苏省保护和促进香港澳门投资条例,,,,,第十三条 鼓励符合条件的港澳投资者依法在本省投资发起设立或者参与发起设立创业投资公司以及小额贷款公司、融资担保公司、融资租赁公司、商业保理公司等地方金融组织。符合条件的港澳投资者可以按照规定参与合格境外有限合伙人试点。
江苏省保护和促进香港澳门投资条例,,,,,第十四条 鼓励港澳投资者和本省投资机构按照市场化原则依法联合设立产业投资基金。
江苏省保护和促进香港澳门投资条例,,,,,第十五条 鼓励港澳投资者依法在本省参与非义务教育阶段合作办学和设立以职业技能为主的职业培训机构提供教育服务。
江苏省保护和促进香港澳门投资条例,,,,,第十六条 鼓励港澳投资者按照国家有关规定在本省投资动漫、工业设计、广告设计等文化创意机构设立画廊、画店、艺术品展览单位机构。鼓励港澳投资者按照国家有关规定在本省提供图书馆、博物馆体育活动的推广、组织以及体育设施经营服务等娱乐、文化和体育服务。港澳投资者可以按照国家有关规定在本省设立演出经纪机构、演出场所经营单位。香港特别行政区、澳门特别行政区演出经纪机构可以在本省设立分支机构。
江苏省保护和促进香港澳门投资条例,,,,,第十七条 鼓励港澳投资者在本省设立或者通过收购、兼并、控股、参股、联合等形式投资国际会展企业。香港特别行政区、澳门特别行政区会展企业可以在本省设立分支机构。
江苏省保护和促进香港澳门投资条例,,,,,第十八条 鼓励港澳投资者按照国家有关规定在本省设立旅行社支持在旅游科技研发、景区景点开发、多产业融合发展旅游产品等方面的投资合作。
江苏省保护和促进香港澳门投资条例,,,,,第十九条 鼓励港澳投资者参与健康江苏建设按照国家有关规定在本省投资设立医疗、养老、残疾人福利等机构提供医疗、照护等服务。
江苏省保护和促进香港澳门投资条例,,,,,第二十条 鼓励港澳投资者按照国家有关规定在本省投资进入会计服务市场。鼓励香港特别行政区、澳门特别行政区符合条件的从业人员按照国家有关规定在本省提供会计、法律等专业服务。
江苏省保护和促进香港澳门投资条例,,,,,第二十一条 鼓励港澳投资者、港澳投资企业在本省依法设立研究开发机构自主研究开发或者联合高等学校、企业、其他研究开发机构共同研究开发具有自主知识产权的新技术、新产品、新工艺。鼓励港澳投资企业承担或者参与省级和国家级创新平台建设。
江苏省保护和促进香港澳门投资条例,,,,,第二十二条 鼓励港澳投资者在本省设立跨国境公司地区总部和功能性机构。跨国境公司地区总部可以开展跨境资金集中运营业务。具有投资和财务管理功能的跨国境公司地区总部和功能性机构可以按照规定参与涉港澳跨境资金集中管理、跨境放款等业务。符合条件的跨国境公司地区总部和功能性机构的高层次人员可以申领海外高层次人才居住证并享受相关政策待遇。
江苏省保护和促进香港澳门投资条例,,,,,第二十三条 支持符合条件的港澳投资制造业项目纳入重大项目清单提供支持保障并加强相关要素的协调服务。港澳投资企业可以申请制造业单项冠军和专精特新小巨人企业产品认定获得认定的按照国家和本省有关规定同等享受支持待遇。
江苏省保护和促进香港澳门投资条例,,,,,第二十四条 支持港澳投资企业绿色低碳发展开展智能化改造和数字化转型。
江苏省保护和促进香港澳门投资条例,,,,,第二十五条 县级以上地方人民政府及其有关部门应当搭建供需对接平台为港澳投资企业提供产品配套服务。鼓励港澳投资龙头企业围绕产业链强链补链培育产品配套企业带动更多港澳投资中小企业进入龙头企业供应链。
江苏省保护和促进香港澳门投资条例,,,,,第二十六条 对港澳投资企业急需的创新创业人才、高级技能人才等专业人才来本省工作可根据实际工作需要和申请人情况放宽年龄、学历和工作经历限制。港澳青年人才在本省创新创业享受国家和省规定的各项人才政策以及创业项目扶持、融资支持、生产经营场所使用等有关政策和服务。
江苏省保护和促进香港澳门投资条例,,,,,第二十七条 鼓励金融机构为港澳投资企业提供知识产权质押融资、风险投资、证券化、信托融资等金融服务。
