文件名,编,分编,章,节,内容
江苏省实施《中华人民共和国反不正当竞争法》办法,,,第一章 总则,,第一条 为了保障社会主义市场经济健康发展鼓励和保护公平竞争制止不正当竞争行为保护经营者和消费者的合法权益根据《中华人民共和国反不正当竞争法》以下简称《反不正当竞争法》和有关法律、法规结合本省实际制定本办法。
江苏省实施《中华人民共和国反不正当竞争法》办法,,,第一章 总则,,第二条 在本省行政区域内从事商品经营或者营利性服务统称经营者必须遵守本办法。经营者以外的组织和个人从事与市场竞争有关的活动也必须遵守本办法。
江苏省实施《中华人民共和国反不正当竞争法》办法,,,第一章 总则,,第三条 地方各级人民政府应当加强市场管理采取措施制止不正当竞争行为为公平竞争创造良好的环境和条件。地方各级人民政府应当鼓励、支持和保护一切组织和个人对不正当竞争行为进行社会监督。
江苏省实施《中华人民共和国反不正当竞争法》办法,,,第一章 总则,,第四条 县级以上地方各级人民政府工商行政管理部门负责对不正当竞争行为进行监督检查法律、行政法规规定由其他部门监督检查的从其规定。
江苏省实施《中华人民共和国反不正当竞争法》办法,,,第二章 不正当竞争行为,,第五条 经营者不得擅自使用知名商品特有的名称、包装、装潢或者使用与知名商品近似的名称、包装、装潢造成和他人的知名商品相混淆使购买者误认为或者足以误认为是该知名商品。经营者不得在明知或者应知商品的名称、包装、装潢与知名商品特有的名称、包装、装潢相同或者近似的情况下销售该商品或者生产、销售该商品的包装、装潢。本条所称特有是指商品的名称、包装、装潢为商品经营者创先使用并具有显著特征的。知名商品的认定按照国家有关规定执行。
江苏省实施《中华人民共和国反不正当竞争法》办法,,,第二章 不正当竞争行为,,第六条 经营者不得擅自使用他人的企业名称或者姓名以及代表他人的企业名称或者姓名的文字、图形、代号引人误认为是他人的商品。
江苏省实施《中华人民共和国反不正当竞争法》办法,,,第二章 不正当竞争行为,,第七条 经营者不得采用下列手段对商品质量作引人误解的虚假表示标志等质量标志或者专利标注等质量标志或者专利标注号或者监制单位副产品的生长地或者养殖地真实的标注实的标注经营者不得在明知或者应知商品或者其包装上有虚假质量表示的情况下仍销售该商品。
江苏省实施《中华人民共和国反不正当竞争法》办法,,,第二章 不正当竞争行为,,第八条 经营者不得利用广告或者其他方法对自己的商品信誉或者商品的价格、质量、性能、用途、规格、等级、制作成分及其含量、制造方法、制造日期、有效期限、产地、生产者、专利、认证、获奖等情况作引人误解的虚假宣传。前款所称其他方法是指大众传播媒介及其工作者不得对经营者或者商品作虚假宣传报道。
江苏省实施《中华人民共和国反不正当竞争法》办法,,,第二章 不正当竞争行为,,第九条 公用企业或者其他依法具有独占地位的经营者不得实施下列限制竞争的行为其指定的经营者提供的相关商品而不得购买、使用其他经营者提供的符合技术标准的同类商品提供的商品及配件购买或者使用其他经营者提供的符合技术标准要求的商品断、削减供应相关商品或者滥收费用等手段进行刁难。
江苏省实施《中华人民共和国反不正当竞争法》办法,,,第二章 不正当竞争行为,,第十条 事业单位不得强制或者限定用户、消费者购买其提供的或者其指定的经营者提供的商品。
江苏省实施《中华人民共和国反不正当竞争法》办法,,,第二章 不正当竞争行为,,第十一条 任何组织和个人不得侵犯他人商业秘密。前款所称商业秘密是指不为公众所知悉、能为权利人带来经济利益、具有实用性并经权利人采取保密措施的产品配方、工艺流程、技术秘诀、设计图纸、产销策略、客户名单、价格情报、货源情报等技术信息和经营信息。
江苏省实施《中华人民共和国反不正当竞争法》办法,,,第二章 不正当竞争行为,,第十二条 经营者不得从事下列欺骗性有奖销售奖品种类、数量、质量、提供方法等作虚假的表示与商品、奖券同时投放市场按不同时间投放市场抽奖式的有奖销售以物品或者其他经济利益作为奖励的其奖励价值按照同期市场同类商品的价格折算不得超过五千元。广告的经营者不得代理、设计、制作、发布违法有奖销售广告。
