文件名,编,分编,章,节,内容
江苏省家庭农场促进条例,,,,,第一条 为了促进家庭农场高质量发展引导农业适度规模经营推进农业现代化和乡村振兴根据《中华人民共和国乡村振兴促进法》《中华人民共和国农村土地承包法》等法律、行政法规结合本省实际制定本条例。
江苏省家庭农场促进条例,,,,,第二条 本省行政区域内促进家庭农场发展的扶持、指导、服务、规范等活动适用本条例。本条例所称家庭农场是指以家庭为基本经营单元从事农业适度规模经营以农业生产经营收入为家庭重要收入来源的新型农业经营主体。
江苏省家庭农场促进条例,,,,,第三条 县级以上地方人民政府应当将家庭农场发展纳入农业农村专项规划制定促进家庭农场发展政策措施统筹协调推动家庭农场发展。乡镇人民政府、街道办事处按照职责做好本区域内家庭农场促进相关工作。村民委员会、居民委员会、农村集体经济组织应当协助做好家庭农场促进相关工作。
江苏省家庭农场促进条例,,,,,第四条 农业农村部门主管本行政区域内家庭农场促进工作协调落实相关政策措施组织开展促进家庭农场发展的扶持、指导、服务、规范等工作。发展改革、教育、科技、财政、人力资源社会保障、自然资源、生态环境、水利、商务、文化和旅游、政务服务、市场监管、粮食和储备、金融监管、林业、税务、气象、邮政管理、消防救援、供销合作社等有关部门和单位应当按照各自职责做好家庭农场促进相关工作。
江苏省家庭农场促进条例,,,,,第五条 家庭农场按照国家和省有关规定实行名录管理纳入名录的家庭农场按照规定享受相关扶持政策。省农业农村部门应当制定家庭农场名录管理办法明确名录录入条件、内容和程序等要求。县级农业农村部门应当将符合录入条件的农业经营主体纳入家庭农场名录对不再符合录入条件的及时移除。家庭农场名录应当定期向社会公布。对家庭农场名录有异议的可以向县级农业农村部门提出县级农业农村部门应当及时进行处理。
江苏省家庭农场促进条例,,,,,第六条 家庭农场可以自主决定向市场主体登记机关申请办理市场主体登记。鼓励家庭农场依法组建或者加入农民专业合作社发起或者加入家庭农场服务联盟。鼓励家庭农场按照规定参与组建基层供销合作社。市场主体登记机关以及农业农村、供销合作社等有关部门和单位应当提供便利化服务和指导。
江苏省家庭农场促进条例,,,,,第七条 鼓励有长期稳定务农意愿的农户稳步扩大经营规模创办家庭农场。鼓励乡村本土能人、返乡创业的外出务工农民、大中专毕业生、退役军人、专业技术人员等创办家庭农场。
江苏省家庭农场促进条例,,,,,第八条 农业农村部门应当健全完善农村产权交易市场功能为家庭农场通过流转取得土地经营权提供政策咨询、信息发布、合同签订等服务。鼓励家庭农场通过农村产权交易市场流转取得承包农户、农村集体经济组织等的土地经营权。
江苏省家庭农场促进条例,,,,,第九条 土地经营权流转的方式、期限、价款以及相关投资补偿、违约责任、期满续约等具体内容由流转双方依法平等协商确定并签订土地经营权流转合同。农业农村部门应当推广使用国家和省发布的土地经营权流转合同示范文本。
江苏省家庭农场促进条例,,,,,第十条 农业农村部门应当采取措施稳定土地经营权流转关系引导流转双方在承包期内签订中长期流转合同。家庭农场依法取得流转期限为五年以上土地经营权的可以申请土地经营权登记。
江苏省家庭农场促进条例,,,,,第十一条 省农业农村部门应当通过授权发布土地经营权流转价格指数等方式引导土地经营权流转双方合理确定流转价款。鼓励实行实物计租、货币结算。鼓励建立土地经营权流转用于粮食规模经营的流转价款形成机制保障双方合理收益。
江苏省家庭农场促进条例,,,,,第十二条 农业农村部门应当根据自然经济条件、农村劳动力转移情况、农业机械化水平等因素引导家庭农场发展适度规模经营防止单个家庭农场通过流转大规模集中土地经营权。
江苏省家庭农场促进条例,,,,,第十三条 经土地经营权流出方同意家庭农场依法投资改良土壤建设农业生产附属、配套设施以及农业生产中直接用于作物种植和畜禽水产养殖的设施可以获得合理补偿。具体补偿办法可以在土地经营权流转合同中约定或者由双方协商确定。
