文件名,编,分编,章,节,内容
江苏省数字经济促进条例,,,第一章 总 则,,第一条 为了推动数字经济与实体经济深度融合推进数据要素依法有序流动保障数据安全建设数字经济强省促进经济高质量发展根据有关法律、行政法规结合本省实际制定本条例。
江苏省数字经济促进条例,,,第一章 总 则,,第二条 本省行政区域内促进数字经济发展以及为数字经济提供支撑保障等相关活动适用本条例。本条例所称数字经济是指以数据资源为关键要素以现代信息网络为主要载体以信息通信技术融合应用、全要素数字化转型为重要推动力促进公平与效率更加统一的新经济形态。
江苏省数字经济促进条例,,,第一章 总 则,,第三条 数字经济发展应当遵循创新引领、融合发展应用牵引、数据赋能公平竞争、安全有序系统推进、协同高效的原则。
江苏省数字经济促进条例,,,第一章 总 则,,第四条 省人民政府应当加强对数字经济发展的领导统筹部署、组织推进全省数字经济发展。县级以上地方人民政府应当将数字经济发展纳入国民经济和社会发展规划并根据需要制定本地区数字经济发展规划支持开展数字技术创新和应用培育和发展新产业新业态新模式加快建设与数字经济发展相适应的产业生态体系、公共服务体系和现代治理体系营造优良的数字经济发展环境。县级以上地方人民政府应当加强对数字经济发展的统筹协调完善数字经济发展政策协调解决数字经济发展中的重大问题。
江苏省数字经济促进条例,,,第一章 总 则,,第五条 省数据主管部门负责统筹推进数字经济规划和建设拟订促进数字产业化和产业数字化、推动跨领域跨行业数字化转型的政策措施协调推动公共服务和社会治理信息化推进数字基础设施布局建设统筹数据资源整合共享和开发利用推动数据要素市场化配置。省工业和信息化部门负责制定并实施数字经济发展相关专项规划和政策措施推进数字产业化发展、工业数字化转型和信息基础设施建设。省科技部门负责指导、协调数字经济创新平台建设推动数字技术基础研究、关键核心技术攻关和科技成果转化。省网信部门负责统筹协调网络安全、网络数据安全、个人信息保护和相关监督管理工作。省通信部门负责协调推进信息通信基础设施建设和应用。省其他有关部门在各自职责范围内做好促进数字经济发展相关工作。设区的市、县级人民政府确定的数字经济主管部门负责推进本地区数字经济发展具体工作。
江苏省数字经济促进条例,,,第一章 总 则,,第六条 省人民政府以及有关部门应当在参与一带一路建设等对外合作中加强数字经济领域对外交流合作构建数字经济开放体系。鼓励和支持中国江苏自由贸易试验区探索数据跨境安全有序流动。省人民政府以及有关部门应当按照长三角区域一体化发展、长江经济带发展等国家战略要求加强跨省域合作推动重大数字基础设施共建共享、数据标准统一、数据资源共享开放、智能制造协同发展以及区域一体化协同治理应用。县级以上地方人民政府应当加强省内外数字经济跨区域合作创新体制机制加强政策协调共同促进数字经济发展。
江苏省数字经济促进条例,,,第一章 总 则,,第七条 鼓励和支持各类市场主体参与数字基础设施投资建设、数字产业化发展、产业数字化转型、治理和服务数字化以及数据开发利用。
江苏省数字经济促进条例,,,第二章 数字技术创新,,第八条 省人民政府以及有关部门应当推动数字技术创新加强数字技术基础研究、应用研究和技术成果转化完善产业技术创新体系和共性基础技术供给体系。省人民政府以及有关部门应当建立数字经济关键核心技术攻关新型体制机制支持企业、高等学校、科研机构聚焦传感器、量子信息、网络通信、集成电路、人工智能、区块链等重点领域提高数字技术基础研发能力突破高端芯片、工业软件、核心算法等关键核心技术。
江苏省数字经济促进条例,,,第二章 数字技术创新,,第九条 省人民政府以及有关部门应当围绕云计算、大数据、物联网、新一代移动通信、人工智能、区块链等领域推动建设国家和省级实验室、产业创新中心、制造业创新中心、技术创新中心等创新平台。
江苏省数字经济促进条例,,,第二章 数字技术创新,,第十条 省人民政府以及有关部门应当统筹协调数字经济产业链整体发展推进产业链核心企业带动上下游企业协同创新提升产业链创新水平。
江苏省数字经济促进条例,,,第二章 数字技术创新,,第十一条 县级以上地方人民政府以及有关部门应当推动数字技术融合创新强化企业创新主体地位发挥企业在数字技术创新中的重要作用支持各类市场主体平等获取数字技术创新资源。引导企业与高等学校、科研机构开展数字经济产学研合作共建技术创新联盟、科技创新基地、博士后科研工作站等创新平台推动获取重大原创科技成果和自主知识产权。
江苏省数字经济促进条例,,,第二章 数字技术创新,,第十二条 县级以上地方人民政府以及市场监督管理、知识产权、版权等部门应当加强数字经济领域知识产权保护推动知识产权转化运用建立快速维权体系依法打击知识产权侵权行为。
江苏省数字经济促进条例,,,第二章 数字技术创新,,第十三条 科技等部门应当支持数字经济产业领域科技创新可以通过专项资金支持科技成果转化采用发放科技创新券等方式购买检验检测、研发设计、中间试验、科技评估、技术查新、知识产权、技术培训等服务。
江苏省数字经济促进条例,,,第二章 数字技术创新,,第十四条 支持数字技术创新产品和服务的应用推广将符合条件的数字技术产品和服务认定为首台套装备、首批次新材料、首版次软件列入创新产品目录。省人民政府或者其授权的单位可以根据需要将数字技术产品和服务列入全省集中采购目录。确因数字技术产品和服务应用推广需要政府采购达到公开招标限额标准的首台套装备、首批次新材料、首版次软件的经依法批准可以通过非公开招标方式进行采购。
江苏省数字经济促进条例,,,第三章 数字基础设施建设,,第十五条 县级以上地方人民政府应当支持完善通信网络、算力等信息基础设施建设物联网、车联网等融合基础设施布局创新基础设施推动传统基础设施数字化升级构建数字基础设施体系。
江苏省数字经济促进条例,,,第三章 数字基础设施建设,,第十六条 省数据主管部门应当会同发展改革、工业和信息化、通信部门编制省数字基础设施发展规划报省人民政府批准后实施。设区的市应当根据省数字基础设施发展规划编制、实施本地区数字基础设施发展规划和数字基础设施建设规划。县市可以根据需要编制、实施本地区数字基础设施发展规划和数字基础设施建设规划。编制、实施数字基础设施发展规划和数字基础设施建设规划应当遵循适度超前、合理布局、共建共享、互联互通的原则重点推进高速泛在、天地一体、云网融合、智能敏捷、绿色低碳、安全可控的数字基础设施建设。
江苏省数字经济促进条例,,,第三章 数字基础设施建设,,第十七条 县级以上地方人民政府编制国土空间规划时应当统筹考虑数字基础设施的空间布局安排。交通、电力、市政、公共安全等相关基础设施规划应当结合数字经济发展需要与数字基础设施相关规划相互协调和衔接。
江苏省数字经济促进条例,,,第三章 数字基础设施建设,,第十八条 县级以上地方人民政府以及有关部门应当加快通信网络基础设施建设支持新一代移动通信网络和高速固定宽带网络部署推进城乡信息通信网络服务能力一体化提升网络性能和服务能力。新建、扩建建设工程建设单位应当根据规划按照国家和省有关标准预留基站站址配套建设通信网络基础设施与主体工程同步设计、同步施工、同步验收。推动老旧小区改造配套建设通信网络基础设施。
