文件名,编,分编,章,节,内容
江西省三清山风景名胜区管理条例,,,第一章 总 则,,第一条 为了加强三清山风景名胜区的保护和管理合理利用风景名胜资源根据有关法律、行政法规的规定结合三清山风景名胜区实际制定本条例。
江西省三清山风景名胜区管理条例,,,第一章 总 则,,第二条 三清山风景名胜区的范围按照国务院批准的《三清山风景名胜区总体规划》以下简称《总体规划》确定的界线坐标划定。具体包括梯云岭、玉京峰、三清宫、西华台、玉灵观、冰玉洞、仙桥墩等景区和八石祭龙潭、玉帘瀑布、浮凉坑水库等景点。
江西省三清山风景名胜区管理条例,,,第一章 总 则,,第三条 三清山风景名胜区的保护、利用和管理应当遵循科学规划、统一管理、严格保护、永续利用的原则。
江西省三清山风景名胜区管理条例,,,第一章 总 则,,第四条 三清山风景名胜区管理委员会以下简称三清山管委会是上饶市人民政府的派出机构依照本条例的规定负责三清山风景名胜区的保护、利用和统一管理工作。在三清山风景名胜区内的所有单位除各自业务受上级主管部门领导外都必须服从三清山管委会对风景名胜区的统一规划和管理。
江西省三清山风景名胜区管理条例,,,第一章 总 则,,第五条 三清山管委会的职责是风景名胜区详细规划》以下简称《详细规划》保护和合理利用风景名胜资源的管理改善游览服务条件
江西省三清山风景名胜区管理条例,,,第一章 总 则,,第六条 省人民政府林业主管部门负责三清山风景名胜区的监督管理工作。省人民政府其他有关行政部门按照规定的职责分工负责三清山风景名胜区的有关监督管理工作。
江西省三清山风景名胜区管理条例,,,第二章 规 划,,第七条 经国务院批准的《总体规划》和依据《总体规划》编制的《详细规划》是三清山风景名胜区保护、利用和管理的依据必须严格执行。
江西省三清山风景名胜区管理条例,,,第二章 规 划,,第八条 《详细规划》由省人民政府林业主管部门根据《总体规划》组织编制报国务院住林业和草原主管部门批准。
江西省三清山风景名胜区管理条例,,,第二章 规 划,,第九条 《详细规划》应当根据景区、景点的不同要求和国家有关技术规范编制确定基础设施、旅游设施、文化设施等建设项目的选址、布局与规模并明确建设用地范围和规划设计条件。编制《详细规划》应当委托具有乙级以上规划编制资质等级的单位承担。
江西省三清山风景名胜区管理条例,,,第二章 规 划,,第十条 《详细规划》草案应当广泛征求有关部门、专家和公众的意见有关部门、专家和公众对《详细规划》草案提出重大异议的省人民政府林业主管部门应当通过召开论证会、听证会等方式进行论证。报送《详细规划》的审批材料应当包括社会各界的意见和意见采纳的情况以及未予采纳的理由。
江西省三清山风景名胜区管理条例,,,第二章 规 划,,第十一条 省人民政府林业主管部门应当将经批准的《总体规划》和《详细规划》的主要内容通过政府网站等形式向社会公布任何单位和个人都有权查阅。
江西省三清山风景名胜区管理条例,,,第二章 规 划,,第十二条 经批准的《总体规划》和《详细规划》不得擅自修改。确需修改的应当按照原审批程序报批。
江西省三清山风景名胜区管理条例,,,第三章 保 护,,第十三条 三清山风景名胜区的景观和自然环境应当严格保护不得破坏或者随意改变。三清山管委会应当根据有关风景名胜资源保护的法律、法规组织落实风景名胜区内景观和自然环境的保护责任。三清山风景名胜区内的单位、村居民和游客不得破坏风景名胜区的景物、水体、林草植被、野生动物和各项设施。
江西省三清山风景名胜区管理条例,,,第三章 保 护,,第十四条 三清山管委会应当对风景名胜区内的自然人文景观进行调查、鉴定建立档案对特殊地质遗迹、人文景观等重点保护对象应当制定相应的保护措施。
江西省三清山风景名胜区管理条例,,,第三章 保 护,,第十五条 三清山管委会应当做好风景名胜区内地质灾害防治植树造林以及森林防火和林业有害生物防治等森林资源的保护工作。三清山管委会根据森林资源保护、生态恢复和森林防火的需要可以对重要景区、景点实行临时性封闭并予以公告。
江西省三清山风景名胜区管理条例,,,第三章 保 护,,第十六条 三清山风景名胜区按照其景观价值和保护需要分为特级、一级、二级、三级保护区。各级保护区由三清山管委会依据《总体规划》确定的范围竖桩标界。
江西省三清山风景名胜区管理条例,,,第三章 保 护,,第十七条 在三清山风景名胜区三级保护区内禁止下列行为物品的设施破坏景观、植被和地形地貌的活动景物和设施
江西省三清山风景名胜区管理条例,,,第三章 保 护,,第十八条 在三清山风景名胜区二级保护区内禁止下列行为建筑物
江西省三清山风景名胜区管理条例,,,第三章 保 护,,第十九条 在三清山风景名胜区一级保护区内禁止下列行为一级保护区内已有宾馆的经营者应当逐步缩减床位并在本条例施行之日起三年内全部迁出现有床位。
江西省三清山风景名胜区管理条例,,,第三章 保 护,,第二十条 在三清山风景名胜区特级保护区内禁止下列行为
江西省三清山风景名胜区管理条例,,,第三章 保 护,,第二十一条 在三清山风景名胜区内进行下列活动应当征求三清山管委会的意见并依照有关法律、法规的规定报有关主管部门批准
江西省三清山风景名胜区管理条例,,,第三章 保 护,,第二十二条 在三清山风景名胜区内进行新建、改建和扩建等各项建设活动必须依照有关法律、法规的规定和基本建设程序办理审批手续。三清山风景名胜区内建设项目的选址方案应当经三清山管委会审核后报省人民政府林业主管部门核准。建设项目可能对国家和地方重点野生动植物生长栖息产生不利影响的建设单位提交的环境影响报告文件中应当对此作出评价生态环境主管部门在审批环境影响报告文件时应当征求省野生动植物主管部门的意见。
江西省三清山风景名胜区管理条例,,,第三章 保 护,,第二十三条 三清山风景名胜区内建设项目的布局、高度、体量、造型和色彩等应当保持三清山风景名胜区特色与周围景观和环境相协调。景区内已有的污染环境或者有碍景观的设施三清山管委会应当限期拆除或者外迁。
江西省三清山风景名胜区管理条例,,,第三章 保 护,,第二十四条 经批准在三清山风景名胜区内进行建设活动的单位和个人应当采取有效措施保护好施工现场周围的山体、水体、林木植被、名胜古迹、地质遗迹等景物和环境施工结束后应当及时清理场地、恢复环境原貌。
江西省三清山风景名胜区管理条例,,,第三章 保 护,,第二十五条 三清山风景名胜区内的村居民建房应当按照统一规划进行建设其建设规模、用地面积由上饶市自然资源主管部门和三清山管委会依法确定。
江西省三清山风景名胜区管理条例,,,第四章 利用和管理,,第二十六条 三清山管委会应当根据三清山风景名胜区《总体规划》和《详细规划》合理利用风景名胜资源开展健康有益的游览观光和文化娱乐活动普及历史、文化和科学知识。
江西省三清山风景名胜区管理条例,,,第四章 利用和管理,,第二十七条 三清山管委会应当逐步改善风景名胜区内的交通、服务设施和游览条件合理核定各景区、景点的游客容量和游览路线设置规范的地名标志和路标做好旅游旺季游客的疏导工作并加强对导游、轿工等服务人员的管理。
江西省三清山风景名胜区管理条例,,,第四章 利用和管理,,第二十八条 三清山管委会应当建立健全安全保障制度加强对其所属职工及游客的安全教育和管理工作保障游览安全并督促风景名胜区内的经营者自觉接受有关部门依据法律、法规、规章进行的监督检查。三清山管委会应当在景区险要部位设置必要的安全设施和警示牌并不得超过核定容量接纳游客以及在没有安全保障的区域开展游览活动。
江西省三清山风景名胜区管理条例,,,第四章 利用和管理,,第二十九条 三清山管委会应当加强治安、消防管理工作及时制止、处理破坏风景名胜区资源危害游客人身、财产安全的行为确保良好的社会秩序。
江西省三清山风景名胜区管理条例,,,第四章 利用和管理,,第三十条 三清山管委会应当加强对风景名胜区内环境卫生和食品卫生的监督管理设置必要的卫生设施保持景区良好的卫生环境。从事经营活动的单位和个人应当遵守环境卫生和食品卫生管理的有关规定。三清山管委会应当组织对风景名胜区内的污水进行无害化处理并对建筑、生活垃圾安排统一清运。
江西省三清山风景名胜区管理条例,,,第四章 利用和管理,,第三十一条 进入三清山风景名胜区的营运车辆应当按照三清山管委会核定的线路行驶并定点停靠非营运车辆应当按照三清山管委会规定的线路行驶并在规定的地点停放。
江西省三清山风景名胜区管理条例,,,第四章 利用和管理,,第三十二条 三清山风景名胜区内宗教活动场所的管理和文物保护依照有关法律、法规、规章的规定执行。
江西省三清山风景名胜区管理条例,,,第四章 利用和管理,,第三十三条 三清山风景名胜区的门票价格依照省人民政府价格主管部门核定的标准执行。三清山风景名胜区内的交通、服务等经营项目由三清山管委会依照有关法律、法规和三清山风景名胜区规划通过招标等公平竞争的方式确定经营者。依托风景名胜资源在三清山风景名胜区内从事经营活动的单位和个人应当缴纳三清山风景名胜资源使用费。风景名胜资源使用费征收、管理和使用的具体办法由省人民政府另行制定。
江西省三清山风景名胜区管理条例,,,第四章 利用和管理,,第三十四条 省人民政府林业主管部门应当对三清山风景名胜区的规划实施情况、资源保护状况进行监督检查。对检查中发现的问题应当及时督促有关部门或者单位进行整改。
江西省三清山风景名胜区管理条例,,,第五章 法律责任,,第三十五条 违反本条例规定省人民政府林业主管部门、上饶市人民政府及其有关部门有下列行为之一的对直接负责的主管人员和其他直接责任人员按照管理权限依法给予处分
