文件名,编,分编,章,节,内容
江西省商品交易市场管理条例,,,第一章 总则,,第一条 为加强商品交易市场的管理规范市场交易行为保护市场开办者、经营者和消费者的合法权益促进商品市场的繁荣和经济发展根据国家有关法律、法规结合本省实际制定本条例。
江西省商品交易市场管理条例,,,第一章 总则,,第二条 本省行政区域内的商品交易市场开办者、经营者和市场监督管理者应当遵守本条例。
江西省商品交易市场管理条例,,,第一章 总则,,第三条 本条例所称商品交易市场是指有市场名称有固定场所、相应设施及经营服务机构有多个经营者入场实行集中、公开交易的各类生活资料、生产资料现货市场以下简称市场。本条例所称市场开办者是指投资开办市场或者从事市场物业经营服务的法人或者其他组织。本条例所称经营者是指在市场从事商品交易或者营利性服务的法人、个体工商户或者其他组织。
江西省商品交易市场管理条例,,,第一章 总则,,第四条 县级以上人民政府应当加强对市场规划、建设、管理工作的领导组织、协调、督促有关部门做好市场管理和服务工作。
江西省商品交易市场管理条例,,,第一章 总则,,第五条 工商行政管理部门负责商品交易市场的监督管理应当为市场提供服务。经济贸易、公安、税务、价格、城建、环境保护、农业、卫生、质量技术监督、文化等行政主管部门和动物防疫监督机构按照各自的职责依法对市场实施监督管理。金融、电力、电信、邮政、运输等行业应当为市场建设和发展提供服务。
江西省商品交易市场管理条例,,,第二章 市场开办,,第六条 建设、开办市场必须坚持统筹规划、合理布局、促进流通、方便生活、讲求实效的原则。县级以上人民政府应当对本行政区域内的市场建设制定市场布局规划市场布局规划必须符合城市总体规划。在制定旧城改造方案时应当按照城市总体规划的要求预留市场的场地。
江西省商品交易市场管理条例,,,第二章 市场开办,,第七条 开办市场应当具备下列条件
江西省商品交易市场管理条例,,,第二章 市场开办,,第八条 任何单位和个人不得非法强行关停市场或者非法拆毁市场设施不得非法占用市场场地。
江西省商品交易市场管理条例,,,第二章 市场开办,,第九条 市场开办者向经营者出租或者出售摊位、柜台、场地可以采取招标或者拍卖、拍租方式。
江西省商品交易市场管理条例,,,第二章 市场开办,,第十条 市场开办者可以按照约定向经营者收取市场设施租赁费或者使用费。
江西省商品交易市场管理条例,,,第二章 市场开办,,第十一条 市场开办者应当负责市场内服务设施和安全卫生设施的建设和维修按规定设立标志牌和场界牌为消费者设置免费复检的合格的法定计量器具建立和落实市场内卫生、防火、防盗、治保等有关保障市场正常交易的管理制度和服务措施。
江西省商品交易市场管理条例,,,第二章 市场开办,,第十二条 在城市举办商品展销会、交易会、物资交流会应当有详细的组织方案和安全措施。
江西省商品交易市场管理条例,,,第三章 市场商品交易,,第十三条 经营者应当依法经营其合法权益受法律保护。经营者应当遵守商业道德和市场公约在核准的经营范围内自主经营按照国家和省人民政府规定的范围决定商品价格或者服务收费标准并有权拒绝交纳法律、法规或者省人民政府规定以外的收费。
江西省商品交易市场管理条例,,,第三章 市场商品交易,,第十四条 经营者上市交易的商品种类、标识、质量、计量、包装及广告宣传等必须符合法律、法规的有关规定不得哄抬物价欺行霸市侵犯消费者合法权益。
江西省商品交易市场管理条例,,,第三章 市场商品交易,,第十五条 经营者进入市场必须持有营业执照并在经营场地明显处悬挂证照但临时销售自产农副产品的农民除外。在市场内固定经营的经营者应当与市场开办者签订入场经营书面协议。
江西省商品交易市场管理条例,,,第三章 市场商品交易,,第十六条 上市商品应当按商品种类划分不同的经营区域。市场开办者应当在工商行政管理部门的指导下统一划定经营区域经营者应当按照划定的经营区域和营业执照的经营范围经营不得随意摆摊设点。
江西省商品交易市场管理条例,,,第三章 市场商品交易,,第十七条 市场开办者在其开办的市场内从事商品交易活动不得利用其经营服务的有利条件与其他经营者进行不正当竞争。
江西省商品交易市场管理条例,,,第四章 市场监督管理,,第十八条 工商行政管理部门对市场的监督管理具体履行下列职责
江西省商品交易市场管理条例,,,第四章 市场监督管理,,第十九条 执法人员在市场依法执行公务时应当出示法定执法证件对未出示证件的市场开办者和经营者有权拒绝。
江西省商品交易市场管理条例,,,第四章 市场监督管理,,第二十条 各级人民政府及工商行政管理部门应当对举报、查处违法经营活动有功的单位和个人给予表彰、奖励。
江西省商品交易市场管理条例,,,第五章 法律责任,,第二十一条 违反本条例规定批准不符合城市总体规划的市场建设项目的对直接负责的主管人员和其他直接责任人员依法给予行政处分。
江西省商品交易市场管理条例,,,第五章 法律责任,,第二十二条 市场开办者因违法行为造成入场经营者经济损失的应当承担赔偿责任。
江西省商品交易市场管理条例,,,第五章 法律责任,,第二十三条 市场开办者未履行本条例第十一条规定造成市场交易秩序混乱的由工商行政管理部门予以警告责令限期整顿。
江西省商品交易市场管理条例,,,第五章 法律责任,,第二十四条 经营者违反本条例第十五条第一款规定未悬挂证照经营的或者违反本条例第十六条第二款规定在市场内随意摆摊经营的由工商行政管理部门责令改正拒不改正的处二百元以下罚款。
江西省商品交易市场管理条例,,,第五章 法律责任,,第二十五条 工商行政管理部门查处市场违法案件时可依法调查经营活动、查阅有关经营凭证采取扣留、查封违法商品等强制措施对扣留、查封的商品可依法销毁、拍卖或者作价处理。
江西省商品交易市场管理条例,,,第五章 法律责任,,第二十六条 当事人对行政处罚决定不服的可以依法申请行政复议或者直接提起行政诉讼。
江西省商品交易市场管理条例,,,第五章 法律责任,,第二十七条 执法人员滥用职权、玩忽职守、徇私舞弊、收受贿赂构成犯罪的依法追究刑事责任尚未构成犯罪的依法给予行政处分。侵犯公民、法人或者其他组织合法权益并造成损害的依法赔偿。
江西省商品交易市场管理条例,,,第六章 附则,,第二十八条 本条例自 1997 年 3 月 1 日起施行。
