文件名,编,分编,章,节,内容
江西省实施《中华人民共和国水土保持法》办法,,,第一章 总 则,,第一条 为了预防和治理水土流失保护和合理利用水土资源减轻水、旱、风沙灾害改善生态环境保障经济社会可持续发展根据《中华人民共和国水土保持法》的规定结合本省实际制定本办法。
江西省实施《中华人民共和国水土保持法》办法,,,第一章 总 则,,第二条 在本省行政区域内开展水土保持工作或者从事可能造成水土流失的自然资源开发利用、生产建设及其他活动应当遵守《中华人民共和国水土保持法》和本办法。
江西省实施《中华人民共和国水土保持法》办法,,,第一章 总 则,,第三条 水土保持工作实行预防为主、保护优先、全面规划、综合治理、因地制宜、突出重点、科学管理、注重效益的方针坚持谁开发利用水土资源谁负责保护、谁造成水土流失谁负责治理的原则。
江西省实施《中华人民共和国水土保持法》办法,,,第一章 总 则,,第四条 县级以上人民政府应当加强对水土保持工作的统一领导将水土保持工作纳入本级国民经济和社会发展规划对水土保持规划确定的任务安排专项资金并组织实施。在水土流失重点预防区和重点治理区按照国家和省有关规定多渠道筹集资金用于水土保持工作。水土流失重点预防区和重点治理区的县级以上人民政府应当每年向本级人民代表大会常务委员会和上一级人民政府水行政主管部门分别报告水土保持工作。实行各级人民政府水土保持目标责任制和考核奖惩制度。
江西省实施《中华人民共和国水土保持法》办法,,,第一章 总 则,,第五条 县级以上人民政府水行政主管部门主管本行政区域的水土保持工作具体职责是查处水土保持违法行为持规划并组织实施保持监测网络监测、预报本地区水土流失动态技术推广工作县级以上人民政府发展改革、工业和信息化、财政、农业农村、林业、自然资源、生态环境、交通运输、住房和城乡建设、气象等部门按照各自职责依法做好水土流失预防和治理的有关工作。乡镇的水土保持工作由乡镇人民政府负责日常工作由乡镇水务站或者水利水保站负责。
江西省实施《中华人民共和国水土保持法》办法,,,第一章 总 则,,第六条 各级人民政府及其有关部门应当重视并开展水土保持宣传和教育工作普及水土保持科学知识增强公众的水土保持意识。
江西省实施《中华人民共和国水土保持法》办法,,,第一章 总 则,,第七条 任何单位和个人都有保护水土资源、预防和治理水土流失的义务并有权对破坏水土资源、造成水土流失的行为进行举报。
江西省实施《中华人民共和国水土保持法》办法,,,第一章 总 则,,第八条 有下列情形之一的单位和个人由县级以上人民政府给予表彰、奖励贡献的成果推广中成绩突出的。
江西省实施《中华人民共和国水土保持法》办法,,,第二章 规 划,,第九条 水土保持规划应当在水土流失调查结果以及水土流失重点预防区和重点治理区划定的基础上遵循统筹协调、分类指导的原则编制并与国土空间规划、水资源规划和环境保护规划等相协调。
江西省实施《中华人民共和国水土保持法》办法,,,第二章 规 划,,第十条 省人民政府水行政主管部门负责全省水土流失调查并公告结果公告前应当将调查结果报国务院水行政主管部门备案。全省水土流失调查应当每五年开展一次特殊情况下可以适时开展。水土流失调查结果公告应当包含下列主要内容
江西省实施《中华人民共和国水土保持法》办法,,,第二章 规 划,,第十一条 县级以上人民政府水行政主管部门应当会同同级人民政府有关部门依据水土流失调查结果以及上级水土流失重点预防区和重点治理区划定结果提出本级水土流失重点预防区和重点治理区报本级人民政府划定并公告。水土流失潜在危险较大对防洪安全、水资源安全和生态安全有重大影响的主要江河源头区、水源涵养区、饮用水水源区等应当划定为水土流失重点预防区。人口密度较大自然条件恶劣生态环境恶化水旱风沙灾害严重崩塌、滑坡危险区和泥石流易发区等水土流失严重的区域应当划定为水土流失重点治理区。
江西省实施《中华人民共和国水土保持法》办法,,,第二章 规 划,,第十二条 水土保持规划的内容应当包括水土流失状况、水土流失类型区划分、水土流失防治目标、任务和措施等。水土保持规划包括对流域或者区域预防和治理水土流失、保护和合理利用水土资源作出的整体部署以及根据整体部署对水土保持专项工作或者特定区域预防和治理水土流失作出的专项部署。编制水土保持规划应当采取座谈会、论证会、听证会或者发布信息、印发调查问卷等多种形式征求专家和公众的意见。
江西省实施《中华人民共和国水土保持法》办法,,,第二章 规 划,,第十三条 县级以上人民政府水行政主管部门会同同级人民政府有关部门编制水土保持规划报本级人民政府批准后由水行政主管部门组织实施。跨行政区域的水土保持规划应当由其共同的上一级人民政府水行政主管部门会同同级人民政府有关部门编制报本级人民政府批准后由水行政主管部门组织实施。水土保持规划一经批准应当严格执行确需修改的应当按照规划编制程序报原批准机关批准。
江西省实施《中华人民共和国水土保持法》办法,,,第二章 规 划,,第十四条 有关基础设施建设、工业园区建设、农业开发、果业开发、矿产资源开发、城镇建设、旅游景区建设、公共服务设施建设等方面的规划在实施过程中可能造成水土流失的规划的组织编制机关应当分析论证规划所涉及的项目对水土资源、生态环境的影响并在规划中提出水土流失预防和治理的对策和措施有关规划在报请审批前应当征求本级人民政府水行政主管部门的意见。
江西省实施《中华人民共和国水土保持法》办法,,,第三章 预 防,,第十五条 各级人民政府应当按照水土保持规划采取封育保护、自然修复等措施组织单位和个人植树造林扩大森林覆盖面积提高森林质量鼓励种草增加和保护植被开发和节约农村能源减少薪炭林的砍伐预防和减轻水土流失。
