文件名,编,分编,章,节,内容
沈阳市公路路政管理条例,,,第一章 总 则,,第一条 为了加强公路路政管理保障公路完好畅通促进经济和社会发展根据《中华人民共和国公路法》等有关法律、法规的规定结合本市实际制定本条例。
沈阳市公路路政管理条例,,,第一章 总 则,,第二条 本条例适用于本市行政区域内的国道、省道、县道、乡道和村道的公路路政管理。
沈阳市公路路政管理条例,,,第一章 总 则,,第三条 本条例所称的公路路政管理是指交通行政主管部门依法对公路、公路用地、公路附属设施和公路两侧的建筑控制区实施的行政管理。
沈阳市公路路政管理条例,,,第一章 总 则,,第四条 市人民政府交通行政主管部门主管本市的公路路政管理工作。区、县市人民政府交通行政主管部门按照管理权限负责本行政区域内的公路路政管理工作。市和区、县市人民政府交通行政主管部门可以决定由公路管理机构依照本条例的规定行使公路行政管理职责。规划、建设、土地、公安、水利、工商等有关部门应当按照各自职责做好公路路政管理的有关工作。
沈阳市公路路政管理条例,,,第一章 总 则,,第五条 公路路政管理工作应当遵循统一管理、分级负责、依法行政的原则。
沈阳市公路路政管理条例,,,第一章 总 则,,第六条 任何单位和个人应当遵守公路路政管理的法律、法规有爱护公路、公路用地和公路附属设施的义务有权检举和控告破坏、损坏公路、公路用地、公路附属设施和影响公路安全的行为。市和区、县市人民政府或者交通行政主管部门应当对保护公路、公路用地和公路附属设施做出突出贡献的单位和个人给予表彰和奖励。
沈阳市公路路政管理条例,,,第二章 公路和公路用地管理,,第七条 本条例所称公路包括公路桥梁、公路隧道和公路渡口。本条例所称公路用地是指公路两侧边沟截水沟、坡脚护坡道下同外缘起不少于一米范围的土地。公路用地的具体范围依法按照管理权限由县级以上人民政府确定。
沈阳市公路路政管理条例,,,第二章 公路和公路用地管理,,第八条 禁止任何单位和个人在公路上非法设卡、收费、罚款和拦截车辆。
沈阳市公路路政管理条例,,,第二章 公路和公路用地管理,,第九条 在公路上及公路用地范围内禁止下列行为一设置路障、棚屋、摊点、招牌、加油站以及维修、洗车、停车场点二填塞、挖掘排水沟在公路桥涵或者排水沟筑坝、设置闸门三在公路桥梁铺设输送易燃、易爆、有毒气体和液体的管道四采矿、取土、挖沙、养鱼、种植作物、烧窑、制坯、沤肥、打场、晒物、燃烧物品、排放污水五倾倒和堆放垃圾、淤泥、杂物或者其他非公路养护施工材料六利用车辆占路经营七机动车制造、维修和检测单位将公路作为检验机动车制动性能的试车场地八其他损坏、污染公路和影响公路畅通的行为。
沈阳市公路路政管理条例,,,第二章 公路和公路用地管理,,第十条 任何单位和个人不得擅自占用、挖掘公路。因建设工程需要占用、挖掘公路或者使公路改线的建设单位应当按照管理权限事先征得交通行政主管部门的同意影响交通安全的还须征得有关公安机关的同意。建设单位占用、挖掘公路或者使公路改线的应当按照不低于该段公路原有的技术标准予以修复、改建或者给予相应的经济补偿。
沈阳市公路路政管理条例,,,第二章 公路和公路用地管理,,第十一条 在公路上增设平面交叉道口须依据国家有关规定经过批准并按照国家规定的技术标准建设。
沈阳市公路路政管理条例,,,第二章 公路和公路用地管理,,第十二条 在大中型公路桥梁和渡口周围 200 米、小型公路桥涵周围 80 米、公路隧道上方和洞口外 100 米范围内以及在公路两侧限定距离内禁止下列行为一爆破、采石、取土、挖沙二倾倒垃圾、污物、堆放或者倒运物资三其他危及公路、公路桥梁、公路隧道、公路渡口安全的行为。在前款范围内因抢险、防汛需要修筑堤坝、压缩或者拓宽河床的须依法批准。
沈阳市公路路政管理条例,,,第二章 公路和公路用地管理,,第十三条 跨越、穿越公路修建桥梁、渡槽或者架设、埋设管线等设施的以及在公路用地范围内架设、埋设管线、电缆的应当按照管理权限事先经交通行政主管部门同意影响交通安全的还必须征得有关公安机关的同意所修建、架设或者埋设的设施应当符合公路工程技术标准的要求。对公路造成损坏的应当按照损坏程度给予补偿。
沈阳市公路路政管理条例,,,第二章 公路和公路用地管理,,第十四条 超过公路、公路桥梁、公路隧道的限载、限高、限宽、限长标准的车辆不得在有限定标准的公路、公路桥梁上或者公路隧道内行驶。超过限定标准确需行驶的应当按照管理权限经交通行政主管部门批准并按照要求采取有效的防护措施运载不可解体的超限物品的应当按照指定的时间、路线、时速行驶并悬挂明显标志。运输单位不能按照前款规定采取防护措施的应当按照管理权限由交通行政主管部门帮助其采取防护措施所需费用由运输单位承担。
沈阳市公路路政管理条例,,,第二章 公路和公路用地管理,,第十五条 除农业机械因当地田间作业需要在公路上短距离行驶外铁轮车、履带车和其他可能损害公路路面的机具不得在公路上行驶。确需行驶的按照管理权限经交通行政主管部门同意采取有效的防护措施并按照公安机关指定的时间、路线行驶。对公路造成损坏的应当按照损坏程度给予补偿。
沈阳市公路路政管理条例,,,第二章 公路和公路用地管理,,第十六条 造成公路损坏的责任者应当及时向交通行政主管部门报告并接受现场调查。
沈阳市公路路政管理条例,,,第二章 公路和公路用地管理,,第十七条 新建公路和公路改线、改建、扩建建设单位应当按照管理权限在公路交付使用时将有关资料移交交通行政主管部门。
沈阳市公路路政管理条例,,,第二章 公路和公路用地管理,,第十八条 在公路上进行施工作业的必须设立明显警告标志夜间还必须悬挂警示红灯。施工作业影响车辆通行需要绕行的必须在绕行路口设置标志不能绕行的必须修建临时道路保证车辆和行人通行确需封闭道路中断交通的施工单位除紧急情况外应当提前 5 日向社会公告同时在前段路口设立标志。
沈阳市公路路政管理条例,,,第三章 公路附属设施管理,,第十九条 本条例所称公路附属设施是指为保护、养护公路和保障公路安全畅通所设置的公路防护、排水、养护、管理、服务、交通安全、渡运、监控、收费等设施、设备以及专用建筑物、构筑物等。
