文件名,编,分编,章,节,内容
河北省人民代表大会常务委员会关于加强检察公益诉讼工作的决定,,,,,第一条 为了加强检察公益诉讼工作充分发挥检察机关法律监督职能促进依法行政、严格执法维护社会公平正义维护国家和社会公共利益保障公民权益根据《中华人民共和国民事诉讼法》《中华人民共和国行政诉讼法》和有关法律结合本省实际制定本决定。
河北省人民代表大会常务委员会关于加强检察公益诉讼工作的决定,,,,,第二条 检察机关应当依法履行法律监督职能落实检察长负责制充分运用诉前检察建议、提起诉讼、支持起诉等方式全面深入开展公益诉讼工作。
河北省人民代表大会常务委员会关于加强检察公益诉讼工作的决定,,,,,第三条 检察机关依法办理生态环境和资源保护、食品药品安全、国有土地使用权出让、国有财产保护、英雄烈士保护等领域公益诉讼案件办理安全生产、防灾减灾、应急救援、文物和文化遗产保护、个人信息保护、大数据安全、互联网侵害公益、弘扬社会主义核心价值观等领域公益诉讼案件办理法律规定的其他公益诉讼案件。会同军事检察机关开展涉军公益诉讼工作。
河北省人民代表大会常务委员会关于加强检察公益诉讼工作的决定,,,,,第四条 检察机关办理公益诉讼案件可以通过以下方式收集证据、核实情况证人等题的意见
河北省人民代表大会常务委员会关于加强检察公益诉讼工作的决定,,,,,第五条 行政机关、其他组织和公民应当配合检察机关依法开展工作。妨碍调查核实的依照下列方式作出处理以建议有关机关和单位给予处分有关机关和单位应当在两个月内将处理结果及时反馈阻碍检察人员调查的检察机关应当及时采取制止、控制、强行带离现场等处置措施聚众围攻等方式干扰、阻碍检察人员依法办理公益诉讼案件的违法犯罪行为公安机关接警后应当依法及时处理。构成犯罪的依法追究刑事责任。
河北省人民代表大会常务委员会关于加强检察公益诉讼工作的决定,,,,,第六条 检察机关应当规范公益诉讼诉前检察建议的办理流程、跟进监督、成效评估以及诉讼衔接等程序。
河北省人民代表大会常务委员会关于加强检察公益诉讼工作的决定,,,,,第七条 检察机关发出检察建议时除法律规定的送达方式外还可以采取宣告送达。宣告送达检察建议书商被建议单位同意可以在检察机关、被建议单位或者其他适宜场所进行。
河北省人民代表大会常务委员会关于加强检察公益诉讼工作的决定,,,,,第八条 检察机关应当及时对检察建议的采纳落实情况进行跟踪督促法履职对未整改或到期未整改到位的案件应当依法起诉时向同级人民政府提出工作建议体性事件的公益诉讼案件在向有关行政机关发出检察建议的同时向同级人民代表大会常务委员会报备。
河北省人民代表大会常务委员会关于加强检察公益诉讼工作的决定,,,,,第九条 各级人民政府应当支持配合检察公益诉讼工作协助检察机关依法开展相关工作。各级人民政府及其行政部门依法支持配合检察公益诉讼工作情况作为法治政府建设考核的重要内容。
河北省人民代表大会常务委员会关于加强检察公益诉讼工作的决定,,,,,第十条 行政机关对检察机关提出的诉前检察建议应当在收到检察建议书之日起两个月内整改并书面回复办理情况。必要时可以商请检察机关开展联合调查和检查。行政机关分阶段采取整改措施的应当将每一阶段整改情况及时书面回复。出现国家利益或者社会公共利益损害继续扩大等紧急情形的应当在十五日内书面回复。行政机关书面回复的应当附相关证明材料。对已经履行职责或者不属于违法行使职权、行政不作为的应当及时向检察机关提供资料并说明情况。
河北省人民代表大会常务委员会关于加强检察公益诉讼工作的决定,,,,,第十一条 对检察机关提起的行政公益诉讼案件被诉行政机关负责人应当出庭应诉有正当理由的除外。
河北省人民代表大会常务委员会关于加强检察公益诉讼工作的决定,,,,,第十二条 审判机关应当依法及时受理、审理检察机关提起的公益诉讼案件并与检察机关加强沟通协调健全、规范检察公益诉讼案件的受理、管辖、审理、裁判、执行等程序。
河北省人民代表大会常务委员会关于加强检察公益诉讼工作的决定,,,,,第十三条 检察机关对涉及案件的专门性问题应当进行鉴定。难以鉴定的审判机关、检察机关应当结合案件其他证据以及行政执法机关的意见、专家意见等予以合理确定。
河北省人民代表大会常务委员会关于加强检察公益诉讼工作的决定,,,,,第十四条 审判机关对检察机关提出的财产保全、证据保全建议应当及时审查依法采取保全措施。
河北省人民代表大会常务委员会关于加强检察公益诉讼工作的决定,,,,,第十五条 审判机关审理生态环境和资源保护领域公益诉讼案件应当增加补植复绿、土地复垦、增殖放流、替代性修复等恢复性司法裁判内容确保生效裁判执行。对需要组织生态修复等协助执行事项的应当及时通知相关行政机关。
河北省人民代表大会常务委员会关于加强检察公益诉讼工作的决定,,,,,第十六条 审判机关应当建立执行情况评估、强制执行、执行不力责任追究制度加强移送执行和执行监督确保国家和社会公共利益得到有效保护。对被告不履行生效判决、裁定的应当及时将案件移送执行对不履行相关义务的被执行人、协助执行人依法追究责任。
河北省人民代表大会常务委员会关于加强检察公益诉讼工作的决定,,,,,第十七条 有关机关及部门应当加强与检察机关在公益诉讼工作中的协作配合落实常态化联络制度完善会商研判、信息通报等沟通协调措施。
河北省人民代表大会常务委员会关于加强检察公益诉讼工作的决定,,,,,第十八条 检察机关与行政机关应当加强工作衔接建立行政执法与公益诉讼起诉及审理工作衔接信息平台依法双向开放相关信息和数据实现信息共享。
河北省人民代表大会常务委员会关于加强检察公益诉讼工作的决定,,,,,第十九条 检察机关应当建立案件线索移送机制。对有关单位或者个人干扰、阻碍检察机关依法行使公益诉讼调查核实权以非法定理由要求检察机关撤案、撤诉干涉、阻挠检察机关开展公益诉讼办案工作或者行政机关不落实检察建议导致国家和社会公共利益遭受重大损失应当依法追究相关人员责任的应当将案件线索移送监察机关或者有关机关依法处理。监察机关或者有关机关作出处理后应当及时向检察机关反馈。
