文件名,编,分编,章,节,内容
河北省价格监督检查条例,,,第一章 总则,,第一条 为了规范价格监督检查依法惩处价格违法行为保护公民、法人和其他组织的合法权益根据《中华人民共和国价格法》、《价格违法行为行政处罚规定》等法律、行政法规的规定结合本省实际制定本条例。
河北省价格监督检查条例,,,第一章 总则,,第二条 本条例适用于本省行政区域内对商品价格、服务价格和行政事业性收费的监督检查。
河北省价格监督检查条例,,,第一章 总则,,第三条 价格监督检查应当遵循合法、公正、公开的原则维护正常的价格秩序及时查处价格违法行为。
河北省价格监督检查条例,,,第一章 总则,,第四条 县级以上人民政府应当加强对价格监督检查工作的领导协调、解决价格监督检查工作中的重大问题。
河北省价格监督检查条例,,,第一章 总则,,第五条 县级以上人民政府价格主管部门负责本行政区域内的价格监督检查工作其设置的价格监督检查机构负责价格监督检查的具体工作。县级以上人民政府财政、市场监管等有关部门在各自职责范围内做好价格监督检查的相关工作。
河北省价格监督检查条例,,,第二章 价格行为,,第六条 经营者有权自主制定属于市场调节的价格和政府指导价规定幅度内的价格。
河北省价格监督检查条例,,,第二章 价格行为,,第七条 经营者应当执行依法制定的政府指导价、政府定价和法定的价格干预措施、紧急措施。
河北省价格监督检查条例,,,第二章 价格行为,,第八条 经营者应当严格执行明码标价规定及时公布商品价格和服务收费标准。
河北省价格监督检查条例,,,第二章 价格行为,,第九条 经营者不得利用在交易中的优势地位从事下列价格行为的服务质价不符
河北省价格监督检查条例,,,第二章 价格行为,,第十条 执行市场调节价的经营者不得有下列行为者的合法权益商品外为了排挤竞争对手或者独占市场以低于成本的价格倾销扰乱正常的生产经营秩序损害国家利益或者其他经营者的合法权益上涨其他经营者与其进行交易经营者实行价格歧视服务以及变相提高或者压低价格
河北省价格监督检查条例,,,第二章 价格行为,,第十一条 执行政府指导价、政府定价的经营者不得有下列行为者服务价格变相提高收费标准
河北省价格监督检查条例,,,第二章 价格行为,,第十二条 实施法定价格干预措施、紧急措施期间经营者不得有下列行为
河北省价格监督检查条例,,,第二章 价格行为,,第十三条 行政事业性收费单位不得有下列行为变更名称继续收费收费或转移到其他单位进行收费
河北省价格监督检查条例,,,第二章 价格行为,,第十四条 行业组织、具有价格垄断地位的经营者应当加强价格自律维护本行业的价格秩序。
河北省价格监督检查条例,,,第三章 监督检查,,第十五条 县级以上人民政府价格主管部门应当建立健全日常检查制度完善联合检查、随机抽查、交叉检查等工作机制依法公开价格监督检查情况。
河北省价格监督检查条例,,,第三章 监督检查,,第十六条 县级以上人民政府价格主管部门应当在实施价格干预措施、价格紧急措施或者重要节假日、重大活动期间加强市场巡查及时查处价格违法行为。
河北省价格监督检查条例,,,第三章 监督检查,,第十七条 县级以上人民政府可以根据市场价格异常波动情况组织价格、财政和市场监管等部门开展价格专项检查和重点检查。
河北省价格监督检查条例,,,第三章 监督检查,,第十八条 县级以上人民政府价格主管部门进行价格监督检查时可以行使下列职权行为有关的证明材料和其他资料算机存储数据及其他相关文件和资料查询核对与价格违法行为有关的银行资料事人暂停相关营业法先行登记保存当事人或者有关人员不得转移、隐匿或者销毁。
河北省价格监督检查条例,,,第三章 监督检查,,第十九条 被检查单位或者个人应当配合价格监督检查就检查事项涉及的问题作出说明如实反映情况提供有关资料不得拒绝、阻挠、拖延。
河北省价格监督检查条例,,,第三章 监督检查,,第二十条 有下列情形之一的县级以上人民政府价格主管部门可以采取公告、会议、书面通知、约谈等方式提醒告诫相关经营者、行业组织等履行价格义务和可能承担的法律责任
河北省价格监督检查条例,,,第三章 监督检查,,第二十一条 价格监督检查人员进行价格监督检查时应当遵守下列规定有关人员出示行政执法证件
河北省价格监督检查条例,,,第三章 监督检查,,第二十二条 县级以上人民政府价格主管部门可以邀请人大代表、政协委员和群团组织、社会公众代表参加监督检查活动并对价格执法活动进行监督。
河北省价格监督检查条例,,,第三章 监督检查,,第二十三条 新闻媒体有权对价格行为进行舆论监督披露价格违法行为。
河北省价格监督检查条例,,,第三章 监督检查,,第二十四条 任何单位和个人有权举报价格违法行为。县级以上人民政府价格主管部门应当建立举报制度公布12358 举报电话、网上举报平台、通信地址等。接到举报后应当及时调查处理。对实名举报价格违法行为的举报人做好保密工作并及时反馈处理结果。
河北省价格监督检查条例,,,第四章 法律责任,,第二十五条 违反本条例第九条规定的由县级以上人民政府价格主管部门责令改正限期退还多收的费用期限届满没有退还的予以没收并处违法所得一倍以上三倍以下罚款。没有违法所得的处 50 万元以下的罚款情节较重的处 50 万元以上 150 万元以下的罚款情节严重的处 150 万元以上 300 万元以下的罚款。
河北省价格监督检查条例,,,第四章 法律责任,,第二十六条 违反本条例第十三条规定的由县级以上人民政府价格主管部门、财政部门按照各自职责责令改正限期退还多收的费用期限届满没有退还的予以没收对直接负责的主管人员和其他直接责任人员提请有关部门依法给予处分构成犯罪的依法追究刑事责任。
河北省价格监督检查条例,,,第四章 法律责任,,第二十七条 违反本条例其他规定的依据相关法律、法规进行处罚。
河北省价格监督检查条例,,,第四章 法律责任,,第二十八条 县级以上人民政府价格主管部门、价格监督检查机构及其工作人员违反本条例第二十一条规定的由其上级机关责令改正情节严重的对直接负责的主管人员和其他直接责任人员依法给予处分构成犯罪的依法追究刑事责任。
河北省价格监督检查条例,,,第五章 附则,,第二十九条 本条例自 2015 年 9 月 1 日起施行。1989 年8 月 26 日河北省第七届人民代表大会常务委员会第九次会议通过、1997 年 6 月 29 日、2010 年 7 月 30 日修正的《河北省价格监督检查条例》同时废止。
