文件名,编,分编,章,节,内容
河北省反不正当竞争条例,,,第一章 总 则,,第一条 为促进和保障社会主义市场经济健康发展鼓励和保护公平竞争制止不正当竞争行为保护经营者和消费者的合法权益根据《中华人民共和国反不正当竞争法》和有关法律、法规的规定结合本省实际制定本条例。
河北省反不正当竞争条例,,,第一章 总 则,,第二条 凡在本省行政区域内的经营者均适用本条例。本条例所称的经营者是指从事商品生产、销售或者营利性服务的法人、其他经济组织和个人。政府及其所属部门以及经营者以外的其他组织和个人其行为妨碍公平竞争的也适用本条例。
河北省反不正当竞争条例,,,第一章 总 则,,第三条 本条例所称的不正当竞争是指经营者违反《中华人民共和国反不正当竞争法》和本条例的规定损害其他经营者以及消费者的合法权益扰乱市场经济秩序的行为。
河北省反不正当竞争条例,,,第一章 总 则,,第四条 经营者不分所有制形式、行业种类和经营规模都有依法参与市场竞争的权利其合法权益受法律保护不受任何组织或者个人的非法限制、干扰或者歧视。经营者在市场竞争中应当遵循自愿、平等、公平、诚实信用的原则遵守公认的商业道德。
河北省反不正当竞争条例,,,第一章 总 则,,第五条 各级人民政府应当加强市场管理制止不正当竞争行为为公平竞争创造良好的环境和条件。县级以上人民政府工商行政管理部门负责对不正当竞争行为进行监督检查。法律、行政法规规定由其他部门监督检查的依照其规定。
河北省反不正当竞争条例,,,第一章 总 则,,第六条 各级人民政府应当支持和保护一切合法组织、个人利用投诉、舆论等各种合法手段对不正当竞争行为进行监督。监督检查部门应当为举报人保密对举报和协助查处的有功人员给予表彰或者奖励。国家机关及其工作人员不得支持、包庇不正当竞争行为。
河北省反不正当竞争条例,,,第二章 不正当竞争行为,,第七条 经营者不得采取下列假冒他人注册商标的行为品上使用与其注册商标相同或者近似的商标自制造的注册商标标识
河北省反不正当竞争条例,,,第二章 不正当竞争行为,,第八条 经营者不得擅自使用知名商品特有的或者使用与知名商品近似的名称、包装、装潢造成与他人的知名商品相混淆使购买者误认为是该知名商品。经营者不得销售前款规定的商品。经营者不得擅自生产、销售与知名商品相同或者近似的特有的包装、装潢以及含有特有名称的包装、装潢。
河北省反不正当竞争条例,,,第二章 不正当竞争行为,,第九条 经营者不得擅自使用他人的企业名称或者姓名以及代表其名称或者姓名的文字、图形、代号引人误认为是他人的商品或者服务。
河北省反不正当竞争条例,,,第二章 不正当竞争行为,,第十条 经营者不得在商品或者包装、装潢上对商品质量作下列引人误解的虚假表示量标志使用失效、被取消的质量标志商品条码标记或者监制单位加工地作成份和含量用期、失效日期
河北省反不正当竞争条例,,,第二章 不正当竞争行为,,第十一条 经营者在市场交易中不得实施下列欺行霸市行为争
河北省反不正当竞争条例,,,第二章 不正当竞争行为,,第十二条 供水、供电、供热、供气、邮政、电信等公用企业、事业组织或者其他依法具有独占地位的经营者不得实施下列限制竞争行为服务的商品或者提供的服务必要的商品及配件或者服务其他经营者提供的符合技术标准要求的商品或者服务拖延、削减供应相关商品、服务或者滥收费用交通、运输等公用企业也不得实施上述限制竞争行为和其他不正当竞争行为。营利性的金融机构开展业务应当遵循公平、竞争的原则不得从事不正当竞争行为。被指定的经营者不得借机销售质次价高商品、提供质次价高服务或者滥收费用。
河北省反不正当竞争条例,,,第二章 不正当竞争行为,,第十三条 政府及其所属部门不得以任何借口滥用行政权力干涉经营者正当合法的经营行为限定他人购买其提供的或者其指定的经营者提供的商品或者服务限制外地商品进入本地市场或者本地商品流向外地市场。被指定的经营者不得借机销售质次价高商品、提供质次价高服务或者滥收费用。
河北省反不正当竞争条例,,,第二章 不正当竞争行为,,第十四条 经营者不得用给付财物或者其他利益的手段进行贿赂以销售、购买商品或者提供、接受服务。在账外暗中给予对方单位或者个人回扣的以行贿论处对方单位或者个人在账外暗中收受回扣的以受贿论处。本条例所称回扣是指经营者销售商品或者提供服务时在账外暗中以现金、实物或者其他方式退给对方单位或者个人的一定比例的商品价款或者服务费用。
河北省反不正当竞争条例,,,第二章 不正当竞争行为,,第十五条 经营者销售商品或者提供服务可以以明示方式给对方折扣可以给中间人佣金但必须如实入账接受折扣、佣金的经营者也必须如实入账。本条例所称折扣即商品购销或者提供服务中的让利是指经营者在销售商品或者提供服务时以明示并如实入账的方式给予对方的价格优惠。
河北省反不正当竞争条例,,,第二章 不正当竞争行为,,第十六条 经营者不得利用广告或者下列方法对商品或者服务的价格、质量、规格、等级、性能、用途、制作成份、含量、制造方式、制造日期、有效期限、生产者、销售者、生产地、加工地、专利、认证、获奖、销售服务以及其他情况作引人误解的虚假宣传料虚假的宣传报道广告的代理、设计、制作、发布者不得在明知或者应知的情况下对商品或者服务作虚假宣传。影视、广播、报刊等大众传播媒介以及行业组织和消费者协会等非广告性组织不得以任何名义、方式对经营者或者商品质量、商品价格、服务质量、服务价格等作虚假或者误导性宣传。
