文件名,编,分编,章,节,内容
河北省各级人民代表大会常务委员会规范性文件备案审查条例,,,第一章 总 则,,第一条 为了规范本省各级人民代表大会常务委员会规范性文件备案审查工作加强对规范性文件的监督维护宪法、法律权威维护国家法制统一根据《中华人民共和国立法法》、《中华人民共和国各级人民代表大会常务委员会监督法》等法律参照《全国人民代表大会常务委员会关于完善和加强备案审查制度的决定》的有关规定结合本省实际制定本条例。
河北省各级人民代表大会常务委员会规范性文件备案审查条例,,,第一章 总 则,,第二条 本省各级人民代表大会常务委员会开展规范性文件备案审查工作适用本条例。本条例所称规范性文件是指本行政区域内各级人民代表大会、人民代表大会常务委员会、人民政府、监察委员会、人民法院、人民检察院、地方性法规授权的组织以下称制定机关依照法定权限和程序制定的涉及公民、法人和其他组织权利、义务具有普遍约束力在一定时期内反复适用的文件。制定机关为了实施内部管理决定人事任免和奖惩处理具体事项请示报告工作等制定的不具有普遍约束力的文件不属于本条例所称的规范性文件。
河北省各级人民代表大会常务委员会规范性文件备案审查条例,,,第一章 总 则,,第三条 县级以上各级人民代表大会常务委员会应当坚持以习近平新时代中国特色社会主义思想为指导贯彻习近平法治思想坚持党的领导、人民当家作主、依法治国有机统一按照有件必备、有备必审、有错必纠的原则依照法定权限和程序开展规范性文件备案审查工作。
河北省各级人民代表大会常务委员会规范性文件备案审查条例,,,第一章 总 则,,第四条 县级以上人民代表大会常务委员会办公厅室负责报送备案的规范性文件的接收、登记、交办和存档。县级以上人民代表大会常务委员会负责法制工作的机构是规范性文件备案审查工作机构以下称备案审查工作机构负责规范性文件备案审查的综合协调工作并开展主动审查。县级以上人民代表大会专门委员会、常务委员会其他工作机构以下称相关专工委按照职责分工负责对相关规范性文件开展审查工作。
河北省各级人民代表大会常务委员会规范性文件备案审查条例,,,第一章 总 则,,第五条 县级以上各级人民代表大会常务委员会应当加强规范性文件备案审查制度和能力建设健全备案审查工作统筹协调、衔接联动等工作机制促进规范性文件备案审查工作科学化、民主化、制度化。
河北省各级人民代表大会常务委员会规范性文件备案审查条例,,,第一章 总 则,,第六条 开展备案审查工作应当充分发扬民主加强调查研究。听取制定机关说明情况认真研究其反馈意见。听取国家机关、社会组织、企业事业单位、利益相关方和人大代表的意见注重发挥专家学者在备案审查工作中的作用。坚持备案审查工作与代表工作相结合发挥基层立法联系点作用引导社会各方面有序参与备案审查工作保障人民群众对规范性文件制定和备案审查工作的知情权、参与权、表达权、监督权。
河北省各级人民代表大会常务委员会规范性文件备案审查条例,,,第二章 备 案,,第七条 制定机关应当建立健全规范性文件制定和报送备案工作机制明确负责规范性文件报送备案工作的机构切实履行规范性文件报送备案职责。
河北省各级人民代表大会常务委员会规范性文件备案审查条例,,,第二章 备 案,,第八条 下列规范性文件应当报送本级人民代表大会常务委员会备案察规范性文件关制定的司法规范性文件其他规范性文件。
河北省各级人民代表大会常务委员会规范性文件备案审查条例,,,第二章 备 案,,第九条 下列规范性文件应当报送上一级人民代表大会常务委员会备案决议、决定等规范性文件
河北省各级人民代表大会常务委员会规范性文件备案审查条例,,,第二章 备 案,,第十条 有关国家机关和组织依照地方性法规的要求和授权制定的配套性规范性文件应当报送法规制定机关备案。
河北省各级人民代表大会常务委员会规范性文件备案审查条例,,,第二章 备 案,,第十一条 规范性文件应当自公布之日起三十日内报送备案。规范性文件备案材料包括备案报告、规范性文件正式文本、起草说明和制定、修改或者废止规范性文件的主要依据及其他参考资料等。采用修改决定的方式修改规范性文件的应当一并报送修改决定和修改后的正式文本。有公布该规范性文件的公告或者政府令的还应当报送公告或者政府令。制定机关应当按照规定的格式标准和要求报送一式五份的纸质备案材料及其电子文本。电子文本应当通过规范性文件备案审查信息平台报送。
河北省各级人民代表大会常务委员会规范性文件备案审查条例,,,第二章 备 案,,第十二条 县级以上人民代表大会常务委员会办公厅室应当自收到备案材料之日起十日内进行形式审查对符合备案要求的予以备案登记。对不属于本条例规定的备案范围的规范性文件告知制定机关并说明理由。对不符合备案材料格式标准和其他备案要求的暂缓办理备案登记并通知制定机关补充报送备案材料或者重新报送备案制定机关应当自收到通知之日起十日内补充报送备案材料或者重新报送备案。县级以上人民代表大会常务委员会办公厅室应当会同备案审查工作机构对制定机关的报送备案工作进行督促检查。
河北省各级人民代表大会常务委员会规范性文件备案审查条例,,,第二章 备 案,,第十三条 制定机关应当在每年 1 月 31 日前将其上一年度制定、修改和废止的规范性文件目录报送接受规范性文件备案的人民代表大会常务委员会备查。县级以上人民代表大会常务委员会应当在每年第一季度向社会公布上一年度备案登记的规范性文件目录。
河北省各级人民代表大会常务委员会规范性文件备案审查条例,,,第三章 审 查,,第十四条 县级以上各级人民代表大会常务委员会按照有备必审的要求完善审查工作机制细化审查内容规范审查程序综合运用主动审查、依申请审查、移送审查、专项审查和联合审查等方式依法对规范性文件开展审查。
河北省各级人民代表大会常务委员会规范性文件备案审查条例,,,第三章 审 查,,第十五条 县级以上各级人民代表大会常务委员会应当对接受备案的规范性文件进行主动审查健全主动审查的工作机制和方式提高主动审查质量和效率。
河北省各级人民代表大会常务委员会规范性文件备案审查条例,,,第三章 审 查,,第十六条 县级以上各级人民政府、监察委员会、人民法院、人民检察院认为本级人民代表大会常务委员会接受备案的规范性文件有本条例第二十五条所列情形的可以向其书面提出审查要求设区的市、县级人民代表大会常务委员会认为上一级人民代表大会常务委员会接受备案的规范性文件有本条例第二十五条所列情形的可以向其书面提出审查要求。前款规定以外的其他国家机关、社会组织、企业事业单位和公民认为规范性文件有本条例第二十五条所列情形的可以向接受备案的人民代表大会常务委员会书面提出审查建议。
河北省各级人民代表大会常务委员会规范性文件备案审查条例,,,第三章 审 查,,第十七条 国家机关、社会组织、企业事业单位和公民提出审查要求、审查建议应当写明要求或者建议审查的规范性文件的名称、审查的事项和理由、审查要求或者审查建议提出人的基本信息等内容。审查要求、审查建议的内容不完整的人民代表大会常务委员会应当自收到审查要求、审查建议之日起十五个工作日内告知审查要求、审查建议提出人补充完整。对不属于本级人民代表大会常务委员会审查范围的审查建议应当告知审查建议提出人向有权进行备案审查的机关提出。
河北省各级人民代表大会常务委员会规范性文件备案审查条例,,,第三章 审 查,,第十八条 县级以上各级人民代表大会常务委员会应当对审查要求、审查建议进行研究对涉及的规范性文件进行审查。县级以上人民代表大会常务委员会办公厅室负责接收、登记审查要求并分送备案审查工作机构、相关专工委进行审查。备案审查工作机构、相关专工委应当自收到审查要求之日起六十日内分别提出初步审查意见。县级以上人民代表大会常务委员会办公厅室负责接收审查建议并转交备案审查工作机构。备案审查工作机构对审查建议进行登记并审查研究必要时根据文件内容按照职责分工将审查建议送相关专工委进行审查。备案审查工作机构、相关专工委应当自收到审查建议之日起六十日内分别提出初步审查意见。根据审查要求或者审查建议对规范性文件进行审查按照本条例第二十九条至第三十五条的规定办理。办理结果应当及时向审查要求或者审查建议提出人反馈。
