文件名,编,分编,章,节,内容
河北省安全生产条例,,,第一章 总 则,,第一条 为了加强安全生产工作防止和减少生产安全事故保障人民群众生命和财产安全促进经济社会持续健康发展根据《中华人民共和国安全生产法》等有关法律、行政法规的规定结合本省实际制定本条例。
河北省安全生产条例,,,第一章 总 则,,第二条 在本省行政区域内从事生产经营活动的单位以下统称生产经营单位的安全生产及其监督管理适用本条例。有关法律、法规对消防安全、道路交通安全、铁路交通安全、水上交通安全、民用航空安全以及核与辐射安全、特种设备安全另有规定的适用其规定。
河北省安全生产条例,,,第一章 总 则,,第三条 安全生产工作坚持中国共产党的领导。安全生产工作应当以人为本坚持人民至上、生命至上把保护人民生命安全摆在首位树牢安全发展理念坚持安全第一、预防为主、综合治理的方针坚持统筹发展和安全从源头上防范化解重大安全风险。安全生产工作坚持党政同责、齐抓共管、分级负责、属地管理遵循管行业必须管安全、管业务必须管安全、管生产经营必须管安全和谁主管谁负责的原则强化和落实生产经营单位主体责任与政府监管责任建立生产经营单位负责、职工参与、政府监管、行业自律和社会监督的机制。
河北省安全生产条例,,,第一章 总 则,,第四条 县级以上人民政府应当将安全生产纳入本地区国民经济和社会发展规划制定实施安全生产规划。安全生产规划应当与国土空间规划等相关规划相衔接。各级人民政府应当健全安全投入保障制度将安全生产基础设施建设和安全生产监管能力建设所需经费列入本级财政预算确保安全生产监督管理工作的正常开展对国家安排的安全生产专项资金严格监督管理保证专款专用。
河北省安全生产条例,,,第一章 总 则,,第五条 生产经营单位是安全生产的责任主体应当加大对安全生产资金、物资、技术、人员的投入保障力度改善安全生产条件加强安全生产标准化、信息化建设构建安全风险分级管控和隐患排查治理双重预防机制健全风险防范化解机制强化安全生产基础建设落实安全生产措施提高安全生产水平确保安全生产。生产经营单位的主要负责人是本单位安全生产第一责任人对本单位的安全生产工作全面负责分管安全生产工作的负责人承担安全生产综合管理领导责任其他负责人对其分管工作范围内的安全生产承担直接领导责任。
河北省安全生产条例,,,第一章 总 则,,第六条 县级以上人民政府应当加强对安全生产工作的领导建立健全安全生产工作协调机制组织负有安全生产监督管理职责的部门依法编制和适时修订安全生产权力和责任清单向社会公开并接受监督支持、督促各有关部门依法履行安全生产监督管理职责及时协调、解决安全生产监督管理中存在的重大问题。乡镇人民政府和街道办事处以及开发区、工业园区、港区、风景区等应当明确负责安全生产监督管理的有关工作机构及其职责加强安全生产监管力量建设按照职责对本行政区域或者管理区域内生产经营单位安全生产状况进行监督检查协助人民政府有关部门或者按照授权依法履行安全生产监督管理职责。各级安全生产委员会负责统筹协调本行政区域内安全生产重大事项。县级以上人民政府安全生产委员会办公室设在本级人民政府应急管理部门承担安全生产委员会日常工作。
河北省安全生产条例,,,第一章 总 则,,第七条 县级以上人民政府应急管理部门依法对本行政区域内的安全生产工作实施综合监督管理指导协调、监督检查、巡查考核本级人民政府有关部门和下级人民政府履行安全生产监督管理职责。负有安全生产监督管理职责的部门依照有关法律、法规的规定在各自的职责范围内对有关的安全生产工作实施监督管理。其他行业领域主管部门应当履行安全生产管理职责将安全生产纳入行业领域管理内容指导督促生产经营单位加强安全生产管理。平台经济等新兴行业、领域涉及安全生产监督管理职责不明确的以及其他涉及监管职能交叉的行业、领域由县级以上人民政府按照业务相近的原则及时确定监督管理部门。
河北省安全生产条例,,,第一章 总 则,,第八条 工会依法对安全生产工作进行监督提出保障安全生产的建议参与生产安全事故调查。生产经营单位的工会依法组织职工参加本单位安全生产工作的民主管理和民主监督监督各项安全生产制度的落实督促改善安全生产条件参与安全生产检查维护职工在安全生产方面的合法权益。生产经营单位制定或者修改有关安全生产的规章制度应当听取工会意见。
河北省安全生产条例,,,第一章 总 则,,第九条 省人民政府有关部门按照职责分工负责安全生产省地方标准的项目提出、组织起草、征求意见、技术审查。省人民政府标准化行政主管部门负责安全生产省地方标准的立项、编号、对外通报和批准发布。各设区的市标准化行政主管部门依授权制定安全生产市地方标准。县级以上人民政府标准化行政主管部门、有关部门依据法定职责对安全生产标准的实施进行监督检查。
河北省安全生产条例,,,第一章 总 则,,第十条 各级人民政府及有关部门应当鼓励和扶持安全生产科学技术研究与创新促进安全生产信息化建设加强专业技术和技能人才的培养、引进与使用加快成果转化支持先进适用安全技术、装备、工艺的推广运用大数据、物联网、人工智能等技术深化科技与安全生产监督管理的融合提高安全生产科学技术保障能力和水平。鼓励生产经营单位加强智能化建设运用数字化技术开展安全风险管控、生产安全事故隐患排查治理、重大危险源监控等工作在危险作业场所、危险工序和环节使用智能装备替代人工作业降低安全风险。
河北省安全生产条例,,,第一章 总 则,,第十一条 各级人民政府及有关部门和新闻、出版、广播、电影、电视、电信、网络等单位应当开展安全生产公益宣传教育普及有关法律法规和安全生产知识推进安全文化建设加强舆论监督提高全社会的安全意识。县级以上人民政府教育行政、人力资源社会保障部门应当将安全知识普及纳入国民教育建立完善中小学安全教育和高危行业职业安全教育体系将安全生产纳入相关技能考核和就业培训内容。推动幼儿园和中小学、职业院校、高等学校等各类学校开展形式多样的安全教育和社会实践活动鼓励高等学校将安全教育纳入选修课程。县级以上人民政府应当逐步设立安全教育实践基地。有关部门和单位应当将安全教育内容纳入国家公职人员教育培训计划。县级以上人民政府及其有关部门应当对在改善安全生产条件、防止生产安全事故、参加抢险救援、报告重大事故隐患、举报生产安全非法违法行为、研究安全生产理论和创新科学技术应用等方面作出突出贡献以及在安全生产考核中成绩优秀的单位和个人按照相关规定给予表彰奖励。
河北省安全生产条例,,,第一章 总 则,,第十二条 省人民政府及有关部门应当建立健全与周边省份区域安全生产协同机制统筹协调安全生产重大问题开展跨区域安全生产执法协作。推进京津冀安全生产地方标准建设强化信息互通、资源共享和重大安全风险联合管控加强应急预案衔接和应急救援联动机制建设推动京津冀安全生产协同发展。
河北省安全生产条例,,,第二章 安全生产一般规定,,第十三条 生产经营单位应当具备法律、法规和国家标准、行业标准规定的安全生产条件不具备安全生产条件的不得从事生产经营活动。生产经营单位应当严格遵守前款规定的各项标准以及本单位安全生产规章制度和安全操作规程不得违章指挥、违章操作和强令冒险作业。
河北省安全生产条例,,,第二章 安全生产一般规定,,第十四条 生产经营单位应当建立健全全员安全生产责任制度明确各岗位的责任人员、责任范围、考核标准等内容。完善监督考核机制形成包括主要负责人、其他负责人、中层部门及其负责人、班组和班组长、具体岗位及其从业人员以及各类专项工作负责部门及其从业人员的全员安全生产责任体系保证全员安全生产责任制的落实。
河北省安全生产条例,,,第二章 安全生产一般规定,,第十五条 生产经营单位的主要负责人对本单位安全生产工作负有下列职责全生产标准化建设程重预防工作机制督促、检查本单位的安全生产工作及时消除生产安全事故隐患案
河北省安全生产条例,,,第二章 安全生产一般规定,,第十六条 生产经营单位的主要负责人除履行法律法规规定的安全生产职责外应当落实下列安全生产工作事项解决重大问题全生产存在的问题练作配合调查处理个人履行安全生产管理职责的情况。生产经营单位下属不具有法人资格的分公司、分厂等单位的主要负责人应当落实前款规定的有关职责和事项。
河北省安全生产条例,,,第二章 安全生产一般规定,,第十七条 生产经营单位的决策机构、主要负责人或者个人经营的投资人应当保证安全生产条件所必需的资金投入并对由于安全生产所必需的资金投入不足导致的后果承担责任。安全生产资金投入应当专项用于下列事项更新、改造、维护、检验检测和校验和应用建设及维护保险
河北省安全生产条例,,,第二章 安全生产一般规定,,第十八条 生产经营单位应当加强安全生产标准化建设实现安全管理、操作行为、设备设施、作业环境的标准化提高安全生产水平和事故防范能力并落实下列要求标准化工作情况列入考核内容行其运行情况训内容估结果经内部公示后通报相应评审组织单位。
河北省安全生产条例,,,第二章 安全生产一般规定,,第十九条 生产经营单位应当建立健全下列安全生产规章制度准化、管理台账、档案制度以及会议机制重大危险源管理制度施的安全管理制度、危险作业管理制度定、修订与演练制度、事故报告以及调查处理制度租单位管理制度订制度
河北省安全生产条例,,,第二章 安全生产一般规定,,第二十条 生产经营单位应当加强班组建设强化以岗位为核心的安全生产管理提示讲解、班后会评点分析等安全管理制度设备、作业场地、安全防护设施、物品存放等进行安全检查。
河北省安全生产条例,,,第二章 安全生产一般规定,,第二十一条 生产经营单位的从业人员应当在每次上岗前进行岗位安全检查确认安全后方可进行操作。岗位安全检查包括下列事项
河北省安全生产条例,,,第二章 安全生产一般规定,,第二十二条 生产经营单位应当按照有关规定对重点场所、重点部位、重大危险源、重点设施设备等进行实时视频管理及时开展安全生产风险分析、对事故征兆预警预报及时处理并加强视频资料的管理按照规定时间保存确保所录制的视频图像真实、连续、可溯。
河北省安全生产条例,,,第二章 安全生产一般规定,,第二十三条 生产经营单位应当建立安全风险分级管控制度开展安全风险辨识并建立台账确定安全风险等级按照安全风险分级落实相应的管控措施。生产经营单位应当建立健全并落实生产安全事故隐患排查治理制度采取技术、管理措施及时发现并消除事故隐患。对不能立即整改的事故隐患应当采取必要的安全防范措施制定整改方案并组织实施。事故隐患排查治理情况应当如实记录并向从业人员通报。重大事故隐患排查治理情况应当及时向负有安全生产监督管理职责的部门和职工大会或者职工代表大会报告。
河北省安全生产条例,,,第二章 安全生产一般规定,,第二十四条 生产经营单位应当按照国家和本省有关规定设置安全生产管理机构配备安全生产管理人员。生产经营单位作出涉及安全生产的经营决策应当听取安全生产管理机构以及安全生产管理人员的意见。生产经营单位不得因安全生产管理人员依法履行职责而降低其工资、福利等待遇或者解除与其订立的劳动合同。专职安全生产管理人员的待遇不得低于同级同职其他岗位管理人员并享受国家和本省规定的有关待遇。
河北省安全生产条例,,,第二章 安全生产一般规定,,第二十五条 生产经营单位安全生产教育培训应当遵守下列规定相应资格并持证上岗培训员进行专门教育培训教育培训。对临时转岗、换岗人员进行新岗位教育培训训作规程和安全操作技能教育培训生产经营单位应当按照一人一档的要求建立安全生产教育培训档案如实记录教育培训时间、内容、考核结果等。培训考核结果应当由生产经营单位负责考核的人员和从业人员本人签名。培训考核不合格的不得上岗作业。生产经营单位的主要负责人和安全生产管理人员应当接受有关安全生产的教育培训具备相应的安全生产知识和管理能力。
河北省安全生产条例,,,第二章 安全生产一般规定,,第二十六条 生产经营单位新建、改建、扩建工程项目的安全设施应当与主体工程同时设计、同时施工、同时投入生产和使用安全设施投资应当纳入建设项目概算并达到下列要求编制安全设施设计文件或者在设计文件中包含安全设施设计内容。需要报经主管部门批准的建设项目安全设施设计文件应当随项目设计文件一并审批工图纸和设计要求不得擅自改变对其效果作出评价形成报告。
河北省安全生产条例,,,第二章 安全生产一般规定,,第二十七条 生产经营单位应当建立涉重点环保设施和项目安全论证评估制度。新增涉重点环保设施项目应当进行安全论证未开展安全论证的不得擅自投入建设和运行。已运行的涉重点环保设施应当进行安全评估经评估不符合安全要求的应当立即停止使用、进行改造直至符合安全标准的要求。
河北省安全生产条例,,,第二章 安全生产一般规定,,第二十八条 生产经营单位依法将生产经营项目、场所和设备发包或者出租给其他单位或者个人的应当对承包、承租单位有关安全生产条件和资质进行核验对不具备安全生产条件或者相应资质的不得发包、出租。生产经营单位应当对承包、承租单位或者个人的安全生产工作进行统一协调、管理定期进行安全检查并在专门安全生产管理协议或者承包、租赁合同中依法对各自的安全生产管理职责作出明确约定。
河北省安全生产条例,,,第二章 安全生产一般规定,,第二十九条 小型、微型企业等规模较小的生产经营单位可以根据本单位实际制定综合性的安全生产规章制度并应当每日进行岗位检查和安全排查查找作业岗位的危险因素及时消除事故隐患。小型、微型企业等规模较小的生产经营单位的操作岗位和生产安全事故隐患排查治理方面的安全生产标准化内容由省人民政府制定。
河北省安全生产条例,,,第三章 安全生产特别规定,,第三十条 矿山、金属冶炼、危险物品、道路交通、建筑施工、燃气、旅游等重点行业和消防、特种设备、渔业船舶等重点领域以及人员密集的经营场所、公共场所等重点场所应当加强安全风险管控。重点行业、重点领域生产经营单位的生产、储存、经营、生活区域之间的安全距离以及周边安全防护距离应当符合法律、法规和国家标准或者行业标准的规定。重点行业、重点领域、重点场所生产经营单位在汛期、极端或者异常天气、重大节假日、大型活动期间应当采取措施加强安全巡查和应急值守、物资储备等。
河北省安全生产条例,,,第三章 安全生产特别规定,,第三十一条 矿山、建筑施工单位以及危险化学品、烟花爆竹、民用爆炸物品生产单位应当依法向有关部门申请办理安全生产许可证。未依法取得安全生产许可证或者其他安全生产行政许可的生产经营单位不得从事该项生产经营活动。任何单位和个人不得为未取得安全生产许可证或者其他安全生产行政许可而非法从事该项生产经营活动的生产经营单位提供原辅材料、生产经营场所、运输、保管、仓储等条件。
河北省安全生产条例,,,第三章 安全生产特别规定,,第三十二条 矿山、金属冶炼、建筑施工、运输单位和危险物品的生产、经营、储存、装卸单位应当每年开展一次风险因素全面辨识。在生产经营环节或者生产经营要素发生重大变化、危险作业实施前、新技术新材料试验或者推广应用前以及发生生产安全事故后应当及时开展风险因素专项辨识。根据辨识情况及时调整风险管控信息台账并应当按照风险等级制定风险管控措施落实管控责任。
河北省安全生产条例,,,第三章 安全生产特别规定,,第三十三条 矿山、金属冶炼和用于生产、储存、装卸危险物品的建设项目应当依照国家有关规定进行安全评价其安全设施设计应当报经有关部门审查。建设项目竣工投入生产或者使用前建设单位必须依照有关法律、法规规定组织对安全设施进行验收并对验收结果负责验收合格后方可投入生产或者使用。负有安全生产监督管理职责的部门应当加强对建设单位验收活动和验收结果的监督核查。建设项目竣工后根据规定需要试运行的试运行时间应当不少于三十日但不超过一百八十日。国家另有规定的从其规定。
河北省安全生产条例,,,第三章 安全生产特别规定,,第三十四条 生产经营单位应当落实重大危险源监测监控管理责任并对重大危险源采取下列措施保持正常运行生产经营单位应当将重大危险源存在的危险因素和安全措施、应急措施及时如实告知从业人员和相关人员在醒目位置设置警示标志并按照有关规定将重大危险源及其有关安全措施、应急预案报应急管理部门和有关部门备案应急管理部门和有关部门应当通过相关信息系统实现信息共享。
河北省安全生产条例,,,第三章 安全生产特别规定,,第三十五条 从业人员在一百人以上的矿山、金属冶炼、建筑施工、运输单位和危险物品的生产、经营、储存、装卸单位以及从业人员在三百人以上的其他生产经营单位应当设置安全总监。安全总监应当具备与安全生产管理相适应的能力协助本单位主要负责人履行安全生产管理职责专项负责本单位安全生产管理工作。安全总监有权对本单位有关安全生产的决策部署提出意见建议有权制止、拒绝执行与安全生产法律法规、标准及安全操作规程相抵触可能导致生产安全事故的指令有权对重大生产安全事故隐患直接向负有安全生产监督管理职责的部门报告。鼓励前款规定以外的生产经营单位根据生产经营规模、安全风险等情况设置安全总监。
河北省安全生产条例,,,第三章 安全生产特别规定,,第三十六条 矿山、金属冶炼、建筑施工、运输单位和危险物品的生产、经营、储存、装卸单位其主要负责人和安全生产管理人员自任职之日起六个月内应当由主管的负有安全生产监督管理职责的部门对其安全生产知识和管理能力考核合格。考核不得收费。矿山、金属冶炼单位以及危险物品的生产、储存、装卸单位应当按照一定比例配备注册安全工程师从事安全生产管理工作鼓励其他生产经营单位聘用注册安全工程师从事安全生产管理工作。
河北省安全生产条例,,,第三章 安全生产特别规定,,第三十七条 在矿山、金属冶炼、建筑施工、运输单位危险物品生产、经营、储存、装卸单位等高危行业以及其他行业的危险岗位建立并实施班组内部安全互联互保、班组岗位描述、岗位风险辨识管控、管理人员对班组风险审核、岗位操作前手指口述、作业现场操作前风险确认等制度。
河北省安全生产条例,,,第三章 安全生产特别规定,,第三十八条 有关生产经营单位应当按照国家规定提取和使用安全生产费用专门用于改善安全生产条件。安全生产费用在成本中据实列支。县级以上人民政府财政部门会同负有安全生产监督管理职责的部门对生产经营单位安全生产费用提取管理使用制度执行情况进行监督。
河北省安全生产条例,,,第三章 安全生产特别规定,,第三十九条 矿山、金属冶炼、建筑施工、交通运输、危险化学品、烟花爆竹、民用爆炸物品、渔业生产等高危行业、领域的生产经营单位应当投保安全生产责任保险鼓励和推动其他生产经营单位投保安全生产责任保险。承保安全生产责任保险的保险机构应当建立并落实生产安全事故预防服务制度按照规定为投保的生产经营单位提供安全生产教育培训、安全风险辨识评估、安全生产标准化建设、事故隐患排查、应急预案编制和应急救援演练等方面事故预防服务并向负有安全生产监督管理职责的部门报告情况。保险机构开展事故预防服务时投保的生产经营单位应当主动配合并依据保险机构提出的意见积极规范整改提升安全生产保障能力。省人民政府负有安全生产监督管理职责的部门应当会同同级保险监督管理机构制定本行业、领域安全生产责任保险事故预防技术服务规范指导保险机构开展生产安全事故预防服务。生产经营单位必须依法参加工伤保险为从业人员缴纳保险费全面落实工伤预防主体责任。负有安全生产监督管理职责的部门应当加强工伤预防监督管理。鼓励生产经营单位为从业人员投保其他涉及安全生产的商业保险。
河北省安全生产条例,,,第三章 安全生产特别规定,,第四十条 矿山、金属冶炼、建筑施工、运输单位和危险物品的生产、经营、储存、装卸单位应当加强安全生产信息化建设建立健全安全生产管理信息系统将安全教育培训、风险辨识管控、事故隐患排查治理、重大危险源监测监控和管理、安全设备检测检验等纳入安全生产管理信息系统并按照规定向负有安全生产监督管理职责的部门报送安全生产数据信息。鼓励其他生产经营单位建立安全生产管理信息系统对较大以上安全风险实施动态监控提高安全风险管控水平。
河北省安全生产条例,,,第三章 安全生产特别规定,,第四十一条 矿山、金属冶炼、建筑施工单位危险物品的生产、经营、储存、使用、运输、装卸单位和建材、机械加工、电力、供热单位以及其他规模以上的生产经营单位在结束停产、停业、停工、停止建设恢复生产经营前应当制定复工复产工作方案并组织论证根据工作方案中安全生产的要求对从业人员进行专项培训开展安全生产检查检查合格后方可恢复生产。
河北省安全生产条例,,,第三章 安全生产特别规定,,第四十二条 矿山、金属冶炼、建筑施工以及危险物品的生产、经营、储存、装卸单位应当建立并落实单位负责人现场带班制度定期公布带班计划、带班情况并接受从业人员监督。带班负责人应当掌握现场安全生产情况及时发现并妥善处置事故隐患发现事故险情或者发生事故时及时组织现场人员撤离并进行妥善处置。鼓励其他生产经营单位根据生产经营规模、安全风险等情况建立并落实单位负责人现场带班制度。
河北省安全生产条例,,,第三章 安全生产特别规定,,第四十三条 生产经营单位从事下列活动应当严格执行有关安全技术标准和管理规范制定作业方案和应急处置预案设置作业现场的安全区域落实安全防范措施签订专门安全生产管理协议或者在承包合同中明确安全生产事项发现事故隐患的应当及时予以消除空调安装等高空作业间作业筑物和构筑物拆除、道路清障救援、大型检修等作业
河北省安全生产条例,,,第三章 安全生产特别规定,,第四十四条 生产经营单位应当在易燃烧、易爆炸、中毒、腐蚀、窒息、灼伤、高温、噪声、粉尘、泄漏、触电、倾覆、撞击、坠落、坠物、碾轧、滑坡、坍塌等有较大危险、危害因素的生产经营场所进出口以及关键部位和有关设施、设备上设置明显的安全警示标志。生产经营单位应当加强特种设备和其他危险性较大的设备的安全管理编制设备目录强化操作人员的安全培训考核。
河北省安全生产条例,,,第三章 安全生产特别规定,,第四十五条 涉及易燃易爆、有毒有害的粉尘、气体或者其他物态作业场所的生产经营单位应当按照国家规定设置监测报警装置和远程监控系统按照国家相关防爆标准设置建筑物、构筑物、电气设备、静电释放和通风系统等设施并按照规定落实下列措施设施进行检测和维护保养涉氨涉氯等有毒有害作业场所的生产经营单位除应当符合前款规定外还应当定期检验储存装置在储存、使用区域设置泄漏收集处理装置和事故排水系统在操作岗位设置洗眼器、淋洗器配备空气呼吸器、防毒面具以及相关急救药品。
河北省安全生产条例,,,第三章 安全生产特别规定,,第四十六条 新建、改建、扩建危险化学品生产项目的选址应当位于化工园区内或者化工重点监控点企业的监控范围内。储存和堆放危险物品的港口、码头、仓库或者物流中心等场所的设计、建设应当符合国家设计规范和安全防护距离。已有建筑物不符合设计规范和安全防护距离的不得用于储存和堆放危险物品。储存和堆放危险物品的港口、码头、仓库或者物流中心等场所应当设置安全警示标志载明危险物品的名称、种类、数量以及安全须知、消防要求等注意事项并按批次将名称、种类、数量变化情况报告有关部门。进行危险物品运输、装卸作业时应当在规定的范围内作业并严格遵守安全操作规程。
河北省安全生产条例,,,第三章 安全生产特别规定,,第四十七条 使用燃气的生产经营单位应当安装可燃气体报警及自动切断装置并保障其正常使用。为城乡居民生活提供燃气的生产经营单位应当按照有关规定为居民用户配套提供安装燃气自闭阀等具备自动切断功能的安全装置告知用户使用方法和注意事项并定期进行安全性检查。建设工程施工涉及燃气设施的应当按照有关规定采取相应的安全保护措施不得破坏燃气管道及其附属设施。
河北省安全生产条例,,,第三章 安全生产特别规定,,第四十八条 学校、幼儿园、科研院所、医疗机构、养老机构应当加强对消防、用电、民用燃气、实试验药品、实试验室、制氧站、宿舍、病房、办公用房、食堂、建筑装修施工、交通工具以及室外教学、集体活动等方面的安全管理定期开展安全检查排除事故隐患制定和完善应急救援预案并每年至少组织两次应急演练。学校、幼儿园、科研院所、医疗机构、养老机构不得出租房屋、场地用于危险物品的生产、经营、储存、装卸活动。
河北省安全生产条例,,,第三章 安全生产特别规定,,第四十九条 旅游景区管理机构和经营者应当加强旅游安全管理制定生产安全事故应急救援预案完善安全防护设施落实安全措施做好突发事件预测预报和旅游者疏导工作。高空、高速、水上、探险等高风险旅游项目的经营者应当严格执行安全操作规程对涉及人身安全的旅游设施、设备每日使用前进行例行安全检查和试运行并对安全装置进行检查确认保证旅游设施设备完好、运转正常。
河北省安全生产条例,,,第三章 安全生产特别规定,,第五十条 车站、地铁站、码头、机场、歌舞厅、影剧院、体育场馆、会展中心、宾馆、饭店、商市场、旅游景区、动物园、公园、游乐场所、网吧、酒吧等人员密集的经营场所应当符合下列要求明显的安全出口和符合疏散要求的疏散通道消防器材安装安全监控系统并确保完好、有效和必要的紧急避险救生设施组织应急救援演练乐设施、配电等重要设施设备进行检测、检验使用的应当签订安全生产管理协议明确各方的安全责任。同一建筑物内的多个生产经营单位可以共同委托物业服务企业或者其他管理人进行管理由物业服务企业或者其他管理人依照法律法规规定和委托协议承担其管理范围内的安全生产管理职责。在上述场所举行大型集会或者活动经营者或者场所管理者应当依法履行相关审批手续制定安全工作方案落实各项安全措施。遇有自然灾害等危及安全的紧急情况应当按照有关规定组织引导相关人员撤离至安全区域。
河北省安全生产条例,,,第三章 安全生产特别规定,,第五十一条 地下经营场所应当配备应急广播以及通风、消防设施和器材设置安全出口和应急疏散通道标示疏散位置和疏散方向并定期检查、维修保证正常运行和使用。地下经营场所内禁止下列行为毒有害、易燃易爆物品体作为燃料
河北省安全生产条例,,,第三章 安全生产特别规定,,第五十二条 物业服务企业或者其他管理人应当对服务区域的人流干道、消防通道、地下车库、电动自行车停放场所、窨井、化粪池、电梯等重点部位以及消防、水暖、燃气、供电等重要设施进行日常检查对检查中发现的事故隐患应当立即处理并发出警示。对存在重大事故隐患的还应当及时报告当地街道办事处或者乡镇人民政府和负有安全生产监督管理职责的部门。物业服务企业或者其他管理人应当在经营范围内对服务区域的服务对象进行安全宣传、组织应急演练。
河北省安全生产条例,,,第四章 从业人员权利义务,,第五十三条 生产经营单位的从业人员享有下列权利以及事故应急措施检举、控告或者在采取可能的应急措施后撤离作业场所品依照有关民事法律尚有获得赔偿的权利的有权提出赔偿要求。生产经营单位不得因从业人员有前款第二项、第三项、第四项的行为而降低其工资、福利等待遇或者解除与其订立的劳动合同。
河北省安全生产条例,,,第四章 从业人员权利义务,,第五十四条 生产经营单位应当为从业人员提供符合国家标准或者行业标准的劳动防护用品并监督、教育从业人员按照规定佩戴、使用。不得以货币或者其他物品代替劳动防护用品。生产经营单位应当关注从业人员的身体、心理状况和行为习惯加强对从业人员的心理疏导、精神慰藉严格落实岗位安全生产责任防范从业人员行为异常导致事故发生。
河北省安全生产条例,,,第四章 从业人员权利义务,,第五十五条 生产经营单位与从业人员订立的劳动合同应当载明有关保障从业人员劳动安全、防止职业危害以及依法为从业人员办理工伤保险的事项。生产经营单位不得以任何形式与从业人员订立减轻或者免除其对从业人员因生产安全事故伤亡依法应承担责任的协议。
河北省安全生产条例,,,第四章 从业人员权利义务,,第五十六条 生产经营单位的从业人员应当履行下列义务制度和操作规程服从管理检查生产知识提高安全生产技能增强事故预防和应急处理能力全生产管理人员或者本单位负责人报告情况。
