文件名,编,分编,章,节,内容
河北省渔业条例,,,第一章 总则,,第一条 为加强渔业资源保护、增殖、开发和合理利用维护渔业生产者的合法权益保障渔业生产安全和水产品质量安全促进渔业可持续发展根据《中华人民共和国渔业法》等法律、行政法规结合本省实际制定本条例。
河北省渔业条例,,,第一章 总则,,第二条 在本省行政区域内的水域、滩涂以及国家规定由本省实行监督管理的水域、滩涂从事渔业活动的单位和个人应当遵守本条例。
河北省渔业条例,,,第一章 总则,,第三条 县级以上人民政府应当把渔业生产纳入国民经济和社会发展规划加强水域、滩涂的统一规划和综合开发利用增加资金投入开展渔业科学研究和先进技术推广保护水域生态环境加强水产品质量监督管理和渔业资源的增殖保护。
河北省渔业条例,,,第一章 总则,,第四条 县级以上人民政府应当根据国家农村经济政策制定扶持渔民发展养殖业、远洋捕捞业和水产品加工业的措施增加渔民收入。
河北省渔业条例,,,第一章 总则,,第五条 省人民政府渔业行政主管部门主管全省的渔业工作。设区的市、县级人民政府渔业行政主管部门主管本行政区域内的渔业工作。县级以上人民政府渔业行政主管部门可以在重要的渔业水域、渔港设渔政监督管理机构。发展和改革、公安、海洋、海事、安全生产监督、水利、交通、环保、工商、质量技术监督等有关部门在各自职责范围内做好渔业管理和渔业安全生产的相关工作。
河北省渔业条例,,,第一章 总则,,第六条 渔业的监督管理实行统一领导分级管理的原则。本省管辖的机动渔船底拖网禁渔区线内侧海域的捕捞渔业由省人民政府渔业行政主管部门及其所属的渔政监督管理机构监督管理或者其委托的毗邻海域设区的市、县人民政府渔业行政主管部门监督管理滩涂、浅海增殖养殖渔业由所在地设区的市、县人民政府渔业行政主管部门及其所属的渔政监督管理机构监督管理。内陆水域渔业按行政区划由当地县级人民政府渔业行政主管部门及其所属的渔政监督管理机构监督管理。跨行政区域的由上一级人民政府渔业行政主管部门及其所属的渔政监督管理机构监督管理。
河北省渔业条例,,,第一章 总则,,第七条 县级以上人民政府应当加强渔业行政执法队伍建设建立并实行渔业行政执法责任制保障必要的执法经费和装备促进渔业执法工作的开展。县级以上人民政府渔业行政主管部门和其所属的渔政监督管理机构及其工作人员不得参与和从事渔业生产经营活动。
河北省渔业条例,,,第一章 总则,,第八条 鼓励并支持渔业生产者依法自愿成立或者参加渔业专业合作经济组织建立风险共担、利益共享的协作关系。渔业专业合作经济组织应当为其成员提供信息、技术推广、市场营销、培训等服务。
河北省渔业条例,,,第一章 总则,,第九条 各级人民政府应当鼓励和支持水产品加工业的发展扩大水产品加工的工业化、产业化规模提高水产品加工业的科技水平。渔业生产者应当遵守水产品质量安全和安全生产等有关法律、法规保证水产品质量安全保护渔业环境促进渔业资源增殖履行安全生产职责和义务确保生产安全。
河北省渔业条例,,,第二章 养殖业,,第十条 县级以上人民政府应当编制本行政区域的水域综合利用规划并依法对水域综合利用规划进行环境影响评价确定用于水产养殖的水域、滩涂并向社会公布。鼓励、支持单位和个人按照统一规划、合理开发的原则充分利用水域、滩涂发展养殖业。
