文件名,编,分编,章,节,内容
河南省公共安全技术防范管理条例,,,第一章 总则,,第一条 为了维护公共安全保护公民、法人和其他组织的合法权益规范公共安全技术防范以下简称技防管理根据有关法律、法规结合本省实际制定本条例。
河南省公共安全技术防范管理条例,,,第一章 总则,,第二条 本省行政区域内技防系统的设计、安装、运营、信息使用等活动适用本条例。
河南省公共安全技术防范管理条例,,,第一章 总则,,第三条 本条例所称技防是指运用技防产品和系统预防、发现、监控、制止违法犯罪行为维护公共安全的活动。本条例所称技防产品是指用于防抢劫、防盗窃、防爆炸、防入侵、防破坏等防止国家、集体、个人财产以及人身安全受到侵害并列入国家安全技术防范产品目录的专用产品。本条例所称技防系统是指综合运用技防产品及其他相关产品组成的视频监控、入侵探测与报警、出入口目标识别与控制、防爆安全检查等系统或者以上述系统为子系统组合、集成的电子系统或者网络。
河南省公共安全技术防范管理条例,,,第一章 总则,,第四条 县级以上人民政府应当加强对技防工作的领导保障所需经费将其纳入城乡建设和社会发展规划列入社会管理综合治理和突发事件应急管理体系。
河南省公共安全技术防范管理条例,,,第一章 总则,,第五条 县级以上公安机关负责本行政区域内技防工作的规划、管理、指导和监督检查。质量技术监督、工商行政管理、住房城乡建设、交通运输、旅游、安全生产监督管理等有关部门应当在各自职责范围内做好技防工作的管理和监督。机关、团体、企事业单位以及其他组织应当在公安机关指导下做好本单位的技防工作。
河南省公共安全技术防范管理条例,,,第一章 总则,,第六条 技防行业组织应当推动行业自律规范行业从业行为配合公安机关等有关部门开展技防管理工作。
河南省公共安全技术防范管理条例,,,第二章 技防系统,,第七条 下列场所和部位应当安装相应的技防系统燃油、热力供应设施的重要部位传染性菌种、毒种的单位要部位场所和部位。前款规定应当安装的技防系统由场所和部位的所属单位投资建设并接受公安机关的指导和监督。
河南省公共安全技术防范管理条例,,,第二章 技防系统,,第八条 城市的广场、公园、主要道路、治安复杂区域的路段和路口地下人行通道、过街天桥、隧道、地铁、大型桥梁以及乡镇的主要街道、治安复杂区域的路段和路口等应当安装相应的技防系统。前款规定应当安装的技防系统由省辖市、县市人民政府投资建设由公安机关管理、使用和维护。
河南省公共安全技术防范管理条例,,,第二章 技防系统,,第九条 鼓励居民住宅区根据实际情况安装相应的技防系统。
河南省公共安全技术防范管理条例,,,第二章 技防系统,,第十条 在公共场所安装视频监控系统的应当设置明显标识。
河南省公共安全技术防范管理条例,,,第二章 技防系统,,第十一条 除依照法定职权外任何单位和个人不得在社会公共区域安装视频监控系统。禁止在宾馆客房、公共宿舍、公共浴室、更衣室、卫生间等涉及公民隐私的场所安装视频监控系统。
河南省公共安全技术防范管理条例,,,第二章 技防系统,,第十二条 技防系统的设计、安装应当符合技防系统防护风险等级和防护级别的要求符合有关国家标准、行业标准或者地方标准应当具备同公安机关联网的条件。本条例第七条、第八条规定安装的技防系统的设计方案按照国家规定应当经县级以上公安机关审核的县级以上公安机关应当自收到设计方案之日起十五个工作日内组织专家对设计方案进行论证提出审核意见。
河南省公共安全技术防范管理条例,,,第二章 技防系统,,第十三条 技防系统竣工后按照国家规定应当检测的由建设单位委托具有检验资格的检测机构进行检测。检测合格按照国家规定应当验收的由县级以上公安机关组织验收。未经验收或者验收不合格的不得投入使用。公安机关应当在检测合格后的十五个工作日内完成验收。
河南省公共安全技术防范管理条例,,,第二章 技防系统,,第十四条 使用技防系统的单位应当建立系统日常运行状况、信息管理和使用、相关档案资料等事项的自检制度加强对系统的维护和保养保证系统正常发挥效能。
河南省公共安全技术防范管理条例,,,第二章 技防系统,,第十五条 县级以上公安机关为了公共安全的需要经征得国家机关、企事业单位或者其他组织同意可以对其投资建设的技防系统实行联网。
河南省公共安全技术防范管理条例,,,第三章 监督管理,,第十六条 从事技防系统安装、运营业务的单位及其工作人员不得有下列行为
河南省公共安全技术防范管理条例,,,第三章 监督管理,,第十七条 任何单位和个人不得利用技防产品或者技防系统侵犯公民、法人和其他组织的合法权益。
河南省公共安全技术防范管理条例,,,第三章 监督管理,,第十八条 公安机关或者其他依法可以使用、调取技防信息的单位调取、使用相关技防系统的信息资料应当依照法定程序进行公民、法人和其他组织应当如实提供。
河南省公共安全技术防范管理条例,,,第三章 监督管理,,第十九条 使用技防系统的单位及其工作人员对涉及的国家秘密、商业秘密、公民隐私以及用户明确要求保密的资料、信息、技术等应当保守秘密。
河南省公共安全技术防范管理条例,,,第三章 监督管理,,第二十条 技防系统的使用单位应当建立值班监控、信息保存、信息使用、操作规范等管理制度显示、储存、传输重要信息应当采取信息保全和加密等措施。负责监控技防系统的工作人员应当严格遵守操作规范和相关管理制度保障系统信息的安全。
河南省公共安全技术防范管理条例,,,第三章 监督管理,,第二十一条 技防系统记录的图像信息资料以及其他相关资料留存时间不得少于三十日。
河南省公共安全技术防范管理条例,,,第三章 监督管理,,第二十二条 任何单位和个人不得有下列行为看、复制技防系统采集、保存的信息
河南省公共安全技术防范管理条例,,,第三章 监督管理,,第二十三条 公安机关及其工作人员不得向安装技防产品或者建设技防系统的单位、个人指定技防产品或者技防系统的设计、安装、运营、维修单位不得在履行本条例规定职责时收取任何费用。
