文件名,编,分编,章,节,内容
河南省黄河工程管理条例,,,第一章 总 则,,第一条 为了加强黄河工程的管理提高抗洪能力发挥工程综合效益保障经济建设、社会发展和人民生命财产的安全根据《中华人民共和国水法》、《中华人民共和国河道管理条例》及其他有关法律、法规的规定结合本省行政区域内黄河包括沁河下同工程的实际情况制定本条例。
河南省黄河工程管理条例,,,第一章 总 则,,第二条 本条例适用于本省行政区域内黄河工程的管理和保护。本条例所称黄河工程是指黄河的大堤包括沁河堤、太行堤、北金堤、贯孟堤、温孟滩移民安置防护堤、旧堤、旧坝等、险工、涵闸、分洪、滞洪、河道控导、护滩等工程以及各种工程标志标牌交通、电力、通信、管护、观测、防护林等设施。
河南省黄河工程管理条例,,,第一章 总 则,,第三条 黄河工程管理应当坚持统一规划、分级管理、精简高效的原则实行建管并重、管养分离、合理开发、有偿使用。
河南省黄河工程管理条例,,,第一章 总 则,,第四条 黄河沿岸依法划定的护堤地、护坝地、护闸地、淤临区、淤背区和旧堤、旧坝等均归国家所有由黄河河务部门统一管理使用任何单位和个人不得擅自侵占。
河南省黄河工程管理条例,,,第一章 总 则,,第五条 沿黄河的各级人民政府应当加强对黄河工程建设的领导组织有关部门、单位和当地群众支持黄河工程建设协调做好工程建设用地、安置补偿等工作确保工程建设顺利进行。
河南省黄河工程管理条例,,,第一章 总 则,,第六条 省、省辖市、县市、区黄河河务部门是本行政区域内黄河工程的主管机构行使黄河水行政主管部门的职责根据分级管理的原则依法统一管理黄河河道和黄河工程。黄河工程治安保卫工作由当地公安机关负责。
河南省黄河工程管理条例,,,第一章 总 则,,第七条 各级黄河河务部门应当建立健全管理责任制逐步建立市场化、专业化和社会化的黄河工程维修养护体系。维修养护单位应当严格按照合同约定完成维修养护作业。
河南省黄河工程管理条例,,,第一章 总 则,,第八条 任何单位和个人都有保护黄河工程设施的义务对破坏黄河工程的行为有权制止、检举和控告。
河南省黄河工程管理条例,,,第二章 堤防管理,,第九条 黄河堤防工程管理范围包括堤坝身、护堤地。护堤地范围的划定标准各不少于三十米东坝头以下和贯孟堤、太行堤、北金堤以及孟津县、孟州市、温县的黄河堤脚外临河不少于三十米背河不少于十米原护堤地达不到以上规定的由省辖市、县市、区人民政府按规定标准逐步划出。黄河堤防工程安全保护区的范围
河南省黄河工程管理条例,,,第二章 堤防管理,,第十条 在黄河堤防工程安全保护区外二百米范围内禁止擅自进行爆破作业确需进行爆破作业的应当由设区的市级公安机关批准后实施。
河南省黄河工程管理条例,,,第二章 堤防管理,,第十一条 严格控制在黄河大堤上修建工程确需修建的应当事先征得当地黄河河务部门的意见在确保防洪安全的前提下编制设计文件逐级上报经省黄河河务部门或黄河水利委员会批准后方能施工。
河南省黄河工程管理条例,,,第二章 堤防管理,,第十二条 在堤防工程管理范围内经批准修建的工程必须符合防洪安全规定黄河河务部门有权对施工进行监督、检查。工程竣工验收时应当有黄河河务部门参加签字同意方为有效。工程运用期间应当接受黄河河务部门监督。
河南省黄河工程管理条例,,,第二章 堤防管理,,第十三条 黄河堤顶不作公路使用。禁止履带车辆在黄河堤上通行。在紧急防汛期和堤顶泥泞期间除防汛抢险和紧急军事专用车辆外其他车辆一律不准在堤上通行。
河南省黄河工程管理条例,,,第二章 堤防管理,,第十四条 黄河修堤筑堤用土应当在堤防工程安全保护区以外取用。挖、压、踏的土地应当按照国家和省有关土地管理的法律、法规的规定办理相关审批手续进行补偿、恢复土地的生产条件。任何单位和个人不准设置障碍进行干预或额外索取赔偿费用。
河南省黄河工程管理条例,,,第三章 河道工程管理,,第十五条 河道控导、护滩工程划定护坝地的范围临河自丁坝坝头联线向外三十米背河自联坝坡脚向外五十米。河道工程交通路两侧坡脚外各三米为护路地。河道工程护坝地和护路地的用地属于集体土地的由县级以上人民政府按规定依法征收后划拨给黄河河务部门任何单位和个人不得侵占。在河道合法用地范围内因修建河道整治工程所增加的可利用土地属国家所有按国家和省规定统筹安排使用。
河南省黄河工程管理条例,,,第三章 河道工程管理,,第十六条 禁止擅自在黄河河道内修建阻水、挑水工程。确需修建的应当在不影响河道行洪和上下游、左右岸堤防安全及不引起河势变化的前提下事先向当地黄河河务部门提出申请按规定程序批准后方能施工。禁止在黄河滩区兴建生产堤。
河南省黄河工程管理条例,,,第三章 河道工程管理,,第十七条 禁止向河道内倾倒工业废渣、城市垃圾和其他废弃物已倾倒的由负有监督管理职责的行政管理部门依照有关法律、法规处理。
河南省黄河工程管理条例,,,第四章 涵闸管理,,第十八条 黄河干流和沁河干流大、中、小型提灌站、涵闸等取水工程由黄河河务部门管理。黄河其他支流地方建设的沿河提灌站、涵闸和工矿企业的取水工程由兴办单位管理黄河河务部门进行业务指导和检查监督。
河南省黄河工程管理条例,,,第四章 涵闸管理,,第十九条 黄河涵闸、虹吸、提灌站工程的管理范围从工程上游防冲槽起至下游防冲槽以下一百米包括渠堤外侧各二十五米。
