文件名,编,分编,章,节,内容
法规规章备案审查条例,,,,,第一条 为了规范法规、规章备案审查工作提高备案审查能力和质量加强对法规、规章的监督维护社会主义法制的统一根据《中华人民共和国立法法》的有关规定制定本条例。
法规规章备案审查条例,,,,,第二条 本条例所称法规是指省、自治区、直辖市和设区的市、自治州的人民代表大会及其常务委员会依照法定权限和程序制定的地方性法规经济特区所在地的省、市的人民代表大会及其常务委员会依照法定权限和程序制定的经济特区法规上海市人民代表大会及其常务委员会依照法定权限和程序制定的浦东新区法规海南省人民代表大会及其常务委员会依照法定权限和程序制定的海南自由贸易港法规以及自治州、自治县的人民代表大会依照法定权限和程序制定的自治条例和单行条例。本条例所称规章包括部门规章和地方政府规章。部门规章是指国务院各部、各委员会、中国人民银行、审计署和具有行政管理职能的直属机构以及法律规定的机构以下统称国务院部门根据法律和国务院的行政法规、决定、命令在本部门的权限范围内依照《规章制定程序条例》制定的规章。地方政府规章是指省、自治区、直辖市和设区的市、自治州的人民政府根据法律、行政法规和本省、自治区、直辖市的地方性法规依照《规章制定程序条例》制定的规章。
法规规章备案审查条例,,,,,第三条 法规、规章备案审查工作应当坚持中国共产党的领导坚持以人民为中心坚持有件必备、有备必审、有错必纠依照法定权限和程序进行。
法规规章备案审查条例,,,,,第四条 法规、规章公布后应当自公布之日起 30 日内依照下列规定报送备案由省、自治区、直辖市的人民代表大会常务委员会报国务院备案以上部门联合制定的规章由主办的部门报国务院备案辖市人民政府报国务院备案州的人民政府报国务院备案同时报省、自治区人民政府备案大会常务委员会报国务院备案浦东新区法规由上海市人民代表大会常务委员会报国务院备案海南自由贸易港法规由海南省人民代表大会常务委员会报国务院备案。
法规规章备案审查条例,,,,,第五条 国务院部门省、自治区、直辖市和设区的市、自治州的人民政府应当依法履行规章备案职责加强对规章备案工作的组织领导。国务院部门法制机构省、自治区、直辖市人民政府和设区的市、自治州的人民政府法制机构具体负责本部门、本地方的规章备案工作。
法规规章备案审查条例,,,,,第六条 国务院备案审查工作机构依照本条例的规定负责国务院的法规、规章备案工作履行备案审查监督职责健全备案审查工作制度每年向国务院报告上一年法规、规章备案审查工作情况。
法规规章备案审查条例,,,,,第七条 国务院备案审查工作机构应当通过备案审查衔接联动机制加强与其他机关备案审查工作机构的联系在双重备案联动、移交处理、征求意见、会商协调、信息共享、能力提升等方面加强协作配合。
法规规章备案审查条例,,,,,第八条 依照本条例报送国务院备案的法规、规章径送国务院备案审查工作机构。报送法规备案按照全国人民代表大会常务委员会关于法规备案的有关规定执行。报送规章备案应当提交备案报告、规章文本和说明并按照规定的格式装订成册一式三份。报送法规、规章备案应当同时报送法规、规章的电子文本。
法规规章备案审查条例,,,,,第九条 报送法规、规章备案符合本条例第二条和第八条第二款、第三款、第四款规定的国务院备案审查工作机构予以备案登记不符合第二条规定的不予备案登记符合第二条规定但不符合第八条第二款、第三款、第四款规定的暂缓办理备案登记。暂缓办理备案登记的由国务院备案审查工作机构通知制定机关补充报送备案或者重新报送备案制定机关应当自收到通知之日起 15 日内按照要求补充或者重新报送备案补充或者重新报送备案符合规定的予以备案登记。
法规规章备案审查条例,,,,,第十条 经备案登记的法规、规章由国务院备案审查工作机构按月公布目录。编辑出版法规、规章汇编的范围应当以公布的法规、规章目录为准。
法规规章备案审查条例,,,,,第十一条 国务院备案审查工作机构对报送备案的法规、规章进行主动审查并可以根据需要进行专项审查。主动审查一般应当在审查程序启动后 2 个月内完成情况疑难复杂的为保证审查质量可以适当延长审查期限。国务院备案审查工作机构发现法规、规章存在涉及其他机关备案审查工作职责范围的共性问题的可以与其他机关备案审查工作机构开展联合调研或者联合审查共同研究提出审查意见和建议。
法规规章备案审查条例,,,,,第十二条 国家机关、社会组织、企业事业单位、公民认为地方性法规同行政法规相抵触的或者认为规章以及国务院各部门、省、自治区、直辖市和设区的市、自治州的人民政府发布的其他具有普遍约束力的行政决定、命令同法律、行政法规相抵触的可以向国务院书面提出审查建议由国务院备案审查工作机构研究并提出处理意见按照规定程序处理。
法规规章备案审查条例,,,,,第十三条 国务院备案审查工作机构对报送国务院备案的法规、规章就下列事项进行审查改革方向事项的规定不一致是否应当改变或者撤销一方的或者双方的规定和实际情况
法规规章备案审查条例,,,,,第十四条 国务院备案审查工作机构审查法规、规章时认为需要有关的国务院部门或者地方人民政府提出意见的有关的机关应当在规定期限内回复认为需要法规、规章的制定机关说明有关情况的有关的制定机关应当在规定期限内予以说明。
法规规章备案审查条例,,,,,第十五条 国务院备案审查工作机构审查法规、规章时可以通过座谈会、论证会、听证会、委托研究、实地调研等方式听取国家机关、社会组织、企业事业单位、专家学者以及利益相关方的意见并注重发挥备案审查专家委员会的作用。
法规规章备案审查条例,,,,,第十六条 经审查地方性法规同行政法规相抵触的由国务院备案审查工作机构移送全国人民代表大会常务委员会工作机构研究处理必要时由国务院提请全国人民代表大会常务委员会处理。
法规规章备案审查条例,,,,,第十七条 地方性法规与部门规章之间对同一事项的规定不一致的由国务院备案审查工作机构提出处理意见报国务院依照《中华人民共和国立法法》的有关规定处理。
法规规章备案审查条例,,,,,第十八条 经审查认为规章应当予以纠正的国务院备案审查工作机构可以通过与制定机关沟通、提出书面审查意见等方式建议制定机关及时修改或者废止或者由国务院备案审查工作机构提出处理意见报国务院决定并通知制定机关。
法规规章备案审查条例,,,,,第十九条 部门规章之间、部门规章与地方政府规章之间对同一事项的规定不一致的由国务院备案审查工作机构进行协调经协调不能取得一致意见的由国务院备案审查工作机构提出处理意见报国务院决定并通知制定机关。
法规规章备案审查条例,,,,,第二十条 对《规章制定程序条例》规定的无效规章国务院备案审查工作机构不予备案并通知制定机关。规章在制定技术上存在问题的国务院备案审查工作机构可以向制定机关提出处理意见由制定机关自行处理。
法规规章备案审查条例,,,,,第二十一条 规章的制定机关应当自接到本条例第十八条、第十九条、第二十条规定的通知之日起 30 日内将处理情况报国务院备案审查工作机构。
法规规章备案审查条例,,,,,第二十二条 法规、规章的制定机关应当于每年 1 月 31 日前将上一年所制定的法规、规章目录报国务院备案审查工作机构。
法规规章备案审查条例,,,,,第二十三条 对于不报送规章备案或者不按时报送规章备案的由国务院备案审查工作机构通知制定机关限期报送逾期仍不报送的给予通报并责令限期改正。
法规规章备案审查条例,,,,,第二十四条 国务院备案审查工作机构应当加强对省、自治区、直辖市人民政府法制机构规章备案审查工作的联系和指导通过培训、案例指导等方式推动省、自治区、直辖市人民政府提高规章备案审查工作能力和质量。
法规规章备案审查条例,,,,,第二十五条 省、自治区、直辖市人民政府应当依法加强对下级行政机关发布的规章和其他具有普遍约束力的行政决定、命令的监督依照本条例的有关规定建立相关的备案审查制度维护社会主义法制的统一保证法律、法规的正确实施。
法规规章备案审查条例,,,,,第二十六条 本条例自 2024 年 11 月 1 日起施行。2001 年 12月 14 日国务院发布的《法规规章备案条例》同时废止。
