文件名,编,分编,章,节,内容
泰安市新型工业化促进条例,,,,,第一条 为推动工业产业高端化、智能化、绿色化融合发展促进工业体系优化升级加快推进新型工业化根据有关法律、法规结合本市实际制定本条例。
泰安市新型工业化促进条例,,,,,第二条 本市行政区域内促进新型工业化的相关活动适用本条例。
泰安市新型工业化促进条例,,,,,第三条 市、县市、区人民政府应当将经济发展的着力点放在实体经济上大力推动新型工业化支撑和保障三次产业融合发展。明确新型工业化的重点发展方向和推进方式加大招商引资、招才引智力度推动建立数字转型、资源统筹、科技赋能、金融保障的泰安发展模式以新型工业化促进全市经济社会高质量发展。
泰安市新型工业化促进条例,,,,,第四条 促进新型工业化应当坚持中国共产党领导遵循市场主导、政府引导、协同发展、创新驱动、绿色低碳、安全可控的原则。
泰安市新型工业化促进条例,,,,,第五条 市、县市、区人民政府应当将新型工业化发展纳入国民经济和社会发展规划与国土空间规划、环境保护规划相衔接。建立健全新型工业化发展综合协调和统筹推进机制及时协调解决新型工业化发展中的重大问题完善保障体系强化考核评价并将与新型工业化促进相关工作经费纳入同级财政预算。
泰安市新型工业化促进条例,,,,,第六条 市、县市、区人民政府工业和信息化部门负责新型工业化发展的协调、推进、督促等工作。发展和改革、科学技术、财政、人力资源和社会保障、自然资源和规划、生态环境、住房和城乡建设、商务、行政审批服务、市场监督管理、统计、地方金融监督管理等与新型工业化发展有关的部门应当按照各自职责做好新型工业化促进工作。
泰安市新型工业化促进条例,,,,,第七条 新型工业化行业协会商会、行业联盟应当依照法律、法规和章程加强行业指导和自律管理对新型工业化运行态势进行研究分析和预测预警强化与市外行业协会商会、行业联盟的交流合作反映企业和行业诉求为市场主体提供信息咨询、市场拓展、权益保护、纠纷处理等服务。市、县市、区人民政府制定行业发展政策措施和开展实施效果评价时应当充分听取行业协会商会、行业联盟的意见。
泰安市新型工业化促进条例,,,,,第八条 市、县市、区人民政府应当持续优化新型工业化发展营商环境。建立健全政企沟通机制、企业需求响应机制全面构建亲清新型政商关系探索与经济社会发展相适宜的新办法、新措施推动高效规范、公平竞争的统一开放市场建设。市、县市、区人民政府有关部门应当通过网络、报刊、广播电视等媒体公开与新型工业化发展有关的政务信息和服务信息。
泰安市新型工业化促进条例,,,,,第九条 市人民政府应当组织工业和信息化、发展和改革、自然资源和规划等部门根据黄河国家战略、省会城市群经济圈发展战略以及国民经济和社会发展规划、国土空间总体规划等编制本市新型工业化发展规划明确新型工业化发展的总体目标、主要任务、产业布局、保障措施等并根据经济社会发展实际及时修订完善。县市、区人民政府应当根据市新型工业化发展规划结合实际制定具体实施方案。
泰安市新型工业化促进条例,,,,,第十条 市、县市、区人民政府应当坚持绿色低碳高质量发展实施全面节约战略协同推进降碳、减污、扩绿、增长推动重化工业转型、低碳技术研发推广、绿色发展机制创新推动实现碳达峰、碳中和。
泰安市新型工业化促进条例,,,,,第十一条 市人民政府应当统筹产业集群区域布局建立产业集群梯次培育体系重点发展高端装备制造、新材料、现代食品、高端化工等支柱产业推动新能源、医药以及医疗器械、出版印刷、纺织服装等优势产业培育数字经济等未来产业。市、县市、区人民政府应当根据新型工业化发展实际定期公布优先发展的重点领域名录、示范工程项目鼓励、支持和引导重点领域名录、示范工程项目的实施。县市、区人民政府应当依据产业集群区域布局立足自身资源优势明确重点培育打造的特色产业。
