文件名,编,分编,章,节,内容
济南市企业民主管理条例,,,第一章 总 则,,第一条 为加强企业民主管理保障职工依法行使民主权利维护职工的合法权益构建和谐劳动关系促进企业科学发展根据宪法和有关法律、法规结合本市实际制定本条例。
济南市企业民主管理条例,,,第一章 总 则,,第二条 本市行政区域内企业民主管理活动适用本条例。
济南市企业民主管理条例,,,第一章 总 则,,第三条 企业应当依法建立民主管理制度。企业实行民主管理的基本形式是职工代表大会。企业还可以通过厂务公开、平等协商、职工董事、职工监事等与企业相适应的制度依法实行民主管理。
济南市企业民主管理条例,,,第一章 总 则,,第四条 企业实行民主管理应当坚持有利于维护职工合法权益、有利于企业和谐和可持续发展的原则坚持公开、公平、公正的原则。企业应当保障职工参与企业民主管理保障职工依法享有知情权、参与权、表达权和监督权为职工参与民主管理提供条件。
济南市企业民主管理条例,,,第一章 总 则,,第五条 企业职工应当依法行使民主权利参与企业民主管理活动遵守企业规章制度支持企业依法经营和管理。
济南市企业民主管理条例,,,第一章 总 则,,第六条 市、县市、区人民政府及有关部门应当按照各自职责支持企业实行民主管理依法对企业实行民主管理情况进行监督检查。市、县市、区人民政府可以召开会议或者采取适当方式向同级工会通报与企业民主管理工作有关的行政措施研究解决工会反映的职工对于民主管理方面的意见和要求。
济南市企业民主管理条例,,,第一章 总 则,,第七条 市、县市、区总工会应当支持、指导企业职工依法参与民主管理并依法对企业开展民主管理情况进行监督。企业工会应当组织职工依法参与本企业的民主管理维护职工民主管理的权利。
济南市企业民主管理条例,,,第二章 职工代表大会,第一节 组织制度,第八条 企业应当建立和健全职工代表大会制度或者职工大会制度。职工大会的职权与职工代表大会相同组织制度、会议程序等规定参照职工代表大会的规定执行。
济南市企业民主管理条例,,,第二章 职工代表大会,第一节 组织制度,第九条 职工代表大会是企业职工行使民主管理权力的机构。职工代表大会按照民主集中制原则行使职权。
济南市企业民主管理条例,,,第二章 职工代表大会,第一节 组织制度,第十条 职工人数在一百人以上的企业应当建立职工代表大会不足一百人的企业应当建立职工大会。职工代表大会代表名额按照下列标准确定一百人以上不足一千人的企业职工代表人数按照二十人至五十人确定一千人以上不足一万人的企业职工代表人数按照五十人至一百人确定一万人以上的企业职工代表人数不少于一百人。
济南市企业民主管理条例,,,第二章 职工代表大会,第一节 组织制度,第十一条 设立分公司、分厂的企业可以分级建立职工代表大会或者职工大会。企业职工代表大会的职工代表应当由企业领导机关和分公司、分厂按照一定比例选举产生。
济南市企业民主管理条例,,,第二章 职工代表大会,第一节 组织制度,第十二条 职工代表大会每届任期三年或者五年具体任期由职工代表大会决定。企业每年至少召开一次职工代表大会。职工代表大会闭会期间遇有重大事项经企业管理机构、企业工会或者三分之一以上职工代表提议应当召开职工代表大会临时会议。
济南市企业民主管理条例,,,第二章 职工代表大会,第一节 组织制度,第十三条 职工代表大会每次会议应当有三分之二以上的职工代表出席方可召开。会议的议题应当由企业工会在会议召开十五日前以书面形式送达职工代表并由职工代表向职工征求意见。
济南市企业民主管理条例,,,第二章 职工代表大会,第一节 组织制度,第十四条 职工代表大会在职权范围内做出的决议、决定对企业和企业职工具有约束力。职工代表大会的决议、决定应当自通过之日起七日内由企业工会向本单位全体职工公布公布时限不得少于三日。职工代表大会决议、决定的执行和落实情况应当向下一次职工代表大会报告。
济南市企业民主管理条例,,,第二章 职工代表大会,第一节 组织制度,第十五条 职工代表大会选举和通过相关重大事项时应当获得全体职工代表的过半数通过。选举或者对重大事项的表决应当采用无记名投票的方式分项表决表决的结果应当当场公布。
济南市企业民主管理条例,,,第二章 职工代表大会,第一节 组织制度,第十六条 法律、法规规定应当提交职工代表大会审议、通过、决定的事项而未按照法定程序提交的企业就该事项做出的决定无效。职工代表大会通过的决议、决定需要修改或者撤销的应当提交职工代表大会按照法定程序重新审议、表决。职工代表大会审议、通过、决定的事项不得违反法律、法规的规定。
济南市企业民主管理条例,,,第二章 职工代表大会,第一节 组织制度,第十七条 职工代表大会会议由职工代表选举产生的主席团主持。主席团成员应当在职工代表中选举产生。主席团成员应当有一线职工、技术人员、管理人员和企业负责人具体人数企业可以根据具体情况确定。法律、法规另有规定的从其规定。主席团成员应当按照不少于职工代表人数的百分之十确定但最少不少于五人最多不超过三十人。主席团成员人数应当是单数。
