文件名,编,分编,章,节,内容
海东市爱国卫生工作条例,,,第一章 总 则,,第一条 为了加强爱国卫生工作提高全民健康素养和健康水平促进健康海东建设根据有关法律、法规结合本市实际制定本条例。
海东市爱国卫生工作条例,,,第一章 总 则,,第二条 本市行政区域内爱国卫生工作及其监督检查等相关活动适用本条例。本条例所称爱国卫生工作是指强化公共卫生意识倡导文明健康、绿色环保生活方式改善城乡环境卫生控制和消除危害健康因素预防疾病保障公民身体健康的社会性、群众性公共卫生活动。
海东市爱国卫生工作条例,,,第一章 总 则,,第三条 爱国卫生工作应当以人民健康为中心坚持政府主导、部门协作、全民参与、预防为主、科学治理、社会监督的原则。
海东市爱国卫生工作条例,,,第一章 总 则,,第四条 市、县区人民政府应当将爱国卫生工作纳入国民经济和社会发展规划工作经费列入本级财政预算。
海东市爱国卫生工作条例,,,第一章 总 则,,第五条 市、县区爱国卫生运动委员会以下简称爱卫会是本级人民政府议事协调机构由同级人民政府有关部门和单位组成负责组织、协调本行政区域内的爱国卫生工作。爱卫会履行下列职责政策卫生工作区、卫生家庭创建工作爱卫会下设办公室以下简称爱卫办具体负责爱国卫生日常工作。市、县区人民政府应当为爱卫办配备与其工作任务相适应的人员并提供必要的工作条件。
海东市爱国卫生工作条例,,,第一章 总 则,,第六条 爱卫会成员单位依照法律、法规规定按照职责分工做好爱国卫生工作。国家机关、企业事业单位和社会组织应当建立健全爱国卫生组织机构或者安排人员负责爱国卫生工作。乡镇人民政府、街道办事处负责做好本辖区的爱国卫生工作。村居民委员会在乡镇人民政府和街道办事处的指导下根据实际情况确定爱国卫生工作人员开展爱国卫生相关工作。
海东市爱国卫生工作条例,,,第一章 总 则,,第七条 鼓励社会组织和个人依法投资、捐赠、兴建、经营、维护公共卫生和健康基础设施。
海东市爱国卫生工作条例,,,第一章 总 则,,第八条 每年四月为爱国卫生月集中开展爱国卫生活动。
海东市爱国卫生工作条例,,,第一章 总 则,,第九条 市、县区人民政府对在开展爱国卫生工作中做出显著贡献的组织和个人按照有关规定予以表彰和奖励。
海东市爱国卫生工作条例,,,第二章 环境卫生治理,,第十条 市、县区人民政府应当按照城乡统筹的要求加强公共厕所、垃圾处理站点、污水处理、病媒生物防制等公共卫生基础设施建设加强城乡环境卫生综合治理提高城乡环境卫生整体水平。
