文件名,编,分编,章,节,内容
海北藏族自治州人民代表大会及其常务委员会立法条例,,,第一章 总 则,,第一条 为了规范州人民代表大会及其常务委员会的立法活动健全立法制度提高立法质量发挥立法的引领和推动作用根据《中华人民共和国地方各级人民代表大会和地方各级人民政府组织法》《中华人民共和国民族区域自治法》《中华人民共和国立法法》等有关规定结合本州实际制定本条例。
海北藏族自治州人民代表大会及其常务委员会立法条例,,,第一章 总 则,,第二条 州人民代表大会及其常务委员会制定、修改、废止和解释自治条例、单行条例、地方性法规以及相关立法活动适用本条例。
海北藏族自治州人民代表大会及其常务委员会立法条例,,,第一章 总 则,,第三条 立法应当坚持中国共产党的领导坚持以马克思列宁主义、毛泽东思想、邓小平理论、三个代表重要思想、科学发展观、习近平新时代中国特色社会主义思想为指导推进法治海北建设。
海北藏族自治州人民代表大会及其常务委员会立法条例,,,第一章 总 则,,第四条 立法应当遵循的原则序从国家整体利益出发维护社会主义法制的统一、尊严、权威和促进社会公平正义体现人民的意志发扬社会主义民主坚持立法公开保障人民通过多种途径参与立法活动改、废止和解释自治条例、单行条例、地方性法规等多种形式增强立法的系统性、整体性、协同性、时效性民、法人和其他组织的权利与义务、国家机关的权力与责任结合铸牢中华民族共同体意识推动社会主义精神文明建设改革和在改革中完善法治相统一发挥法治的引导、推动、规范、保障作用。
海北藏族自治州人民代表大会及其常务委员会立法条例,,,第一章 总 则,,第五条 州人民代表大会及其常务委员会加强对立法工作的组织协调发挥在立法工作中的主导作用。
海北藏族自治州人民代表大会及其常务委员会立法条例,,,第一章 总 则,,第六条 州人民代表大会有权依照本州民族的政治、经济和文化的特点制定自治条例和单行条例。州人民代表大会制定的自治条例、单行条例可以依照本州民族的特点对法律、行政法规和本省地方性法规的规定作出变通规定但不得违背法律或者行政法规的基本原则不得对宪法和民族区域自治法的规定以及其他有关法律、行政法规专门就民族自治地方所作的规定作出变通规定。
海北藏族自治州人民代表大会及其常务委员会立法条例,,,第一章 总 则,,第七条 州人民代表大会及其常务委员会根据本州的具体情况和实际需要在不与宪法、法律、行政法规和本省地方性法规相抵触的前提下可以对城乡建设与管理、生态文明建设、历史文化保护、基层治理等方面的事项制定地方性法规法律对制定地方性法规事项另有规定的从其规定。
海北藏族自治州人民代表大会及其常务委员会立法条例,,,第一章 总 则,,第八条 立法所需经费应当列入本级财政预算予以保障。
海北藏族自治州人民代表大会及其常务委员会立法条例,,,第二章 立法规划和立法计划,,第九条 州人民代表大会常务委员会以下简称常务委员会通过立法规划、年度立法计划和专项立法计划等形式加强对立法工作的统筹安排。编制立法规划和立法计划应当立足州情实际认真研究代表议案和建议广泛征集意见科学论证评估根据经济社会发展和民主法治建设的需要按照加强重点领域、新兴领域、涉外领域立法的要求确定立法项目。
海北藏族自治州人民代表大会及其常务委员会立法条例,,,第二章 立法规划和立法计划,,第十条 常务委员会法制工作委员会负责立法规划、立法计划的编制工作根据州人民政府及其有关部门、州监察委员会、州中级人民法院、州人民检察院、州人民代表大会各专门委员会、各县人大常委会、人大代表以及有关方面的立法建议进行汇总、筛选协调、研究和论证提出立法规划草案、立法计划草案和编制情况说明提交州人民代表大会常务委员会主任会议以下简称主任会议研究通过后的立法规划和立法计划应当及时向社会公布。州人民代表大会各专门委员会按职责督促立法规划和立法计划的落实。
海北藏族自治州人民代表大会及其常务委员会立法条例,,,第二章 立法规划和立法计划,,第十一条 编制立法规划和立法计划应当向社会公开征集立法建议常务委员会法制工作委员会负责起草征集立法建议的公告由常务委员会办公室通过报刊、网站、书面通知等形式向社会和有关单位发出。州人民代表大会专门委员会和常务委员会工作机构应当在各自职责范围内做好立法规划和立法计划编制相关工作。立法建议应当采用书面形式并附立法项目名称、立法依据、立法必要性和可行性分析、主要内容、起草进度等。
海北藏族自治州人民代表大会及其常务委员会立法条例,,,第二章 立法规划和立法计划,,第十二条 立法规划和立法计划一般不作调整确需调整的有关机关或者组织应当向常务委员会提出报告由常务委员会法制工作委员会会同有关机构进行研究提出是否调整的意见提请主任会议决定。制定或者修改自治条例、单行条例、地方性法规实行一部条例一个工作专班和起草组、审查组组长负责制。
海北藏族自治州人民代表大会及其常务委员会立法条例,,,第三章 州人民代表大会立法程序,,第十三条 州人民代表大会主席团可以向州人民代表大会提出自治条例、单行条例、地方性法规案由州人民代表大会会议审议。常务委员会、州人民政府、州人民代表大会各专门委员会可以向州人民代表大会提出自治条例、单行条例、地方性法规案由主席团决定列入会议议程。
海北藏族自治州人民代表大会及其常务委员会立法条例,,,第三章 州人民代表大会立法程序,,第十四条 州人民代表大会代表十人以上联名可以向州人民代表大会提出自治条例、单行条例、地方性法规案由主席团决定是否列入会议议程或者先交有关专门委员会审议、提出是否列入会议议程的意见再决定是否列入会议议程。专门委员会审议时可以邀请提案人列席会议发表意见。
海北藏族自治州人民代表大会及其常务委员会立法条例,,,第三章 州人民代表大会立法程序,,第十五条 向州人民代表大会提出的自治条例、单行条例、地方性法规案在州人民代表大会闭会期间可以先向常务委员会提出经常务委员会按照本条例第四章规定的程序审议后再决定提请州人民代表大会审议由常务委员会或者提案人向大会全体会议作说明。常务委员会依照前款规定审议自治条例、单行条例、地方性法规案时应当通过多种形式征求州人民代表大会代表的意见并将有关情况予以反馈。州人民代表大会各专门委员会和常务委员会工作机构进行立法调研可以邀请有关的州人大代表参加。
海北藏族自治州人民代表大会及其常务委员会立法条例,,,第三章 州人民代表大会立法程序,,第十六条 常务委员会决定提请州人民代表大会会议审议的自治条例、单行条例、地方性法规案常务委员会办公室应当在会议举行的三十日前将自治条例、单行条例、地方性法规草案及其说明印发给州人大代表并可以适时组织代表研读讨论征求代表的意见。
海北藏族自治州人民代表大会及其常务委员会立法条例,,,第三章 州人民代表大会立法程序,,第十七条 列入州人民代表大会会议议程的自治条例、单行条例、地方性法规案大会全体会议听取提案人关于制定自治条例、单行条例、地方性法规草案的说明后由各代表团进行审议。各代表团审议自治条例、单行条例、地方性法规草案时提案人应当派人参加听取意见回答询问。有关机关、组织应当根据代表团的要求派人介绍情况。
海北藏族自治州人民代表大会及其常务委员会立法条例,,,第三章 州人民代表大会立法程序,,第十八条 列入州人民代表大会会议议程的自治条例、单行条例、地方性法规案由有关专门委员会进行审议向主席团提出审议意见并印发会议。
海北藏族自治州人民代表大会及其常务委员会立法条例,,,第三章 州人民代表大会立法程序,,第十九条 列入州人民代表大会会议议程的自治条例、单行条例、地方性法规案由州人民代表大会法制委员会根据各代表团和州人民代表大会有关专门委员会的审议意见对自治条例、单行条例、地方性法规案进行统一审议向主席团提出审议结果报告和草案修改稿对重要的不同意见应当在审议结果报告中予以说明经主席团会议审议通过后印发会议。
海北藏族自治州人民代表大会及其常务委员会立法条例,,,第三章 州人民代表大会立法程序,,第二十条 列入州人民代表大会会议议程的自治条例、单行条例、地方性法规案必要时主席团常务主席可以召开各代表团团长会议就自治条例、单行条例、地方性法规案中的重大问题听取各代表团的审议意见进行讨论也可以就自治条例、单行条例、地方性法规案中的重大的专门性问题召集有关代表进行讨论。讨论的情况和意见应当向主席团报告。
海北藏族自治州人民代表大会及其常务委员会立法条例,,,第三章 州人民代表大会立法程序,,第二十一条 自治条例、单行条例、地方性法规案在审议中有重大问题需要进一步研究的经主席团提出由大会全体会议决定可以授权常务委员会根据州人民代表大会代表的意见进一步审议作出决定并将决定情况向州人民代表大会下次会议报告也可以授权常务委员会根据代表的意见进一步审议提出修改方案提请州人民代表大会下次会议审议决定。
海北藏族自治州人民代表大会及其常务委员会立法条例,,,第三章 州人民代表大会立法程序,,第二十二条 列入州人民代表大会会议议程的自治条例、单行条例、地方性法规案在交付表决前提案人要求撤回的应当说明理由经主席团同意并向大会报告对自治条例、单行条例、地方性法规案的审议即行终止。
海北藏族自治州人民代表大会及其常务委员会立法条例,,,第三章 州人民代表大会立法程序,,第二十三条 自治条例、单行条例、地方性法规草案修改稿经各代表团审议由州人民代表大会法制委员会根据各代表团的审议意见进行修改提出自治条例、单行条例、地方性法规草案表决稿由主席团提请大会全体会议表决以全体代表的过半数通过。
海北藏族自治州人民代表大会及其常务委员会立法条例,,,第三章 州人民代表大会立法程序,,第二十四条 州人民代表大会通过的自治条例、单行条例、地方性法规草案由常务委员会报请省人大常委会批准后发布公告予以公布。
海北藏族自治州人民代表大会及其常务委员会立法条例,,,第四章 州人民代表大会常务委员会立法程序,,第二十五条 主任会议可以向常务委员会提出地方性法规案由常务委员会会议审议。州人民政府、州人民代表大会各专门委员会可以向常务委员会提出地方性法规案由主任会议决定列入常务委员会会议议程或者先交有关专门委员会审议、提出审议意见报告再决定列入常务委员会会议议程。主任会议认为地方性法规案有重大问题需要进一步研究的可以建议提案人修改完善后再向常务委员会提出。
