文件名,编,分编,章,节,内容
海南省反间谍工作条例,,,第一章 总 则,,第一条 为了加强和规范反间谍工作防范、制止和惩治间谍行为维护国家安全保护人民利益根据《中华人民共和国国家安全法》、《中华人民共和国反间谍法》和其他有关法律、法规结合本省实际制定本条例。
海南省反间谍工作条例,,,第一章 总 则,,第二条 反间谍工作坚持中国共产党的领导坚持总体国家安全观坚持公开工作与秘密工作相结合、专门工作与群众路线相结合坚持积极防御、依法惩治、标本兼治坚持发展和安全并重以新安全格局保障海南全面深化改革和海南自由贸易港建设。反间谍工作应当严格遵守法定权限和程序尊重和保障人权保障个人和组织的合法权益。
海南省反间谍工作条例,,,第一章 总 则,,第三条 省国家安全机关主管本省行政区域内的反间谍工作。其他各级国家安全机关在其管辖区域内依法承担反间谍工作职责。在本省特定区域设立的行使与设区的市级国家安全机关相同职权的国家安全机关依法行使反间谍工作有关职权。公安机关、保密行政管理等有关部门和军队有关部门按照职责分工密切配合加强协调依法做好有关工作。
海南省反间谍工作条例,,,第一章 总 则,,第四条 本省建立健全反间谍工作协调机制统筹协调本省行政区域内反间谍工作中的重大事项研究、解决反间谍工作中的重大问题。协调机制根据反间谍工作需要确定本省行政区域内的有关部门和单位作为成员单位并对其实行动态调整。协调机制成员单位应当在职责范围内密切配合加强信息互通、数据共享、情况会商、联合督查、联动执法依法开展反间谍有关工作。
海南省反间谍工作条例,,,第一章 总 则,,第五条 县级以上人民政府管理本行政区域内反间谍安全防范工作支持国家安全机关依法履行反间谍工作职责在财政经费、基础建设等方面落实保障责任将反间谍安全防范责任落实情况纳入贯彻落实国家安全责任制以及平安建设考核范围。乡镇人民政府、街道办事处应当按照上级人民政府部署和国家安全机关的要求做好本辖区内反间谍安全防范工作。相关行业主管部门按照职责分工管理本行业的反间谍安全防范工作。
海南省反间谍工作条例,,,第一章 总 则,,第六条 沿海地区各级人民政府应当加强海上国家安全人民防线建设在沿海一线乡镇、村组、相关单位建立海上国家安全人民防线网络完善信息沟通渠道鼓励和引导海洋渔业相关从业单位和人员发现并报告涉嫌间谍行为的情况或者线索。国家安全机关应当加强对海上国家安全人民防线建设的工作指导会同公安、海事、海警、渔政及军队等部门防范和制止利用船只、飞行器、潜航器等开展非法测绘、对海上作业进行非法干扰、窃密等间谍破坏活动。
海南省反间谍工作条例,,,第一章 总 则,,第七条 本省加强与有关省、自治区、直辖市反间谍工作的协作交流推动实现信息互通、资源共享、处置联动有效防范、制止和惩治间谍行为共同维护国家安全。
海南省反间谍工作条例,,,第二章 安全防范,,第八条 国家安全机关依法对国家机关、人民团体、企业事业组织和其他社会组织开展反间谍安全防范工作进行业务指导、督促检查做好下列指导监督工作家安全人民防线工作业务培训经过严格的批准手续可以进行反间谍技术防范检查和检测及时向有关单位提出防范提醒和反间谍安全防范工作改进意见、建议的专业支持国家安全机关可以会同有关地方人民政府、行业主管部门开展联合指导和督促检查。
海南省反间谍工作条例,,,第二章 安全防范,,第九条 公民应当依法支持、协助反间谍工作履行下列安全防范义务物品、数据索反间谍工作秘密不得向无关的机构、组织和个人提供知悉的涉及国家安全机关及其工作人员的信息、资料和数据有关证据时如实提供不得拒绝
海南省反间谍工作条例,,,第二章 安全防范,,第十条 国家机关、人民团体、企业事业组织和其他社会组织应当落实反间谍安全防范主体责任履行下列安全防范义务范措施的安全防范意识和应对能力索支持、协助配合国家安全机关依法查阅、调取有关的文件、资料、物品、数据全防范突发情况家安全机关报告涉密人员违规出境等情况供属于国家秘密的文件、资料、物品、数据应当按照国家保密规定办理落实保密管理要求
