文件名,编,分编,章,节,内容
海南省实施《中华人民共和国消费者权益保护法》办法,,,第一章 总则,,第一条 为了保护消费者的合法权益加强对经营者的社会监督维护社会经济秩序促进社会主义市场经济的健康发展根据《中华人民共和国消费者权益保护法》和有关法律、法规结合本省实际制定本办法。
海南省实施《中华人民共和国消费者权益保护法》办法,,,第一章 总则,,第二条 本办法所称消费者是指为物质、文化生活需要而购买、使用商品或者接受服务的单位和个人所称经营者是指为消费者生产、销售商品或者提供服务的单位和个人。
海南省实施《中华人民共和国消费者权益保护法》办法,,,第一章 总则,,第三条 本办法由各级人民政府负责在本行政区域内组织实施。各级工商、物价、技术监督、卫生、商检等管理部门应当依照法律、法规的规定在各自的职责范围内做好保护消费者合法权益的工作。消费者组织依法对商品和服务进行社会监督保护消费者的合法权益。
海南省实施《中华人民共和国消费者权益保护法》办法,,,第一章 总则,,第四条 鼓励、支持一切组织和个人对损害消费者合法权益的行为进行社会监督。大众传播媒介应当做好维护消费者合法权益的宣传工作对损害消费者合法权益的行为进行舆论监督。任何单位和个人不得干涉、压制有关保护消费者合法权益的真实报道。
海南省实施《中华人民共和国消费者权益保护法》办法,,,第二章 消费者的权利和经营者的义务,,第五条 消费者享有下列权利量、计量、性能等真实情况能正常使用的要求修理、重作、更换、退货进行投诉、起诉人员的违法失职行为
海南省实施《中华人民共和国消费者权益保护法》办法,,,第二章 消费者的权利和经营者的义务,,第六条 消费者应当尊重经营者的劳动、人格和合法权益挑选商品时爱护商品举报、投诉、起诉时实事求是并提供有关证据。
海南省实施《中华人民共和国消费者权益保护法》办法,,,第二章 消费者的权利和经营者的义务,,第七条 经营者应当自觉履行《中华人民共和国消费者权益保护法》和其他法律、法规以及本办法规定的各项义务。
海南省实施《中华人民共和国消费者权益保护法》办法,,,第二章 消费者的权利和经营者的义务,,第八条 经营者与消费者进行交易应当遵循自愿、平等、公平、诚实信用的原则。经营者不得强行销售、强行服务、强迫消费者接受其规定的不合理价格及其他不合理的条件。
海南省实施《中华人民共和国消费者权益保护法》办法,,,第二章 消费者的权利和经营者的义务,,第九条 经营者从事服务行业的应当具备相应的技术、设备等条件明示服务项目和服务价格使用合格的服务用品按规定、约定、承诺或者商业惯例保证服务质量。
海南省实施《中华人民共和国消费者权益保护法》办法,,,第二章 消费者的权利和经营者的义务,,第十条 有条件的经营者应当设立监督投诉电话。展销会举办者在展销会期间应当在交易场所的显著位置公布监督投诉机构、电话和地址。
海南省实施《中华人民共和国消费者权益保护法》办法,,,第二章 消费者的权利和经营者的义务,,第十一条 经营者向消费者提供商品或者服务不得有下列行为的商品商品品疫结果的商品供商品品或者提供服务品或者提供服务标记品或者服务做虚假宣传或者提供服务费者不公平、不合理规定品零部件或者谎报用工用料服务事先不征得消费者同意
海南省实施《中华人民共和国消费者权益保护法》办法,,,第二章 消费者的权利和经营者的义务,,第十二条 公用企业或者其他依法具有独占地位的经营者在提供商品或者服务时应当公平、合理履行义务除法律法规明文规定外不得强制或者变相强制消费者购买和使用其提供的或者其指定的经营者提供的商品不得对不接受其不合理条件的消费者拒绝、中断、削减供应相关商品或者提高收费标准。
海南省实施《中华人民共和国消费者权益保护法》办法,,,第二章 消费者的权利和经营者的义务,,第十三条 经营者经营需要开封调试的商品的消费者付款后应当按照消费者的要求当场开封调试。调试时商品质量不合格或者商品实际功能与产品说明书不一致的应当允许消费者调换或者退货。
海南省实施《中华人民共和国消费者权益保护法》办法,,,第二章 消费者的权利和经营者的义务,,第十四条 经营者提供的商品应当按照国家规定附具检验合格证和使用说明书标明商品的等级、生产日期、主要成分以及生产者名称、地址等。限期使用的商品应当标明有效期限或者安全使用期限等内容。对达不到规定的标准等级但仍有使用价值的商品出售时必须在商品或者商品包装的醒目位置标明并在购货凭证上予以注明。经营者提供的服务除与消费者有约定的外应当有明确的符合规定的服务质量标准。
海南省实施《中华人民共和国消费者权益保护法》办法,,,第二章 消费者的权利和经营者的义务,,第十五条 国家规定或者经营者承诺实行包退、包换、包修确调试介绍使用维护事项、三包方式及修理单位提供有效发票和三包凭证。
海南省实施《中华人民共和国消费者权益保护法》办法,,,第二章 消费者的权利和经营者的义务,,第十六条 对国家规定或者经营者承诺三包的商品在和无零配件待修的时间。换货后三包有效期自换货之日起重新计算。
海南省实施《中华人民共和国消费者权益保护法》办法,,,第二章 消费者的权利和经营者的义务,,第十七条 实行三包的商品有下列情形之一的消费者有权选择退货销售者应当按发票价格一次退清货款并不得收取任何费用号同规格商品可调换的
海南省实施《中华人民共和国消费者权益保护法》办法,,,第二章 消费者的权利和经营者的义务,,第十八条 实行三包的商品有下列情形之一的消费者有权选择换货销售者应当免费为消费者调换同型号同规格的商品之日起超过 90 日未修好的。
