文件名,编,分编,章,节,内容
海南省归侨侨眷权益保护若干规定,,,,,第一条 为了保护归侨、侨眷的合法权益根据《中华人民共和国归侨侨眷权益保护法》和有关法律规定结合本省实际制定本规定。
海南省归侨侨眷权益保护若干规定,,,,,第二条 归侨、侨眷的身份确认应由本人申请并提供有效证件经所在单位或者街道办事处、乡镇人民政府证明由县级以上人民政府侨务工作机构审核办理。华侨、归侨已死亡的其亲属的侨眷身份不变。
海南省归侨侨眷权益保护若干规定,,,,,第三条 县级以上人民政府侨务工作机构负责组织、协调、监督、检查本行政区域内保护归侨、侨眷合法权益的工作。县级以上人民政府其他有关部门应当在各自职责范围内做好保护归侨、侨眷合法权益的工作。
海南省归侨侨眷权益保护若干规定,,,,,第四条 各级归国华侨联合会代表归侨、侨眷的利益依法维护归侨、侨眷的合法权益。归侨、侨眷人数较多的单位可以依法申请成立侨联组织。
海南省归侨侨眷权益保护若干规定,,,,,第五条 省人民代表大会和归侨、侨眷人数较多的市、县表。各级归国华侨联合会推荐同级人民代表大会归侨、侨眷代表候选人各级人民政府侨务工作机构协助有关部门做好同级人民代表大会归侨、侨眷代表候选人的工作。
海南省归侨侨眷权益保护若干规定,,,,,第六条 按照国家和本省有关规定属于落实侨房政策范围的归侨、华侨私有房屋市、县、自治县人民政府应当责令占有人或使用人在规定的期限内退还归侨、华侨本人或者其遗产继承人已被拆除、改建的应当依法给予补偿。省和市、县、自治县人民政府应当对落实侨房政策工作给予财政支持。
海南省归侨侨眷权益保护若干规定,,,,,第七条 归侨、华侨要求在土改时县级以上人民政府确定给其使用的宅基地建房的由县级以上人民政府根据城乡规划和农村建房用地标准确认其宅基地使用权。宅基地已被占用无法退回归侨、华侨申请另外安排建房用地的农村集体经济组织应当优先予以安排。对涉及归侨、华侨宅基地的纠纷当地人民政府及其有关部门应当依法妥善处理。
海南省归侨侨眷权益保护若干规定,,,,,第八条 因公共利益需要确需拆迁归侨、华侨、侨眷私有房屋的应当按照法律法规规定的权限和程序实施拆迁拆迁补偿可以采取下列办法拆迁房屋的区位、用途、建筑面积、建筑材料等因素以房地产市场评估价格确定。具体办法由省人民政府规定人应当依照本条第一项的规定计算被拆迁房屋的补偿金额和所调换房屋的价格结清产权调换的差价。被拆迁人要求在拆迁地的市县内异地建房的依法办理有关用地手续。在被拆迁人宅基地上建商品房或者住宅对外出售、出租同等条件下被拆迁人享有优先购买权或者承租权。法律、行政法规另有规定的从其规定。
海南省归侨侨眷权益保护若干规定,,,,,第九条 对华侨祖墓予以保护。确因建设需要必须迁移的应当经县级以上人民政府批准告知华侨或者侨眷并给予合理的迁移费用。
海南省归侨侨眷权益保护若干规定,,,,,第十条 归侨、侨眷在本省捐赠财产兴办公益事业的依照《海南省华侨捐赠公益事业若干规定》办理。
海南省归侨侨眷权益保护若干规定,,,,,第十一条 归侨、侨眷的侨汇收入受法律保护。任何单位或者个人不得侵占、延迟支付、强行借贷、克扣侨汇。未依照法定权限和程序任何单位或者个人不得通知汇兑单位没收、冻结侨汇不得向汇兑单位查阅侨汇凭证或者要求提供侨汇户名单。
海南省归侨侨眷权益保护若干规定,,,,,第十二条 用人单位以及归侨、侨眷职工应当依法参加社会保险及时、足额缴纳各项社会保险费用。各级社会保险经办机构必须按时、足额支付归侨、侨眷职工依法享有的各项社会保险费。对符合最低生活保障条件的归侨、侨眷民政部门应当将其纳入最低生活保障范围做到应保尽保。对贫困归侨、侨眷户各级人民政府及其有关部门应当将其纳入当地扶贫范围并优先给予生产经营扶持。对丧失劳动能力、无经济来源或者因病、因自然灾害影响而致贫的特困归侨、侨眷当地人民政府及其民政部门应当按照有关规定给予生活救济。归侨五保户应当优先安排入住当地敬老院或者福利院供养。
海南省归侨侨眷权益保护若干规定,,,,,第十三条 在国家机关和企事业组织工作并在本省办理退休手续的归侨职工其退休金、养老金低于当地从业人员上年度社会平均工资的由县级以上财政部门每人每月定额发给生活补贴。具体发放标准与办法由县级以上人民政府规定。
海南省归侨侨眷权益保护若干规定,,,,,第十四条 归侨及其子女的配偶要求在本省落户团聚的有关部门应当支持公安机关应当批准。
海南省归侨侨眷权益保护若干规定,,,,,第十五条 华侨子女就读本省义务教育阶段公立学校的与当地居民子女享受同等待遇。归侨学生、归侨子女和华侨在国内的子女报考高等院校、中等职业学校和普通高中的按照国家和本省有关规定给予照顾。归侨、侨眷及其子女申请出国留学的所在单位应当支持政府有关部门应当优先办理相关手续。
海南省归侨侨眷权益保护若干规定,,,,,第十六条 各级人民政府及其劳动保障部门应当对归侨、侨眷就业提供必要的指导和服务。劳动保障部门对失业的归侨、侨眷再就业应当给予扶持和帮助优先安排培训归侨、侨眷失业人员原所在单位招聘员工时同等条件下应当优先录用归侨、侨眷失业人员职业介绍机构应当优先推荐失业归侨、侨眷就业。
海南省归侨侨眷权益保护若干规定,,,,,第十七条 公安机关对归侨、侨眷的出境申请应当依照国家有关规定优先办理。
海南省归侨侨眷权益保护若干规定,,,,,第十八条 归侨、侨眷出境探望在境外定居的子女享受与国家有关已婚归侨、侨眷出境探望父母规定同等的待遇。
海南省归侨侨眷权益保护若干规定,,,,,第十九条 离休、退休、退职的归侨、侨眷出境定居的其离休金、退休金、退职金、养老金凭中华人民共和国驻外使领馆出具的本人生存证明领取也可以委托国内的亲友代领。获准出境定居的归侨、侨眷离休、退休、退职人员其离休金、退休金、退职金、养老金以及各项生活补贴和临时入境就医医疗费应当享受与原单位离休、退休、退职人员同等待遇。离休、退休、退职的归侨、侨眷职工出境定居后继续享受与本单位职工同等的当地房改政策待遇。
海南省归侨侨眷权益保护若干规定,,,,,第二十条 鼓励归侨、侨眷依法投资兴办产业。归侨、侨眷投资占企业投资总额 25以上的由市、县、自治县侨务工作机构确认为侨属企业。市、县、自治县侨务工作机构应当为侨属企业提供必要的服务维护其合法权益。侨属企业从事高新技术及其产品的研究、开发和生产的应当享受国家和本省有关扶持、鼓励高新技术或者高新技术产品开发的优惠政策。归侨、侨眷引进高新技术或者高新技术项目当地人民政府应当给予奖励奖励办法由市、县、自治县人民政府规定。回国在本省定居工作的华侨高级人才可以按照本省有关引进优秀人才的规定办理确认手续并享受有关优惠政策。
海南省归侨侨眷权益保护若干规定,,,,,第二十一条 县级以上人民政府应当把集中安置归侨农场的建设纳入当地国民经济和社会发展总体规划、城乡规划和土地利用总体规划统筹安排、统一实施。县级以上人民政府及其有关部门对集中安置归侨农场应当给予必要的财政资金扶持并将其纳入国家、本省各项涉农优惠政策的调整范围。国家和本省有关部门专项分配给集中安置归侨农场的资金和物资任何单位和个人不得截留、克扣或者挪用。
海南省归侨侨眷权益保护若干规定,,,,,第二十二条 集中安置归侨农场使用的土地、林地、滩涂、水面等受法律保护任何单位和个人不得侵占和损害。集中安置归侨农场与农村集体经济组织及其他单位和个人之间发生土地等权属争议的所在地的市、县区、自治县人民政府应当及时进行协调处理。当事人对处理决定不服的可以依法申请行政复议或者提起行政诉讼。集中安置归侨农场的合法权益受到侵犯时所在地人民政府及其有关部门应当及时制止并按照国家和本省有关规定进行处理。
海南省归侨侨眷权益保护若干规定,,,,,第二十三条 归侨、侨眷的合法权益受到侵犯的当事人或者归国华侨联合会有权要求有关部门依法处理。有关部门应当自接到处理要求之日起 30 日内作出答复并在规定的期限内作出处理决定。
海南省归侨侨眷权益保护若干规定,,,,,第二十四条 国家工作人员玩忽职守或者滥用职权致使归侨、侨眷合法权益受到损害的其所在单位或者上级主管机关应当责令改正或者给予行政处分构成犯罪的依法追究刑事责任。
海南省归侨侨眷权益保护若干规定,,,,,第二十五条 外籍华人、港澳同胞在本省的眷属合法权益的保护参照本规定执行。
海南省归侨侨眷权益保护若干规定,,,,,第二十六条 本规定具体应用中的问题由省人民政府负责解释。
海南省归侨侨眷权益保护若干规定,,,,,第二十七条 本规定自 2004 年 1 月 1 日起施行。1992 年12 月 13 日海南省人民代表会议常务委员会通过的《海南省实施人民共和国归侨侨眷权益保护法办法》同时废止。
