文件名,编,分编,章,节,内容
海南经济特区促进中小企业发展条例,,,第一章 总则,,第一条 为了优化中小企业经营环境促进中小企业健康发展维护中小企业合法权益根据《中华人民共和国中小企业促进法》及有关法律法规结合本经济特区实际制定本条例。
海南经济特区促进中小企业发展条例,,,第一章 总则,,第二条 本条例适用于在本经济特区内依法设立的中小型的各种所有制和各种形式的企业。中小企业的划分标准按照国家规定执行。
海南经济特区促进中小企业发展条例,,,第一章 总则,,第三条 县级以上人民政府应当将中小企业的发展纳入国民经济和社会发展总体规划制定相应的政策和措施并督促实施。县级以上人民政府应当把促进中小企业发展纳入政府工作考核目标建立科学的评价体系和考核办法。
海南经济特区促进中小企业发展条例,,,第一章 总则,,第四条 县级以上人民政府应当建立中小企业发展协调联席会议制度定期召开中小企业经济运行分析会协调解决中小企业发展过程中的重大问题。
海南经济特区促进中小企业发展条例,,,第一章 总则,,第五条 县级以上人民政府中小企业行政主管部门负责组织实施国家和本省中小企业政策、规划对本行政区域内中小企业工作进行协调、指导和提供服务引导和鼓励中小企业发展。政府其他有关部门应当在各自的职责范围内对中小企业进行指导和服务。
海南经济特区促进中小企业发展条例,,,第一章 总则,,第六条 省统计部门会同省中小企业行政主管部门健全中小企业统计指标体系加强对中小企业进行统计调查和动态监测建立中小企业运行情况分析报告制度为政府决策和管理提供服务。
海南经济特区促进中小企业发展条例,,,第一章 总则,,第七条 中小企业的财产权、经营权、公平竞争权等合法权益受法律保护任何单位和个人不得侵犯。中小企业应当履行法律法规规定的各项义务依法经营管理诚实守信增强社会责任不得损害职工合法权益和社会公共利益。
海南经济特区促进中小企业发展条例,,,第二章 资金支持,,第八条 省人民政府应当设立中小企业发展专项资金。市、县、自治县人民政府可以设立中小企业发展专项资金没有设立专项资金的应当根据实际情况为促进中小企业发展提供财政支持。中小企业发展专项资金主要用于下列扶持中小企业的事项信息化建设服务等工作标准的制定修订工作作配套中小企业发展专项资金使用应当公开透明建立政府公告、社会推荐、专家评审等制度。具体使用管理办法由设立专项资金的人民政府另行制定。
海南经济特区促进中小企业发展条例,,,第二章 资金支持,,第九条 省人民政府和有条件的市、县、自治县人民政府应当推进信用征集、信用评价、信用档案和失信惩戒等中小企业信用制度建设建立中小企业信用数据库并按国家和本省规定向社会公开。财政、税务、工商、环保、质监、劳动保障、住房公积金管理等有关部门应当提供中小企业的基础信用信息。人民银行和有关金融机构应当支持地方信用体系建设。
海南经济特区促进中小企业发展条例,,,第二章 资金支持,,第十条 工商、税务、财政、中小企业行政主管等部门中小企业行业协会、金融机构等应当指导、培训、帮助中小企业建立健全财务报表、经营账册制度完善企业法人治理结构。对财务制度健全、经营规范的中小企业金融机构可以优先评级授信和给予贷款。
海南经济特区促进中小企业发展条例,,,第二章 资金支持,,第十一条 县级以上人民政府及其有关部门应当建立金融机构与中小企业融资沟通协调制度引导和鼓励金融机构对符合国家、本省产业政策且信用等级高的中小企业给予信贷支持引导和鼓励金融机构开发适应中小企业发展需要的金融产品和服务项目。县级以上人民政府对扶持中小企业发展做出突出贡献的金融机构给予奖励。
海南经济特区促进中小企业发展条例,,,第二章 资金支持,,第十二条 金融机构可以在增量的指标上单独安排中小企业信贷规模并简化贷款程序缩短审批时限满足企业融资的需要。有条件的省内金融机构可以设立中小企业信贷部门为中小企业的信贷、支付结算、财务咨询提供服务。
海南经济特区促进中小企业发展条例,,,第二章 资金支持,,第十三条 县级以上人民政府和有关行政主管部门应当发展和规范产权交易市场推动资本的流动和重组。鼓励、引导和支持有条件的中小企业通过股权融资、债券融资、项目融资、融资租赁和股权质押等法律、行政法规允许的方式直接融资。
海南经济特区促进中小企业发展条例,,,第二章 资金支持,,第十四条 鼓励中小企业资本参与设立村镇银行参股海南农村信用社发挥村镇银行、农村信用社在中小企业发展中的融资平台作用。企业和个人资本可以设立小额贷款公司为中小企业提供融资。
海南经济特区促进中小企业发展条例,,,第二章 资金支持,,第十五条 县级以上人民政府及其有关部门应当会同证券监管机构引导中小企业优化资本结构完善法人治理逐步建立现代企业制度培育中小企业上市资源为符合条件的中小企业上市融资和发行企业债券提供指导和服务。
海南经济特区促进中小企业发展条例,,,第二章 资金支持,,第十六条 县级以上人民政府应当加强对担保机构的引导和监督建立、完善省和市、县、自治县担保体系。省级担保机构可以采取联保、再担保等方式开展担保业务。县级以上人民政府可以出资设立或参股设立担保机构为中小企业融资提供担保。引导、鼓励社会各种资本依法设立担保机构参与省和市、县、自治县担保体系建设。担保机构从事中小企业担保业务的享受有关税费减免的优惠。
海南经济特区促进中小企业发展条例,,,第二章 资金支持,,第十七条 县级以上人民政府应当安排资金用于担保机构从事中小企业担保业务的信贷风险补偿、资本金补充和业绩奖励。具体使用和管理办法由省人民政府另行制定。
海南经济特区促进中小企业发展条例,,,第二章 资金支持,,第十八条 担保机构应当在注册登记后 30 日内到同级中小企业行政主管部门和财政部门备案。
海南经济特区促进中小企业发展条例,,,第二章 资金支持,,第十九条 鼓励、引导中小企业依法开展多种形式的互助性融资担保。对中小企业成立的互助担保机构县级以上人民政府应当参照第十七条的规定给予扶持。
海南经济特区促进中小企业发展条例,,,第三章 创业扶持,,第二十条 县级以上人民政府及其有关部门应当保护中小企业依法参与市场公平竞争的权利。凡法律、行政法规未禁止的行业和领域中小企业均可投资和经营。
海南经济特区促进中小企业发展条例,,,第三章 创业扶持,,第二十一条 工商行政管理部门对中小企业实行直接核准登记制市、县、自治县工商行政部门可以委托辖区工商所核准登记。对符合注册条件的工商行政管理部门应当自受理之日起5 个工作日内核发营业执照。
海南经济特区促进中小企业发展条例,,,第三章 创业扶持,,第二十二条 设立中小企业可以实行注册资本分期缴付制。注册登记后 1 个月内注入的首期出资应当不少于注册资本总额的 101 年内注入的出资应当不少于注册资本总额的 50最后一期出资应当在登记后的 3 年内注入设立投资公司应当在登记后的 5 年内注入。对分期注入注册资本金的中小企业应当在营业执照中载明实收资本。在规定期限内不能缴足或无法缴付注册资本的应当办理注册资本变更登记或者注销登记。
海南经济特区促进中小企业发展条例,,,第三章 创业扶持,,第二十三条 中小企业在生产经营活动中可以自主决定经营项目和经营方式但法律、法规规定须经批准的项目应当依法经过批准。
海南经济特区促进中小企业发展条例,,,第三章 创业扶持,,第二十四条 县级以上人民政府应当在城乡建设规划中合理安排必要的场地和设施为创办中小企业提供条件。对与大企业大项目开展协作配套生产的中小企业集群或具有区域经济特色的中小企业集群的发展用地应当优先统筹规划和安排。县级以上人民政府可以采用多种方式利用存量建设用地、闲置厂房等改造建设小企业创业基地。鼓励社会各类资本利用现有开发区园区资源建设小企业创业基地、产业化基地和共性技术服务平台引导中小企业聚集发展和产业化经营。中小企业发展专项资金应当安排一定比例用于鼓励和引导中小企业进入开发区园区聚集发展和产业化经营。
海南经济特区促进中小企业发展条例,,,第三章 创业扶持,,第二十五条 下列中小企业依照国家规定享受税收优惠大中专毕业生创办的中小企业业
海南经济特区促进中小企业发展条例,,,第三章 创业扶持,,第二十六条 民族自治县人民政府对本民族自治地方的中小企业应缴纳的企业所得税中属于地方分享的部分可以决定减征或者免征。自治县决定减征或者免征的须报省人民政府批准。
海南经济特区促进中小企业发展条例,,,第三章 创业扶持,,第二十七条 中小企业投资者及招聘的高等学校毕业生、高级专业技术人员可以依照规定在本省落户。具体办法由省人民政府制定。各级人民政府应当为前款规定人员的子女就近入幼儿园或者入学提供帮助。
