文件名,编,分编,章,节,内容
海南藏族自治州民族教育工作条例,,,第一章 总则,,第一条 根据《宪法》、《中华人民共和国民族区域自治法》、《中华人民共和国教育法》、《中华人民共和国义务教育法》、《青海省实施中华人民共和国义务教育法办法》和《海南藏族自治州自治条例》等法律、法规结合自治州实际制定本条例。
海南藏族自治州民族教育工作条例,,,第一章 总则,,第二条 自治州各级人民政府实施科教兴州战略保障教育优先发展。
海南藏族自治州民族教育工作条例,,,第一章 总则,,第三条 民族教育是国家教育事业的重要组成部分民族教育工作应坚持国家教育方针突出素质教育提高民族整体素质。民族教育应当继承和弘扬本民族优秀历史文化传统吸收和借鉴其它民族教育发展的文明成果推进民族教育的发展进程。坚持教育与宗教相分离的原则任何组织和个人不得利用宗教干预民族学校的教育教学活动。
海南藏族自治州民族教育工作条例,,,第一章 总则,,第四条 教育的重点是基础教育努力使基础教育与学前教育、中等职业技术教育、成人教育和特殊教育协调发展提高劳动者素质为经济社会全面协调可持续发展提供智力支撑。
海南藏族自治州民族教育工作条例,,,第一章 总则,,第五条 州、县人民政府教育行政部门负责本区域的教育工作。其他有关部门按照各自职责做好相关工作。
海南藏族自治州民族教育工作条例,,,第一章 总则,,第六条 学校应当重视德育教育对学生进行爱国主义、社会主义、集体主义、民族团结和法制教育。加强社会主义核心价值体系教育、人格健全教育、心理健康教育。
海南藏族自治州民族教育工作条例,,,第二章 基础教育,,第七条 自治州实施九年义务教育。义务教育由州、县人民政府组织实施乡镇人民政府做好相关工作促进基础教育协调可持续发展。
海南藏族自治州民族教育工作条例,,,第二章 基础教育,,第八条 基础教育以政府办学全日制、寄宿制形式为主满足适龄儿童、少年接受平等、优质教育的需要。推进基础教育的改革与发展优化教育布局结构合理配置教育资源形成州办高中、县办初中、乡镇办小学和村办学前教育的格局。
海南藏族自治州民族教育工作条例,,,第二章 基础教育,,第九条 适龄儿童、少年原则上以家庭居住地为准按就地就近原则接受义务教育。不能就地就近入学的经教育行政部门同意可以跨区域入学。
海南藏族自治州民族教育工作条例,,,第二章 基础教育,,第十条 学校应当协助当地人民政府组织动员适龄儿童、少年按时入学接受义务教育。不得以任何借口开除或强迫其退学、转学。
海南藏族自治州民族教育工作条例,,,第二章 基础教育,,第十一条 适龄儿童、少年的父母或者其他监护人以及有关社会组织和个人有义务使适龄儿童、少年接受并完成规定年限的义务教育。任何单位或者个人不得以任何理由造成适龄儿童、少年失学、辍学不得剥夺学生参加升学考试的权利。
海南藏族自治州民族教育工作条例,,,第二章 基础教育,,第十二条 学校按照国家课程标准的规定开设课程。结合当地生产生活实际开设实践课。加强学校特色建设和校园文化建设民族中小学应当加强汉语文教学推广、使用、普及普通话。民族学校根据生源的语言环境和学校实际科学、合理选定双语教学模式做好各学段之间的衔接保持双语教学改革的连续性和稳定性。民族学校应当按有关规定开设英语课。
海南藏族自治州民族教育工作条例,,,第二章 基础教育,,第十三条 各级人民政府应当重视发展学前教育。乡镇、村设立幼儿园或学前班。民族幼儿园或民族学前班开设双语课。
海南藏族自治州民族教育工作条例,,,第二章 基础教育,,第十四条 州、县人民政府应当设立特殊教育学校班接收具有接受基础教育能力的残疾适龄儿童、青少年随班就读并为其学习、生活提供帮助保障残疾儿童、青少年接受教育的权利。
海南藏族自治州民族教育工作条例,,,第二章 基础教育,,第十五条 州、县人民政府、教育行政部门和学校重视教学研究加强教学仪器设备、实验设施、图书和现代信息技术设备的配置推进教育现代化进程。
海南藏族自治州民族教育工作条例,,,第三章 职业技术教育,,第十六条 州、县人民政府根据经济社会发展的需要统筹规划、创造条件突出地方特色合理设置专业大力发展职业教育。鼓励单位、个人和其他社会力量开办各类职业技术学校。
海南藏族自治州民族教育工作条例,,,第三章 职业技术教育,,第十七条 州人民政府应当强化政府统筹协调职能优化、整合职业技术教育资源加强职业技术教育工作加快职业技术教育发展促进职业技术教育同其它教育协调发展。
海南藏族自治州民族教育工作条例,,,第三章 职业技术教育,,第十八条 职业技术学校应当以服务为宗旨、就业为导向面向市场开放办学。调整专业结构优化课程设置注重专业实用性。
海南藏族自治州民族教育工作条例,,,第三章 职业技术教育,,第十九条 职业技术学校应当以提高农牧民素质为重点创新办学模式。开展技能型人才、农牧区实用人才、再就业和农牧区劳动力转移等培训提高社会成员的就业、工作、职业转移以及创业能力。
海南藏族自治州民族教育工作条例,,,第三章 职业技术教育,,第二十条 州、县公办职业学校应深化改革建立健全适合学校实际且充满活力的用人制度实行校长负责制和教师聘任制切实提高学校管理水平和教育教学质量。
海南藏族自治州民族教育工作条例,,,第三章 职业技术教育,,第二十一条 州人民政府应当加强职业技术学校的实验培训基地建设使教育教学与技术能力培养相结合为发展经济提供人力资源。
海南藏族自治州民族教育工作条例,,,第三章 职业技术教育,,第二十二条 州、县人民政府建立健全职业资格证书制度严格规范并且执行劳动力市场准入制度。
海南藏族自治州民族教育工作条例,,,第三章 职业技术教育,,第二十三条 州人民政府应当将残疾人职业技术教育纳入职业教育总体规划建立健全残疾人职业教育发展体系统筹安排实施。
海南藏族自治州民族教育工作条例,,,第四章 成人教育,,第二十四条 成人教育应当构建终身教育体系提高各民族劳动者素质。成人教育包括扫盲教育、农牧民文化技术教育、在职进修、中长期培训等。教育、科技、文化、民政、财政、人力资源和社会保障、发展改革、农牧、扶贫等部门和组织应当在当地人民政府的统一组织领导下发挥各自的作用促进成人教育的发展。
海南藏族自治州民族教育工作条例,,,第四章 成人教育,,第二十五条 各级人民政府应当加强扫除文盲工作杜绝新文盲产生。州、县人民政府按照有关规定组织考核验收工作。各级人民政府、各有关部门和单位应当开设多种形式的文化、技术学校班组织农牧民学习文化和实用技术提高公民素质。各级人民政府、各部门和企业事业单位应当重视和加强干部职工培训工作。鼓励和支持在职人员利用进修、自学和广播电视、函授等形式接受继续教育构建全社会终身学习的氛围。
海南藏族自治州民族教育工作条例,,,第五章 教师队伍,,第二十六条 州、县人民政府依法加强教师队伍专业化建设严格实行教师资格准入制度择优聘用确保质量。
