文件名,编,分编,章,节,内容
海西蒙古族藏族自治州冷湖天文观测环境保护条例,,,,,第一条 为了保护自治州冷湖天文观测环境建设冷湖赛什腾山国际一流天文观测基地根据《中华人民共和国科学技术进步法》《气象设施和气象探测环境保护条例》等法律、法规结合自治州实际制定本条例。
海西蒙古族藏族自治州冷湖天文观测环境保护条例,,,,,第二条 冷湖天文观测环境保护、开发、利用及其管理活动适用于本条例。
海西蒙古族藏族自治州冷湖天文观测环境保护条例,,,,,第三条 本条例所称冷湖天文观测环境是指冷湖天文观测基地及周边的光学天文观测夜间光环境。
海西蒙古族藏族自治州冷湖天文观测环境保护条例,,,,,第四条 冷湖天文观测环境区域是指为保障冷湖天文观测基地光学观测环境所划定的区域划分为暗夜保护核心区和暗夜保护缓冲区。暗夜保护核心区是指以冷湖天文观测基地总体发展规划选址用地几何闭合区域边界向外 50 公里内的区域。暗夜保护缓冲区是指以暗夜保护核心区边界向外 50 公里的区域。
海西蒙古族藏族自治州冷湖天文观测环境保护条例,,,,,第五条 冷湖天文观测环境保护坚持保护优先、科学管理、合理利用、促进发展的原则。
海西蒙古族藏族自治州冷湖天文观测环境保护条例,,,,,第六条 自治州人民政府及冷湖天文观测环境区域所在地县级人民政府应当加强冷湖天文观测环境保护工作的组织领导、统筹规划、综合协调建立突发事件应急处置机制和相关保障机制。自治州人民政府及冷湖天文观测环境区域所在地县级人民政府应当将天文观测环境区域发展与建设规划纳入国民经济与社会发展规划。天文观测基地相关专项规划应当符合所在地政府国土空间规划要求并与相关专项规划保持一致或相衔接。
海西蒙古族藏族自治州冷湖天文观测环境保护条例,,,,,第七条 自治州科学技术主管部门负责冷湖天文观测环境保护工作。自治州发展和改革、工业和信息化、财政、自然资源、生态环境、住房和城乡建设、公安、应急管理、交通运输、文体旅游广电等有关部门应当按照各自职责负责冷湖天文观测环境保护相关工作。
海西蒙古族藏族自治州冷湖天文观测环境保护条例,,,,,第八条 自治州冷湖科技创新产业园区管理委员会以下简称科创园管委会在自治州科学技术主管部门指导下负责冷湖天文观测环境保护日常工作。
海西蒙古族藏族自治州冷湖天文观测环境保护条例,,,,,第九条 冷湖天文观测环境暗夜保护核心区内严格控制光源种类和亮度所有户外固定夜间照明设施的照射方向应当低于水平线向下 30 度。冷湖天文观测环境暗夜保护缓冲区内所有户外固定夜间照明设施的照射方向应当控制在水平线以下。
海西蒙古族藏族自治州冷湖天文观测环境保护条例,,,,,第十条 冷湖天文观测环境暗夜保护核心区内拟规划建设项目应当由项目建设单位组织开展天文观测环境影响专项评价评价报告应当经自治州科学技术主管部门审批暗夜保护缓冲区内拟规划建设项目应当向自治州科学技术主管部门备案。冷湖天文观测环境暗夜保护核心区内禁止规划建设对当地天文观测环境产生影响的项目禁止开展影响天文观测环境的活动。
海西蒙古族藏族自治州冷湖天文观测环境保护条例,,,,,第十一条 冷湖天文观测环境区域内涉及国家重大战略、重大活动的由自治州人民政府及冷湖天文观测环境区域所在地县级人民政府依据天文观测环境的相关保护要求做好统筹协调保障工作。
海西蒙古族藏族自治州冷湖天文观测环境保护条例,,,,,第十二条 在冷湖天文观测环境区域内实施下列活动从事相关活动的单位和个人应当向自治州科学技术主管部门备案。活动结束后应当立即关闭、移除相关设备
海西蒙古族藏族自治州冷湖天文观测环境保护条例,,,,,第十三条 冷湖天文观测环境区域内已建成的建筑和设备的户外照明设施影响天文观测环境的应当由自治州人民政府组织有关部门和专家提出解决方案由自治州科学技术主管部门会同有关部门监督实施。
海西蒙古族藏族自治州冷湖天文观测环境保护条例,,,,,第十四条 科创园管委会应当根据冷湖天文观测环境保护需要组织冷湖天文观测基地内的天文观测机构开展天文观测设施与观测环境质量监测并将监测结果作为天文观测环境保护评价依据。科创园管委会应当在冷湖天文观测环境区域内显著位置设立警示、指引等保护标志标明保护要求。
海西蒙古族藏族自治州冷湖天文观测环境保护条例,,,,,第十五条 冷湖天文观测环境区域所在地县级人民政府、科创园管委会应当加强冷湖天文观测环境保护宣传教育增强全社会的天文观测环境保护意识。在冷湖天文观测基地开展地质勘查、考察、参观、旅游等活动从事相关活动的单位和个人应当向科创园管委会提出申请经同意后方可开展。
海西蒙古族藏族自治州冷湖天文观测环境保护条例,,,,,第十六条 冷湖天文观测环境基地内的天文观测机构应当支持冷湖天文观测基地的建设、发展和环境保护工作协助自治州各级人民政府开展科研科普、宣传教育、文化旅游、参观考察等活动。
海西蒙古族藏族自治州冷湖天文观测环境保护条例,,,,,第十七条 任何单位和个人都有保护冷湖天文观测环境的义务对违反本条例规定的行为有权进行监督、劝阻和举报。自治州人民政府及冷湖天文观测环境区域所在地县级人民政府对冷湖天文观测环境保护作出突出贡献的单位和个人按照相关规定予以表彰奖励。
海西蒙古族藏族自治州冷湖天文观测环境保护条例,,,,,第十八条 违反本条例规定的行为法律、法规已有处罚规定的从其规定。
