文件名,编,分编,章,节,内容
淄博市市政工程设施管理办法,,,第一章 总则,,第一条 为加强市政工程设施管理充分发挥其效能更好地为生产和生活服务根据有关法律、法规的规定结合我市实际制定本办法。
淄博市市政工程设施管理办法,,,第一章 总则,,第二条 本办法适用于本市城市建成区内的市政工程设施管理。
淄博市市政工程设施管理办法,,,第一章 总则,,第三条 本办法所称市政工程设施是指城市道路、桥涵、排水、防洪和照明设施及其附属设施。
淄博市市政工程设施管理办法,,,第一章 总则,,第四条 城市建设行政管理部门是市政工程设施管理的主管部门负责辖区内市政工程设施的监督管理。市政工程管理部门具体负责市政工程设施的建设与管理。公安、规划、交通、公用事业、邮电、供电、环境保护、水利、工商行政管理等有关部门按照各自的职责与城市建设行政管理部门配合共同做好市政工程设施管理工作。
淄博市市政工程设施管理办法,,,第一章 总则,,第五条 任何单位和个人都有依法使用和保护市政工程设施的权利与义务有权对违反本办法的行为进行监督、检举和控告。对制止、检举、揭发有关损害、侵占市政工程设施行为有功的单位和个人由市、区人民政府给予表彰和奖励。
淄博市市政工程设施管理办法,,,第二章 综合管理,,第六条 市政工程设施实行市、区分级管理。市级市政工程管理部门的主要职责是中、长期建设计划并负责组织项目的可行性研究、论证和实施工队伍资质审核组织工程验收务指导及管理人员培训区市政工程管理部门负责本辖区内市政工程设施管理工作其主要职责是审查
淄博市市政工程设施管理办法,,,第二章 综合管理,,第七条 市政工程设施建设应当遵循基本建设程序和相关设施保护法律、法规的规定按照先地下后地上的原则统一规划统一建设。电力、电讯、公用事业、公安等有关部门的工程项目由城市建设行政管理部门统一协调与市政工程同步进行建设。新建、改建、扩建的市政工程由市级市政工程管理部门会同有关部门进行竣工验收建设单位须在竣工验收后 6 个月内向市级市政工程管理部门、城市规划管理部门和市城建档案管理部门报送竣工资料。
淄博市市政工程设施管理办法,,,第二章 综合管理,,第八条 市政工程设施建设维修资金应当按照国家规定的来源和标准拨付专款专用。市政工程管理部门收取的占道管理、道路挖掘、排水设施等有偿使用费应当纳入同级财政管理接受财政监督并专项用于市政工程设施的更新、维护和管理。市政工程有偿使用收费应当使用财政部门印制或者监制的收费票据并由市级市政工程管理部门统一管理。
淄博市市政工程设施管理办法,,,第二章 综合管理,,第九条 违反本办法的行为由市政工程管理部门的监察队伍进行监察和查处。
淄博市市政工程设施管理办法,,,第三章 道路设施管理,,第十条 市政工程管理部门应当加强城市道路的管理和养护保持其完好状态。对龟裂、坑洼的路面破损的人行道和沉陷扭曲的路沿石养护单位应当及时修复保证道路畅通。道路上的各种检查井盖、雨水箅应当完整无缺与路面持平。发现缺失产权管理单位应当及时修复。
淄博市市政工程设施管理办法,,,第三章 道路设施管理,,第十一条 禁止下列损坏道路设施的行为浆、混凝土等
淄博市市政工程设施管理办法,,,第三章 道路设施管理,,第十二条 履带车、超重车及一切对道路有破坏作用的车辆不得通过城市道路。因特殊情况确需通过城市道路时应当经市政工程管理部门批准采取必要的保护措施并到公安交通管理部门办理临时通行证按指定的时间和路线通行。
