文件名,编,分编,章,节,内容
淄博市林木保护管理规定,,,,,第一条 为了保护林木资源改善生态环境根据《中华人民共和国森林法》等有关法律法规结合本市实际制定本规定。
淄博市林木保护管理规定,,,,,第二条 在本市行政区域内从事林木保护管理和开发利用等活动应当遵守本规定。城市规划区内城区林木的保护管理按照《淄博市城市绿化管理办法》执行。
淄博市林木保护管理规定,,,,,第三条 本规定所称林木是指乔木、灌木和藤本植物。
淄博市林木保护管理规定,,,,,第四条 市、区县林业行政主管部门主管本行政区域内林木的保护管理工作。区、县林业行政主管部门可以委托乡、镇林业工作机构在委托范围内对违反本规定的行为实施行政处罚。
淄博市林木保护管理规定,,,,,第五条 市、区县人民政府应当根据经济社会发展和环境建设需要制定林业发展规划。城镇建设、村庄改造、道路修建、河流治理时建设、交通、水利、林业等有关行政主管部门应当规划出相应的绿化用地并组织植树造林。
淄博市林木保护管理规定,,,,,第六条 任何单位和个人都有保护林木的义务对破坏林木的行为有权检举和控告。各级人民政府对保护林木做出突出贡献的单位和个人应当给予表彰和奖励。
淄博市林木保护管理规定,,,,,第七条 国有和集体所有的林木林地个人所有的林木和使用的林地由区、县以上人民政府登记造册核发林权证书确认所有权或者使用权。
淄博市林木保护管理规定,,,,,第八条 区、县人民政府应当对生态防护林地和其他必须实行封山育林的区域划定封山育林区发布封山育林公告设立明显的标志牌。标志牌应当标明封山育林区的界限、封育时间、管护规定等。
淄博市林木保护管理规定,,,,,第九条 村民委员会应当把林木保护列入村规民约。乡镇人民政府、村民委员会和国有林场应当划定护林责任区安排专职护林员护林。护林员的报酬由市、区县、乡镇、村按照谁受益、谁负担的原则解决其中国有生态公益林护林员的报酬按照隶属关系分别由市、区县人民政府解决。
淄博市林木保护管理规定,,,,,第十条 禁止下列危害林木林地的行为未成林造林地和幼林地内放牧用火和其他可能引起火灾的活动本规定实施之前林地内已有的坟墓除受国家保护具有历史、艺术、科学价值的予以保留外应当按照区、县林业行政主管部门的规划要求逐步迁出或者深埋不留坟头。
淄博市林木保护管理规定,,,,,第十一条 从事农田作业等活动应当保护林网、林带和路边的树木。
