文件名,编,分编,章,节,内容
淄博市殡葬管理条例,,,第一章 总 则,,第一条 为了加强殡葬管理推进殡葬改革促进社会主义精神文明建设根据国务院《殡葬管理条例》结合本市实际制定本条例。
淄博市殡葬管理条例,,,第一章 总 则,,第二条 本市行政区域内的殡葬活动、殡葬服务和管理适用本条例。
淄博市殡葬管理条例,,,第一章 总 则,,第三条 殡葬管理工作坚持实行火葬、破除丧葬陋俗、文明节俭办丧事的原则。尊重少数民族的丧葬习俗。自愿改革丧葬习俗的他人不得干涉。
淄博市殡葬管理条例,,,第一章 总 则,,第四条 市、区县民政部门负责本行政区域内的殡葬管理工作。公安、建设、交通、卫生、环境保护、土地管理、工商行政管理等部门应当配合民政部门共同做好殡葬管理工作。文化、新闻出版、广播电视等部门应当采取多种形式开展移风易俗的宣传教育工作。乡镇人民政府和街道办事处应当做好辖区内的殡葬管理工作。
淄博市殡葬管理条例,,,第二章 殡葬设施及殡葬用品管理,,第五条 市、区县人民政府应当制定殡葬设施建设规划将新建和改建殡仪馆含火葬场下同、公墓含骨灰堂等骨灰安放设施下同等纳入城乡建设规划和土地利用计划。
淄博市殡葬管理条例,,,第二章 殡葬设施及殡葬用品管理,,第六条 建设殡葬设施应当根据全市殡葬设施建设规划履行审批手续部门提出方案报同级人民政府审批审核同意后报区县民政部门审批出方案经市民政部门审核同意后报省民政部门审批。
淄博市殡葬管理条例,,,第二章 殡葬设施及殡葬用品管理,,第七条 禁止在下列区域建造坟墓前款规定区域内现有的坟墓除受国家保护的具有历史、艺术、科学价值的予以保留外应当限期迁移或者深埋不留坟头。
淄博市殡葬管理条例,,,第二章 殡葬设施及殡葬用品管理,,第八条 禁止建立和恢复宗族墓地和宗族祠堂。禁止建立寿穴。禁止在公墓以外建造坟墓、树立墓碑。
淄博市殡葬管理条例,,,第二章 殡葬设施及殡葬用品管理,,第九条 殡葬设备必须符合国家规定的技术标准禁止制造、销售不符合国家技术标准的殡葬设备。禁止沿街露天经营摆放花圈等殡葬用品。
淄博市殡葬管理条例,,,第二章 殡葬设施及殡葬用品管理,,第十条 禁止制造销售封建迷信殡葬用品及棺材等土葬用品。
