文件名,编,分编,章,节,内容
淮南市优化行政审批条例,,,,,第一条 为了深化行政审批制度改革优化行政审批流程规范行政审批行为提高行政审批效能根据《中华人民共和国行政许可法》等法律、法规结合本市实际制定本条例。
淮南市优化行政审批条例,,,,,第二条 本条例适用于本市行政审批的实施、评价和监督活动。本条例所称行政审批是指行政机关根据公民、法人或者其他组织的申请经依法审查赋予其特定权利或者准予其从事特定活动的行为。
淮南市优化行政审批条例,,,,,第三条 市、县、区人民政府及其部门应当优化行政审批激发市场和社会活力促进经济社会发展。行政审批事项实行目录清单制度。未纳入目录清单的事项不得实施或者变相实施行政审批。本市实施的行政审批事项的名称、实施条件、审批时限等由市人民政府统一公布。
淮南市优化行政审批条例,,,,,第四条 行政审批事项有下列情形之一的应当调整门已经调整的关实施更方便、有效的
淮南市优化行政审批条例,,,,,第五条 县、区人民政府及其部门和省级以上开发区园区、社会发展综合实验区的管理机构可以依法实施由市人民政府及其部门实施的行政审批事项。
淮南市优化行政审批条例,,,,,第六条 行政审批机关包括部门、单位下同应当在市、县、区人民政府的政务服务机构设立窗口集中办理行政审批事项。因涉密、场所限制等原因不能在政务服务机构集中办理的由有关行政审批机关报本级人民政府决定并接受同级政务服务机构的监督、考核和指导。政务服务机构设立咨询服务台免费为申请人提供咨询服务。
淮南市优化行政审批条例,,,,,第七条 行政审批机关应当将本机关的行政审批事项集中到一个内设机构实行统一办理、送达不得将行政审批事项的受理、审查、决定等环节拆分实施。
淮南市优化行政审批条例,,,,,第八条 行政审批机关应当将行政审批的事项、依据、条件、数量、程序、期限、需提交的全部申请材料、申请书示范文本在政务服务窗口和网上公示。
淮南市优化行政审批条例,,,,,第九条 政务服务机构应当建立行政审批网上服务平台实行行政审批标准化服务。行政审批机关应当逐步实行行政审批网上受理、审查、审批、缴费、查询并实行电子监察。行政审批机关应当实行管理信息互通共享、办理流程提示保证审批快捷、规范、透明。
淮南市优化行政审批条例,,,,,第十条 行政审批的申请和受理应当按照有关规定办理。行政审批机关应当免费向申请人提供行政审批办事指南、申请书的格式文本及填写说明不得要求申请人提交行政审批标准规定以外的资料。申请人提交的申请材料不齐全或者不符合法定形式接受申请的工作人员应当一次性书面告知申请人需要补正的全部内容即时办理的申请可以口头告知。
淮南市优化行政审批条例,,,,,第十一条 同一申请人提出的、在一定时间内需由同级人民政府两个以上行政审批机关分别办理的两个以上具有关联性的行政审批事项实行并联审批。并联审批由一个行政审批机关统一接收组织实施。并联审批的事项及审批流程按照市人民政府有关规定执行。行政审批项目需要多份相同内容材料的申请人只需提供一份完整材料其他由行政审批机关自行复印留存。
淮南市优化行政审批条例,,,,,第十二条 行政审批实施中需要规划、设计、评价、评估、测绘、检测、检验、检疫、鉴定等中介服务的实行目录清单管理。中介服务目录清单由市人民政府审定后公布。未列入目录清单的不得在实施行政审批中增加中介服务。对具有区域性共性特点的服务实行同一区域一次评估或者评价评估报告在一定时期内共享。
淮南市优化行政审批条例,,,,,第十三条 政务服务机构应当加强对行政审批中介服务的监督建立项目单位自主委托、中介机构公平竞争、政府项目择优推荐的管理模式推动中介服务机构规范、公开、高效服务。中介服务机构应当公开办理时限、收费标准、服务质量。
淮南市优化行政审批条例,,,,,第十四条 依法由不同行政审批机关分别实施的现场踏勘、技术检测、听证、论证等可以由政务服务机构在并联审批启动之前组织相关机关联合实施并进行监督。
淮南市优化行政审批条例,,,,,第十五条 行政审批机关办理行政审批除法律、行政法规另有规定外不得收取任何费用。对项目建设、生产经营、不动产登记等方面的行政事业性收费项目实行统一收缴一次缴清。
淮南市优化行政审批条例,,,,,第十六条 行政审批机关实施行政审批不得要求申请人购买指定商品不得指定或者变相指定特定机构承担中介服务和其他与行政审批有关的服务。
淮南市优化行政审批条例,,,,,第十七条 申请人提交的申请材料齐全、符合法定形式行政审批机关能够当场作出行政审批决定的应当当场作出决定不能当场作出行政审批决定的应当在法定期限内作出决定。行政审批机关对不符合法定条件的申请应当依法作出不予批准的决定同时列明不予批准的理由、依据并告知申请人享有依法申请行政复议或者提起行政诉讼的权利。
淮南市优化行政审批条例,,,,,第十八条 市、县、区人民政府每年组织行政审批机关对行政审批事项的实施情况及存在的必要性进行评价分别对实施的行政审批事项予以保留、调整。
淮南市优化行政审批条例,,,,,第十九条 政务服务机构负责本级政务服务平台的日常监督管理对服务窗口的工作人员进行培训、考核、监督。行政审批机关应当选派综合素质较高的人员从事行政审批窗口服务工作对政务服务机构窗口工作人员的奖惩、调整、使用应当事先征求政务服务机构的意见。
淮南市优化行政审批条例,,,,,第二十条 市、县、区人民政府应当建立行政审批违法行为举报投诉制度公开举报投诉电话、邮箱并健全举报、投诉、查处机制和保护举报人制度。行政审批实施情况纳入年度机关效能建设考核内容。监察机关对行政审批的实施进行监察及时调查处理行政审批的违法违纪行为。
淮南市优化行政审批条例,,,,,第二十一条 行政审批机关及其工作人员违反本条例的规定有下列情形之一的由其上级行政机关或者监察机关责令改正对直接负责的主管人员和其他直接责任人员依法给予处分的项、依据、条件、数量、程序和期限需提交的全部申请材料申请书示范文本等有关信息的未一次性书面告知申请人需要补正的全部内容的有关服务的
淮南市优化行政审批条例,,,,,第二十二条 本条例自 2014 年 10 月 1 日起施行。
