文件名,编,分编,章,节,内容
淮南市地名管理条例,,,第一章 总 则,,第一条 为了加强地名管理发挥地名公共服务功能适应城乡建设、社会发展和人民生活需要根据国务院《地名管理条例》等法律、法规结合本市实际制定本条例。
淮南市地名管理条例,,,第一章 总 则,,第二条 本条例适用于本市行政区域内地名的命名、更名、销名、使用、标志设置、公共服务及相关管理行为。
淮南市地名管理条例,,,第一章 总 则,,第三条 本条例所称地名是指用作标示方位、地域范围的地理实体名称范围包括处等行政区划名称以及社区、建制村等区域名称灌渠以及具有地名意义的台、站、港、场等名称自然保护区、风景名胜区、园林、公园等名称厦、广场、城、中心等名称
淮南市地名管理条例,,,第一章 总 则,,第四条 地名管理坚持尊重历史和现状、维护地名相对稳定、确保地名规范使用的原则。
淮南市地名管理条例,,,第一章 总 则,,第五条 市、县区人民政府地名委员会负责组织、协调本行政区域内的地名管理工作。地名委员会成员单位及其工作职责由同级人民政府确定。市、县区民政部门是本行政区域内的地名主管部门按照职责权限负责地名管理工作。有关部门和乡镇人民政府、街道办事处协助地名主管部门做好地名管理工作。
淮南市地名管理条例,,,第一章 总 则,,第六条 市、县地名主管部门应当依据城乡规划结合当地自然地理特征、人文历史和城乡建设现状、特点会同有关部门编制本行政区域地名规划报本级人民政府批准后实施。
淮南市地名管理条例,,,第二章 地名命名与更名,,第七条 地名命名应当遵守下列规定自然地理特征淆的地名止使用国家领导人名、外国人名、外国地名及其同音字命名地名名词组或者通名词组命名地名僻字施地名、纪念地和旅游地地名、城镇道路地名、高层建筑物或者综合性大型建筑群地名的专名不得重名同一县区内的区域地名、居民地的专名不得重名港、场等名称应当与所在地地名相统一。
淮南市地名管理条例,,,第二章 地名命名与更名,,第八条 地名通名命名的具体规范和标准由市地名主管部门会同有关部门制定。
淮南市地名管理条例,,,第二章 地名命名与更名,,第九条 地名命名应当按照下列审批程序办理筑物或者综合性大型建筑群地名区范围内的由有关乡镇人民政府、街道办事处或者相关单位向区地名主管部门提出申请初审后报送市地名主管部门审核报请市人民政府审批县范围内的由有关乡镇人民政府、街道办事处或者相关单位向县地名主管部门提出申请审核后报请县人民政府审批程序办理建设、水利、林业等专业主管部门征得所在地地名主管部门同意后按照有关规定办理。城镇范围内的桥梁、隧道地名按照第一项规定办理地公安机关申请办理城市主干道沿街门牌号地名由建设单位、管理单位或者产权人向市、县地名主管部门申请办理。具体编制细则和标准由市地名主管部门会同有关部门制定。按照有关法律、法规由县区人民政府负责审批的地名应当自批准之日起十日内报市地名主管部门备案。住宅区、城镇道路、高层建筑物或者综合性大型建筑群的命名应当在规划设计的同时由建设单位办理地名报批手续。
淮南市地名管理条例,,,第二章 地名命名与更名,,第十条 地名命名申请应当采用书面形式。申请住宅区、城镇道路、高层建筑物或者综合性大型建筑群命名的还应当提交建设项目批准文件和法律、法规规定的其他材料。
