文件名,编,分编,章,节,内容
淮南市城市市容和环境卫生管理条例,,,第一章 总 则,,第一条 为了加强城市市容和环境卫生管理创造整洁、优美、文明、有序的现代化城市促进社会经济发展和精神文明建设根据有关法律、行政法规结合本市实际制定本条例。
淮南市城市市容和环境卫生管理条例,,,第一章 总 则,,第二条 本条例适用于本市城区、建制镇、独立工矿区、经济技术开发区以及纳入城市化管理的其他地区。
淮南市城市市容和环境卫生管理条例,,,第一章 总 则,,第三条 城市市容和环境卫生工作实行统一领导、分级管理、分工负责、专业人员管理与群众管理相结合的原则。
淮南市城市市容和环境卫生管理条例,,,第一章 总 则,,第四条 市市容环境卫生行政主管部门以下简称市容行政主管部门主管本市的城市市容和环境卫生工作。县、区市容行政主管部门在同级人民政府领导下负责本行政区域内的城市市容和环境卫生监督管理工作。经济技术开发区的市容环境卫生管理机构负责开发区内的城市市容和环境卫生管理工作。街道办事处、乡镇人民政府按照职责分工负责辖区内城市市容和环境卫生监督管理工作。城市管理行政执法机构以下简称城管执法机构负责依法查处违反城市市容和环境卫生管理的行为。
淮南市城市市容和环境卫生管理条例,,,第一章 总 则,,第五条 各级人民政府应当加强城市市容和环境卫生法律、法规和科学知识的宣传教育公民提高城市市容和环境卫生意识养成良好的公共卫生习惯。对在城市市容和环境卫生管理工作中作出显著成绩的单位和个人由市、县、区人民政府予以表彰和奖励。
淮南市城市市容和环境卫生管理条例,,,第一章 总 则,,第六条 城市规划、工商、公安、交通、房地产、公用事业、卫生、环保等部门应当按照各自职责协同市容行政主管部门做好城市市容和环境卫生管理工作。依法应当由市容行政主管部门审查的相关事项未经审查或者审查不合格的有关部门不得办理批准手续。
淮南市城市市容和环境卫生管理条例,,,第一章 总 则,,第七条 任何单位和个人都有维护城市整洁、优美、文明的义务并有权劝阻、举报违反城市市容和环境卫生管理的行为。市容行政主管部门和城管执法机构应当对举报事项及时进行查处并于五个工作日内将处理情况告知举报人或者在现场公示。
淮南市城市市容和环境卫生管理条例,,,第一章 总 则,,第八条 对违反本条例规定、妨害城市市容和环境卫生的行为城管执法机构可以暂扣违法经营的物品和实施违法行为的工具要求违法行为人到指定的地点接受处罚。
淮南市城市市容和环境卫生管理条例,,,第一章 总 则,,第九条 违反本条例规定需要立即清除道路、河道或者公共场所的遗洒物、障碍物或者污染物当事人不能清除的城管执法机构可以决定立即实施代履行所需费用由违法行为人承担。违法行为人拒不承担代履行费用的城管执法机构可以依法申请人民法院强制执行。
淮南市城市市容和环境卫生管理条例,,,第一章 总 则,,第十条 市容行政主管部门和城管执法机构及其工作人员应当积极依法履行管理和监督职责不得玩忽职守、滥用职权、徇私舞弊不得损害公民、法人或者其他组织的合法权益。违反规定的由所在单位或者上级主管部门对直接负责的主管人员和其他责任人员依法给予处分给相对人造成损失的应当依法给予赔偿构成犯罪的依法追究刑事责任。
