文件名,编,分编,章,节,内容
淮安市市容管理条例,,,第一章 总 则,,第一条 为了加强市容管理创造和维护整洁、有序、安全、优美、文明的人居环境根据有关法律、法规结合本市实际制定本条例。
淮安市市容管理条例,,,第一章 总 则,,第二条 本市市区、县城的建成区以及实施城市化管理的其他区域的市容管理活动适用本条例。具体范围由市、县区人民政府划定并向社会公布。本条例所称市容管理包括对建构筑物外立面、户外广告设施与户外招牌、城市道路与车辆、农贸市场与临时经营场点、垃圾与扬尘、市容环卫责任区等进行的管理。
淮安市市容管理条例,,,第一章 总 则,,第三条 市容管理工作应当坚持以人民为中心遵循统一领导、分级管理、公众参与、社会监督的原则。
淮安市市容管理条例,,,第一章 总 则,,第四条 市、县区人民政府应当将市容管理工作纳入国民经济和社会发展规划将所需经费纳入财政预算建立健全以公共财政为基础的多元化投入机制加强市容基础设施建设提高市容管理工作精细化水平。市、县区人民政府应当健全市容管理协调机制加强对市容管理工作的监督检查和考核奖惩协调解决市容管理工作中的重大问题。市、县区人民政府城市管理部门是市容管理的行政主管部门负责市容管理的相关日常工作。其他行政管理部门按照各自职责共同做好市容管理工作。各类开发区、园区和景区管理委员会应当做好本区域内的市容管理工作。街道办事处、镇人民政府按照职责做好本区域内的市容管理相关工作居村民委员会协助做好市容管理工作。
淮安市市容管理条例,,,第一章 总 则,,第五条 市城市管理部门应当会同自然资源和规划、住房和城乡建设等部门根据国家、省城市容貌标准以及相关国土空间规划制定本地城市容貌标准并征求社会各界意见报市人民政府批准后公布实施。
淮安市市容管理条例,,,第一章 总 则,,第六条 市、县区人民政府应当建立市容管理工作激励机制鼓励单位和个人参加市容管理公益活动对在市容管理工作中作出突出贡献的单位和个人给予奖励。
淮安市市容管理条例,,,第一章 总 则,,第七条 城市管理部门和其他有关行政管理部门应当加强市容管理法律、法规和科学知识的宣传教育增强公民维护市容的责任意识。学校、幼儿园等教育机构应当开展维护市容的教育和实践活动培养青少年和儿童爱护公共卫生环境的良好习惯。新闻媒体应当加强市容管理公益宣传对市容管理中存在的问题予以曝光。
淮安市市容管理条例,,,第一章 总 则,,第八条 任何单位和个人应当维护市容市貌爱护公共设施尊重市容作业人员及其劳动成果支持市容管理工作人员履行职责。鼓励单位和个人举报破坏市容行为。
淮安市市容管理条例,,,第二章 建（构）筑物外立面管理,,第九条 新建建设工程以及对建构筑物外立面实施改造应当符合国土空间规划和城市容貌标准。有下列情形之一的建设单位应当向自然资源和规划部门提供外立面设计方案改造时需要改变外立面原有的主体色调、造型和设计风格的的。建设工程外立面设计方案应当经自然资源和规划部门审定。经审定的设计方案不得擅自改变。违反第三款规定建设工程外立面设计方案未经自然资源和规划部门审定或者未按照审定的方案进行建设的由自然资源和规划部门或者城市管理行政执法部门按照职责责令停止建设。尚可采取改正措施消除对规划实施的影响的限期改正处外立面建设工程造价百分之五以上百分之十以下罚款无法采取改正措施消除影响的限期拆除可以处外立面建设工程造价百分之十以下罚款。
淮安市市容管理条例,,,第二章 建（构）筑物外立面管理,,第十条 在主要街道两侧和重点地区的临街建构筑物外立面安装防护设施、空调外机、遮阳雨篷棚、排气排烟设施、太阳能设施、管线设施以及封闭阳台、实施绿化的应当符合城市容貌标准不得影响外立面整体效果。建构筑物的所有人、使用人或者市容环卫责任区责任人应当对建构筑物的外立面进行维护管理保持整洁和完好。结构损坏、墙面剥离或者外立面污损的应当及时修缮、维护和清洗。
淮安市市容管理条例,,,第二章 建（构）筑物外立面管理,,第十一条 利用建构筑物外立面设置夜景亮化设施的应当符合城市照明管理规定以及技术规范并与建构筑物外立面的主体色调、造型和设计风格相协调。
