文件名,编,分编,章,节,内容
深圳市制定法规条例,,,第一章 总 则,,第一条 为了规范制定法规活动健全本市立法制度提高立法质量发挥立法的引领和推动作用保障和发展社会主义民主根据宪法和《中华人民共和国地方各级人民代表大会和地方各级人民政府组织法》《中华人民共和国立法法》结合本市实际制定本条例。
深圳市制定法规条例,,,第一章 总 则,,第二条 市人民代表大会及其常务委员会制定、修改、废止、解释法规以及其他立法相关活动适用本条例。本条例所称法规包括深圳市法规和深圳经济特区法规。
深圳市制定法规条例,,,第一章 总 则,,第三条 制定法规应当坚持中国共产党的领导坚持以马克思列宁主义、毛泽东思想、邓小平理论、三个代表重要思想、科学发展观、习近平新时代中国特色社会主义思想为指导坚持以经济建设为中心坚持改革开放贯彻新发展理念保障在法治轨道上推进中国特色社会主义先行示范区建设。
深圳市制定法规条例,,,第一章 总 则,,第四条 制定法规应当符合宪法的规定、原则和精神依照法定的权限和程序从国家整体利益出发维护社会主义法制的统一、尊严、权威。
深圳市制定法规条例,,,第一章 总 则,,第五条 制定法规应当坚持和发展全过程人民民主尊重和保障人权保障和促进社会公平正义。制定法规应当体现人民的意志发扬社会主义民主坚持立法公开保障人民通过多种途径参与立法活动。
深圳市制定法规条例,,,第一章 总 则,,第六条 制定法规应当从实际出发适应本市经济社会发展和全面深化改革的要求遵循客观规律突出地方特色科学合理地规定公民、法人和其他组织的权利与义务、地方国家机关的权力与责任。法规规定应当明确、具体具有针对性和可执行性。对上位法已经明确规定的内容一般不作重复性规定。
深圳市制定法规条例,,,第一章 总 则,,第七条 制定法规应当倡导和弘扬社会主义核心价值观坚持法治和德治相结合推动社会主义精神文明建设。
深圳市制定法规条例,,,第一章 总 则,,第八条 制定法规应当适应改革需要坚持在法治下推进改革和在改革中完善法治相统一引导、推动、规范、保障相关改革发挥法治在本市治理体系和治理能力现代化中的重要作用。
深圳市制定法规条例,,,第二章 立法权限,,第九条 市人民代表大会及其常务委员会根据本市的具体情况和实际需要制定深圳市法规在深圳市范围内实施。制定深圳市法规限于城市建设与管理、生态文明建设、历史文化保护、基层治理等方面的事项。法律另有规定的从其规定。深圳市法规不得同宪法、法律、行政法规和广东省地方性法规相抵触。
深圳市制定法规条例,,,第二章 立法权限,,第十条 市人民代表大会及其常务委员会根据全国人民代表大会常务委员会的授权决定遵循宪法的规定以及法律和行政法规的基本原则制定经济特区法规在深圳经济特区范围内实施。制定深圳经济特区法规应当注重发挥先行先试和创新变通作用引领推动深圳经济特区相关领域的改革发展。
深圳市制定法规条例,,,第二章 立法权限,,第十一条 下列事项由市人民代表大会制定法规的事项除上述市人民代表大会制定法规以外的事项由市人民代表大会常务委员会制定法规。市人民代表大会闭会期间市人民代表大会常务委员会可以对市人民代表大会制定的法规进行部分补充和修改但是不得同该法规的基本原则相抵触。
深圳市制定法规条例,,,第二章 立法权限,,第十二条 市人民代表大会及其常务委员会可以根据改革发展的需要决定就特定事项授权在规定期限和范围内暂时调整或者暂时停止适用法规的部分规定。暂时调整或者暂时停止适用法规的部分规定的事项实践证明可行的由市人民代表大会及其常务委员会及时修改有关法规修改法规的条件尚不成熟的可以延长授权的期限或者恢复施行有关法规规定。
深圳市制定法规条例,,,第三章 立法规划和立法计划,,第十三条 市人民代表大会常务委员会通过立法规划和年度立法计划、专项立法计划等形式加强对立法工作的统筹安排。
深圳市制定法规条例,,,第三章 立法规划和立法计划,,第十四条 常务委员会法制工作机构编制常务委员会立法规划由常务委员会主任会议通过后书面报告常务委员会。常务委员会法制工作机构依据立法规划和实际情况拟订立法计划由主任会议通过后书面报告常务委员会。
深圳市制定法规条例,,,第三章 立法规划和立法计划,,第十五条 编制立法规划、拟订立法计划应当认真研究代表议案和建议广泛征集意见科学论证评估根据经济社会发展和民主法治建设的需要按照加强重点领域、新兴领域、涉外领域立法的要求确定立法项目。
深圳市制定法规条例,,,第三章 立法规划和立法计划,,第十六条 立法规划和立法计划由常务委员会法制工作机构、市人民政府司法行政部门分别组织实施市人民代表大会专门委员会和常务委员会有关工作机构在各自职责范围内协助组织实施。立法规划和立法计划在执行过程中需要进行调整的由常务委员会法制工作机构提出调整意见报主任会议决定。
深圳市制定法规条例,,,第三章 立法规划和立法计划,,第十七条 立法规划和立法计划应当向社会公布并抄送广东省人民代表大会常务委员会法制工作机构。
深圳市制定法规条例,,,第四章 市人民代表大会制定法规程序,,第十八条 市人民代表大会主席团可以向市人民代表大会提出法规案由市人民代表大会会议审议。市人民代表大会常务委员会、市人民政府、市人民代表大会专门委员会可以向市人民代表大会提出法规案由主席团决定列入会议议程。
深圳市制定法规条例,,,第四章 市人民代表大会制定法规程序,,第十九条 市人民代表大会代表十人以上联名可以向市人民代表大会提出法规案由市人民代表大会议案审查委员会审议并提出是否列入会议议程的意见再由主席团决定是否列入会议议程。
深圳市制定法规条例,,,第四章 市人民代表大会制定法规程序,,第二十条 向市人民代表大会提出的法规案在市人民代表大会闭会期间可以向常务委员会提出经常务委员会会议审议后决定提请市人民代表大会审议由常务委员会或者提案人向大会全体会议作说明。常务委员会依照前款规定审议法规案应当通过多种形式征求市人民代表大会代表的意见并将有关情况予以反馈市人民代表大会专门委员会和常务委员会工作机构进行立法调研应当邀请有关的市人民代表大会代表参加。
深圳市制定法规条例,,,第四章 市人民代表大会制定法规程序,,第二十一条 常务委员会决定提请市人民代表大会审议的法规案一般应当在会议举行的三十日前将法规草案发给代表并可以适时组织代表研读讨论征求代表的意见。
深圳市制定法规条例,,,第四章 市人民代表大会制定法规程序,,第二十二条 列入市人民代表大会会议议程的法规案大会全体会议听取常务委员会或者提案人的说明后由各代表团进行审议。各代表团审议法规案时提案人应当派人到会听取意见回答询问。有关机关、组织应当根据代表团的要求派人到会介绍情况。
深圳市制定法规条例,,,第四章 市人民代表大会制定法规程序,,第二十三条 列入市人民代表大会会议议程的法规案由市人民代表大会法制委员会根据各代表团的审议意见对法规案进行统一审议向主席团提出审议结果的报告和法规草案修改稿经主席团会议审议通过后印发会议。法制委员会对于重要的不同意见应当在审议结果的报告中予以说明。
深圳市制定法规条例,,,第四章 市人民代表大会制定法规程序,,第二十四条 主席团常务主席可以在必要时召开各代表团团长会议就法规案中的重大问题听取各代表团的审议意见进行讨论并将讨论情况和意见向主席团报告。主席团常务主席也可以就法规案中重大的专门性问题召集代表团推选的有关代表进行讨论并将讨论情况和意见向主席团报告。
深圳市制定法规条例,,,第四章 市人民代表大会制定法规程序,,第二十五条 列入市人民代表大会会议议程的法规案在交付表决前提案人要求撤回的应当说明理由经主席团同意并向大会报告对该法规案的审议即行终止。
深圳市制定法规条例,,,第四章 市人民代表大会制定法规程序,,第二十六条 法规案在审议中有重大问题需要进一步研究的经主席团提出由大会全体会议决定可以授权常务委员会根据代表的意见进一步审议作出决定并将决定情况向市人民代表大会下次会议报告也可以授权常务委员会根据代表的意见进一步审议提出修改方案提请市人民代表大会下次会议审议决定。
深圳市制定法规条例,,,第四章 市人民代表大会制定法规程序,,第二十七条 法规草案修改稿经各代表团审议后由法制委员会根据各代表团的审议意见进行修改提出法规草案表决稿由主席团提请大会全体会议表决由全体代表的过半数通过。
深圳市制定法规条例,,,第四章 市人民代表大会制定法规程序,,第二十八条 常务委员会决定提请市人民代表大会会议审议的法规案一般应当在大会前一个月将法规草案及起草说明向社会公开但是经主任会议决定不公开的除外。其他法规案经主席团决定列入市人民代表大会会议议程的应当在作出决定后及时将法规草案及起草说明向社会公开但是经主席团决定不公开的除外。各代表团对法规案的审议意见应当及时向社会公开。
深圳市制定法规条例,,,第五章 市人民代表大会常务委员会制定法规程序,,第二十九条 主任会议可以向常务委员会提出法规案由常务委员会会议审议。市人民政府、市人民代表大会专门委员会可以向常务委员会提出法规案由主任会议决定列入常务委员会会议议程或者先交有关专门委员会、常务委员会工作机构研究提出意见再决定列入常务委员会会议议程。主任会议认为法规案有重大问题需要进一步研究的可以建议提案人修改完善后再向常务委员会提出。
深圳市制定法规条例,,,第五章 市人民代表大会常务委员会制定法规程序,,第三十条 常务委员会组成人员五人以上联名可以向常务委员会提出法规案由主任会议决定是否列入常务委员会会议议程或者先交市人民代表大会有关专门委员会、常务委员会工作机构研究提出意见再决定是否列入常务委员会会议议程。不列入常务委员会会议议程的应当向常务委员会会议报告或者向提案人说明。
深圳市制定法规条例,,,第五章 市人民代表大会常务委员会制定法规程序,,第三十一条 列入常务委员会会议议程的法规案除特殊情况外应当在会议举行的七日前将法规草案及相关材料发给常务委员会组成人员。常务委员会会议审议法规案时应当邀请有关的市人民代表大会代表列席会议。
深圳市制定法规条例,,,第五章 市人民代表大会常务委员会制定法规程序,,第三十二条 法规草案内容与本市其他法规相关规定不一致的提案人应当予以说明并提出处理意见必要时同时提出修改或者废止本市其他法规的议案。市人民代表大会专门委员会、常务委员会工作机构审议、研究法规案时认为需要修改或者废止本市其他法规的应当提出处理意见。
深圳市制定法规条例,,,第五章 市人民代表大会常务委员会制定法规程序,,第三十三条 以深圳经济特区法规形式提出法规案的提案人应当说明先行先试的内容或者对法律、行政法规、广东省地方性法规作出变通的情况。
深圳市制定法规条例,,,第五章 市人民代表大会常务委员会制定法规程序,,第三十四条 列入常务委员会会议议程的法规案一般应当经三次常务委员会会议审议后再交付表决。列入常务委员会会议议程的法规案各方面意见比较一致的经主任会议决定可以经两次常务委员会会议审议后交付表决调整事项较为单一、部分修改的法规案或者废止法规案各方面意见比较一致或者遇有紧急情形的经主任会议决定也可以经一次常务委员会会议审议即交付表决。市人民政府、常务委员会组成人员五人以上联名提出的法规案由市人民代表大会有关专门委员会、常务委员会工作机构进行初审。列入常务委员会会议议程的法规案由市人民代表大会法制委员会进行统一审议。
深圳市制定法规条例,,,第五章 市人民代表大会常务委员会制定法规程序,,第三十五条 市人民代表大会专门委员会、常务委员会工作机构对法规案进行初审的应当组织调研论证并向常务委员会会议提出初审意见报告。初审意见报告应当包括下列内容的理由
