文件名,编,分编,章,节,内容
深圳经济特区人工智能产业促进条例,,,第一章 总则,,第一条 为了促进深圳经济特区人工智能产业高质量发展推进人工智能在经济社会领域深度融合应用规范人工智能产业有序发展根据有关法律、行政法规的基本原则结合深圳经济特区实际制定本条例。
深圳经济特区人工智能产业促进条例,,,第一章 总则,,第二条 本条例所称人工智能是指利用计算机或者其控制的设备通过感知环境、获取知识、推导演绎等方法对人类智能的模拟、延伸或者扩展。
深圳经济特区人工智能产业促进条例,,,第一章 总则,,第三条 本条例所称人工智能产业是指与人工智能相关的软硬件产品研究、开发和生产、系统应用、集成服务等核心产业以及人工智能在民生服务、社会治理、经济发展等领域融合应用带动的相关产业。
深圳经济特区人工智能产业促进条例,,,第一章 总则,,第四条 本市人工智能产业发展遵循科技引领、应用驱动、以人为本、安全可控的原则。
深圳经济特区人工智能产业促进条例,,,第一章 总则,,第五条 市人民政府应当建立本市人工智能产业发展协调工作机制统筹协调人工智能发展和安全工作推动人工智能产业健康有序发展充分发挥人工智能对经济、社会、生态等方面可持续发展的推动作用。
深圳经济特区人工智能产业促进条例,,,第一章 总则,,第六条 市工业和信息化部门是人工智能产业主管部门以下简称市产业主管部门负责实施、协调、督促本行政区域内人工智能产业发展工作。市发展改革、教育、科技创新、公安、财政、人力资源保障、规划和自然资源、生态环境、住房和建设、交通运输、商务、卫生健康、国资、市场监管、统计、城管和综合执法、政务服务数据管理、中小企业服务等部门以及市网信部门在各自职责范围内负责人工智能产业发展相关工作。
深圳经济特区人工智能产业促进条例,,,第一章 总则,,第七条 人工智能产业发展应当纳入本市国民经济和社会发展规划明确人工智能产业发展的总体思路、发展目标、主要任务和政策措施。市产业主管部门应当编制本市人工智能产业发展计划报市人民政府批准后发布实施。
深圳经济特区人工智能产业促进条例,,,第一章 总则,,第八条 市市场监管部门应当会同市产业主管部门等有关部门建立和完善人工智能地方标准体系。鼓励高等院校、科研机构、企业和其他组织参与制定人工智能领域的国际标准、国家标准、行业标准、地方标准和团体标准。
深圳经济特区人工智能产业促进条例,,,第一章 总则,,第九条 市统计部门、市产业主管部门应当会同其他有关部门建立健全人工智能产业统计分类标准制定和完善人工智能产业统计分类目录有序开展人工智能产业统计调查和监测分析工作。
深圳经济特区人工智能产业促进条例,,,第一章 总则,,第十条 市人民政府有关部门应当按照鼓励创新的原则对人工智能产业实行包容审慎监管。针对人工智能新技术、新产业、新业态、新模式等特点制定相应的监管规则和标准实行分类分级监管。
深圳经济特区人工智能产业促进条例,,,第一章 总则,,第十一条 鼓励和支持高等院校、科研机构、企业和其他组织在基础研究、基础平台、技术开发、人才培育等方面开展国际交流与合作推进技术创新和发展。
深圳经济特区人工智能产业促进条例,,,第一章 总则,,第十二条 在遵循有关法律法规和伦理安全规范的前提下推动人工智能产品和服务的普及应用提高全社会人工智能的应用意识和能力推进经济社会智能化发展。
深圳经济特区人工智能产业促进条例,,,第二章 基础研究与技术开发,,第十三条 鼓励高等院校、科研机构、企业和其他组织开展长周期、跨学科的人工智能基础研究承担和参与国家、省、市重大科技项目。市人民政府及其有关部门应当给予支持。市科技创新部门应当完善基础研究重大任务形成机制强化对目标导向基础研究的系统部署推动人工智能领域重点项目、基地、人才、资金一体化配置。
深圳经济特区人工智能产业促进条例,,,第二章 基础研究与技术开发,,第十四条 市科技创新部门应当聚焦人工智能关键核心环节建立以市场需求为主导、政产学研深度融合的关键核心技术攻关机制构建覆盖人工智能关键核心技术攻关全周期的扶持政策体系。
深圳经济特区人工智能产业促进条例,,,第二章 基础研究与技术开发,,第十五条 加快国家、省、市研究平台建设开展战略性、前瞻性、系统性人工智能基础研究和关键核心技术攻关推动学科理论与前沿技术的突破和创新发挥创新引领和支撑作用。
深圳经济特区人工智能产业促进条例,,,第二章 基础研究与技术开发,,第十六条 支持建设重点实验室、特色实验基地、工程研究中心、产业创新中心、技术创新中心、企业技术中心、制造业创新中心等创新载体。
深圳经济特区人工智能产业促进条例,,,第二章 基础研究与技术开发,,第十七条 培育和建设投资主体多元化、管理制度现代化、运行机制市场化、用工方式灵活化的新型研发机构支持其融合开展人工智能科学研究、技术创新和研发服务。
深圳经济特区人工智能产业促进条例,,,第二章 基础研究与技术开发,,第十八条 支持高等院校、科研机构、企业和其他组织加强产学研合作通过成立创新联合体等方式创新组织模式开展人工智能基础研究与技术开发。
深圳经济特区人工智能产业促进条例,,,第二章 基础研究与技术开发,,第十九条 市财政部门应当加大科技创新财政投入建立健全稳定和竞争相协调的投入机制强化对人工智能基础研究与技术开发的支持。鼓励企业和社会力量以设立基金、联合资助、慈善捐赠等形式多渠道参与基础研究与技术开发。
深圳经济特区人工智能产业促进条例,,,第二章 基础研究与技术开发,,第二十条 鼓励高等院校、科研机构、企业和其他组织面向社会开放重大科研基础设施和大型科研仪器。发挥国际科技信息中心、国际创新产业信息服务平台和大型科学仪器共享平台作用完善开放共享的评价考核和激励机制。
深圳经济特区人工智能产业促进条例,,,第二章 基础研究与技术开发,,第二十一条 市科技创新部门应当创新人工智能项目管理方式公开征集科技创新项目和成果通过非周期性项目资助等方式予以支持。探索实行项目经理人或者经理机构管理模式委托第三方专业机构或者专人负责项目管理工作优化过程管理、项目监督和绩效评价。允许技术路线明显不同的多个牵头单位同时获得前期立项在项目周期时间内定期开展考核根据动态竞争结果给予资助对实施效果良好、发展潜力大的项目可以追加支持。
深圳经济特区人工智能产业促进条例,,,第二章 基础研究与技术开发,,第二十二条 建立以质量、绩效、贡献为导向的项目评价制度准确反映人工智能科技成果创新水平、转化应用绩效和对经济社会发展的实际贡献。完善自由探索型和任务导向型科技项目分类评价制度建立非共识科技项目的评价机制。
深圳经济特区人工智能产业促进条例,,,第二章 基础研究与技术开发,,第二十三条 市科技创新部门应当建立有利于促进科技成果转化的激励机制推动各类创新主体开展科技成果转化。鼓励和支持人工智能领域国家科技重大专项和重点研发计划项目所取得的研究成果在深圳开展产业化应用研究推动知识产权资本化。鼓励人工智能企业离岸创新成果在本市转化在相关方面视同国内创新成果支持。支持高等院校、科研机构的专业技术人员按照有关规定离岗创业、在职创业或者到企业兼职从事人工智能领域科技成果转化。
