文件名,编,分编,章,节,内容
湖北省企业工会条例,,,第一章 总 则,,第一条 为了保障企业工会依法行使权利和履行义务维护职工合法权益促进企业健康发展构建和谐劳动关系根据《中华人民共和国工会法》、《中华人民共和国劳动法》、《中华人民共和国劳动合同法》等有关法律法规的规定结合本省实际制定本条例。
湖北省企业工会条例,,,第一章 总 则,,第二条 本省行政区域内的所有企业和企业工会适用本条例。实行企业化管理的事业单位、社会组织及其工会参照本条例执行。
湖北省企业工会条例,,,第一章 总 则,,第三条 企业工会是中华全国总工会的基层组织应当遵守宪法和法律法规依照《中国工会章程》独立自主开展工作。
湖北省企业工会条例,,,第一章 总 则,,第四条 企业职工依法享有参加和组织工会的权利任何组织和个人不得以职工户籍、就业形式、就业期限等理由阻挠和限制。企业工会代表和维护企业工会会员和职工的合法权益接受企业工会会员和职工的监督。
湖北省企业工会条例,,,第一章 总 则,,第五条 企业工会与企业相互尊重支持平等协商合作团结和组织全体职工共谋企业发展推动建设和谐企业。企业应当依法支持职工组建和健全工会组织为工会履行职责、开展活动提供必要的保障条件。企业支持工会工作、工会组织健全、劳动关系和谐是企业和企业负责人评选荣誉称号的必要条件。企业工会应当支持企业合法生产经营推动产业工人队伍建设改革教育激励职工关心企业发展妥善协调企业劳动关系。
湖北省企业工会条例,,,第一章 总 则,,第六条 县级以上地方总工会和产业工会以及基层工会联合组织对本地区、本系统、本行业企业工会工作负有领导、指导、协调和监督的职责为企业工会开展工作提供法律、政策、信息、培训等方面的服务支持企业工会协调解决工作中的问题。企业工会履行职责遇到困难时有权提请上级工会予以帮助。
湖北省企业工会条例,,,第一章 总 则,,第七条 各级人民政府及其人力资源和社会保障等有关部门应当依法建立健全协调劳动关系的机制指导督促企业依法规范劳动用工加强对劳动法律法规执行情况的监督支持地方总工会、企业工会依法开展工作维护职工合法权益。
湖北省企业工会条例,,,第二章 企业工会组织,,第八条 企业工会应当自企业开业或者设立之日起六个月内组建具备法人条件的依法取得社会团体法人资格。逾期未组建工会的依法收缴工会筹备金。上级工会应当帮助和指导企业职工组建工会并为企业工会提供必要的服务。企业工会依法组织职工加入工会保障职工平等享有参加所在企业工会的权利。
湖北省企业工会条例,,,第二章 企业工会组织,,第九条 会员二十五人以上的企业应当建立工会委员会。不足二十五人的可以建立工会委员会也可以选举组织员一人组织会员开展活动。县以下区域内两个或者两个以上规模较小、人数较少的企业职工可以按地域相近、行业相同的原则建立区域性、行业性联合工会。企业工会委员会具体产生办法按照全国总工会的有关规定执行每届任期三年或者五年。
湖北省企业工会条例,,,第二章 企业工会组织,,第十条 会员大会或者会员代表大会是企业工会的权力机构每年召开一至两次会议由企业工会委员会召集。会员在二百人以下的企业工会应当召开会员大会。会员在二百人以上的企业可以召开会员大会也可以召开会员代表大会。会员代表实行常任制任期与本届工会委员会相同可以连选连任。
