文件名,编,分编,章,节,内容
湖北省工会劳动法律监督条例,,,第一章 总 则,,第一条 为了规范和保障工会劳动法律监督维护职工合法权益构建和谐劳动关系根据《中华人民共和国工会法》、《中华人民共和国劳动法》、《中华人民共和国劳动合同法》、《劳动保障监察条例》等法律、行政法规结合本省实际制定本条例。
湖北省工会劳动法律监督条例,,,第一章 总 则,,第二条 本条例适用于本省行政区域内工会劳动法律监督活动。本条例所称工会劳动法律监督是指工会依法对用人单位遵守劳动法律法规、保障职工合法权益情况进行的有组织的群众监督。
湖北省工会劳动法律监督条例,,,第一章 总 则,,第三条 工会劳动法律监督应当遵循依法监督、客观公正、依靠职工、注重预防的原则。
湖北省工会劳动法律监督条例,,,第一章 总 则,,第四条 县级以上地方总工会负责本行政区域内的工会劳动法律监督工作。乡镇街道工会、开发区产业园区工会、村社区工会和区域性、行业性工会联合会等负责本区域或者本行业的工会劳动法律监督工作。用人单位工会负责本单位的工会劳动法律监督工作。
湖北省工会劳动法律监督条例,,,第一章 总 则,,第五条 县级以上人民政府应当支持工会依法开展劳动法律监督将构建和谐劳动关系纳入国民经济和社会发展规划、政府目标责任考核体系。县级以上人民政府应当健全完善与同级工会的联席会议制度研究制定劳动就业、工资、劳动安全卫生、社会保险等涉及职工切身利益的政策措施时应当听取同级工会的意见。县级以上人民政府应当加强劳动法律监督信息化建设推进工会劳动法律监督与用人单位劳动用工、社会保障、劳动保障监察、劳动争议处理、劳动法律法规宣传等信息的互联互通加强劳动关系矛盾预防预警和源头治理。
湖北省工会劳动法律监督条例,,,第一章 总 则,,第六条 县级以上人民政府人力资源和社会保障部门应当会同同级工会和企业联合会、工商业联合会等方面代表建立劳动关系三方协商机制共同研究解决劳动关系方面的重大问题。县级以上人民政府发展改革、公安、司法行政、人力资源和社会保障、住房和城乡建设、卫生健康、应急管理、市场监督管理、医疗保障、税务等有关部门以及共产主义青年团、妇女联合会、残疾人联合会等组织应当与同级工会建立劳动法律监督协作机制按照各自职责支持工会依法开展劳动法律监督工作。县级以上人民政府人力资源和社会保障等有关部门对劳动法律法规执行情况进行专项检查时可以邀请同级工会参加在处理重大劳动保障违法行为案件时应当注意听取同级工会意见。
湖北省工会劳动法律监督条例,,,第一章 总 则,,第七条 县级以上地方总工会与同级人民法院、人民检察院应当加强工会劳动法律监督和司法监督的协作推动劳动法律法规执行共同维护劳动者合法权益和社会公共利益。
湖北省工会劳动法律监督条例,,,第一章 总 则,,第八条 工会与用人单位应当建立健全协商机制定期就涉及职工合法权益事项进行协商预防和化解劳动纠纷。工会应当依法开展劳动法律监督引导职工合理有序表达诉求支持用人单位开展正常的生产经营活动。用人单位应当遵守劳动法律法规接受和配合工会劳动法律监督。
湖北省工会劳动法律监督条例,,,第二章 监督组织,,第九条 工会设立劳动法律监督委员会。工会劳动法律监督委员会在同级工会领导下开展劳动法律监督工作并接受上级工会劳动法律监督委员会的业务指导。会员不足二十五人的基层工会未设立工会劳动法律监督委员会的应当设立工会劳动法律监督员。用人单位尚未建立工会的可以由上级工会在该用人单位聘请职工担任工会劳动法律监督员承担所在单位工会劳动法律监督工作。
湖北省工会劳动法律监督条例,,,第二章 监督组织,,第十条 工会劳动法律监督委员会由三名以上工会劳动法律监督员组成设主任一名主任由同级工会主席或者副主席担任。工会劳动法律监督委员会任期与同级工会委员会任期相同。工会劳动法律监督员由同级工会从会员中推选产生。用人单位工会劳动法律监督员中应当有一线职工有女职工的应当有适当比例的女性。工会根据工作需要可以聘请人大代表、政协委员、专家学者、社会人士等担任特邀工会劳动法律监督员。
