文件名,编,分编,章,节,内容
湖北省广播电视条例,,,第一章 总则,,第一条 为了加强广播电视管理保障广播电视公共服务促进广播电视事业繁荣发展满足人民群众精神文化需求根据《中华人民共和国公共文化服务保障法》《广播电视管理条例》等法律、行政法规结合本省实际制定本条例。
湖北省广播电视条例,,,第一章 总则,,第二条 本条例适用于本省行政区域内广播电视播出机构的设立广播电视传输覆盖网的建设、使用和保护节目的制作、播放和传送等活动及其监督管理。本条例所称广播电视播出机构包括广播电台、电视台、广播电视台等。本条例所称广播电视传输覆盖网包括从事广播电视节目传输业务的无线台站、卫星上行站、卫星收转站、监测台站、有线广播电视传输覆盖网等。
湖北省广播电视条例,,,第一章 总则,,第三条 广播电视事业应当坚持以人民为中心弘扬社会主义核心价值观丰富人民群众精神文化生活。
湖北省广播电视条例,,,第一章 总则,,第四条 县级以上人民政府应当将广播电视事业纳入国民经济和社会发展规划建立工作协调机制研究解决广播电视工作中的重大问题推动广播电视事业发展。
湖北省广播电视条例,,,第一章 总则,,第五条 县级以上人民政府广播电视行政部门负责本行政区域内广播电视管理和相关公共服务工作。其他有关部门按照各自职责做好相关工作。乡镇人民政府、街道办事处协助做好广播电视设施保护和相关公共服务工作。
湖北省广播电视条例,,,第一章 总则,,第六条 县级以上人民政府广播电视行政部门应当加强对广播电视相关工作的监督管理建立健全广播电视监督举报和服务投诉制度及时处理公众的举报和投诉。
湖北省广播电视条例,,,第一章 总则,,第七条 县级以上人民政府应当鼓励和支持广播电视行业研发、应用网络信息技术建设智能化、集约化的广播电视技术平台整合各类传播形式和节目资源创新节目内容、业务形态和服务模式实现平台、节目、人才、技术等要素共享融通推动广播电视媒体与新兴媒体融合发展提高广播电视服务质量。
湖北省广播电视条例,,,第一章 总则,,第八条 广播电视行业协会以及其他有关行业协会、社会团体在广播电视行政部门指导下按照其章程开展行业服务、实行自律管理。广播电视从业人员应当遵守法律法规恪守职业道德。
湖北省广播电视条例,,,第一章 总则,,第九条 对在发展广播电视事业中做出突出贡献的单位和个人按照国家有关规定给予表彰和奖励。
湖北省广播电视条例,,,第二章 广播电视播出机构和传输覆盖网,,第十条 设立广播电视播出机构应当符合国家有关规定依法取得广播电视播出机构许可证。严禁未经批准擅自设立广播电视播出机构。
湖北省广播电视条例,,,第二章 广播电视播出机构和传输覆盖网,,第十一条 广播电视播出机构应当按照广播电视播出机构许可证载明的事项制作、播放节目。确需变更的应当经省人民政府广播电视行政部门审核同意后报国务院广播电视行政部门批准。广播电视播出机构不得出租、转让播出时段。
湖北省广播电视条例,,,第二章 广播电视播出机构和传输覆盖网,,第十二条 设立广播电视站应当符合国家有关规定经所在地县级以上人民政府广播电视行政部门审核后报省人民政府广播电视行政部门审批。严禁未经批准擅自设立广播电视站。广播电视站不得出租、转让、承包给其他单位或者个人。
湖北省广播电视条例,,,第二章 广播电视播出机构和传输覆盖网,,第十三条 县级以上人民政府广播电视行政部门会同发展改革、建设等部门编制广播电视传输覆盖网专项规划加强广播电视传输覆盖网建设加快广播电视传输覆盖网与电信网、互联网的融合发展推动信息网络基础设施互联互通和资源共享。
湖北省广播电视条例,,,第二章 广播电视播出机构和传输覆盖网,,第十四条 全省设立统一的有线广播电视传输覆盖网实行统一规划、建设、运营和管理。已建成的有线广播电视站、有线广播电视分配网应当按照规划与全省统一的有线广播电视传输覆盖网联网。城市有线广播电视传输覆盖网地下管线工程应当符合城市地下管线综合规划统一纳入地下综合管廊管理。
湖北省广播电视条例,,,第二章 广播电视播出机构和传输覆盖网,,第十五条 新建、改建、扩建住宅区、公共设施及其他建筑物其建设主体应当按照国家、省有关规定规划和建设广播电视传输覆盖配套设施并与主体工程同时设计、同时施工、同时验收。已建住宅区、公共设施及其他建筑物没有广播电视传输覆盖配套设施需要接入广播电视信号的应当按照规定标准建设广播电视传输覆盖配套设施。
湖北省广播电视条例,,,第二章 广播电视播出机构和传输覆盖网,,第十六条 工程建设应当避开广播电视设施并符合国家规定的保护要求。工程建设暂时影响广播电视设施正常使用的建设主体应当在施工前十日告知广播电视设施管理单位并协商制定解决方案。
湖北省广播电视条例,,,第二章 广播电视播出机构和传输覆盖网,,第十七条 重大工程项目确实无法避开广播电视设施需要迁建广播电视设施的政府相关部门应当在批准前征得广播电视行政部门同意。迁建广播电视设施应当按照先建设后拆除的原则进行所需费用由造成广播电视设施迁建的单位承担。
湖北省广播电视条例,,,第二章 广播电视播出机构和传输覆盖网,,第十八条 未经许可任何单位和个人不得安装、使用卫星电视广播地面接收设施。在有线电视网络未通达的地区个人可以申请安装、使用卫星电视广播地面接收设施接收境内广播电视节目。
湖北省广播电视条例,,,第二章 广播电视播出机构和传输覆盖网,,第十九条 任何单位和个人不得冲击广播电视播出机构不得侵占、哄抢、损坏广播电视设施不得侵占、干扰广播电视专用频率不得擅自截传、干扰、解扰广播电视信号。
湖北省广播电视条例,,,第三章 广播电视节目传送,,第二十条 利用有线、无线、卫星等方式从事广播电视节目传送服务应当按照国家规定取得广播电视节目传送业务经营许可并按照许可证载明的事项提供服务。
湖北省广播电视条例,,,第三章 广播电视节目传送,,第二十一条 从事广播电视节目传送服务的单位不得利用所拥有的网络、频率或者其他资源擅自开办广播电视节目不得为非法开办的节目以及来源非法的广播电视信号提供传送服务不得擅自传送境外卫星电视节目不得在所传送的节目中插播其他节目和信息。从事广播电视节目传送服务的无线台站经核准使用的频率、频段不得出租、转让各项技术参数不得擅自变更。
湖北省广播电视条例,,,第三章 广播电视节目传送,,第二十二条 省人民政府广播电视行政部门应当制定广播电视传送服务质量标准和服务规范。广播电视传送服务单位应当按照国家和省有关规定建立健全服务质量管理制度提高传送服务质量。
湖北省广播电视条例,,,第三章 广播电视节目传送,,第二十三条 有线电视基本收视维护费和相关服务收费实行政府定价有线电视增值业务服务、信息网络传播视听节目服务实行市场调节价。
湖北省广播电视条例,,,第三章 广播电视节目传送,,第二十四条 有线广播电视传送服务单位应当向社会公布其业务种类、服务范围、服务时限和资费标准。广播电视用户有权自主选择接受依法开办的各项广播电视传送服务。有线广播电视传送服务单位、信息网络传播视听节目服务单位对所提供的服务应当明码标价并为用户查询消费明细提供便利条件。
湖北省广播电视条例,,,第三章 广播电视节目传送,,第二十五条 用户申请安装、移装有线广播电视接收设施的有线广播电视传送服务单位应当在其公布的时限内装机开通。有线广播电视传送服务单位逾期未能装机开通的收视服务期应当顺延自开通之日起计算。
湖北省广播电视条例,,,第三章 广播电视节目传送,,第二十六条 有线广播电视传送出现故障不能在服务协议约定的维修时间内修复的应当顺延收视服务期属于广播电视用户设备原因的除外。有线广播电视传送服务单位应当在用户收视服务期届满前通过手机短信、电视字幕等方式将收视服务期届满信息告知用户。收视服务期届满后未交费的应当给予三十日的交费宽限期宽限期内不得停止广播电视传送服务。
湖北省广播电视条例,,,第四章 节目制作和播放,,第二十七条 广播电视节目、信息网络视听节目和公共视听载体视听节目应当符合法律法规有关规定坚持正确的价值导向和舆论导向贴近实际、贴近生活、贴近群众弘扬社会主义核心价值观。
湖北省广播电视条例,,,第四章 节目制作和播放,,第二十八条 任何单位和个人不得制作、播放含有下列内容的节目的损害民族优秀文化传统的教唆犯罪或者传授犯罪方法的的
湖北省广播电视条例,,,第四章 节目制作和播放,,第二十九条 广播电视节目由广播电视播出机构和依法设立的广播电视节目制作经营单位制作。广播电视播出机构、信息网络传播视听节目服务单位、公共视听载体运营单位不得播放未取得发行许可的电影、电视剧、动画片等。
湖北省广播电视条例,,,第四章 节目制作和播放,,第三十条 省人民政府广播电视行政部门设立专项资金遴选体现时代精神、传承中华优秀传统文化的公益广播电视节目和电影、电视剧等进行补助扶持和推介。鼓励社会组织依法设立广播电视节目制作经营单位投资制作优质广播电视节目和信息网络视听节目。
湖北省广播电视条例,,,第四章 节目制作和播放,,第三十一条 从事信息网络传播视听节目服务应当依法取得信息网络传播视听节目许可。省、设区的市广播电视播出机构从事信息网络视听节目转播类服务的应当按照国家有关规定办理备案手续。信息网络传播视听节目服务单位应当按照许可或者备案的事项开展视听节目服务并在播出界面显著位置标注经批准的播出标识、名称、信息网络传播视听节目许可证或者备案编号。信息网络传播视听节目服务包括互联网视听节目服务和专网及定向传播视听节目服务。
湖北省广播电视条例,,,第四章 节目制作和播放,,第三十二条 任何单位和个人不得转播、链接、聚合、集成非法的广播电视节目和信息网络视听节目。任何单位和个人不得向无信息网络传播视听节目许可证或者未经备案的单位提供与信息网络传播视听节目服务有关的代收费以及信号传输、服务器托管等服务。
湖北省广播电视条例,,,第四章 节目制作和播放,,第三十三条 利用公共视听载体播放视听节目的运营单位应当在运营开播后十五日内报所在地县级人民政府广播电视行政部门备案。公共视听载体是指固定在广场、建筑物构筑物内外以及公共交通工具内向公众播放节目的视听显示装置仅发布广告的除外。
湖北省广播电视条例,,,第四章 节目制作和播放,,第三十四条 广播电视播出机构、信息网络传播视听节目服务单位播放广告应当符合法律法规和国家有关规定遵循公序良俗应当保持节目的完整除在节目自然的间歇外不得擅自在节目中插播广告应当对广告时间作出明显提示不得超出国家规定的广告播出时间比例。广告应当真实、合法以健康的表现形式表达广告内容不得含有虚假或者引人误解的内容不得欺骗、误导消费者。禁止以新闻报道形式变相发布广告或者以介绍健康、养生知识等形式变相发布医疗、药品、医疗器械、保健食品广告。广播电视播出机构、信息网络传播视听节目服务单位、公共视听载体运营单位应当按照规定制作、播放公益性广告。
湖北省广播电视条例,,,第四章 节目制作和播放,,第三十五条 广播电视播出机构、信息网络传播视听节目服务单位、公共视听载体运营单位应当建立节目审查制度对其播放的节目内容进行播前审查重播重审。广播电视播出机构、广播电视传送服务单位、信息网络传播视听节目服务单位、公共视听载体运营单位负责本单位的安全播出工作制定应急预案发现节目中含有违法内容或者有非法信息侵入的应当立即停止传送、播放保存传送、播放记录并向广播电视行政部门报告。
