文件名,编,分编,章,节,内容
湖北省森林防火条例,,,,,第一条 为了预防和扑救森林火灾保护森林资源维护自然生态平衡和公共安全根据国家法律法规的有关规定结合本省实际制定本条例。
湖北省森林防火条例,,,,,第二条 各级人民政府负责本行政区域内的森林防火工作并实行行政首长负责制其森林防火指挥部统一组织、协调、指挥森林防火工作。林区内各单位在当地人民政府领导下按照谁所有、谁管理、谁负责的原则做好森林防火工作。各级人民政府林业主管部门负责森林防火的具体实施工作。
湖北省森林防火条例,,,,,第三条 各级人民政府应当将森林防火工作纳入当地国民经济和社会发展计划加强森林防火组织和设施建设扶持森林防火科学研究并保障森林防火必需的经费。
湖北省森林防火条例,,,,,第四条 各级人民政府应当根据森林资源的状况及森林防火的需要建立健全森林防火体系实行森林专业队伍防火与群众防火相结合。林区内各森林经营单位应当加强对当地群众森林防火安生知识的宣传教育对所属的专业或者兼职森林防火队伍配备扑火机具定期组织训练和在林区巡回检查。凡进入林区从事生产建设、经营、旅游等活动的单位和个人应当自觉接受当地林业主管部门和森林经营单位、护林人员的防火管理与监督。林业主管部门应当加强对基层单位森林防火工作的指导并提供服务和帮助。
湖北省森林防火条例,,,,,第五条 每年的十一月一日至次年的四月三十日为全省森林重点防火期。县级以上人民政府可根据本地实际情况提前或者延迟本地的森林重点防火期。出现干燥、高温、大风等高火险天气时县级以上人民政府可以确定森林防火戒严期和戒严区发布戒严令。在戒严期内戒严区禁止一切野外用火。
湖北省森林防火条例,,,,,第六条 在林区内及林区边缘 500 米内禁止烧荒、烧草、烧秸杆、野炊等野外用火行为禁止使用枪械、电网狩猎。因生产建设、勘测、科研等活动确需用火和爆破作业的必须报经当地县级以上林业主管部门审查批准。
湖北省森林防火条例,,,,,第七条 森林经营单位和林区村、组的专职或者兼职护林员应当加强森林巡护监督林区野外用火制止违规用火行为及时发现火灾隐患、报告火情并协助有关部门查处森林火灾案件。
湖北省森林防火条例,,,,,第八条 林区内相邻的行政区域或者单位应当成立森林防火联防组织定期组织联防检查互通森林防火情况积极协助预防和扑救森林火灾。
湖北省森林防火条例,,,,,第九条 各级人民政府应当组织林业、新闻出版、广播电视、教育、旅游等有关部门和单位开展经常性的森林防火宣传教育活动。在森林重点防火期内各新闻媒体、气象部门应当根据需要无偿向社会发布森林火险等级预报和其他森林防火公益信息。
湖北省森林防火条例,,,,,第十条 县级以上人民政府应当组织林区内各有关单位设置火情了望台塔、森林防火标牌开辟防火隔离带和营造防火林带。对工程造林和成片造林建设单位必须将森林防火设施和防火林带纳入建设规划同步实施。在林地或者林地边缘设置的生产、储存和装卸易燃、易爆物品的工厂、仓库和车站其周围应当开辟防火隔离带。任何单位和个人不得损坏、挪用、擅自拆除森林防火设施堵塞防火通道破坏森林防火林带挤占、干扰森林防火专用电台频段的正常使用。
湖北省森林防火条例,,,,,第十一条 各级林业主管部门应当对辖区内各有关单位森林防火措施落实情况进行监督检查帮助其建立和完善森林防火制度发现问题及时下达整改通知书督促及时整改。
湖北省森林防火条例,,,,,第十二条 任何单位和个人发现森林火灾应当立即向当地人民政府或者有关部门、单位报告。当地人民政府和有关部门、单位接到火情报告后应当立即采取措施组织扑救。各级人民政府森林防火指挥部应当建立和完善方便快捷的森林防火监测预警系统。
湖北省森林防火条例,,,,,第十三条 发生森林火灾时当地人民政府和森林防火指挥部有关领导应当及时深入火灾现场组织指挥扑救。发生重大或者特大森林火灾时应当在临近火场的地方成立扑火前线指挥部。扑火前线指挥部根据需要有权在其管辖范围内调用各单位灭火物资、设备、交通运输工具和人力决定采取砍伐林木、清除障碍物、取水、实施局部交通管制等紧急措施。接到扑火命令的单位和人员必须迅速赶赴指定地点积极投入扑救。
湖北省森林防火条例,,,,,第十四条 扑救森林火灾时气象部门应当做好火场区域气象预报交通部门应当及时提供交通运输工具公安部门应当维护治安秩序和交通畅通卫生部门应当组织救治伤残人员民政部门应当妥善安置灾民。执行火灾扑救的防火车辆应当有专门的标志按照国家和省的有关规定可免交通行含过桥、过隧道费、过渡费、停泊费。无线电管理部门应当免征用于森林防火的无线电台频道占用费。
湖北省森林防火条例,,,,,第十五条 森林火灾有下列情形之一的各市州、县市、区森林防火指挥部应当及时报告省森林防火指挥部森林公园范围内的
湖北省森林防火条例,,,,,第十六条 发生森林火灾后当地森林防火指挥部应当及时组织对起火原因、火灾损失及扑救情况进行调查、鉴定、统计和建档。森林火灾所造成的直接、间接经济损失由县级以上林业主管部门依据国家制定的森林火灾损失计算标准进行核定。森林火灾信息必须按规定经当地人民政府核实后方可发布。
湖北省森林防火条例,,,,,第十七条 因扑救森林火灾负伤、致残或者牺牲人员的医疗、抚恤等按照国家有关规定办理。
湖北省森林防火条例,,,,,第十八条 对森林防火中的违法行为国家法律、法规已有处罚规定的从其规定。
湖北省森林防火条例,,,,,第十九条 违反本条例规定有下列行为之一的由县级以上林业主管部门或者森林公安机关责令其停止违法行为并处500元以上 5000 元以下的罚款造成损失的依法承担赔偿责任破坏森林防火林带的者从事其他严重违规的野外用火行为的书及时进行整改的。
湖北省森林防火条例,,,,,第二十条 在森林防火工作中负有责任的领导和人员违反本条例规定有下列情形之一的根据其职责和情节轻重由主管机关或者监察机关分别给予批评教育、行政处分构成犯罪的依法追究刑事责任亡事故的迁就的。
湖北省森林防火条例,,,,,第二十一条 本条例所称林区县市、区、乡镇是指林业用地面积超过本行政区域土地面积 30以上的县市、区、乡镇。本条例所称林区包括所辖范围
湖北省森林防火条例,,,,,第二十二条 本条例自 2002 年 11 月 1 日起施行。
