文件名,编,分编,章,节,内容
湖南省东江湖水环境保护条例,,,第一章 总则,,第一条 为了加强东江湖水环境保护防止水污染根据《中华人民共和国水污染防治法》及其他有关法律、行政法规结合东江湖流域实际制定本条例。
湖南省东江湖水环境保护条例,,,第一章 总则,,第二条 本条例适用于资兴市、汝城县、桂东县、宜章县所辖的东江湖流域的水环境保护。本条例所称东江湖是指东江水库和小东江水库本条例所称东江湖流域是指东江湖和向东江湖汇水的区域。
湖南省东江湖水环境保护条例,,,第一章 总则,,第三条 东江湖水环境保护应当坚持统一管理、分级负责的原则实现水资源的合理开发和永续利用。
湖南省东江湖水环境保护条例,,,第一章 总则,,第四条 省人民政府应当加强对东江湖流域水环境保护工作的领导。郴州市人民政府全面负责东江湖流域水环境保护工作。资兴市、汝城县、桂东县、宜章县人民政府负责本行政区域内东江湖流域水环境的保护。省、郴州市及资兴市、汝城县、桂东县、宜章县人民政府应当将东江湖流域水环境保护工作纳入国民经济和社会发展计划采取防止水污染的措施。郴州市和资兴市、汝城县、桂东县、宜章县人民政府应当按照本级人民代表大会常务委员会的要求报告本行政区域内东江湖流域水环境保护情况。
湖南省东江湖水环境保护条例,,,第一章 总则,,第五条 在东江湖流域活动的单位和个人都有义务保护水环境有权对污染东江湖流域水环境的行为进行劝阻、检举和控告。
湖南省东江湖水环境保护条例,,,第一章 总则,,第六条 对在东江湖流域水环境保护的科学技术研究、先进技术推广以及保护管理工作中成绩突出的单位和个人由有关人民政府及部门给予表彰和奖励。
湖南省东江湖水环境保护条例,,,第二章 保护区的划定和保护目标,,第七条 东江湖流域水环境保护范围划分为一级保护区、二级保护区和准保护区。一级保护区的范围线南端与对岸磨刀石的连线为界北部以兜率岩岛山脊线北端与东江木材厂集材场１号码头之间的连线为界的水域。向水坡地。二级保护区的范围护区划定的区域之外的陆域。准保护区的范围东江湖流域内除一级、二级保护区以外的区域。
湖南省东江湖水环境保护条例,,,第二章 保护区的划定和保护目标,,第八条 在一级保护区边界线上应当设置标牌、界碑任何单位和个人不得破坏或者擅自移动。
湖南省东江湖水环境保护条例,,,第二章 保护区的划定和保护目标,,第九条 东江湖流域水环境保护的目标是一级保护区的水质应当符合国家《地表水环境质量标准》中二级保护区的水质应当符合国家《地表水环境质量标准》中准保护区的河流进入二级保护区的水质应当符合国家《地表水环境质量标准》中类标准。
湖南省东江湖水环境保护条例,,,第三章 保护措施,,第十条 东江湖流域禁止新建不符合国家产业政策的小型造纸、制革、印染、染料、炼焦、炼硫、炼砷、炼汞、炼油、电镀、农药、石棉、水泥、玻璃、钢铁、火电以及其他严重污染水环境的生产项目。
湖南省东江湖水环境保护条例,,,第三章 保护措施,,第十一条 在准保护区内必须遵守下列规定他废弃物。
