文件名,编,分编,章,节,内容
湖南省实施《中华人民共和国招标投标法》办法,,,第一章 总则,,第一条 根据《中华人民共和国招标投标法》和国家其他有关法律法规规定结合本省实际制定本办法。
湖南省实施《中华人民共和国招标投标法》办法,,,第一章 总则,,第二条 本省行政区域内进行的工程建设、货物采购、服务招标投标活动适用本办法。
湖南省实施《中华人民共和国招标投标法》办法,,,第一章 总则,,第三条 招标投标活动应当遵循公开、公平、公正和诚实信用的原则。
湖南省实施《中华人民共和国招标投标法》办法,,,第一章 总则,,第四条 省、自治州、设区的市人民政府发展和改革部门负责本行政区域内招标投标活动的指导协调工作会同有关部门拟定招标投标配套规定对重大建设项目的招标投标活动进行监督检查。县级人民政府发展和改革部门对本行政区域内的招标投标活动进行指导协调。县级以上人民政府其他有关行政监督部门按照各自的职责对招标投标活动实施监督受理投诉依法查处招标投标活动中的违法行为。
湖南省实施《中华人民共和国招标投标法》办法,,,第二章 招标范围和规模标准,,第五条 下列工程建设项目符合本办法第十一条规定的规模标准的必须进行招标涉及国家安全、国家秘密、抢险救灾或者属于利用扶贫资金实行以工代赈、需要使用农民工等特殊情况不适宜进行招标的项目以及由村组能够自行建设、生产的小型涉农项目按照国家有关规定不进行招标。
湖南省实施《中华人民共和国招标投标法》办法,,,第二章 招标范围和规模标准,,第六条 关系社会公共利益、公众安全的基础设施建设项目的招标范围包括及其他交通运输业等交通运输项目持、水利枢纽等水利项目圾处理、地下管道、公共停车场等城市设施项目
湖南省实施《中华人民共和国招标投标法》办法,,,第二章 招标范围和规模标准,,第七条 关系社会公共利益、公众安全的公用事业建设项目的招标范围包括
湖南省实施《中华人民共和国招标投标法》办法,,,第二章 招标范围和规模标准,,第八条 全部或者部分使用国有资金投资的建设项目的招标范围包括者实际拥有控制权的项目银行贷款的项目。
湖南省实施《中华人民共和国招标投标法》办法,,,第二章 招标范围和规模标准,,第九条 国家融资的建设项目的招标范围包括
湖南省实施《中华人民共和国招标投标法》办法,,,第二章 招标范围和规模标准,,第十条 使用国际组织或者外国政府贷款、援助资金的建设项目的招标范围包括金的项目
湖南省实施《中华人民共和国招标投标法》办法,,,第二章 招标范围和规模标准,,第十一条 本办法第六条至第十条规定招标范围内的各类工程建设项目必须进行招标的规模标准按照国家的规定执行。
湖南省实施《中华人民共和国招标投标法》办法,,,第二章 招标范围和规模标准,,第十二条 办公用品、交通工具、药品、电力等货物和物业管理、保险等服务项目需要招标的范围和规模标准按有关法律、法规的规定执行其招标投标程序按《中华人民共和国招标投标法》和本办法的有关规定执行。
湖南省实施《中华人民共和国招标投标法》办法,,,第三章 招标、投标,,第十三条 招标人是依法提出招标项目、进行招标的法人或者其他组织。投标人是响应招标、参加投标竞争的法人或者其他组织。
湖南省实施《中华人民共和国招标投标法》办法,,,第三章 招标、投标,,第十四条 招标代理机构是依法设立、从事招标代理业务、提供相关服务并独立承担民事责任的社会中介组织。招标代理机构可以接受招标人的委托与招标人签订委托代理合同在合同约定的范围内办理招标事宜。招标代理机构不得转让招标代理业务不得从事所代理的招标项目的投标及投标咨询服务。招标代理机构按照国家和省人民政府的规定收取代理费用不得擅自设立收费项目或者提高收费标准。招标代理机构应当接受发展和改革部门和有关行政监督部门的监督检查。
