文件名,编,分编,章,节,内容
湖南省涉案物价格认定若干规定,,,,,第一条 为了规范涉案物价格认定工作保障涉案物价格认定的客观、公正助力依法办案、公正司法维护国家利益和公民、法人、其他组织合法权益根据法律、行政法规的有关规定结合本省实际制定本规定。
湖南省涉案物价格认定若干规定,,,,,第二条 本省行政区域内的涉案物价格认定工作适用本规定。法律、行政法规另有规定的从其规定。本规定所称涉案物价格认定是指县级以上人民政府价格主管部门设立的价格认定机构以下简称价格认定机构对纪检监察、行政、司法机关以下简称提出机关提出的对市场价格不明或者价格有争议的有形物品、无形资产和各类有偿服务等的价值进行确认的行为。提出机关对下列情形中的涉案物需要进行价格认定的可以向价格认定机构提出
湖南省涉案物价格认定若干规定,,,,,第三条 涉案物价格认定应当遵循依法、公正、科学、效率的原则。价格认定机构和认定人员依法开展涉案物价格认定工作任何组织和个人不得干涉。涉案物价格认定工作所需经费纳入同级财政预算管理。价格认定机构开展涉案物价格认定工作不得收取任何费用。省人民政府价格主管部门应当建立全省统一的价格认定信息管理平台归集和管理有关商品价格等信息供全省价格认定机构共享。
湖南省涉案物价格认定若干规定,,,,,第四条 县级以上人民政府价格主管部门负责本行政区域内涉案物价格认定工作的指导、协调和监督管理加强价格认定机构能力建设督促价格认定机构建立健全价格认定工作制度以及人员培训考核、档案管理等制度受理举报和投诉。价格认定机构应当加强队伍建设配备一定数量的具有价格认定专业知识和实践工作经验的人员。从事价格认定工作的人员应当参加专业培训具备相应职业能力水平并经考试依法取得行政执法证。
湖南省涉案物价格认定若干规定,,,,,第五条 涉案物价格认定实行分级受理由提出机关向本级价格认定机构提出。价格认定机构办理所辖价格认定事项确有困难的经与提出机关协商并报请上一级价格认定机构同意后由提出机关向上一级价格认定机构提出。提出机关提出涉案物价格认定应当出具价格认定协助书。价格认定协助书应当载明价格认定标的物的名称、规格型号、数量、质量、价格认定的目的和要求等事项。需要对涉案物作出真伪鉴定或者出具技术、质量检测报告的提出机关应当先委托有关鉴定机构或者检测机构进行真伪鉴定或者技术、质量检测。
湖南省涉案物价格认定若干规定,,,,,第六条 价格认定机构收到价格认定协助书和相关材料后应当于二十四小时内进行审查符合受理条件的应当受理。材料不齐全的价格认定机构应当一次性书面告知提出机关予以补充。提出机关逾期未补充或者未按照规定补充相关材料的不予受理。对不属于价格认定机构受理、管辖范围或者标的物已经灭失、无法查验实物提出机关又无法提供详实资料等情形价格认定机构决定不受理的应当向提出机关出具不受理通知书并说明理由。
湖南省涉案物价格认定若干规定,,,,,第七条 价格认定人员以及价格认定机构负责人有下列情形之一的应当自行回避事人、代理人的近亲属系提出机关、当事人和利害关系人发现价格认定人员或者价格认定机构负责人有前款规定情形之一的有权申请其回避。价格认定人员的回避由价格认定机构负责人决定价格认定机构负责人的回避由同级人民政府价格主管部门负责人决定。
湖南省涉案物价格认定若干规定,,,,,第八条 价格认定机构应当指派两名以上价格认定人员具体承办涉案物价格认定事项。价格认定人员开展价格认定工作应当遵守有关法律、法规和规章按照价格认定工作制度和程序要求进行价格认定。价格认定人员应当全面、客观、公正地收集资料可以查阅、复印与涉案物价格认定事项有关的账目、文件等资料开展实物查验、市场调查、分析测算等工作。提出机关和相关单位、个人应当予以协助、配合。价格认定机构应当自受理之日起五个工作日内出具价格认定书对紧急、重大、疑难等涉案物价格认定事项经提出机关提出价格认定机构可以与提出机关约定办理期限。价格认定书应当通过集体讨论形成由主要负责人签发并加盖单位公章后及时送达提出机关。
湖南省涉案物价格认定若干规定,,,,,第九条 同一案件有新的涉案物或者新的影响价格认定的其他情形、需要对价格认定作出补充认定的提出机关可以向原价格认定机构提出补充价格认定。补充价格认定所需时间不计入价格认定期限。
湖南省涉案物价格认定若干规定,,,,,第十条 提出机关书面提出中止价格认定或者因不可抗力等原因导致价格认定工作暂时无法正常进行的价格认定机构应当中止涉案物价格认定。中止涉案物价格认定的价格认定机构应当向提出机关出具价格认定中止通知书中止价格认定的原因消除后应当恢复价格认定。
湖南省涉案物价格认定若干规定,,,,,第十一条 提出机关书面提出终止价格认定或者因不可抗力等原因导致价格认定工作无法继续进行的价格认定机构应当终止涉案物价格认定。终止涉案物价格认定的价格认定机构应当向提出机关出具价格认定终止通知书。
湖南省涉案物价格认定若干规定,,,,,第十二条 提出机关对涉案物价格认定有异议的可以自收到价格认定书之日起六十日内向上一级价格认定机构提出复核。提出复核不得超过两次。国家另有规定的从其规定。价格认定机构应当自受理复核之日起十五日内或者约定期限内作出复核决定。提出机关在收到价格认定书或者复核决定书后应当及时告知当事人、利害关系人并告知其提出复核的期限。当事人、利害关系人对价格认定或者复核决定有异议可以在规定的期限内向提出机关提出复核申请提出机关应当提出复核。
湖南省涉案物价格认定若干规定,,,,,第十三条 在涉案物价格认定工作中价格认定机构或者人员有下列情形之一的由价格主管部门给予警告责令改正有违法所得的没收违法所得对直接负责的主管人员和其他责任人员依法给予处分构成犯罪的依法追究刑事责任者将工作中获取的前述信息、有关资料和情况用于价格认定以外活动利益重失实
湖南省涉案物价格认定若干规定,,,,,第十四条 本规定自 2024 年 12 月 1 日起施行。
