文件名,编,分编,章,节,内容
湖南省食品生产加工小作坊小餐饮和食品摊贩管理条例,,,第一章 总 则,,第一条 为了规范食品生产加工小作坊以下简称小作坊、小餐饮和食品摊贩的食品生产经营行为保证食品安全保障公众身体健康和生命安全根据《中华人民共和国食品安全法》和其他有关法律、行政法规结合本省实际制定本条例。
湖南省食品生产加工小作坊小餐饮和食品摊贩管理条例,,,第一章 总 则,,第二条 本省行政区域内小作坊、小餐饮和食品摊贩生产经营的监督管理和服务适用本条例。小作坊、小餐饮和食品摊贩的具体认定标准由省人民政府市场监督管理部门制定并向社会公布。小作坊、小餐饮和食品摊贩混业经营的按照其中最高食品安全风险等级结合生产经营食品品种主次确定经营类型。小作坊、小餐饮等从事食品网络经营的应当遵守国家食品网络经营管理的相关规定。
湖南省食品生产加工小作坊小餐饮和食品摊贩管理条例,,,第一章 总 则,,第三条 县级以上人民政府领导、组织、协调本行政区域内小作坊、小餐饮和食品摊贩的食品安全监督管理工作建立健全食品安全监督管理工作机制完善、落实食品安全监督管理责任制度、投诉举报奖励制度和评议考核机制加强食品安全宣传教育普及食品安全知识。乡镇人民政府、街道办事处按照本条例规定的职责做好小作坊、小餐饮和食品摊贩的食品安全监督管理相关工作。村居民委员会协助乡镇人民政府、街道办事处做好食品安全监督管理相关工作可以通过村规民约等方式加强食品安全管理和宣传。
湖南省食品生产加工小作坊小餐饮和食品摊贩管理条例,,,第一章 总 则,,第四条 县级以上人民政府市场监督管理部门负责对本行政区域内小作坊、小餐饮和食品摊贩的食品安全进行监督管理和指导。县级以上人民政府城市管理部门按照法定职责做好食品摊贩的监督管理工作。县级以上人民政府发展和改革、卫生健康、农业农村、商务、生态环境等部门按照各自职责负责本行政区域内小作坊、小餐饮和食品摊贩监督管理相关工作。
湖南省食品生产加工小作坊小餐饮和食品摊贩管理条例,,,第一章 总 则,,第五条 县级以上人民政府应当通过政策引导、资金扶持等措施鼓励、支持小作坊、小餐饮和食品摊贩改进生产经营条件进入集中生产经营场所生产经营促进生产经营本地传统、优质特色食品的小作坊、小餐饮和食品摊贩健康发展加强品牌建设。鼓励、支持小作坊、小餐饮和食品摊贩组建或者加入相关食品行业协会加强诚信建设和行业自律。
湖南省食品生产加工小作坊小餐饮和食品摊贩管理条例,,,第一章 总 则,,第六条 小作坊、小餐饮和食品摊贩应当对其生产经营食品的安全负责依照法律法规和食品安全标准从事生产经营活动加强食品安全知识学习开展日常食品安全自查及时消除食品安全风险隐患对社会和公众负责接受社会监督。
湖南省食品生产加工小作坊小餐饮和食品摊贩管理条例,,,第二章 小作坊,,第七条 设立小作坊应当具备下列条件并与有毒、有害场所以及其他污染源保持规定距离安全要求的生产设备设施和卫生防护措施品加工、包装、存放等区域分开设置
湖南省食品生产加工小作坊小餐饮和食品摊贩管理条例,,,第二章 小作坊,,第八条 设立小作坊应当向所在地县级人民政府市场监督管理部门申请食品生产加工小作坊许可证并提供下列材料理人员信息和食品安全管理制度。
湖南省食品生产加工小作坊小餐饮和食品摊贩管理条例,,,第二章 小作坊,,第九条 县级人民政府市场监督管理部门应当自受理申请之日起十个工作日内作出是否准予许可的决定。需要对申请材料的实质内容进行核实的应当进行现场核查。对符合条件的应当依法作出准予许可的书面决定对不符合条件的作出不予许可的书面决定并说明理由。
湖南省食品生产加工小作坊小餐饮和食品摊贩管理条例,,,第二章 小作坊,,第十条 食品生产加工小作坊许可证有效期为五年有效期届满需要延续的应当在届满三十日前向原发证机关提出申请。发证机关应当在有效期届满前作出是否准予延续的决定逾期未作出决定的视为准予延续。食品生产加工小作坊许可证载明事项发生变更或者现有设备布局和工艺流程、主要生产设备设施发生变化的应当自变更之日起十五日内向原发证机关提出变更申请。小作坊不再从事食品生产的应当在二十五日内向原发证机关申请办理注销许可手续生产经营场所迁址的应当申请注销原许可证并重新办理许可证。小作坊因季节性等原因停产半年以上的恢复生产时应当向属地市场监督管理部门报告。
湖南省食品生产加工小作坊小餐饮和食品摊贩管理条例,,,第二章 小作坊,,第十一条 小作坊应当在生产经营场所醒目位置公示营业执照、许可证和从业人员有效健康证明等相关信息。小作坊从事食品生产加工活动应当遵守下列规定品等符合食品安全标准用水符合国家规定的生活饮用水卫生标准设备设施清洁保温、冷藏、冷冻、防尘、防鼠、防蝇、废弃物收集等设备设施确保正常运转和使用有害物品及时清理变质和超过保质期的食品专区柜存放并按照国家标准和规定使用食品添加剂害保持清洁不得将食品与有毒、有害物品一同贮存、运输和相关知识从事接触直接入口食品工作的从业人员具备有效健康证明或者分装食品
湖南省食品生产加工小作坊小餐饮和食品摊贩管理条例,,,第二章 小作坊,,第十二条 禁止小作坊从事下列行为使用非食品原料生产制作食品或者在食品中添加食品添加剂以外的化学物质和其他可能危害人体健康的物质或者使用回收食品作为原料生产制作食品或者经营前述食品 生产经营致病性微生物农药残留、兽药残留、生物毒素、重金属等污染物质以及其他危害人体健康的物质含量超过食品安全标准限量的食品、食品添加剂 使用超过保质期的食品原料、食品添加剂生产制作食品或者超范围、超限量使用食品添加剂生产制作食品或者经营前述食品 生产经营腐败变质、油脂酸败、霉变生虫、污秽不洁、混有异物、掺假掺杂或者感官性状异常的食品、食品添加剂 经营病死、毒死或者死因不明的禽、畜、兽、水产动物肉类或者生产经营其制品 经营未按照规定进行检疫或者检疫不合格的肉类或者生产经营未经检验或者检验不合格的肉类制品 生产经营被包装材料、容器、运输工具等污染的食品、食品添加剂 生产经营标注虚假生产日期、保质期或者经营超过保质期的食品、食品添加剂标识、说明书不符合本条例规定的食品、食品添加剂食品品准的食品、食品添加剂。
湖南省食品生产加工小作坊小餐饮和食品摊贩管理条例,,,第二章 小作坊,,第十三条 禁止小作坊生产加工下列食品和食醋设区的市、自治州人民政府可以制定前款规定以外禁止小作坊生产加工的食品目录根据实际情况适时调整并向省人民政府市场监督管理部门备案。
湖南省食品生产加工小作坊小餐饮和食品摊贩管理条例,,,第二章 小作坊,,第十四条 小作坊生产加工的预包装食品的标签应当标明食品名称、配料表、净含量和规格小作坊名称、地址和联系方式许可证编号生产日期、保质期、贮存条件等信息。小作坊生产加工的散装食品应当标明食品的名称、生产日期或者生产批号、保质期、小作坊名称、地址和联系方式等信息。转基因食品应当按照规定显著标示。
湖南省食品生产加工小作坊小餐饮和食品摊贩管理条例,,,第二章 小作坊,,第十五条 小作坊应当进行进货查验如实记录食品原料、食品添加剂、食品相关产品的名称、规格、数量、生产日期或者生产批号、保质期、进货日期以及供货者名称、地址、联系方式等信息。小作坊应当建立生产、批发台账如实记录食品的名称、规格、数量、生产日期或者生产批号、保质期、食品添加剂的使用情况、批发销售日期以及批发购货者名称、地址、联系方式等信息。小作坊进货查验记录生产、批发台账以及相关凭证保存期限不得少于产品保质期满后六个月没有明确产品保质期的保存期限不得少于两年。
湖南省食品生产加工小作坊小餐饮和食品摊贩管理条例,,,第三章 小餐饮,,第十六条 设立小餐饮应当具备下列条件与有毒、有害场所和其他污染源保持规定距离求的设备设施和卫生防护措施污染证明
湖南省食品生产加工小作坊小餐饮和食品摊贩管理条例,,,第三章 小餐饮,,第十七条 开办小餐饮应当向所在地县级人民政府市场监督管理部门申请食品小经营许可证并提供下列材料流程等文件
湖南省食品生产加工小作坊小餐饮和食品摊贩管理条例,,,第三章 小餐饮,,第十八条 小餐饮许可程序、许可证有效期、延续、原许可证载明事项变更和注销等按照本条例第九条、第十条的规定执行。小餐饮主要设备设施、经营布局、操作流程等发生较大变化可能影响食品安全的应当自变化之日起十五日内向原发证机关报告。
湖南省食品生产加工小作坊小餐饮和食品摊贩管理条例,,,第三章 小餐饮,,第十九条 小餐饮应当在经营场所醒目位置公示营业执照、许可证和从业人员有效健康证明等相关信息。小餐饮从事食品经营活动应当遵守下列规定毒餐具、饮具的应当查验餐具、饮具消毒合格证明文件具、饮具和容器
湖南省食品生产加工小作坊小餐饮和食品摊贩管理条例,,,第三章 小餐饮,,第二十条 小餐饮不得从事本条例第十二条规定的行为。禁止小餐饮经营下列食品酵乳、奶酪除外
湖南省食品生产加工小作坊小餐饮和食品摊贩管理条例,,,第三章 小餐饮,,第二十一条 小餐饮销售的预包装食品应当符合预包装食品标签标识相关规定。小餐饮销售的散装食品应当在散装食品的容器、外包装上清晰标明食品的名称、生产日期或者生产批号、保质期以及生产经营者或者直接上游供应商名称及地址、联系方式等信息。小餐饮提供网络餐饮服务配送食品消费者要求使用封签对配送食品进行封装的小餐饮应当使用封签对配送的食品进行封装。
湖南省食品生产加工小作坊小餐饮和食品摊贩管理条例,,,第三章 小餐饮,,第二十二条 小餐饮进货查验记录以及相关凭证保存期限按照本条例第十五条第一款、第三款的规定执行。
湖南省食品生产加工小作坊小餐饮和食品摊贩管理条例,,,第四章 食品摊贩,,第二十三条 设区的市、自治州、县市、区人民政府应当根据实际需要按照方便群众、合理布局的原则在征求社会公众意见后划定食品摊贩经营区域、确定经营时段并予以公布。幼儿园、中小学校校门外道路两侧一百米范围内不得划定为食品摊贩经营区域。食品摊贩应当在划定的区域和确定的时段经营。乡镇人民政府、街道办事处根据群众需求在不影响安全、交通、市容、环保等情况下可以在城镇非主干道两侧临时指定食品摊贩经营路段、时间并予以公布。
