文件名,编,分编,章,节,内容
湖州市桑基鱼塘系统保护规定,,,,,第一条 为了加强对桑基鱼塘系统的保护促进农业文化传承、农业生态保护和农业可持续发展根据有关法律、法规结合本市实际制定本规定。
湖州市桑基鱼塘系统保护规定,,,,,第二条 本市行政区域内桑基鱼塘系统的保护、发掘、利用、传承以及相关监督管理活动适用本规定。文物保护、非物质文化遗产保护、土地管理、湿地保护等有关法律法规另有规定的从其规定。
湖州市桑基鱼塘系统保护规定,,,,,第三条 本规定所称桑基鱼塘系统是指为适应洼地环境而形成的塘基种桑、桑叶喂蚕、蚕沙养鱼、鱼粪肥塘、塘泥壅桑的传统循环农业模式以及由此衍生的生态农业景观和鱼桑文化。
湖州市桑基鱼塘系统保护规定,,,,,第四条 桑基鱼塘系统保护工作应当遵循在发掘中保护、在利用中传承的方针坚持保护优先、合理利用、活态传承、协调发展、利益共享的原则。
湖州市桑基鱼塘系统保护规定,,,,,第五条 市、相关区县人民政府应当加强领导将桑基鱼塘系统保护工作纳入本级国民经济和社会发展规划纲要研究制定政策措施协调解决重大问题。南太湖新区管理委员会根据授权、委托在所辖区域内履行区县人民政府职责。桑基鱼塘系统所在地的乡镇人民政府、街道办事处应当建立桑基鱼塘系统日常巡查等制度依法做好相关保护工作。
湖州市桑基鱼塘系统保护规定,,,,,第六条 农业农村主管部门负责桑基鱼塘系统保护工作的统筹规划、协调推进制定桑基鱼塘系统保护与利用技术性规范。文化广电旅游主管部门负责桑基鱼塘系统相关的文物保护工作组织对桑基鱼塘系统相关非物质文化遗产的保护、保存工作推动桑基鱼塘系统相关文化旅游产业的发展。教育主管部门应当将桑基鱼塘系统保护的有关内容纳入中小学地方教育读本支持开展与桑基鱼塘系统保护相关的教学、研学等活动。发展和改革、科技、财政、自然资源和规划、生态环境、建设、交通运输、水行政、综合行政执法等部门按照各自职责做好桑基鱼塘系统保护相关工作。
湖州市桑基鱼塘系统保护规定,,,,,第七条 桑基鱼塘系统所在地的村民委员会应当协助做好保护工作充分听取村民意见广泛吸收村民参与并依照法定程序将保护相关事项纳入村规民约。
湖州市桑基鱼塘系统保护规定,,,,,第八条 市人民政府应当建立桑基鱼塘系统专家咨询工作制度。编制桑基鱼塘系统保护和发展专项规划或者作出有关重大决定的应当听取专家意见或者邀请专家进行评估论证。
湖州市桑基鱼塘系统保护规定,,,,,第九条 鼓励相关种养殖行业协会、专业合作社等组织依照法定程序将保护相关事项纳入协会章程、合作社章程。鼓励各类组织和个人以科研、捐赠、公益活动等形式参与桑基鱼塘系统保护工作。为桑基鱼塘系统保护工作做出突出贡献的组织和个人市、相关区县人民政府应当按照有关规定给予褒扬激励。
湖州市桑基鱼塘系统保护规定,,,,,第十条 市、相关区县人民政府应当将桑基鱼塘系统保护资金列入本级财政预算专项用于桑基鱼塘系统的保护、发掘、利用、传承等方面的支出。
