文件名,编,分编,章,节,内容
湘潭市历史建筑和历史文化街区保护条例,,,第一章 总 则,,第一条 为了加强对本市历史建筑和历史文化街区的保护和管理传承和弘扬湘潭优秀历史文化促进城乡建设与社会文化协调发展根据《中华人民共和国城乡规划法》《历史文化名城名镇名村保护条例》等法律、法规结合本市实际制定本条例。
湘潭市历史建筑和历史文化街区保护条例,,,第一章 总 则,,第二条 本条例适用于本市行政区域内历史建筑和历史文化街区的保护和管理。本条例所称历史建筑是指经市、县市人民政府确定公布的具有一定保护价值能够反映历史风貌和地方特色未公布为文物保护单位也未登记为不可移动文物的建构筑物。本条例所称历史文化街区是指经省人民政府核定公布的保存文物特别丰富、历史建筑集中成片、能够较完整和真实地体现传统格局和历史风貌并有一定规模的区域。
湘潭市历史建筑和历史文化街区保护条例,,,第一章 总 则,,第三条 历史建筑和历史文化街区的保护和管理应当遵循科学规划、有效保护、合理利用、规范管理的原则维护历史建筑和历史文化街区的真实性、完整性、可持续性。
湘潭市历史建筑和历史文化街区保护条例,,,第一章 总 则,,第四条 市、县市、区人民政府负责本行政区域内历史建筑和历史文化街区的保护管理建立历史建筑和历史文化街区保护联动工作机制。乡镇人民政府、街道办事处履行历史建筑和历史文化街区日常巡查和现场保护等职责。
湘潭市历史建筑和历史文化街区保护条例,,,第一章 总 则,,第五条 住房和城乡建设行政主管部门负责历史建筑和历史文化街区的监督管理工作负责其范围内的建构筑物或者其他设施的结构安全监督管理工作。文物行政主管部门负责整理保护对象的历史资料信息挖掘、评价其历史价值并协助住房和城乡建设行政主管部门做好历史建筑和历史文化街区的普查调查、申报拟定、保护规划编制、相关建设活动审批的监督管理等工作。城市管理、文化旅游、自然资源和规划、财政、公安、消防救援、生态环境、市场监管、教育、民族宗教等有关行政主管部门按照各自职责共同做好历史建筑和历史文化街区保护工作。
湘潭市历史建筑和历史文化街区保护条例,,,第一章 总 则,,第六条 市、县市人民政府应当组织编制本行政区域内的历史文化街区保护规划报省人民政府批准市、县市人民政府住房和城乡建设行政主管部门应当会同自然资源和规划行政主管部门组织编制本行政区域内的历史建筑保护规划报本级人民政府批准。保护规划报送审批前应当向社会公布并广泛征求有关部门、专家和公众的意见必要时应当举行听证。
湘潭市历史建筑和历史文化街区保护条例,,,第一章 总 则,,第七条 市人民政府设立历史建筑和历史文化街区保护专家咨询委员会以下简称专家咨询委员会。专家咨询委员会由规划、建筑、文化、文物、历史、房产、旅游、环保、消防、法律等领域专家组成为历史建筑的认定以及历史建筑和历史文化街区的保护、利用和管理提供决策咨询意见。
湘潭市历史建筑和历史文化街区保护条例,,,第一章 总 则,,第八条 市、县市、区人民政府应当安排保护资金专项用于历史建筑和历史文化街区的保护管理。保护资金的来源包括用方式获得的收益保护资金使用和管理的具体办法由市、县市、区人民政府另行制定。
湘潭市历史建筑和历史文化街区保护条例,,,第一章 总 则,,第九条 鼓励社会力量通过多种方式参与历史建筑和历史文化街区保护工作。任何单位和个人都有权对历史建筑和历史文化街区的保护和管理提出意见和建议对破坏历史建筑和历史文化街区的行为进行劝阻和举报。城市管理行政主管部门、住房和城乡建设行政主管部门应当公布举报方式及时调查、处理危害历史建筑和历史文化街区的行为并将处理结果反馈举报人。
湘潭市历史建筑和历史文化街区保护条例,,,第一章 总 则,,第十条 对在历史建筑和历史文化街区保护中做出突出贡献的单位和个人市、县市、区人民政府应当给予表彰和奖励。
湘潭市历史建筑和历史文化街区保护条例,,,第一章 总 则,,第十一条 市、县市、区人民政府应当加强对历史建筑和历史文化街区保护的宣传教育普及保护知识提高全市人民的保护意识。
