文件名,编,分编,章,节,内容
湛江市红树林湿地保护条例,,,,,第一条 为了加强本市红树林湿地的保护和管理推进生态文明建设根据《中华人民共和国湿地保护法》《中华人民共和国海洋环境保护法》《中华人民共和国自然保护区条例》等有关法律法规结合本市实际制定本条例。
湛江市红树林湿地保护条例,,,,,第二条 本市行政区域内红树林湿地的保护和管理适用本条例。
湛江市红树林湿地保护条例,,,,,第三条 市、县市、区人民政府应当将红树林湿地保护工作纳入国民经济和社会发展规划加强对红树林湿地保护工作的领导解决红树林湿地保护工作中的重大问题并将红树林湿地保护经费列入本级财政预算。自然资源部门是红树林湿地的主管部门负责本行政区域内红树林湿地的保护和管理工作。发展改革、教育、科学技术、公安、财政、生态环境、住房城乡建设、交通运输、水务、农业农村、文广旅体、海洋综合执法等相关部门按照各自职责做好红树林湿地保护和管理工作。红树林湿地所在地乡镇人民政府、街道办事处应当履行属地管理职责组织做好辖区内红树林湿地的保护和管理工作预防、制止和协助调查破坏红树林湿地的行为。各类经济功能区管理委员会按照规定的职责做好红树林湿地保护和管理的相关工作。红树林自然保护区管理机构负责保护区内红树林湿地的保护和管理工作。红树林湿地所在地村居民委员会协助人民政府和相关部门做好红树林湿地的保护和管理工作并可以根据当地实际在村规民约或者居民公约中规定红树林保护和管理措施。
湛江市红树林湿地保护条例,,,,,第四条 任何单位和个人都有保护红树林湿地的义务对破坏红树林湿地的行为有权举报或者控告接到举报或者控告的机关应当及时处理并依法保护举报人、控告人的合法权益。市自然资源部门应当建立举报制度向社会公开举报电话、网址、通信地址等。广播、电视、报刊等新闻媒体应当开展红树林湿地保护法律法规和红树林保护知识的公益宣传加强舆论监督。
湛江市红树林湿地保护条例,,,,,第五条 鼓励公民、法人和其他组织以投资、捐资、认种、认养、志愿服务等方式参与红树林的保护。市、县市、区人民政府对在红树林湿地保护和管理工作中做出突出贡献的单位和个人按照有关规定给予表彰和奖励。
湛江市红树林湿地保护条例,,,,,第六条 市人民政府应当组织编制市红树林湿地保护专项规划采取有效措施保护红树林湿地。红树林湿地所在地县市、区人民政府应当根据市红树林湿地保护专项规划组织编制本行政区域红树林湿地保护专项规划。
湛江市红树林湿地保护条例,,,,,第七条 红树林湿地保护专项规划应当明确红树林湿地保护目标任务、保护范围、保障措施、修复、利用等内容。红树林湿地保护专项规划应遵循国土空间规划并与相关规划衔接。
湛江市红树林湿地保护条例,,,,,第八条 市、县市、区人民政府应当定期组织检查和评估红树林湿地保护专项规划实施情况加强监管。
湛江市红树林湿地保护条例,,,,,第九条 经依法批准的红树林湿地保护专项规划不得擅自修改、调整。确需修改、调整的应当按照规划编制程序进行并报原审批机关批准。
湛江市红树林湿地保护条例,,,,,第十条 红树林自然保护区划分为核心区、缓冲区和实验区三个功能区依法分别采取相应的保护和管理措施。各功能区的具体范围、面积及界线由批准建立自然保护区的人民政府确定予以公告。
湛江市红树林湿地保护条例,,,,,第十一条 自然资源部门应当加强有害生物防治控制红树林外来树种保护乡土树种。禁止在红树林湿地挖塘禁止移植、采挖、采伐红树林或者过度采摘红树林种子禁止投放、种植危害红树林生长的物种。因科研、医药或者红树林湿地保护等需要移植、采挖、采伐、采摘的应当经地级以上市人民政府林业主管部门同意。经批准移植、采挖、采伐、采摘的应当在指定的种类、数量、时间、地点内进行并接受县级以上人民政府林业主管部门的监督检查。除国家重大项目和防灾减灾等外禁止占用红树林湿地确需占用或者临时占用的应当开展不可避让性论证依法办理审批手续。
湛江市红树林湿地保护条例,,,,,第十二条 禁止任何人进入红树林自然保护区的核心区。因科学研究的需要必须进入核心区开展科学研究观测、调查活动的应当事先向红树林自然保护区管理机构提交申请和活动计划经依法批准后进行。禁止在红树林自然保护区的缓冲区开展旅游和生产经营活动。因教学科研的需要必须进入缓冲区开展非破坏性的科学研究、教学实习和标本采集活动的应当事先向红树林自然保护区管理机构提交申请和活动计划经红树林自然保护区管理机构批准后实施并将活动成果的副本提交红树林自然保护区管理机构。在自然保护区的实验区内开展参观、旅游活动的由自然保护区管理机构编制方案方案应当符合自然保护区管理目标。在自然保护区组织参观、旅游活动的应当严格按照规定的方案进行并加强管理进入自然保护区参观、旅游的单位和个人应当服从自然保护区管理机构的管理。严禁开设与自然保护区保护方向不一致的参观、旅游项目。
湛江市红树林湿地保护条例,,,,,第十三条 对生态功能重要区域、海洋灾害风险等级较高地区、濒危物种保护区域或者造林条件较好地区的红树林湿地以及纳入国家和省批准建立的自然保护地的红树林湿地应当优先开展修复。县级人民政府应当科学营造红树林在红树林湿地资源现状调查的基础上科学论证、合理确定红树林适宜恢复种植地。红树林年度造林达到规定面积和标准的按照国家和省的规定给予新增建设用地计划指标奖励。
湛江市红树林湿地保护条例,,,,,第十四条 鼓励因地制宜开展红树林种植和生态养殖耦合探索产业和生态融合发展模式。开展红树林碳汇项目开发探索建立红树林生态产品价值实现途径促进红树林保护科学技术、管理模式以及碳汇交易等方面的技术交流和成果共享引导社会资本参与红树林保护和修复实现生态产品的价值转换。
湛江市红树林湿地保护条例,,,,,第十五条 自然资源部门应当对本行政区域内的红树林湿地资源进行监测建立红树林湿地资源数据档案并定期向社会公布红树林湿地资源状况。
湛江市红树林湿地保护条例,,,,,第十六条 人民检察院在履行职责中发现破坏红树林湿地行为损害国家利益或者社会公共利益的依法提出检察建议、支持起诉或者提起公益诉讼。
