文件名,编,分编,章,节,内容
漳州市人民代表大会及其常务委员会立法条例,,,第一章 总 则,,第一条 为了规范地方立法活动提高地方立法质量和效率发挥立法的引领和推动作用全面推进依法治市建设法治漳州根据《中华人民共和国立法法》、《中华人民共和国地方各级人民代表大会和地方各级人民政府组织法》、《福建省人民代表大会及其常务委员会立法条例》等规定结合本市实际制定本条例。
漳州市人民代表大会及其常务委员会立法条例,,,第一章 总 则,,第二条 市人民代表大会及其常务委员会制定、修改、废止和解释地方性法规审查市人民政府报请备案的规章适用本条例。
漳州市人民代表大会及其常务委员会立法条例,,,第一章 总 则,,第三条 地方立法应当坚持中国共产党的领导坚持以马克思列宁主义、毛泽东思想、邓小平理论、三个代表重要思想、科学发展观、习近平新时代中国特色社会主义思想为指导坚持以经济建设为中心坚持改革开放贯彻新发展理念保障在法治轨道上推进漳州高质量发展。
漳州市人民代表大会及其常务委员会立法条例,,,第一章 总 则,,第四条 地方立法应当严格遵循立法法规定的各项基本原则坚持科学立法、民主立法、依法立法坚持和发展全过程人民民主坚持法治和德治相结合坚持在法治下推进改革和在改革中完善法治相统一。地方性法规应当从本行政区域的具体情况和实际需要出发适应经济社会发展和全面深化改革的要求突出问题导向体现地方特色内容明确具体具有针对性和可执行性不得同宪法、法律、行政法规和本省的省级地方性法规相抵触。对上位法已经明确规定的内容一般不作重复性规定。
漳州市人民代表大会及其常务委员会立法条例,,,第一章 总 则,,第五条 市人民代表大会及其常务委员会可以对城乡建设与管理、生态文明建设、历史文化保护、基层治理等方面的事项制定地方性法规。涉及本市特别重大事项以及规范市人民代表大会自身活动的事项等需要制定地方性法规的由市人民代表大会制定其他事项由常务委员会制定。在市人民代表大会闭会期间常务委员会可以对市人民代表大会制定的地方性法规进行部分补充或者修改但是不得同该地方性法规的基本原则相抵触。
漳州市人民代表大会及其常务委员会立法条例,,,第一章 总 则,,第六条 市人民代表大会及其常务委员会应当完善立法机制加强对地方立法工作的组织协调和统筹安排发挥在地方立法工作中的主导作用。
漳州市人民代表大会及其常务委员会立法条例,,,第二章 立法规划和年度立法计划的编制,,第七条 常务委员会应当通过编制立法规划、年度立法计划等形式加强对立法工作的统筹安排。通过制定、修改、废止、解释地方性法规等多种形式增强立法的系统性、整体性、协同性、时效性。编制立法规划和年度立法计划应当认真研究代表议案和建议广泛征集意见科学论证评估根据经济社会发展和民主法治建设的需要确定立法项目。
漳州市人民代表大会及其常务委员会立法条例,,,第二章 立法规划和年度立法计划的编制,,第八条 国家机关、社会团体、企业事业组织以及公民可以向市人民代表大会及其常务委员会提出立法建议。
漳州市人民代表大会及其常务委员会立法条例,,,第二章 立法规划和年度立法计划的编制,,第九条 申请列入年度立法计划的立法建议项目提出项目的单位应当提交立项申请报告。立项申请报告应当对立法的必要性、可行性、需要解决的问题和拟确立的主要制度作出说明并附上法规草案文本。
漳州市人民代表大会及其常务委员会立法条例,,,第二章 立法规划和年度立法计划的编制,,第十条 常务委员会法制工作委员会应当会同有关专门委员会、常务委员会有关工作机构、市人民政府司法行政部门在广泛征求社会各界意见的基础上对立项申请报告进行审查编制立法规划和年度立法计划必要时应当进行立项评估。立法规划和年度立法计划由主任会议通过印发常务委员会会议并向社会公布。立法规划应当在新一届常务委员会产生后六个月内编制完成年度立法计划一般在上一年度末编制完成。
