文件名,编,分编,章,节,内容
潮州市扬尘污染防治条例,,,第一章 总则,,第一条 为了有效防治扬尘污染保护和改善大气环境保障公众健康促进经济社会的可持续发展根据《中华人民共和国环境保护法》《中华人民共和国大气污染防治法》等法律法规结合本市实际制定本条例。
潮州市扬尘污染防治条例,,,第一章 总则,,第二条 本市行政区域内扬尘污染防治及其监督管理活动适用本条例。本条例所称扬尘污染是指在建设工程施工、物料运输与堆放、市容保洁、绿化作业、采石取土等活动中以及因泥地裸露产生粉尘颗粒物对周边环境和大气造成的污染。建设工程施工包括房屋建筑、建构筑物拆除、道路与管线铺设、市政公用设施建设、港口建设等。
潮州市扬尘污染防治条例,,,第一章 总则,,第三条 扬尘污染防治工作坚持政府主导、公众参与、预防为主、防治结合、综合治理的原则。
潮州市扬尘污染防治条例,,,第一章 总则,,第四条 市、县区人民政府对本行政区域内扬尘污染防治工作负责并将扬尘污染防治经费纳入财政预算确保扬尘污染防治工作顺利开展。镇人民政府和街道办事处对本辖区内扬尘污染防治工作负责并协助市、县区有关主管部门开展扬尘污染防治工作。村居民委员会负责协助市、县区有关主管部门和镇人民政府、街道办事处开展扬尘污染防治工作。
潮州市扬尘污染防治条例,,,第一章 总则,,第五条 生态环境主管部门对本辖区内扬尘污染防治实施统一监督管理负责协调和督促有关部门履行管理职责并负责对工业生产企业、物料堆场仓库扬尘污染防治的监督管理工作。城市管理和综合执法部门负责市政工程施工、城市道路保洁、城市绿化作业等扬尘污染防治的监督管理工作。住房和城乡建设主管部门负责房屋建筑工程施工、预拌混凝土生产企业扬尘污染防治的监督管理工作。交通运输主管部门负责对道路、轨道交通、港口码头建设和拆除、违反公路管理建构筑物拆除、公路保洁和公路绿化作业等活动以及公共停车场、港口码头物料堆场、交通运输工程建设用地等扬尘污染防治的监督管理工作。公安机关交通管理部门负责查处砂石、水泥、煤炭、渣土、泥浆、瓷泥等运输散装、流体物料车辆的道路交通违法行为。水行政主管部门负责水利工程施工、河道管理范围内砂场以及水利工程范围内的建构筑物拆除等扬尘污染防治的监督管理工作。自然资源主管部门负责矿山开采、采石取土场作业和违反土地管理的建构筑物拆除等扬尘污染防治的监督管理工作。其他负有扬尘污染防治监督管理职责的部门在各自职责范围内对扬尘污染防治实施监督管理。
潮州市扬尘污染防治条例,,,第一章 总则,,第六条 各级人民政府应当加强有关扬尘污染防治的环境保护宣传工作。新闻媒体应当开展有关扬尘污染防治法律法规和科学防治知识的公益宣传对扬尘污染防治违法行为进行舆论监督。鼓励村居委员会、社会组织、环境保护志愿者开展扬尘污染防治知识和法律法规的宣传。
潮州市扬尘污染防治条例,,,第二章 防治措施,,第七条 建设单位在提交的建设项目环境影响评价文件中应当包括扬尘污染的环境影响预测与评价并提出有效的环境保护措施和防治措施属于填报环境影响登记表的建设项目应当提出并落实有效防治扬尘污染的环境保护措施。建设单位应当将扬尘污染防治费用列入工程造价在施工承包合同中明确施工单位扬尘污染防治责任在施工承包合同中明确投标人制定施工现场扬尘污染防治方案的要求。
潮州市扬尘污染防治条例,,,第二章 防治措施,,第八条 施工单位应当制定具体的施工扬尘污染防治实施方案。从事房屋建筑、建构筑物拆除、道路与管线铺设、市政公用设施建设、港口建设等施工单位应当向负责监督管理扬尘污染防治的主管部门备案。施工单位应当确保扬尘污染防治经费专款专用。
潮州市扬尘污染防治条例,,,第二章 防治措施,,第九条 建设项目监理单位应当将扬尘污染防治纳入工程监理范围结合工程特点在监理规划中有针对性地提出监理措施对施工单位未按照扬尘污染防治实施方案施工的应当要求其立即改正并及时报告建设单位。
潮州市扬尘污染防治条例,,,第二章 防治措施,,第十条 建设工程施工应当符合下列扬尘污染防治要求门、举报方式与途径等信息张贴在施工围挡外围接受社会监督。括覆盖面积、出入洗车次数及持续时间、洒水次数及持续时间等内容的扬尘污染防治措施实施情况记录。者围墙围挡或者围墙底部应当设置不低于三十厘米的硬质防溢座。需要拆除围挡、围墙及防溢座的应当采取洒水、喷雾等有效措施防治扬尘污染。地的机动车应当冲洗干净保持施工工地出入口通道清洁不得有泥浆、泥土和建筑垃圾。剂等措施暂时不能开工的建设用地土地使用权人应当对裸露地面进行覆盖、铺装超过三个月的应当进行绿化。干道等区域应当采用混凝土硬底化、铺设礁渣、砾石或者其他功能相当的材料并辅以洒水、喷洒抑尘剂和设置自动喷淋、喷雾系统等措施防止扬尘。应当及时清运需要临时存放在施工工地的应当集中堆放在围挡内全部覆盖防尘网布或者辅以定期洒水、喷洒抑尘剂等措施。作业时应当采取洒水抑尘和湿法施工等措施防止扬尘施工作业产生泥浆的应当设置泥浆池、泥浆沟确保泥浆不溢流。采取封闭、降尘等有效的扬尘污染防治措施。防尘措施。
