文件名,编,分编,章,节,内容
澳门特别行政区药学技术人员在横琴粤澳深度合作区药品零售单位执业备案管理规定,,,,,第一条 为了推进横琴粤澳深度合作区以下简称合作区建设促进澳门特别行政区以下简称澳门药学技术人员在合作区便捷有序提供服务根据有关法律、行政法规的基本原则以及《粤港澳大湾区发展规划纲要》《横琴粤澳深度合作区建设总体方案》《横琴粤澳深度合作区发展促进条例》的规定结合合作区实际制定本规定。
澳门特别行政区药学技术人员在横琴粤澳深度合作区药品零售单位执业备案管理规定,,,,,第二条 具备规定条件并在合作区备案的澳门药学技术人员可以在合作区范围内的药品零售单位直接提供与其澳门医疗人员资格认可证书相符的药学服务。本规定所称澳门药学技术人员是指持有澳门有效医疗人员资格认可证书的药剂师、中药师、中医生和药房技术助理。
澳门特别行政区药学技术人员在横琴粤澳深度合作区药品零售单位执业备案管理规定,,,,,第三条 在合作区药品零售单位直接提供服务的澳门药学技术人员应当同时具备以下条件剂师、中药师、中医生和药房技术助理
澳门特别行政区药学技术人员在横琴粤澳深度合作区药品零售单位执业备案管理规定,,,,,第四条 澳门药学技术人员在合作区提供直接服务应当受聘于合作区具有《药品经营许可证》的药品零售单位或者申请取得药品零售许可从事药品零售服务。
澳门特别行政区药学技术人员在横琴粤澳深度合作区药品零售单位执业备案管理规定,,,,,第五条 澳门药学技术人员在合作区直接提供服务前应当向合作区药品监督管理部门申请备案。申请人应当按照备案办法提交备案材料备案办法由合作区药品监督管理部门另行制定。符合备案条件的申请人合作区药品监督管理部门应当予以备案并载明其执业类别、执业期限颁发备案证明备案名录在合作区政务网站予以公布。未经合作区药品监督管理部门备案的澳门药学技术人员不得在合作区药品经营单位直接提供服务。
澳门特别行政区药学技术人员在横琴粤澳深度合作区药品零售单位执业备案管理规定,,,,,第六条 备案有效期为三年经备案人提出申请可以续期。备案有效期内已备案的澳门药学技术人员资格认可证类别、执业类别或执业单位发生变化时应当向合作区药品监督管理部门申请办理备案变更手续。未按规定变更的原备案自动失效。
澳门特别行政区药学技术人员在横琴粤澳深度合作区药品零售单位执业备案管理规定,,,,,第七条 已备案的澳门药学技术人员在合作区执业应当遵守内地药品管理法律、法规、规章及标准规范。已备案的澳门药学技术人员在合作区药品零售单位执业开展网上销售及处方审核的应当遵守内地相关规定具体办法由合作区药品监督管理部门另行制定。
澳门特别行政区药学技术人员在横琴粤澳深度合作区药品零售单位执业备案管理规定,,,,,第八条 合作区药品零售单位配备经合作区药品监督管理部门备案的澳门药剂师、中药师的分别视同已配备内地执业药师、执业中药师配备经合作区药品监督管理部门备案的澳门药房技术助理、中医生的分别视同已配备内地其他药学、中药学技术人员。
澳门特别行政区药学技术人员在横琴粤澳深度合作区药品零售单位执业备案管理规定,,,,,第九条 合作区药品监督管理部门应当为已备案的澳门药学技术人员接受继续教育提供条件将其纳入培训范围。已备案的澳门药学技术人员应当按照合作区药品监督管理部门的要求参加继续教育培训。已备案的澳门药学技术人员在澳门参加持续专业发展活动并取得规定学分的合作区药品监督管理部门应当予以认可。
澳门特别行政区药学技术人员在横琴粤澳深度合作区药品零售单位执业备案管理规定,,,,,第十条 合作区药品监督管理部门应当依照内地相关法律、法规、规章及标准规范的规定对已备案的澳门药学技术人员在合作区范围内药品零售单位的执业活动实施监督管理。
澳门特别行政区药学技术人员在横琴粤澳深度合作区药品零售单位执业备案管理规定,,,,,第十一条 已备案的澳门药学技术人员不再继续在合作区药品零售单位直接提供服务或者不再满足备案条件或者不符合继续教育要求的备案自动失效本人或者其执业单位应当及时向合作区药品监督管理部门申请注销备案。
澳门特别行政区药学技术人员在横琴粤澳深度合作区药品零售单位执业备案管理规定,,,,,第十二条 未经合作区药品监督管理部门备案的澳门药学技术人员在合作区药品零售单位直接提供药学服务或者已备案的澳门药学技术人员超出载明的执业类别、执业期限直接提供药学服务的合作区相关主管部门应当不予认可并按照内地未取得相应资质的相关规定予以处罚。
澳门特别行政区药学技术人员在横琴粤澳深度合作区药品零售单位执业备案管理规定,,,,,第十三条 已备案的澳门药学技术人员从业活动违反内地法律、法规、规章规定依法应当撤销执业证书或者特定时限内禁止从业、不予注册的合作区药品监督管理部门应当撤销其备案并在内地法律、法规、规章规定的禁止从业、不予注册的时限内不再受理该人员的备案申请。已备案的澳门药学技术人员注销或被撤销备案的合作区药品监督管理部门应将相关信息在合作区政务网站予以公布。
澳门特别行政区药学技术人员在横琴粤澳深度合作区药品零售单位执业备案管理规定,,,,,第十四条 本规定自 2023 年 8 月 1 日起施行。
